,Petroi,Diesel,CNG,LPG,,
Mumbai,₹103.49,₹90.01,₹80.50,852.5,,
Delhi,₹94.81,₹ 87.71,₹77.09,₹853.00,,
Bengaluru,₹102.90,₹90.98,₹89.95,₹855.50,,
Chennai,₹100.79,₹92.38,₹91.50,₹872.00,,
Hyderabad,₹107.45,₹95.69,₹97.50,₹905.00,,
Kolkata,₹104.99,₹91.81,₹90.00,₹879.00,,
Ahmedabad,₹94.48,₹90.15,₹82.38,₹860.00,,
Pune,₹103.80,₹90.34,₹92.50,₹856.00,,
Surat,₹94.35,₹90.04,₹79.26,₹858.50,,
Coimbatore,₹101.28,₹92.88,₹88.50,₹882.00,,
Visakhapatnam,₹108.33,₹96.22,₹88.17,₹861.00,,
Vadodara,₹94.15,₹89.82,₹81.35,₹859.00,,
Nagpur,₹104.00,₹90.56,₹90.00,₹904.50,,
Jaipur,₹104.71,₹90.21,₹91.91,₹856.50,,
Kochi,105.75,,,,,
Amaravati region,₹105.10,₹91.63,₹94.50,₹886.50,,
Rajkot,₹94.25,₹89.94,₹93.50,₹858.00,,
Salem,₹101.66,₹93.26,₹88.50,₹886.50,,
Nashik,₹104.74,₹91.25,₹93.65,₹856.50,,
Thrissur,₹106.11,₹95.07,₹90.50,₹865.00,,
Thiruvananthapuram,₹107.47,₹96.47,₹90.00,₹862.00,,
Kollam,₹106.90,₹95.81,₹90.00,₹862.00,,
Chandigarh,₹94.28,₹82.44,₹92.75,₹862.50,,
Patna,₹105.22,₹92.09,₹87.90,₹942.50,,
Lucknow,₹94.69,₹87.80,₹96.75,₹890.50,,
Malappuram,₹106.24,₹95.22,₹90.50,₹861.50,,
Madurai,₹101.51,₹93.13,₹89.50,₹894.00,,
Asansol,₹97.61,₹92.30,₹93.00,₹643.50,,
Kozhikode,₹105.76,₹94.76,₹90.50,₹861.50,,
Bhubaneswar,₹101.10,₹92.68,₹88.26,₹829.00,,
Indore,₹106.48,₹91.88,₹95.45,₹881.00,,
Raipur,₹99.42,₹93.37,₹88.90,₹924.00,,
Erode,₹101.31,₹92.92,₹85.50,₹887.50,,
Aurangabad,₹105.17,₹91.67,₹40.79,₹96.50,,
Mangaluru,₹102.07,₹90.17,₹80.95,₹860.50,,
Solapur,₹104.23,₹90.78,₹93.00,₹860.50,,
Kolhapur,₹104.54,₹91.08,₹96.95,₹855.50,,
Agra,₹94.50,₹87.56,₹96.75,₹865.50,,
Ludhiana,₹97.48,₹87.97,₹83.75,₹880.00,,
Kannur,₹105.76,₹94.76,₹90.50,₹873.00,,
Kanpur,₹94.44,₹87.49,₹96.00,₹868.00,,
Jamnagar,₹94.42,₹90.09,₹84.17,₹865.50,,
Tiruchirappalli,₹101.23,₹92.85,₹85.00,₹899.00,,
Mysuru,₹102.45,₹90.56,₹84.00,₹857.50,,
Meerut,₹94.49,₹87.55,₹84.50,₹850.50,,
Bhopal,₹106.51,₹91.88,₹90.25,₹858.50,,
Jabalpur,₹106.53,₹91.93,₹97.00,₹859.50,,
Sangli,₹104.07,₹90.63,₹94.00,₹855.50,,
Hubli,₹102.66,₹90.78,₹93.00,₹872.00,,
Kottayam,₹105.97,₹94.94,₹90.50,₹860.00,,
