city_name,bathrooms,address,carpet_area,floors,price,price_per_sq_ft
Bhopal,3,"Bhopal, Madhya Pradesh",,,7800000,4455
Bhopal,3,"Bhopal, Madhya Pradesh",,,10400000,6436
Bhopal,3,"Bhopal, Madhya Pradesh",,8,11000000,5000
Bhopal,3,"Bhopal, Madhya Pradesh",,10,9200705,5303
Bhopal,3,"Bhopal, Madhya Pradesh",,,8700000,9206
Bhopal,3,"Bhopal, Madhya Pradesh",1472,10,9000075,3871
Bhopal,2,"Bhopal, Madhya Pradesh",,6,4700000,3092
Bhopal,3,"Bhopal, Madhya Pradesh",,4,2700000,3210
Bhopal,2,"Bhopal, Madhya Pradesh",,6,5200000,4590
Bhopal,2,"Bhopal, Madhya Pradesh",,7,3400000,2429
Bhopal,2,"Bhopal, Madhya Pradesh",1050,6,2300000,2190
Bhopal,2,"Bhopal, Madhya Pradesh",,,2500000,3333
Bhopal,2,"Bhopal, Madhya Pradesh",,5,5000000,3226
Bhopal,2,"Bhopal, Madhya Pradesh",,6,3299000,3089
Bhopal,3,"Bhopal, Madhya Pradesh",3000,,34200000,10688
Bhopal,2,"Bhopal, Madhya Pradesh",1250,10,6500000,3611
Bhopal,2,"Bhopal, Madhya Pradesh",1350,,7000000,4000
Bhopal,3,"Bhopal, Madhya Pradesh",1125,,11500000,5610
Bhopal,3,"Bhopal, Madhya Pradesh",,,9675000,6123
Bhopal,3,"Bhopal, Madhya Pradesh",,,9500000,4872
Bhopal,3,"Bhopal, Madhya Pradesh",,,9450000,5425
Bhopal,3,"Bhopal, Madhya Pradesh",,,4900000,3603
Bhopal,3,"Bhopal, Madhya Pradesh",,16,12000000,11527
Bhopal,2,"Bhopal, Madhya Pradesh",1100,7,4500000,3396
Bhopal,2,"Bhopal, Madhya Pradesh",900,7,4500000,3750
Bhopal,3,"Bhopal, Madhya Pradesh",,,8600000,3839
Bhopal,3,"Bhopal, Madhya Pradesh",,7,7500000,5068
Bhopal,2,"Bhopal, Madhya Pradesh",,,3599000,3364
Bhopal,3,"Bhopal, Madhya Pradesh",1374,1,17000000,7083
Bhopal,2,"Bhopal, Madhya Pradesh",1150,4,4000000,
Bhopal,2,"Bhopal, Madhya Pradesh",940,6,3295000,2746
Bhopal,3,"Bhopal, Madhya Pradesh",,,13000000,6190
Bhopal,2,"Bhopal, Madhya Pradesh",975,8,2950000,2360
Bhopal,2,"Bhopal, Madhya Pradesh",750,6,3500000,2696
Bhopal,2,"Bhopal, Madhya Pradesh",,4,2800000,3733
Bhopal,2,"Bhopal, Madhya Pradesh",,4,2550000,2766
Bhopal,2,"Bhopal, Madhya Pradesh",,4,2800000,2545
Bhopal,2,"Bhopal, Madhya Pradesh",,6,3100000,2123
Bhopal,3,"Bhopal, Madhya Pradesh",,,5200000,6933
Bhopal,2,"Bhopal, Madhya Pradesh",,,13000000,7027
Bhopal,3,"Bhopal, Madhya Pradesh",1350,6,8500000,6296
Bhopal,2,"Bhopal, Madhya Pradesh",,6,4500000,3333
Bhopal,3,"Bhopal, Madhya Pradesh",1200,,7700000,5789
Bhopal,3,"Bhopal, Madhya Pradesh",1500,6,4500000,3000
Bhopal,3,"Bhopal, Madhya Pradesh",1000,6,4500000,3000
Bhopal,3,"Bhopal, Madhya Pradesh",,6,2800000,1806
Bhopal,1,"Bhopal, Madhya Pradesh",,3,3002000,3950
Bhopal,2,"Bhopal, Madhya Pradesh",,,4855000,9482
Bhopal,2,"Bhopal, Madhya Pradesh",,,8500000,7083
Bhopal,3,"Bhopal, Madhya Pradesh",,8,4000000,2857
Bhopal,2,"Bhopal, Madhya Pradesh",,7,3299000,3089
Bhopal,1,"Bhopal, Madhya Pradesh",650,3,2100000,2917
Bhopal,2,"Bhopal, Madhya Pradesh",,6,4000000,3125
Bhopal,3,"Bhopal, Madhya Pradesh",,,4720000,2331
Bhopal,2,"Bhopal, Madhya Pradesh",,3,3900000,3237
Bhopal,3,"Bhopal, Madhya Pradesh",,6,4000000,2667
Bhopal,2,"Bhopal, Madhya Pradesh",,7,4500000,4202
Bhopal,3,"Bhopal, Madhya Pradesh",,,4296000,3507
Bhopal,3,"Bhopal, Madhya Pradesh",,,6400000,4040
Bhopal,3,"Bhopal, Madhya Pradesh",,,7000000,4516
Bhopal,2,"Bhopal, Madhya Pradesh",,,4790000,3757
Bhopal,2,"Bhopal, Madhya Pradesh",,,5164650,3973
Bhopal,3,"Bhopal, Madhya Pradesh",,,4890000,2964
Bhopal,3,"Bhopal, Madhya Pradesh",,,5435000,3712
Bhopal,2,"Bhopal, Madhya Pradesh",900,3,4000000,5333
Bhopal,2,"Bhopal, Madhya Pradesh",700,3,2351000,2351
Bhopal,3,"Bhopal, Madhya Pradesh",,,3670000,
Bhopal,2,"Bhopal, Madhya Pradesh",,,5500000,6875
Bhopal,3,"Bhopal, Madhya Pradesh",1000,,7500000,6510
Bhopal,3,"Bhopal, Madhya Pradesh",1325,,7500000,5660
Bhopal,2,"Bhopal, Madhya Pradesh",,6,4100000,3832
Bhopal,3,"Bhopal, Madhya Pradesh",800,,5500000,3793
Bhopal,2,"Bhopal, Madhya Pradesh",,6,3200000,2839
Bhopal,2,"Bhopal, Madhya Pradesh",,4,2800000,2226
Bhopal,2,"Bhopal, Madhya Pradesh",,1,2000000,2222
Bhopal,2,"Bhopal, Madhya Pradesh",,8,3800000,3619
Bhopal,3,"Bhopal, Madhya Pradesh",900,6,5000000,3333
Bhopal,2,"Bhopal, Madhya Pradesh",840,,3200000,2667
Bhopal,1,"Bhopal, Madhya Pradesh",550,2,1800000,3273
Bhopal,2,"Bhopal, Madhya Pradesh",800,4,6000000,5587
Bhopal,3,"Bhopal, Madhya Pradesh",,10,18500000,10482
Bhopal,2,"Bhopal, Madhya Pradesh",,6,4300000,3185
Bhopal,2,"Bhopal, Madhya Pradesh",840,6,2600000,
Bhopal,2,"Bhopal, Madhya Pradesh",,6,12000000,7059
Bhopal,3,"Bhopal, Madhya Pradesh",1450,4,4800000,3000
Bhopal,3,"Bhopal, Madhya Pradesh",1200,6,6500000,
Bhopal,3,"Bhopal, Madhya Pradesh",,8,4300000,3583
Bhopal,3,"Bhopal, Madhya Pradesh",,5,5000000,3145
Bhopal,2,"Bhopal, Madhya Pradesh",1700,3,8500000,10000
Bhopal,2,"Bhopal, Madhya Pradesh",560,,1650000,2062
Bhopal,3,"Bhopal, Madhya Pradesh",,6,4200000,2800
Bhopal,2,"Bhopal, Madhya Pradesh",,3,3800000,3167
Bhopal,3,"Bhopal, Madhya Pradesh",,1,6500000,4257
Bhopal,3,"Bhopal, Madhya Pradesh",1100,6,5900000,4720
Bhopal,2,"Bhopal, Madhya Pradesh",,11,3400000,4038
Bhopal,3,"Bhopal, Madhya Pradesh",,9,5500000,2716
