id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
82923343,2026-03-22T22:30:38.000Z,2400000,1967,₹,"11.281441,76.24287",,1220,,1,2,South,,Malappuram,3,"Malappuram, Kerala",1220,,12800,
77840463,2026-01-04T22:30:39.000Z,4200000,1556,₹,"11.363045,76.299199",,3900,,,3,,1,Malappuram,3,"Malappuram, Kerala",2700,,12800,
75921209,2026-01-20T14:10:14.000Z,10000000,7143,₹,"10.917825,75.924027",,,12800,,3,,,Malappuram,2,"Malappuram, Kerala",1400,,12800,
70033923,2025-12-24T14:54:25.000Z,13200000,1318,₹,"11.051648,75.861675",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
73684009,2025-12-26T06:19:44.000Z,260000,,₹,,,,,,,,,Malappuram,,"Malappuram, Kerala",,,,
82573063,2025-12-14T06:34:40.000Z,10000000,3571,₹,"11.050965,75.982332",,,,2,6,,,Malappuram,6,"Malappuram, Kerala",2800,,12800,
65277839,2025-11-14T22:30:34.000Z,28000000,20741,₹,"10.917825,75.924027",,1350,,,2,East,,Malappuram,3,"Malappuram, Kerala",1350,,12800,
83073639,2026-02-26T23:31:16.000Z,7800000,1492,₹,"10.973895,76.1952342",,2400,12850,1,4,,,Malappuram,4,"Malappuram, Kerala",5227,,12800,
82946729,2026-03-08T22:30:32.000Z,3000000,689,₹,"10.949682,75.912008",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
82827453,2026-01-04T05:12:29.000Z,5800000,4143,₹,"11.281441,76.24287",,,,,3,,,Malappuram,2,"Malappuram, Kerala",1400,,12800,
83793883,2026-03-15T14:55:18.000Z,7500000,861,₹,,,,12850,,,,,Malappuram,,"Malappuram, Kerala",,,,
72698291,2026-03-20T05:00:16.000Z,500000,46,₹,"10.8891,76.068604",,,12800,,,East,,Malappuram,,"Malappuram, Kerala",,,,
80366115,2026-03-21T11:57:03.000Z,9000000,5732,₹,"11.194997,76.231919",,,,,3,,2,Malappuram,3,"Malappuram, Kerala",1570,,12800,
68962441,2026-03-16T04:03:23.000Z,35000000,1148,₹,"11.051648,75.861675",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
65222455,2026-03-02T21:33:21.000Z,10500000,4200,₹,"11.281441,76.24287",,2700,,2,5,East,2,Malappuram,4,"Malappuram, Kerala",2500,,12800,
72963785,2026-03-06T06:08:20.000Z,5900000,3450,₹,"10.76104,75.93311",,,,1,3,East,2,Malappuram,3,"Malappuram, Kerala",1710,,12800,
64010017,2026-01-05T04:35:02.000Z,8500000,1951,₹,"10.975668,76.201504",,,12850,,,,,Malappuram,,"Malappuram, Kerala",,,,
65824807,2026-02-14T10:01:30.000Z,1000000000,50000000,₹,"13.848297,77.726283",,,,,5,East,1,Malappuram,4,"Malappuram, Kerala",20,,12800,
79565775,2026-01-07T21:34:32.000Z,2950000,2360,₹,"11.363045,76.299199",,,,,2,,,Malappuram,3,"Malappuram, Kerala",1250,,12800,
79497321,2026-02-19T03:53:55.000Z,22800000,6514,₹,"10.78377003,76.00769815",,38,,1,3,West,,Malappuram,4,"Malappuram, Kerala",3500,,12800,
70288535,2026-03-07T15:35:36.000Z,42500000,10396,₹,"11.16218716,75.87798704",,,,1,5,West,2,Malappuram,4,"Malappuram, Kerala",4088,,12800,
58816247,2026-01-02T08:03:08.000Z,3200000,,₹,"11.281441,76.24287",,1485,,,2,West,,Malappuram,3,"Malappuram, Kerala",,,,
81875367,2025-12-02T22:30:38.000Z,9000000,1978,₹,"10.917825,75.924027",,2480,,2,3,,,Malappuram,3,"Malappuram, Kerala",4550,,12800,
71284195,2026-01-18T18:11:15.000Z,2500000,581,₹,"11.15147,75.97045",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
82694001,2025-12-23T10:42:52.000Z,9200000,1509,₹,"10.975668,76.201504",,,12850,,,,,Malappuram,,"Malappuram, Kerala",,,,
71832293,2025-11-27T21:30:37.000Z,3500000,4375,₹,"10.973895,76.1952342",,780,,2,2,North - East,4,Malappuram,2,"Malappuram, Kerala",800,,12800,
72580625,2026-01-26T18:02:32.000Z,8000000,2296,₹,"10.973895,76.1952342",,,12800,,,North,,Malappuram,,"Malappuram, Kerala",,,,
81079297,2026-03-08T23:38:07.000Z,5400000,775,₹,"11.363045,76.299199",,,12800,,,South - East,,Malappuram,,"Malappuram, Kerala",,,,
74809925,2026-01-23T08:05:06.000Z,8960000,459,₹,"10.975668,76.201504",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
72544557,2026-01-26T21:33:06.000Z,8000000,2667,₹,,,1800,,1,3,North,2,Malappuram,5,"Malappuram, Kerala",3000,,12800,
83019519,2026-01-17T12:32:33.000Z,6450000,494,₹,"10.917825,75.924027",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
72133907,2026-02-26T10:10:33.000Z,3500000,,₹,"10.973895,76.1952342",,790,,2,2,,4,Malappuram,2,"Malappuram, Kerala",,,,
75082475,2026-01-07T14:38:54.000Z,10000000,675,₹,"11.15147,75.97045",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
64911161,2026-01-25T21:32:52.000Z,2700000,564,₹,"11.194997,76.231919",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
43585821,2026-01-08T07:19:57.000Z,5300000,936,₹,"10.76104,75.93311",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
58002737,2026-03-02T15:33:50.000Z,4600000,3286,₹,"10.975668,76.201504",,,,,3,,2,Malappuram,3,"Malappuram, Kerala",1400,,12800,
