id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
76198063,2026-03-16T23:32:37.000Z,40000000,,₹,"12.8581215,74.8481691",,4250,,3,4,North,,Mangalore,5,"Mangalore, Karnataka",,,,
82449907,2026-03-17T07:42:18.000Z,28000000,10769,₹,"12.8581704,74.8402997",,,,,5,,,Mangalore,4,"Mangalore, Karnataka",2600,,12800,
83657823,2026-03-06T05:53:24.000Z,6700000,4467,₹,"12.8094422,74.8911756",,,,,2,,,Mangalore,2,"Mangalore, Karnataka",1500,,12800,
82810775,2026-03-21T23:54:24.000Z,10000000,4167,₹,,,,,,3,,5,Mangalore,3,"Mangalore, Karnataka",2400,,12800,
83570491,2026-03-22T14:41:45.000Z,8000000,4000,₹,"12.9888951,74.80584",,1900,,2,2,South,,Mangalore,3,"Mangalore, Karnataka",2000,,12800,
81755525,2026-03-21T23:36:35.000Z,7000000,3763,₹,"12.8937661,74.894861",,,,,4,,2,Mangalore,3,"Mangalore, Karnataka",1860,,12800,
65201137,2026-03-08T16:07:29.000Z,6300000,4214,₹,,,,,,,,,Mangalore,3,"Mangalore, Karnataka",1495,,12800,
83693837,2026-03-22T23:34:27.000Z,13500000,5625,₹,"12.902371,74.8782555",,,,,4,,,Mangalore,5,"Mangalore, Karnataka",2400,,12800,
79601887,2026-03-16T23:35:33.000Z,6800000,4806,₹,"12.9888951,74.80584",,1080,,2,2,,5,Mangalore,2,"Mangalore, Karnataka",1415,,12800,
81886957,2026-03-23T23:46:44.000Z,14000000,9333,₹,"12.9141417,74.8559568",,1200,,,2,North - West,,Mangalore,3,"Mangalore, Karnataka",1500,,12800,
82569679,2026-03-21T23:45:34.000Z,12000000,,₹,"12.8967709,74.8346296",,1342,,5,3,South - East,4,Mangalore,3,"Mangalore, Karnataka",,,,
75352417,2026-03-13T23:39:09.000Z,9600000,,₹,"12.8841861,74.8552611",,1200,,2,3,East,5,Mangalore,3,"Mangalore, Karnataka",,,,
75918115,2026-03-25T23:33:17.000Z,8200000,5413,₹,"12.910694077707358,74.86032451255171",,,,4,3,,4,Mangalore,3,"Mangalore, Karnataka",1515,,12800,
80944937,2026-03-25T23:44:29.000Z,8000000,,₹,"12.9888951,74.80584",,1500,,,4,,,Mangalore,5,"Mangalore, Karnataka",,,,
71449759,2026-03-25T23:48:34.000Z,9500000,3958,₹,"12.8529733,74.8565779",,2200,,2,4,North,,Mangalore,4,"Mangalore, Karnataka",2400,,12800,
81803809,2026-03-23T23:40:42.000Z,3600000,4800,₹,"12.9108125,74.83567",,730,,1,2,,3,Mangalore,2,"Mangalore, Karnataka",750,,12800,
83039663,2026-03-25T23:38:08.000Z,8000000,5096,₹,"12.8848147,74.8826694",,,,4,3,South -West,14,Mangalore,3,"Mangalore, Karnataka",1570,,12800,
83096559,2026-03-25T23:34:16.000Z,9000000,4739,₹,"12.966823,74.812695",,,,,3,,2,Mangalore,4,"Mangalore, Karnataka",1899,,12800,
83193687,2026-03-25T23:39:37.000Z,12500000,6864,₹,"12.8685753,74.8426716",,,,4,3,North,5,Mangalore,3,"Mangalore, Karnataka",1821,,12800,
83896083,2026-03-21T17:37:37.000Z,3400000,,₹,"12.9212217,74.8697188",,775,,,2,,4,Mangalore,2,"Mangalore, Karnataka",,,,
82369821,2026-03-08T23:43:26.000Z,8900000,4450,₹,"12.8176393,74.85961396",,,,1,4,South,,Mangalore,4,"Mangalore, Karnataka",2000,,12800,
81459477,2026-03-24T23:39:00.000Z,6800000,5787,₹,"12.9108125,74.83567",,,,2,2,North - East,15,Mangalore,2,"Mangalore, Karnataka",1175,,12800,
77749793,2026-03-19T23:34:34.000Z,23000000,6380,₹,"12.8640366,74.8519456",,2450,,7,3,South - East,12,Mangalore,4,"Mangalore, Karnataka",3605,,12800,
81539825,2026-03-24T23:31:09.000Z,3400000,4387,₹,"12.9212217,74.8697188",,,,1,2,,4,Mangalore,2,"Mangalore, Karnataka",775,,12800,
82414569,2026-03-23T23:36:18.000Z,4000000,3774,₹,"12.9050503,74.8631787",,,,,2,,,Mangalore,2,"Mangalore, Karnataka",1060,,12800,
79957271,2026-03-23T23:36:32.000Z,11400000,8837,₹,"12.8644654,74.8579377",,1200,,2,2,East,4,Mangalore,2,"Mangalore, Karnataka",1290,,12800,
81504351,2026-03-15T23:45:31.000Z,17000000,5790,₹,"12.8918657,74.8463269",,2496,12850,1,4,North,,Mangalore,4,"Mangalore, Karnataka",2936,,12800,
80043833,2026-03-23T23:43:06.000Z,6900000,2797,₹,"12.9851498,74.8845398",,,,3,2,,4,Mangalore,3,"Mangalore, Karnataka",2467,,12800,
54534951,2026-03-24T21:32:18.000Z,8500000,6320,₹,"12.8839257,74.8360338",,,,,2,,3,Mangalore,2,"Mangalore, Karnataka",1345,,12800,
76166011,2026-02-13T22:30:43.000Z,8300000,5704,₹,"12.8918657,74.8463269",,,,3,3,West,5,Mangalore,3,"Mangalore, Karnataka",1455,,12800,
67794359,2026-03-25T06:36:04.000Z,2400000,3158,₹,"12.9141417,74.8559568",,,,,2,,,Mangalore,2,"Mangalore, Karnataka",760,,12800,
40684915,2026-03-16T22:30:45.000Z,7500000,3571,₹,"12.8999241,74.8925651",,1900,,1,3,East,,Mangalore,3,"Mangalore, Karnataka",2100,,12800,
56118707,2026-01-31T22:30:31.000Z,2100000,3231,₹,"12.9212217,74.8697188",,,,1,1,West,4,Mangalore,1,"Mangalore, Karnataka",650,,12800,
75819565,2026-02-02T22:30:33.000Z,8500000,7054,₹,"12.8635781,74.8700305",,,,2,2,East,28,Mangalore,2,"Mangalore, Karnataka",1205,,12800,
67767149,2026-03-24T10:13:35.000Z,12500000,6173,₹,"12.877364,74.837554",,,12850,,3,,,Mangalore,3,"Mangalore, Karnataka",2025,,12800,
67767145,2026-03-24T10:13:30.000Z,3500000,5000,₹,"12.877364,74.837554",,,,,1,,,Mangalore,1,"Mangalore, Karnataka",700,,12800,
67767141,2026-03-24T10:13:25.000Z,5000000,4167,₹,"12.877364,74.837554",,,,,2,,,Mangalore,2,"Mangalore, Karnataka",1200,,12800,
67767137,2026-03-24T10:13:20.000Z,4800000,20000,₹,"12.877364,74.837554",,220,,,1,,,Mangalore,,"Mangalore, Karnataka",240,,12800,
72399107,2026-01-29T22:30:33.000Z,2500000,,₹,"12.8644654,74.8579377",,720,,1,1,North,3,Mangalore,1,"Mangalore, Karnataka",,,,
67767803,2026-03-24T10:26:57.000Z,7000000,3226,₹,"12.886613,74.827951",,,,,2,,,Mangalore,3,"Mangalore, Karnataka",2170,,12800,
67767797,2026-03-24T10:26:52.000Z,7000000,3226,₹,"12.886613,74.827951",,,,,2,,,Mangalore,3,"Mangalore, Karnataka",2170,,12800,
83556475,2026-02-25T19:10:16.000Z,16500000,5456,₹,"12.8992232,74.8287807",,,12850,4,4,,,Mangalore,3,"Mangalore, Karnataka",3024,,12800,
67764905,2026-03-24T09:26:10.000Z,7500000,4771,₹,,,,,,3,,,Mangalore,3,"Mangalore, Karnataka",1572,,12800,
83827781,2026-03-17T16:04:27.000Z,2500000,3125,₹,"13.07589829,74.79327425",,,,,1,,,Mangalore,2,"Mangalore, Karnataka",800,,12800,
83184229,2026-03-04T22:30:38.000Z,4000000,3636,₹,"12.8918657,74.8463269",,,,,2,,4,Mangalore,2,"Mangalore, Karnataka",1100,,12800,
36274607,2026-03-22T07:01:19.000Z,2800000,3733,₹,"12.8848147,74.8826694",,715,,1,2,East,6,Mangalore,2,"Mangalore, Karnataka",750,,12800,
57014283,2026-01-23T08:50:56.000Z,6500000,5229,₹,"12.8848868,74.8657537",,,,,2,East,7,Mangalore,2,"Mangalore, Karnataka",1243,,12800,
83208585,2026-03-06T22:30:41.000Z,4600000,1921,₹,"12.9214862,74.8728809",,220,,,2,,,Mangalore,2,"Mangalore, Karnataka",2395,,12800,
57876711,2026-03-23T16:57:24.000Z,7600000,5067,₹,"12.876375,74.838542",,,,,3,West,8,Mangalore,3,"Mangalore, Karnataka",1500,,12800,
81779505,2026-02-28T23:41:47.000Z,8100000,8060,₹,"12.8635781,74.8700305",,1005,,2,2,South,20,Mangalore,2,"Mangalore, Karnataka",1005,,12800,
76408215,2026-02-27T22:30:38.000Z,6600000,2164,₹,"12.8635781,74.8700305",,,,,,,,Mangalore,3,"Mangalore, Karnataka",7,,12817,
45005433,2026-03-03T21:30:42.000Z,4000000,3419,₹,"12.8848147,74.8826694",,,,,2,,15,Mangalore,2,"Mangalore, Karnataka",1170,,12800,
81713159,2026-03-23T22:30:32.000Z,11000000,4547,₹,"12.966823,74.812695",,,12596,2,3,East,,Mangalore,4,"Mangalore, Karnataka",2419,,12800,
72652359,2026-02-26T21:33:38.000Z,2500000,2941,₹,"12.902371,74.8782555",,,,,1,,2,Mangalore,2,"Mangalore, Karnataka",850,,12800,
83752569,2026-03-12T11:08:33.000Z,4200000,3500,₹,"12.902371,74.8782555",,940,,2,2,South -West,13,Mangalore,2,"Mangalore, Karnataka",1200,,12800,
70088097,2026-03-22T22:30:34.000Z,2850000,1636,₹,,,,,,1,East,,Mangalore,1,"Mangalore, Karnataka",4,,12817,
73018831,2026-03-12T16:46:01.000Z,2800000,3111,₹,"12.9851498,74.8845398",,,,,2,North - East,1,Mangalore,2,"Mangalore, Karnataka",900,,12800,
83221019,2026-03-19T22:30:44.000Z,9000000,3358,₹,"13.0646542,74.8645872",,,12850,3,3,North - West,,Mangalore,4,"Mangalore, Karnataka",2680,,12800,
81064541,2026-03-19T22:30:42.000Z,6500000,4167,₹,"12.9851498,74.8845398",,1560,,,3,South - East,1,Mangalore,4,"Mangalore, Karnataka",1560,,12800,
67791801,2026-03-25T06:01:57.000Z,4200000,,₹,"12.9141417,74.8559568",,900,,,2,,,Mangalore,2,"Mangalore, Karnataka",,,,
67791797,2026-03-25T06:01:55.000Z,4200000,,₹,"12.9141417,74.8559568",,900,,,2,,,Mangalore,2,"Mangalore, Karnataka",,,,
67791795,2026-03-25T06:01:54.000Z,6000000,,₹,"12.9141417,74.8559568",,,,,2,,,Mangalore,2,"Mangalore, Karnataka",,,,
67791783,2026-03-25T06:01:45.000Z,7000000,4899,₹,"12.9141417,74.8559568",,,12850,,3,,,Mangalore,2,"Mangalore, Karnataka",1429,,12800,
67791781,2026-03-25T06:01:43.000Z,9000000,4286,₹,"12.9141417,74.8559568",,,,,4,,,Mangalore,4,"Mangalore, Karnataka",2100,,12800,
74759717,2026-02-23T22:30:31.000Z,5600000,4667,₹,"12.880422,74.859116",,980,,4,2,,2,Mangalore,2,"Mangalore, Karnataka",1200,,12800,
83603819,2026-03-01T09:29:32.000Z,7500000,3130,₹,"12.966823,74.812695",,,12850,2,4,,,Mangalore,4,"Mangalore, Karnataka",2396,,12800,
82890893,2026-02-27T22:30:41.000Z,6800000,6800,₹,"12.9168779,74.8903817",,,,,2,,,Mangalore,2,"Mangalore, Karnataka",1000,,12800,
66257833,2026-01-03T21:30:47.000Z,3500000,3314,₹,"12.966823,74.812695",,1056,,2,2,East,4,Mangalore,2,"Mangalore, Karnataka",1056,,12800,
68044301,2026-03-19T15:27:01.000Z,4200000,3500,₹,"12.880422,74.859116",,,,,2,,4,Mangalore,2,"Mangalore, Karnataka",1200,,12800,
68044299,2026-03-19T15:26:55.000Z,17500000,7000,₹,"12.880422,74.859116",,,,,3,,,Mangalore,3,"Mangalore, Karnataka",2500,,12800,
68041311,2026-03-19T13:47:39.000Z,9000000,3913,₹,"12.872069,74.8561165",,,,,3,,7,Mangalore,3,"Mangalore, Karnataka",2300,,12800,
