id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
83200839,2026-03-22T01:04:51.000Z,11000000,,₹,"12.3444096,76.6029819",,2100,,4,4,East,,Mysore,3,"Mysore, Karnataka",,,,
79122129,2026-03-07T07:05:00.000Z,8000000,6667,₹,"12.2975,76.595306",,,,,2,,5,Mysore,2,"Mysore, Karnataka",1200,,12800,
82439675,2026-03-22T17:07:36.000Z,14000000,9333,₹,"12.2655758,76.6441591",,1200,,,3,South,,Mysore,2,"Mysore, Karnataka",1500,,12800,
82736623,2026-03-24T23:31:10.000Z,8000000,6667,₹,"12.2844023,76.6111287",,1000,,2,2,West,3,Mysore,2,"Mysore, Karnataka",1200,,12800,
83437329,2026-02-17T04:26:46.000Z,12500000,10417,₹,"12.30864914,76.70126043",,1180,,1,2,South - East,,Mysore,3,"Mysore, Karnataka",1200,,12800,
82792369,2026-03-21T23:31:57.000Z,10312000,8000,₹,"12.3052971,76.6831397",,1200,,3,2,East,5,Mysore,3,"Mysore, Karnataka",1289,,12800,
83572537,2026-03-18T23:32:08.000Z,21000000,14000,₹,"12.3053563331813,76.6929543794215",,,12850,,3,West,,Mysore,3,"Mysore, Karnataka",1500,,12800,
80865729,2026-03-24T23:31:29.000Z,14000000,8685,₹,"12.3053563331813,76.6929543794215",,1018,,3,3,East,10,Mysore,3,"Mysore, Karnataka",1612,,12800,
78458111,2026-01-29T22:30:34.000Z,8000000,6349,₹,"12.2655758,76.6441591",,,,2,3,East,3,Mysore,3,"Mysore, Karnataka",1260,,12800,
79640379,2026-03-14T21:33:43.000Z,7200000,7912,₹,"12.2655758,76.6441591",,,,1,2,West,5,Mysore,2,"Mysore, Karnataka",910,,12800,
81912497,2026-03-21T23:35:52.000Z,6400000,6148,₹,"12.317059,76.6058412",,836,,2,2,North,3,Mysore,2,"Mysore, Karnataka",1041,,12800,
45423233,2026-02-15T16:37:59.000Z,5500000,4074,₹,"12.3053563331813,76.6929543794215",,1350,,2,3,North,5,Mysore,3,"Mysore, Karnataka",1350,,12800,
83676563,2026-03-14T08:22:21.000Z,25000000,,₹,"12.302502,76.592142",,4400,,4,6,,,Mysore,6,"Mysore, Karnataka",,,,
83481065,2026-03-21T23:53:08.000Z,7700000,10267,₹,"12.317059,76.6058412",,,12850,1,3,South - East,,Mysore,3,"Mysore, Karnataka",750,,12800,
83161917,2026-03-25T23:31:30.000Z,9000000,7500,₹,"12.271638,76.713879",,,,,3,,,Mysore,3,"Mysore, Karnataka",1200,,12800,
80345311,2026-03-25T23:43:44.000Z,5400000,4337,₹,"12.2655758,76.6441591",,1245,,2,2,East,4,Mysore,2,"Mysore, Karnataka",1245,,12800,
82908607,2026-03-25T23:42:04.000Z,7239540,6779,₹,"12.305273,76.612646",,804,,1,2,North - East,3,Mysore,2,"Mysore, Karnataka",1068,,12800,
83653895,2026-03-25T23:31:09.000Z,12000000,6000,₹,"12.3052971,76.6831397",,,,1,4,North,,Mysore,3,"Mysore, Karnataka",2000,,12800,
82241037,2026-03-25T23:31:17.000Z,3980000,4975,₹,"12.25311,76.71413",,,12850,,1,East,,Mysore,2,"Mysore, Karnataka",800,,12800,
81312945,2026-03-25T23:46:32.000Z,10500000,,₹,"12.317059,76.6058412",,600,,3,1,North,,Mysore,2,"Mysore, Karnataka",,,,
81609577,2026-03-25T23:34:30.000Z,55000000,7857,₹,"12.304933,76.621422",,4500,,2,5,,,Mysore,4,"Mysore, Karnataka",7000,,12800,
83518147,2026-03-25T23:36:35.000Z,10500000,7000,₹,"12.302502,76.592142",,,12850,1,3,West,,Mysore,3,"Mysore, Karnataka",1500,,12800,
73875113,2026-03-18T21:30:35.000Z,10500000,8294,₹,"12.3052971,76.6831397",,,,2,2,East,10,Mysore,2,"Mysore, Karnataka",1266,,12800,
83272021,2026-03-21T23:35:17.000Z,32000000,12121,₹,"12.1203701,76.6757342",,,,,4,,7,Mysore,4,"Mysore, Karnataka",2640,,12800,
83887527,2026-03-21T06:30:03.000Z,2500000,3477,₹,"12.3507162536586,76.6018245686587",,,,,1,North,4,Mysore,2,"Mysore, Karnataka",719,,12800,
66706331,2026-02-20T21:31:13.000Z,23000000,9914,₹,"12.2888733,76.6340511",,,,,6,North,1,Mysore,5,"Mysore, Karnataka",2320,,12800,
