address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Pune, Maharashtra",3,1438,,,"18.537941505528,73.7969848127362",24511000,12887
"Pune, Maharashtra",3,965,,,"18.6615249843968,73.7287790957994",9909000,
"Pune, Maharashtra",3,1028,,13,"18.5768131896138,73.9780692718883",13602400000,9800000
"Pune, Maharashtra",2,843,,23,"18.5810936,73.771877",12000000,10909
"Pune, Maharashtra",3,1210,,,"18.5527185,73.9454065",13777000,
"Pune, Maharashtra",2,709,,22,"18.601732750311,73.7220719182405",6900000,6900
"Pune, Maharashtra",2,826,,17,"18.5527185,73.9454065",11500000,10000
"Pune, Maharashtra",3,1700,,12,"18.5527185,73.9454065",24200000,9680
"Pune, Maharashtra",2,613,,22,"18.601732750311,73.7220719182405",6320000,7524
"Pune, Maharashtra",3,1200,,11,"18.4575576340076,73.8049225876653",15100000,9338
"Pune, Maharashtra",2,,,4,"18.4703680763148,73.900162950668",7200000,7200
"Pune, Maharashtra",3,,,10,"18.4936093056155,73.9098701325955",12000000,8000
"Pune, Maharashtra",2,900,,22,"18.601732750311,73.7220719182405",8100000,7168
"Pune, Maharashtra",2,800,,7,"18.4703680763148,73.900162950668",7000000,7000
"Pune, Maharashtra",3,1330,,25,"18.601732750311,73.7220719182405",18000000,10411
"Pune, Maharashtra",3,870,,22,"18.601732750311,73.7220719182405",9400000,8034
"Pune, Maharashtra",3,1190,,14,"18.6325935815659,73.7344393940928",16500000,10763
"Pune, Maharashtra",2,,,4,,2100000,3684
"Pune, Maharashtra",2,704,,5,"18.443965,73.809382",3600000,5042
"Pune, Maharashtra",3,1100,,22,"18.5749227086363,73.779116871081",16500000,14348
"Pune, Maharashtra",3,1300,,,"18.470928,73.866976",20000000,13333
"Pune, Maharashtra",2,726,,9,"18.5810936,73.771877",10800000,9818
"Pune, Maharashtra",2,800,,11,"18.5469121,73.7564974",7200000,7200
"Pune, Maharashtra",2,,,12,"18.5810936,73.771877",12000000,13260
"Pune, Maharashtra",3,1350,,11,"18.470825437984,73.9158708957281",11000000,7020
"Pune, Maharashtra",2,886,,11,"18.601732750311,73.7220719182405",10500000,8772
