price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
,8500000,"11.6176367,78.5499367",3,Salem,4,"Salem, Tamil Nadu",
,9000000,"11.6228941,78.1421905",2,Salem,4,"Salem, Tamil Nadu",
11818,19500000,"11.6176367,78.5499367",3,Salem,,"Salem, Tamil Nadu",12850
17857,62500000,"11.679013,78.1572528",2,Salem,,"Salem, Tamil Nadu",
2912,6990000,,2,Salem,,"Salem, Tamil Nadu",
8500,23120000,"11.663327,78.1540126",2,Salem,,"Salem, Tamil Nadu",
3514,6500000,"11.6420339,78.141464",2,Salem,,"Salem, Tamil Nadu",
2000,5000000,"11.6420339,78.141464",2,Salem,,"Salem, Tamil Nadu",
2571,1800000,"11.6558929,78.403201",2,Salem,,"Salem, Tamil Nadu",12850
3871,6000000,"11.6653155,78.2144805",3,Salem,,"Salem, Tamil Nadu",12850
5556,5000000,"11.663363,78.17381",2,Salem,,"Salem, Tamil Nadu",
3000,2400000,"11.663363,78.17381",2,Salem,,"Salem, Tamil Nadu",
6545,14400000,"11.633897,78.1513461",3,Salem,,"Salem, Tamil Nadu",12850
,1100000,"11.633897,78.1513461",2,Salem,,"Salem, Tamil Nadu",
132500,5300000,"11.665103,78.1474425",2,Salem,,"Salem, Tamil Nadu",
3261,9000000,"11.796738,77.829379",3,Salem,2,"Salem, Tamil Nadu",
7983,7400000,"11.6498135,78.172668",2,Salem,2,"Salem, Tamil Nadu",
5875,4700000,"11.6984498,78.1891403",2,Salem,4,"Salem, Tamil Nadu",
3083,3700000,"11.566157,78.163546",2,Salem,,"Salem, Tamil Nadu",
,9500000,"11.6984498,78.1891403",3,Salem,2,"Salem, Tamil Nadu",
1250,1500000,"11.7527267,78.0464888",2,Salem,2,"Salem, Tamil Nadu",
5357,7500000,"11.674327,78.235031",2,Salem,,"Salem, Tamil Nadu",
7015,9000000,"11.6984498,78.1891403",3,Salem,,"Salem, Tamil Nadu",
11364,7500000,,3,Salem,,"Salem, Tamil Nadu",
7000,7000000,"11.657598,78.160639",2,Salem,3,"Salem, Tamil Nadu",
6390,4000000,"11.6741401,78.1189142",2,Salem,,"Salem, Tamil Nadu",
11066,5500000,"11.6537929,78.1876625",2,Salem,,"Salem, Tamil Nadu",
9231,3600000,"11.6537929,78.1876625",2,Salem,2,"Salem, Tamil Nadu",
5200,6500000,"11.6228941,78.1421905",3,Salem,1,"Salem, Tamil Nadu",
2034,9000000,"11.664325,78.1460142",2,Salem,,"Salem, Tamil Nadu",
6917,8300000,"11.66845,78.08897",3,Salem,1,"Salem, Tamil Nadu",
1500,1800000,"11.664325,78.1460142",2,Salem,1,"Salem, Tamil Nadu",
4699,10000000,"11.561387,78.163124",2,Salem,,"Salem, Tamil Nadu",12850
8197,9500000,"11.7083075,78.1613619",2,Salem,4,"Salem, Tamil Nadu",
8136,9600000,"11.685461,78.174827",2,Salem,,"Salem, Tamil Nadu",12850
2676,5200000,"11.6653155,78.2144805",2,Salem,1,"Salem, Tamil Nadu",
5357,7500000,"11.715888,78.1788165",2,Salem,,"Salem, Tamil Nadu",
6620,8600000,"11.679013,78.1572528",2,Salem,4,"Salem, Tamil Nadu",
4722,4500000,"11.635144,78.164111",2,Salem,5,"Salem, Tamil Nadu",
4699,10000000,"11.561387,78.163124",2,Salem,,"Salem, Tamil Nadu",12850
2778,2500000,"11.664325,78.1460142",2,Salem,1,"Salem, Tamil Nadu",12800
4556,8200000,,3,Salem,,"Salem, Tamil Nadu",
4538,5900000,,2,Salem,4,"Salem, Tamil Nadu",
6579,12500000,"11.6984498,78.1891403",3,Salem,1,"Salem, Tamil Nadu",
2917,3500000,"11.664325,78.1460142",2,Salem,,"Salem, Tamil Nadu",12850
5435,7500000,,2,Salem,,"Salem, Tamil Nadu",
4000,4000000,"11.6306435,78.1225834",2,Salem,,"Salem, Tamil Nadu",12850
5714,8000000,"11.655716,78.160616",2,Salem,,"Salem, Tamil Nadu",
3107,3200000,"11.664325,78.1460142",2,Salem,1,"Salem, Tamil Nadu",12800
4779,6500000,"11.8295378,78.2206392",2,Salem,,"Salem, Tamil Nadu",12850
6648,14000000,"11.664325,78.1460142",3,Salem,,"Salem, Tamil Nadu",12850
10000,19500000,"11.663363,78.17381",3,Salem,2,"Salem, Tamil Nadu",12850
5667,8500000,"11.715485,78.035041",2,Salem,1,"Salem, Tamil Nadu",
7500,6000000,"11.6537929,78.1876625",2,Salem,,"Salem, Tamil Nadu",
6400,16000000,"11.6984498,78.1891403",3,Salem,,"Salem, Tamil Nadu",
7292,35000000,"11.5568414,78.0100966",2,Salem,,"Salem, Tamil Nadu",
4152,4775000,"11.663021,78.080801",2,Salem,2,"Salem, Tamil Nadu",12850
4955,5500000,,2,Salem,,"Salem, Tamil Nadu",
6942,8400000,"11.6228941,78.1421905",2,Salem,1,"Salem, Tamil Nadu",
16000,40320000,"11.6718809,78.1436159",3,Salem,,"Salem, Tamil Nadu",
7090,9500000,"11.672747,78.185191",2,Salem,2,"Salem, Tamil Nadu",
14815,40000000,"11.689501,78.127722",3,Salem,,"Salem, Tamil Nadu",12850
5000,6000000,"11.67301976,78.07114367",2,Salem,,"Salem, Tamil Nadu",
,3500000,"11.6522783,78.1682002",2,Salem,,"Salem, Tamil Nadu",
5833,7000000,"11.8295378,78.2206392",2,Salem,,"Salem, Tamil Nadu",12850
15000,18000000,"12.605082,78.707938",2,Salem,,"Salem, Tamil Nadu",12850
,13500000,"11.6859779,78.1151852",2,Salem,,"Salem, Tamil Nadu",
5417,6500000,"11.67412,78.26839",2,Salem,,"Salem, Tamil Nadu",
8276,12000000,"11.8295378,78.2206392",2,Salem,2,"Salem, Tamil Nadu",
4568,10050000,,3,Salem,,"Salem, Tamil Nadu",
2333,2800000,"11.6228941,78.1421905",2,Salem,1,"Salem, Tamil Nadu",
,2500000,"11.7250885,78.0885794",2,Salem,1,"Salem, Tamil Nadu",
8669,15500000,"11.6734639,78.1422754",3,Salem,3,"Salem, Tamil Nadu",
5439,14500000,"11.674327,78.235031",2,Salem,,"Salem, Tamil Nadu",
13667,8200000,"11.6537929,78.1876625",2,Salem,,"Salem, Tamil Nadu",12850
2083,2500000,"11.7083075,78.1613619",2,Salem,1,"Salem, Tamil Nadu",
3611,6500000,"11.6929823,77.9707754",2,Salem,,"Salem, Tamil Nadu",
6524,18000000,,3,Salem,,"Salem, Tamil Nadu",
,7500000,,3,Salem,4,"Salem, Tamil Nadu",
3667,11000000,"11.663021,78.080801",2,Salem,3,"Salem, Tamil Nadu",
10006,19592000,"11.6718809,78.1436159",3,Salem,4,"Salem, Tamil Nadu",
6250,7500000,"11.68058927,78.11076711",2,Salem,5,"Salem, Tamil Nadu",
7870,7500000,"11.687868,78.1545405",2,Salem,2,"Salem, Tamil Nadu",
6522,7500000,"11.7083075,78.1613619",3,Salem,,"Salem, Tamil Nadu",
