price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
9000,13500000,"10.4002799,76.2450314",3,Thrissur,,"Thrissur, Kerala",
,5271000,"10.5160924,76.2365357",2,Thrissur,11,"Thrissur, Kerala",
3750,6000000,"10.503479,76.2109384",3,Thrissur,10,"Thrissur, Kerala",
4000,8000000,"10.5375185,76.2029237",3,Thrissur,3,"Thrissur, Kerala",
4930,5300000,"10.5377344,76.2012131",2,Thrissur,3,"Thrissur, Kerala",
6111,11000000,"10.5296207,76.2202321",3,Thrissur,,"Thrissur, Kerala",
,3850000,"10.5480175,76.2464405",3,Thrissur,,"Thrissur, Kerala",
9000,13500000,"10.527288,76.2440895",3,Thrissur,1,"Thrissur, Kerala",
,3800000,"10.590119,76.152871",2,Thrissur,1,"Thrissur, Kerala",
3500,5250000,"10.46252924221949,76.2392554398484",2,Thrissur,,"Thrissur, Kerala",12850
2724,3950000,"10.7292813,76.4187419",3,Thrissur,,"Thrissur, Kerala",
5909,6500000,"10.5260106,76.1921091",2,Thrissur,,"Thrissur, Kerala",12850
5435,20000000,"10.5377344,76.2012131",3,Thrissur,1,"Thrissur, Kerala",
6364,14000000,"10.5160924,76.2365357",3,Thrissur,,"Thrissur, Kerala",12850
,2650000,,2,Thrissur,3,"Thrissur, Kerala",
4500,4950000,"10.5759947,76.2099162",3,Thrissur,15,"Thrissur, Kerala",
4777,6000000,"10.5260106,76.1921091",3,Thrissur,2,"Thrissur, Kerala",
2941,3800000,"10.5296207,76.2202321",2,Thrissur,3,"Thrissur, Kerala",
583,3300000,"10.223765,76.197926",3,Thrissur,,"Thrissur, Kerala",
7436,12500000,"10.52986,76.198228",3,Thrissur,12,"Thrissur, Kerala",
3978,4400000,"10.5539107,76.2218334",2,Thrissur,2,"Thrissur, Kerala",
3413,4300000,"10.5279555,76.2058202",3,Thrissur,,"Thrissur, Kerala",
4400,4734400,"10.522962,76.222161",2,Thrissur,,"Thrissur, Kerala",
7706,8900000,"10.5539107,76.2218334",2,Thrissur,13,"Thrissur, Kerala",
3840,4800000,"10.5260106,76.1921091",3,Thrissur,3,"Thrissur, Kerala",
6875,5500000,"10.75072644,76.37921708",2,Thrissur,1,"Thrissur, Kerala",
