id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
83955053,2026-03-26T14:15:05.000Z,3600000,3000,₹,"10.79296136,78.74451035",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
83936605,2026-03-25T10:19:49.000Z,7800000,8884,₹,"10.8217507907057,78.687661935717",,800,,1,2,North,2,Trichy,2,"Trichy, Tamil Nadu",878,,12800,
83924163,2026-03-24T10:56:07.000Z,6400000,2510,₹,"10.6882981,78.7391187",,1000,12850,,3,,1,Trichy,2,"Trichy, Tamil Nadu",,,,
79849353,2026-03-25T23:38:31.000Z,9156000,2100,₹,"10.8750108,78.8159395",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
82766541,2026-03-25T23:39:12.000Z,38500000,10476,₹,"10.7934402,78.6746207",,,12850,,3,South - East,,Trichy,3,"Trichy, Tamil Nadu",3675,,12800,
83926707,2026-03-24T12:57:34.000Z,1330800,1109,₹,"10.80883,78.62455",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
83419993,2026-03-25T23:47:47.000Z,2160000,1800,₹,"10.83697,78.66797",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
73279455,2026-03-25T03:50:04.000Z,4800000,4000,₹,"10.7930906,78.652457",,855,,,2,North,,Trichy,2,"Trichy, Tamil Nadu",1200,,12800,
83951185,2026-03-26T10:22:35.000Z,570000,475,₹,"10.866199,78.639583",SM Constructions,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
64259319,2026-03-23T06:34:15.000Z,4500000,2338,₹,,,,,,2,,1,Trichy,2,"Trichy, Tamil Nadu",1925,,12800,
82540455,2026-03-21T23:34:10.000Z,1558800,1299,₹,"10.829778,78.666665",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
83654157,2026-03-19T23:31:10.000Z,1300000,2760,₹,"10.879384,78.702319",,,,1,1,,2,Trichy,1,"Trichy, Tamil Nadu",471,,12800,
83499965,2026-03-19T23:31:11.000Z,450000,750,₹,"10.8191591,78.6925484",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
83588077,2026-03-19T23:35:08.000Z,4200000,3500,₹,"10.822752,78.652927",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
73173713,2026-03-21T16:41:44.000Z,5900000,4917,₹,"10.815,78.6576",,950,,1,2,South,1,Trichy,2,"Trichy, Tamil Nadu",1200,,12800,
81848299,2026-03-22T23:33:40.000Z,3000000,1250,₹,"10.8996788,78.7442374",,,12850,,,South,,Trichy,,"Trichy, Tamil Nadu",,,,
74261903,2026-03-23T16:56:44.000Z,1018800,849,₹,"10.7489771,78.6472392",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
68626489,2026-03-20T16:12:16.000Z,2000000,1667,₹,,,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
83319489,2026-03-19T22:30:44.000Z,340000,31,₹,"10.7489771,78.6472392",,,12800,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
81685739,2026-03-16T23:36:04.000Z,2200000,1833,₹,"10.7489771,78.6472392",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
83328063,2026-03-23T23:39:59.000Z,1612000,2000,₹,"10.703275,78.62017",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
81670559,2026-03-11T23:31:41.000Z,1440000,2400,₹,"10.7489771,78.6472392",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
83192057,2026-03-11T23:39:08.000Z,13500000,10143,₹,"10.856607,78.697215",,1210,,1,3,,3,Trichy,3,"Trichy, Tamil Nadu",1331,,12800,
78169189,2026-03-17T21:32:35.000Z,11400000,3800,₹,,,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
76072069,2026-03-24T02:49:13.000Z,8816000,3800,₹,"10.7574385,78.6910413",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
67771313,2026-03-24T11:42:41.000Z,1960000,980,₹,"10.843316,78.646736",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
67772083,2026-03-24T11:59:34.000Z,1600000,667,₹,"10.806473,78.633248",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
60612683,2026-03-13T22:30:38.000Z,2880000,1200,₹,"10.854743,78.667577",,,12850,,,South,,Trichy,,"Trichy, Tamil Nadu",,,,
81355077,2026-03-16T23:31:14.000Z,8000000,5926,₹,"10.783143,78.676025",,1350,,2,3,West,3,Trichy,2,"Trichy, Tamil Nadu",1350,,12800,
