address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Vadodara, Gujarat",3,,,5,"22.2754108,73.1538839",3000000,2182
"Vadodara, Gujarat",3,1018,,7,"22.31353872,73.12848093",5250000,3127
"Vadodara, Gujarat",3,,,2,"22.3002320490991,73.2379467703341",7900000,6116
"Vadodara, Gujarat",3,1260,,14,"22.298276,73.133336",8200000,3710
"Vadodara, Gujarat",3,,,7,"22.2834525,73.1277473",6500000,6500
"Vadodara, Gujarat",3,1200,,,"22.3140477460972,73.1432756484381",7000000,
"Vadodara, Gujarat",3,1500,,9,"22.2960225,73.1688878",10500000,4516
"Vadodara, Gujarat",2,600,,7,"22.2583667,73.208709",3499000,5383
"Vadodara, Gujarat",3,,,9,"22.310543,73.1651125",7500000,4412
"Vadodara, Gujarat",3,1500,,,"22.3002320490991,73.2379467703341",6751000,7942
"Vadodara, Gujarat",2,898,,13,"22.2811984,73.1924864",2700000,
"Vadodara, Gujarat",2,,,8,"22.2754108,73.1538839",3100000,3875
"Vadodara, Gujarat",3,,,5,"22.2451575,73.0772294",13500000,4180
"Vadodara, Gujarat",2,,,8,"22.298276,73.133336",3900000,4333
"Vadodara, Gujarat",3,,,7,"22.2847421,73.1238962",5100000,3400
"Vadodara, Gujarat",3,,,1,"22.2847421,73.1238962",5800000,2549
"Vadodara, Gujarat",3,950,,5,"22.2834525,73.1277473",4500000,4286
"Vadodara, Gujarat",3,,,6,"22.2847421,73.1238962",9200000,3544
"Vadodara, Gujarat",2,620,,5,"22.2847421,73.1238962",2800000,2800
"Vadodara, Gujarat",3,,,9,"22.3092,73.1848",6500000,3812
"Vadodara, Gujarat",2,,,4,"22.2811984,73.1924864",3500000,3182
"Vadodara, Gujarat",2,770,,4,"22.2578448,73.1017659",2100000,1909
"Vadodara, Gujarat",2,750,,4,"22.3201,73.2066",4500000,4091
"Vadodara, Gujarat",3,1200,,4,"22.3139759,73.1747877",8500000,4048
"Vadodara, Gujarat",3,,,,"22.3074961145886,73.2331666740289",13000000,8667
"Vadodara, Gujarat",3,774,,5,"22.2754108,73.1538839",3800000,2923
"Vadodara, Gujarat",2,760,,4,"22.2754108,73.1538839",2700000,2571
"Vadodara, Gujarat",3,900,,7,"22.3002320490991,73.2379467703341",3700000,
"Vadodara, Gujarat",2,770,,5,"22.4778594,73.1934619",3300000,4231
"Vadodara, Gujarat",3,,,12,"22.3074961145886,73.2331666740289",4400000,2839
"Vadodara, Gujarat",2,1148,,1,"22.3074961145886,73.2331666740289",3000000,2613
"Vadodara, Gujarat",3,1620,,,"22.3159397,73.1593002",12500000,
"Vadodara, Gujarat",2,850,,10,"22.2847421,73.1238962",3800000,3167
"Vadodara, Gujarat",2,735,,4,"22.3466921,73.1669261",3551000,3411
"Vadodara, Gujarat",3,3100,,,"22.3002320490991,73.2379467703341",20000000,6410
"Vadodara, Gujarat",2,,,9,"22.3270938,73.1895367",2700000,3140
"Vadodara, Gujarat",3,,,9,"22.3025689,73.396925",4200000,4468
"Vadodara, Gujarat",3,,,4,"22.3074961145886,73.2331666740289",6500000,3446
"Vadodara, Gujarat",3,1100,,,"22.2946904,73.1541585",7000000,5385
"Vadodara, Gujarat",3,983,,7,"22.2847421,73.1238962",4800000,4424
"Vadodara, Gujarat",2,650,,5,"22.3156579,73.2247725",4000000,
"Vadodara, Gujarat",3,1186,,11,"22.3143858,73.1379109",7851000,3739
"Vadodara, Gujarat",2,,,5,"22.3572269,73.2013352",3350000,4467
"Vadodara, Gujarat",2,650,,5,"22.2834525,73.1277473",2700000,2647
"Vadodara, Gujarat",3,373,,,"22.2946065,73.2168198",9000000,4082
"Vadodara, Gujarat",2,700,,4,"22.2834525,73.1277473",3100000,3875
"Vadodara, Gujarat",3,,,12,"22.2834525,73.1277473",8700000,4971
"Vadodara, Gujarat",2,925,,4,"22.3070449,73.158014",2700000,
"Vadodara, Gujarat",2,1000,,9,"22.2847421,73.1238962",2900000,2071
"Vadodara, Gujarat",3,,,3,"22.3368153574383,73.1930209139836",5560000,4728
"Vadodara, Gujarat",2,980,,5,"22.3224879,73.2281019",4600000,3594
"Vadodara, Gujarat",2,750,,5,"22.3002320490991,73.2379467703341",3500000,
"Vadodara, Gujarat",3,950,,7,"22.2754108,73.1538839",4600000,3680
"Vadodara, Gujarat",3,1200,,9,"22.3579522,73.1674128",7800000,4225
"Vadodara, Gujarat",3,2010,,,"22.3074961145886,73.2331666740289",6500000,3095
"Vadodara, Gujarat",2,600,,2,"22.2960225,73.1688878",2500000,
"Vadodara, Gujarat",2,,,5,"22.2946904,73.1541585",2800000,2667
"Vadodara, Gujarat",2,826,,9,"22.3143858,73.1379109",3300000,2750
"Vadodara, Gujarat",2,1070,,4,"22.3368153574383,73.1930209139836",5060000,
"Vadodara, Gujarat",2,780,,5,"22.3579522,73.1674128",3650000,4056
"Vadodara, Gujarat",3,814,,5,"22.2801525719345,73.2254047657751",5400000,3724
"Vadodara, Gujarat",2,675,,4,,2400000,2133
"Vadodara, Gujarat",2,679,,8,"22.2754108,73.1538839",3750000,3788
"Vadodara, Gujarat",3,,,4,"22.3092684,73.1714264",8200000,6833
"Vadodara, Gujarat",3,,,8,"22.2754108,73.1538839",7500000,4076
"Vadodara, Gujarat",3,1100,,5,"22.345112,73.192073",5200000,3077
"Vadodara, Gujarat",2,610,,9,"22.3140477460972,73.1432756484381",2500000,2941
"Vadodara, Gujarat",2,850,,4,"22.2583667,73.208709",3200000,3048
