city_name,bathrooms,address,carpet_area,floors,price,price_per_sq_ft
Kottayam,2,"Kottayam, Kerala",,,12600000,10500
Kottayam,3,"Kottayam, Kerala",,,6000000,4615
Kottayam,4,"Kottayam, Kerala",9000,,7000000,7000
Kottayam,3,"Kottayam, Kerala",1000,2,6500000,6500
Kottayam,2,"Kottayam, Kerala",,20,6100000,5033
Kottayam,2,"Kottayam, Kerala",,14,4700000,3629
Kottayam,1,"Kottayam, Kerala",1100,,2700000,
Kottayam,2,"Kottayam, Kerala",,15,5500000,3929
Kottayam,2,"Kottayam, Kerala",619,19,5900000,6257
Kottayam,,"Kottayam, Kerala",,,1200000,1765
Kottayam,2,"Kottayam, Kerala",,,5000000,4545
Kottayam,2,"Kottayam, Kerala",,1,5700000,4385
Kottayam,1,"Kottayam, Kerala",1200,1,5000000,4167
Kottayam,2,"Kottayam, Kerala",1200,,4300000,
Kottayam,2,"Kottayam, Kerala",344,6,2000000,
Kottayam,3,"Kottayam, Kerala",1750,1,11000000,
Kottayam,2,"Kottayam, Kerala",100,1,7000000,
Kottayam,3,"Kottayam, Kerala",,19,9200000,5627
Kottayam,3,"Kottayam, Kerala",,,7500000,2344
Kottayam,2,"Kottayam, Kerala",850,3,3000000,2727
Kottayam,3,"Kottayam, Kerala",,3,8500000,4250
Kottayam,4,"Kottayam, Kerala",1350,9,4800000,3265
Kottayam,2,"Kottayam, Kerala",,18,6900000,5100
Kottayam,2,"Kottayam, Kerala",,3,3700000,3700
Kottayam,3,"Kottayam, Kerala",,18,8200000,4982
Kottayam,2,"Kottayam, Kerala",,,7500000,5850
Kottayam,3,"Kottayam, Kerala",,,7100000,3087
Kottayam,3,"Kottayam, Kerala",,1,4000000,2667
Kottayam,3,"Kottayam, Kerala",,15,9000000,5867
Kottayam,2,"Kottayam, Kerala",,15,7600000,5851
Kottayam,3,"Kottayam, Kerala",4000,,8000000,
Kottayam,4,"Kottayam, Kerala",,,20000000,8000
Kottayam,2,"Kottayam, Kerala",1300,,4500000,1500
Kottayam,3,"Kottayam, Kerala",,12,8200000,5655
Kottayam,3,"Kottayam, Kerala",,,7500000,3750
Kottayam,3,"Kottayam, Kerala",,1,80000000,16000
Kottayam,2,"Kottayam, Kerala",,1,4000000,4000
Kottayam,2,"Kottayam, Kerala",1218,3,4100000,3700
Kottayam,2,"Kottayam, Kerala",,,5900000,4214
Kottayam,3,"Kottayam, Kerala",1661,17,8000000,4816
Kottayam,3,"Kottayam, Kerala",1365,10,9780000,5589
Kottayam,2,"Kottayam, Kerala",,1,7500000,4412
Kottayam,2,"Kottayam, Kerala",,1,41000000,314
Kottayam,2,"Kottayam, Kerala",,,4000000,5000
Kottayam,3,"Kottayam, Kerala",1763,9,12700000,7204
Kottayam,3,"Kottayam, Kerala",,13,6500000,3591
Kottayam,3,"Kottayam, Kerala",,2,5400000,3600
Kottayam,2,"Kottayam, Kerala",,1,4500000,3000
Kottayam,3,"Kottayam, Kerala",,,6500000,3824
Kottayam,3,"Kottayam, Kerala",,9,10000000,6017
Kottayam,3,"Kottayam, Kerala",,18,7200000,4571
Kottayam,2,"Kottayam, Kerala",,1,17500000,8750
Kottayam,2,"Kottayam, Kerala",,1,3000000,2857
Kottayam,3,"Kottayam, Kerala",,1,6500000,1658
Kottayam,2,"Kottayam, Kerala",,,4300000,3909
Kottayam,3,"Kottayam, Kerala",,,8500000,4250
Kottayam,3,"Kottayam, Kerala",1700,15,7000000,
Kottayam,2,"Kottayam, Kerala",1300,1,6500000,5000
Kottayam,1,"Kottayam, Kerala",36,1,12500000,797
Kottayam,2,"Kottayam, Kerala",18730,1,9500000,4362
Kottayam,3,"Kottayam, Kerala",,,15000000,6000
Kottayam,2,"Kottayam, Kerala",,1,17600000,8800
Kottayam,2,"Kottayam, Kerala",800,1,2500000,
Kottayam,2,"Kottayam, Kerala",1500,,250000,
Kottayam,3,"Kottayam, Kerala",1500,2,6500000,4062
Kottayam,4,"Kottayam, Kerala",,2,20000000,21053
Kottayam,2,"Kottayam, Kerala",,11,5200000,5652
Kottayam,2,"Kottayam, Kerala",,,1900000,436
Kottayam,4,"Kottayam, Kerala",,,6000000,4286
Kottayam,1,"Kottayam, Kerala",850,,2500000,2000
Kottayam,3,"Kottayam, Kerala",1625,2,6500000,3291
Kottayam,2,"Kottayam, Kerala",,,600000,300
Kottayam,3,"Kottayam, Kerala",,1,6000000,4000
Kottayam,2,"Kottayam, Kerala",,1,6500000,3611
Kottayam,2,"Kottayam, Kerala",,,6000000,4000
Kottayam,3,"Kottayam, Kerala",1100,,8500000,7083
Kottayam,2,"Kottayam, Kerala",,1,3600000,3600
Kottayam,2,"Kottayam, Kerala",778,11,5500000,7069
Kottayam,1,"Kottayam, Kerala",,1,10250000,574
Kottayam,2,"Kottayam, Kerala",700,5,4500000,5068
Kottayam,2,"Kottayam, Kerala",900,1,3400000,3778
Kottayam,3,"Kottayam, Kerala",,2,6900000,3450
Kottayam,2,"Kottayam, Kerala",1000,12,6300000,5198
Kottayam,3,"Kottayam, Kerala",12,,4300000,3308
Kottayam,1,"Kottayam, Kerala",,,3000000,275
Kottayam,2,"Kottayam, Kerala",1100,,6000000,5455
Kottayam,2,"Kottayam, Kerala",,,5000000,3333
Kottayam,2,"Kottayam, Kerala",1450,1,5600000,3500
Kottayam,3,"Kottayam, Kerala",,6,5000000,3333
Kottayam,2,"Kottayam, Kerala",,,2100000,482
Kottayam,3,"Kottayam, Kerala",,5,6000000,4170
Kottayam,2,"Kottayam, Kerala",,13,5250000,4981
Kottayam,,"Kottayam, Kerala",,,5700000,4071
Kottayam,3,"Kottayam, Kerala",2000,,7000000,1556
Kottayam,2,"Kottayam, Kerala",,11,5200000,3746
Kottayam,3,"Kottayam, Kerala",,14,10000000,5333
Kottayam,3,"Kottayam, Kerala",,,8400000,4941
Kottayam,2,"Kottayam, Kerala",1400,1,4800000,3429
Kottayam,3,"Kottayam, Kerala",,18,9500000,5278
Kottayam,3,"Kottayam, Kerala",,19,8900000,5443
Kottayam,2,"Kottayam, Kerala",,,4300000,3583
Kottayam,2,"Kottayam, Kerala",,,,
Kottayam,3,"Kottayam, Kerala",,,6000000,4615
Kottayam,2,"Kottayam, Kerala",,13,5600000,5313
Kottayam,4,"Kottayam, Kerala",,19,13700000,7165
