price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
3487,4700000,"21.5068606,81.6837359",3,Raipur,6,"Raipur, Chhattisgarh",
2571,2700000,"21.27484,81.6524486",2,Raipur,6,"Raipur, Chhattisgarh",
3972,9100000,"21.2526895,81.667884",3,Raipur,6,"Raipur, Chhattisgarh",
5000,10500000,"21.224012,81.621374",3,Raipur,,"Raipur, Chhattisgarh",
7860,16900000,"20.98424598,81.62506286",3,Raipur,,"Raipur, Chhattisgarh",
2728,2600000,"21.2229188,81.669897",2,Raipur,6,"Raipur, Chhattisgarh",
5222,14000000,"21.0014872,81.6418656",3,Raipur,10,"Raipur, Chhattisgarh",
3541,3700000,"21.2882699,81.680928",2,Raipur,6,"Raipur, Chhattisgarh",
833,750000,"21.16170053,81.78662117",2,Raipur,1,"Raipur, Chhattisgarh",
3262,3310999,"21.205495,81.686105",2,Raipur,9,"Raipur, Chhattisgarh",
3111,2800000,"21.2526895,81.667884",2,Raipur,6,"Raipur, Chhattisgarh",
3352,5699000,,3,Raipur,,"Raipur, Chhattisgarh",
3220,3800000,"21.25979,81.58558",2,Raipur,6,"Raipur, Chhattisgarh",
1773,1950000,"21.2882699,81.680928",2,Raipur,6,"Raipur, Chhattisgarh",
3750,4230000,"21.218964,81.661214",2,Raipur,6,"Raipur, Chhattisgarh",
2812,4500000,"21.2526895,81.667884",3,Raipur,5,"Raipur, Chhattisgarh",
2750,3300000,"21.2882699,81.680928",2,Raipur,6,"Raipur, Chhattisgarh",
3406,2800000,,2,Raipur,4,"Raipur, Chhattisgarh",
6000,10500000,"21.2593747,81.5800417",3,Raipur,,"Raipur, Chhattisgarh",
5000,7000000,"21.2229188,81.669897",3,Raipur,,"Raipur, Chhattisgarh",
,2500000,"21.5068606,81.6837359",2,Raipur,4,"Raipur, Chhattisgarh",
4615,3000000,"21.247149,81.615838",2,Raipur,,"Raipur, Chhattisgarh",
2778,2500000,"21.698621,82.626858",2,Raipur,,"Raipur, Chhattisgarh",
5842,8500000,"21.1925845,81.6608447",3,Raipur,2,"Raipur, Chhattisgarh",
5000,4000000,"21.2431871,81.6792091",2,Raipur,,"Raipur, Chhattisgarh",
,5600000,"21.2431871,81.6792091",2,Raipur,,"Raipur, Chhattisgarh",
3535,4200000,"21.2431871,81.6792091",2,Raipur,,"Raipur, Chhattisgarh",
4267,3200000,"21.263189,81.583403",2,Raipur,,"Raipur, Chhattisgarh",
,4200000,"21.233215,81.684906",2,Raipur,3,"Raipur, Chhattisgarh",
5263,7500000,"21.233252,81.608946",2,Raipur,,"Raipur, Chhattisgarh",
4762,6500000,"21.235944,81.6025221",2,Raipur,,"Raipur, Chhattisgarh",
2903,4500000,"21.235944,81.6025221",3,Raipur,,"Raipur, Chhattisgarh",
3750,7500000,"21.235944,81.6025221",3,Raipur,,"Raipur, Chhattisgarh",
6833,8200000,"21.235944,81.6025221",3,Raipur,,"Raipur, Chhattisgarh",12850
3750,6000000,"21.254696,81.6468232",3,Raipur,,"Raipur, Chhattisgarh",
,6500000,"21.23574,81.599041",2,Raipur,,"Raipur, Chhattisgarh",
9375,7500000,"21.23574,81.599041",3,Raipur,,"Raipur, Chhattisgarh",
6250,1500000,"21.263189,81.583403",2,Raipur,,"Raipur, Chhattisgarh",
3000,3000000,"21.263189,81.583403",2,Raipur,,"Raipur, Chhattisgarh",
4167,4500000,"21.2374058,81.6442937",2,Raipur,,"Raipur, Chhattisgarh",
2741,2900000,"21.357893,81.61302",2,Raipur,,"Raipur, Chhattisgarh",
,2000000,"21.207469,81.580108",2,Raipur,3,"Raipur, Chhattisgarh",
3976,4135000,,2,Raipur,8,"Raipur, Chhattisgarh",
3733,2800000,"21.2369771,81.6343323",2,Raipur,,"Raipur, Chhattisgarh",
4667,3500000,,3,Raipur,,"Raipur, Chhattisgarh",
2503,2100000,"21.14203,81.78527",2,Raipur,,"Raipur, Chhattisgarh",
3294,2800000,,2,Raipur,,"Raipur, Chhattisgarh",
2947,2800000,"21.14203,81.78527",2,Raipur,,"Raipur, Chhattisgarh",
2320,2800000,"21.14203,81.78527",3,Raipur,,"Raipur, Chhattisgarh",
2069,1800000,"21.2600258,81.6598428",2,Raipur,4,"Raipur, Chhattisgarh",
,3600000,"21.5068606,81.6837359",2,Raipur,,"Raipur, Chhattisgarh",
4000,6000000,"21.1925845,81.6608447",3,Raipur,2,"Raipur, Chhattisgarh",
2000,7200000,"21.2619056,81.6190733",3,Raipur,,"Raipur, Chhattisgarh",
2500,2200000,,2,Raipur,1,"Raipur, Chhattisgarh",12850
5100,5100000,"21.5068606,81.6837359",2,Raipur,,"Raipur, Chhattisgarh",
4545,2500000,"21.265495,81.648188",2,Raipur,3,"Raipur, Chhattisgarh",
3000,2400000,"21.698621,82.626858",2,Raipur,1,"Raipur, Chhattisgarh",12850
2484,4000000,"21.2755728197311,81.6924395742247",3,Raipur,2,"Raipur, Chhattisgarh",12850
3818,3600000,"21.140609,81.785506",2,Raipur,8,"Raipur, Chhattisgarh",
3321,5995000,"21.5068606,81.6837359",3,Raipur,9,"Raipur, Chhattisgarh",
2250,2250000,"21.2268675,81.6629787",2,Raipur,4,"Raipur, Chhattisgarh",
2478,2800000,"21.2229188,81.669897",2,Raipur,,"Raipur, Chhattisgarh",12850
7957,7400000,"21.2434932,81.6688064",2,Raipur,,"Raipur, Chhattisgarh",12850
4560,5700000,"21.243718,81.570545",3,Raipur,2,"Raipur, Chhattisgarh",
4091,4500000,"21.215232,81.6233915",2,Raipur,,"Raipur, Chhattisgarh",
4087,3650000,"21.140609,81.785506",2,Raipur,8,"Raipur, Chhattisgarh",
3286,2300000,"21.140609,81.785506",2,Raipur,6,"Raipur, Chhattisgarh",
4612,8500000,"21.2755728197311,81.6924395742247",3,Raipur,9,"Raipur, Chhattisgarh",
8333,12500000,"21.21058,81.65438",2,Raipur,,"Raipur, Chhattisgarh",
2213,1600000,"21.205495,81.686105",2,Raipur,6,"Raipur, Chhattisgarh",
2857,3000000,"21.2593747,81.5800417",2,Raipur,6,"Raipur, Chhattisgarh",
2581,4000000,"21.207469,81.580108",3,Raipur,2,"Raipur, Chhattisgarh",
2500,5000000,"21.215232,81.6233915",3,Raipur,,"Raipur, Chhattisgarh",
2727,2400000,"21.2593747,81.5800417",2,Raipur,1,"Raipur, Chhattisgarh",
,2600000,,2,Raipur,5,"Raipur, Chhattisgarh",
3667,2200000,"21.2556078,81.6380597",2,Raipur,4,"Raipur, Chhattisgarh",
2174,2500000,"21.2882699,81.680928",2,Raipur,7,"Raipur, Chhattisgarh",
2000,2600000,"21.2116601099173,81.6644951930779",3,Raipur,,"Raipur, Chhattisgarh",
2550,2550000,"21.357893,81.61302",2,Raipur,,"Raipur, Chhattisgarh",
4365,5500000,"21.213106,81.632449",3,Raipur,,"Raipur, Chhattisgarh",
4455,9800000,"21.165659,81.674626",2,Raipur,1,"Raipur, Chhattisgarh",
2842,2600000,"21.22011,81.597359",2,Raipur,,"Raipur, Chhattisgarh",
5285,5200000,"21.2700203,81.6592787",2,Raipur,6,"Raipur, Chhattisgarh",
5600,4200000,"21.2700203,81.6592787",2,Raipur,,"Raipur, Chhattisgarh",
1444,1300000,"21.05628,81.74521",2,Raipur,,"Raipur, Chhattisgarh",
2917,3500000,"21.2317391,81.5924182",2,Raipur,6,"Raipur, Chhattisgarh",
1615,2200000,"21.140609,81.785506",3,Raipur,6,"Raipur, Chhattisgarh",12850
5000,6000000,"21.2744084,81.6238261",2,Raipur,,"Raipur, Chhattisgarh",
6667,80000000,,3,Raipur,3,"Raipur, Chhattisgarh",
2500,3800000,,3,Raipur,,"Raipur, Chhattisgarh",12850
1818,900000,,2,Raipur,3,"Raipur, Chhattisgarh",
2917,7000000,"21.9641814,80.9091022",2,Raipur,,"Raipur, Chhattisgarh",
2857,3500000,,2,Raipur,6,"Raipur, Chhattisgarh",
2133,3200000,"21.659072,82.15082",2,Raipur,,"Raipur, Chhattisgarh",
3562,5500000,"21.2268675,81.6629787",3,Raipur,,"Raipur, Chhattisgarh",
5500,5500000,"21.235206,81.652123",2,Raipur,,"Raipur, Chhattisgarh",
1569,1621000,"21.198168,81.965587",2,Raipur,,"Raipur, Chhattisgarh",
3733,2800000,"21.2313748,81.645841",3,Raipur,2,"Raipur, Chhattisgarh",
2100,2205000,"21.2755728197311,81.6924395742247",3,Raipur,,"Raipur, Chhattisgarh",12850
4000,4000000,"21.2313748,81.645841",3,Raipur,,"Raipur, Chhattisgarh",
3062,3200000,"21.5068606,81.6837359",2,Raipur,6,"Raipur, Chhattisgarh",
2917,3500000,"21.215232,81.6233915",2,Raipur,,"Raipur, Chhattisgarh",
2616,2250000,"21.210877,81.645558",2,Raipur,4,"Raipur, Chhattisgarh",
2881,3500000,"21.140609,81.785506",3,Raipur,6,"Raipur, Chhattisgarh",
6615,4300000,"21.224012,81.621374",3,Raipur,2,"Raipur, Chhattisgarh",
5747,12500000,"21.238356,81.590178",3,Raipur,2,"Raipur, Chhattisgarh",
3056,5500000,"21.238356,81.590178",3,Raipur,6,"Raipur, Chhattisgarh",
2250,1800000,"21.207469,81.580108",2,Raipur,3,"Raipur, Chhattisgarh",
3226,2000000,"21.205495,81.686105",2,Raipur,6,"Raipur, Chhattisgarh",
,7500000,"21.2434932,81.6688064",3,Raipur,1,"Raipur, Chhattisgarh",
2244,3500000,"21.205495,81.686105",3,Raipur,10,"Raipur, Chhattisgarh",
2994,2500000,"21.25979,81.58558",2,Raipur,6,"Raipur, Chhattisgarh",
1882,1600000,"21.3044354,81.6377566",2,Raipur,1,"Raipur, Chhattisgarh",
6875,16500000,"21.2667165,81.5953805",3,Raipur,,"Raipur, Chhattisgarh",12850
4500,3600000,"21.2744084,81.6238261",2,Raipur,,"Raipur, Chhattisgarh",12850
3889,2800000,"21.2609629878303,81.5885235897971",2,Raipur,10,"Raipur, Chhattisgarh",
3167,3800000,"21.1998454,81.6665669",2,Raipur,,"Raipur, Chhattisgarh",
3750,3000000,"21.2609629878303,81.5885235897971",2,Raipur,11,"Raipur, Chhattisgarh",
10119,8500000,"21.2882699,81.680928",2,Raipur,,"Raipur, Chhattisgarh",
3623,5000000,,2,Raipur,6,"Raipur, Chhattisgarh",
5000,4000000,"21.2434932,81.6688064",2,Raipur,1,"Raipur, Chhattisgarh",
4815,6500000,"21.235206,81.652123",3,Raipur,3,"Raipur, Chhattisgarh",
4486,8300000,"21.2744084,81.6238261",2,Raipur,1,"Raipur, Chhattisgarh",
6960,9500000,"21.23448,81.638007",2,Raipur,1,"Raipur, Chhattisgarh",
3691,5500000,"21.2593747,81.5800417",3,Raipur,7,"Raipur, Chhattisgarh",
4000,6000000,"21.20659,81.688776",3,Raipur,,"Raipur, Chhattisgarh",12850
2778,2000000,"21.2116601099173,81.6644951930779",2,Raipur,7,"Raipur, Chhattisgarh",
2288,2700000,"21.207469,81.580108",3,Raipur,3,"Raipur, Chhattisgarh",
3360,4200000,"21.5068606,81.6837359",3,Raipur,,"Raipur, Chhattisgarh",
3669,4450000,"21.140609,81.785506",3,Raipur,,"Raipur, Chhattisgarh",
