City,avg_fuel_price,uber_price_per_km,doctor_fee,grocery_price,housing_price,restaurant_price,movie_ticket_price,electricity_rate,housing_index,grocery_index,transport_index,healthcare_index,electricity_index,restaurant_index,movie_index,cost_of_living_index
Mumbai,96.75,44.07407407,1350.0,49.5,23619.0,150.0,600.0,8.5,230.85719870980355,117.85714285714286,220.37037035,135.0,212.5,120.0,153.84615384615387,171.34
Bengaluru,96.94,43.25581395,750.0,36.0,11029.0,125.0,335.0,7.0,107.79982406411885,85.71428571428571,216.27906974999996,75.0,175.0,100.0,85.8974358974359,110.89
Kozhikode,100.26,33.04347826,500.0,56.0,5982.0,115.0,180.0,6.5,58.46935783403382,133.33333333333331,165.2173913,50.0,162.5,92.0,46.15384615384615,104.08
Hyderabad,101.57,48.46153846,600.0,35.0,7260.0,150.0,295.0,6.5,70.96080539536702,83.33333333333334,242.30769229999999,60.0,162.5,120.0,75.64102564102564,100.48
Delhi,91.25999999999999,20.0,1000.0,42.0,10231.0,125.0,390.0,4.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Pune,97.07,32.72727273,700.0,47.0,4550.0,150.0,360.0,7.5,44.47268106734435,111.90476190476191,163.63636365,70.0,187.5,120.0,92.3076923076923,95.72
Ahmedabad,92.315,28.68421053,1000.0,45.0,5059.0,125.0,280.0,5.2,49.44775681751539,107.14285714285714,143.42105265,100.0,130.0,100.0,71.7948717948718,91.85
Jaipur,97.46,25.41666667,500.0,55.0,3579.0,100.0,300.0,7.0,34.981917701104486,130.95238095238096,127.08333335000002,50.0,175.0,80.0,76.92307692307693,91.61
Chennai,96.58500000000001,28.41269841,700.0,50.0,4550.0,125.0,152.5,4.5,44.47268106734435,119.04761904761905,142.06349205,70.0,112.5,100.0,39.1025641025641,91.36
Patna,98.655,49.62962963,400.0,34.5,5500.0,125.0,285.0,4.0,53.75818590558108,82.14285714285714,248.14814815,40.0,100.0,100.0,73.07692307692307,90.68
Bhopal,99.195,12.0,500.0,57.0,4550.0,125.0,260.0,6.5,44.47268106734435,135.71428571428572,60.0,50.0,162.5,100.0,66.66666666666666,89.13
Kolkata,98.4,36.48648649,1000.0,39.0,4550.0,100.0,310.0,5.5,44.47268106734435,92.85714285714286,182.43243245,100.0,137.5,80.0,79.48717948717949,88.62
Mysuru,96.505,12.17391304,500.0,47.0,6839.0,150.0,220.0,7.0,66.84586061968527,111.90476190476191,60.8695652,50.0,175.0,120.0,56.41025641025641,88.44
Jabalpur,99.23,18.92857143,300.0,54.0,3900.0,125.0,200.0,6.5,38.11944091486658,128.57142857142858,94.64285715,30.0,162.5,100.0,51.28205128205128,86.63
