city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Agra,,2.0,,4264000,3400.0
Agra,10.0,2.0,,3000000,3593.0
Agra,,3.0,,16000000,12346.0
Agra,3.0,3.0,1245.0,12000000,8922.0
Agra,50.0,2.0,750.0,2500000,2941.0
Agra,9.0,3.0,,8500000,5152.0
Agra,2.0,2.0,1685.0,7200000,4000.0
Agra,,1.0,172.0,26000000,
Agra,11.0,3.0,,9000000,4918.0
Agra,3.0,2.0,1700.0,17000000,8500.0
Agra,,3.0,800.0,2700000,3176.0
Agra,7.0,3.0,1500.0,12000000,8000.0
Agra,3.0,3.0,1500.0,6500000,3714.0
Agra,1.0,2.0,1100.0,4200000,3509.0
Agra,3.0,2.0,1045.0,4500000,3480.0
Agra,,3.0,2100.0,11700000,8966.0
Agra,4.0,2.0,1600.0,5000000,3268.0
Agra,14.0,2.0,,5500000,6111.0
Agra,2.0,3.0,2047.0,6877920,3360.0
Agra,8.0,3.0,1035.0,12500000,11405.0
Agra,14.0,2.0,750.0,4800000,5333.0
Agra,2.0,3.0,1200.0,10500000,10500.0
Agra,2.0,2.0,895.0,6000000,6704.0
Agra,12.0,3.0,,9500000,5307.0
Agra,3.0,2.0,,2500000,2273.0
Agra,,2.0,900.0,4500000,3913.0
Agra,14.0,3.0,1250.0,9200000,5493.0
Agra,3.0,2.0,1250.0,5400000,4320.0
Agra,6.0,3.0,1800.0,14500000,8056.0
Agra,,4.0,378.0,35000000,
Agra,9.0,3.0,,20000000,9217.0
Agra,,2.0,,14000000,9485.0
Agra,1.0,2.0,,4100000,2649.0
Agra,,2.0,,6300000,5250.0
Agra,,3.0,,5500000,3274.0
Agra,,3.0,,6099000,7447.0
Agra,,2.0,300.0,28500000,10556.0
Agra,,2.0,,3200000,4741.0
Agra,,2.0,,3700000,3895.0
Agra,3.0,2.0,93.0,4700000,4695.0
Agra,1.0,2.0,1350.0,9000000,6667.0
Agra,,2.0,,11700000,39000.0
Agra,,3.0,902.0,4500000,
