city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Ahmedabad,22.0,3,1450.0,12800000,5789.0
Ahmedabad,14.0,3,1300.0,11500000,5227.0
Ahmedabad,14.0,3,110.0,8200000,4721.0
Ahmedabad,5.0,3,1300.0,15500000,8158.0
Ahmedabad,12.0,3,,7200000,4278.0
Ahmedabad,14.0,3,141.0,18000000,8264.0
Ahmedabad,14.0,3,836.0,8000000,4638.0
Ahmedabad,7.0,2,145.0,4500000,3448.0
Ahmedabad,,2,1035.0,16500000,12222.0
Ahmedabad,5.0,3,91.0,8000000,6584.0
Ahmedabad,5.0,3,1530.0,11000000,6111.0
Ahmedabad,,3,860.0,5500000,5314.0
Ahmedabad,,3,1190.0,10000000,5882.0
Ahmedabad,,2,1449.0,20000000,9662.0
Ahmedabad,,2,882.0,4100000,3254.0
Ahmedabad,10.0,3,861.0,10200000,5711.0
Ahmedabad,,3,1512.0,10005000,4632.0
Ahmedabad,,3,1323.0,8225000,4352.0
Ahmedabad,,3,1354.0,8700000,4496.0
Ahmedabad,23.0,2,680.0,5500000,
Ahmedabad,2.0,1,120.0,6800000,5812.0
Ahmedabad,14.0,3,,7600000,5588.0
Ahmedabad,,3,1514.0,12500000,5776.0
Ahmedabad,7.0,3,,7000000,4444.0
Ahmedabad,,3,1291.0,9500000,5149.0
Ahmedabad,4.0,3,1370.0,8300000,6058.0
Ahmedabad,,3,,18500000,16988.0
Ahmedabad,,3,1225.0,11000000,6286.0
Ahmedabad,,3,1121.0,10000001,6242.0
Ahmedabad,7.0,3,1295.0,7100000,4152.0
Ahmedabad,13.0,2,670.0,4800000,3957.0
Ahmedabad,,3,1165.0,6000000,3604.0
Ahmedabad,14.0,3,,12500000,4908.0
Ahmedabad,,2,882.0,9600000,7619.0
Ahmedabad,5.0,2,,5900000,4917.0
Ahmedabad,4.0,2,,3800000,3770.0
Ahmedabad,5.0,2,,4240000,4240.0
Ahmedabad,5.0,2,800.0,3850000,3720.0
Ahmedabad,7.0,2,,2700000,2913.0
Ahmedabad,,3,1278.0,7310000,4100.0
Ahmedabad,6.0,2,,3400000,3498.0
Ahmedabad,,2,,21500000,13272.0
Ahmedabad,,2,,7000000,4419.0
Ahmedabad,,3,1008.0,6100000,4236.0
Ahmedabad,,2,541.0,7500000,9690.0
Ahmedabad,10.0,2,,6250000,50000.0
Ahmedabad,5.0,2,141.0,4500000,
Ahmedabad,5.0,2,97.0,5000000,4374.0
Ahmedabad,8.0,2,750.0,9500000,7037.0
Ahmedabad,,4,186.0,29500000,17622.0
Ahmedabad,,1,472.0,5400000,8000.0
Ahmedabad,5.0,3,,6700000,3988.0
Ahmedabad,13.0,2,,6800000,5231.0
Ahmedabad,,3,1234.0,6750000,3827.0
Ahmedabad,,3,1291.0,14000000,7588.0
Ahmedabad,,2,1197.0,18000000,10526.0
Ahmedabad,14.0,3,1100.0,13500000,7105.0
Ahmedabad,,3,305.0,31000000,22963.0
Ahmedabad,14.0,3,,12000000,7268.0
Ahmedabad,,1,913.0,3500000,2682.0
Ahmedabad,,3,2310.0,15000000,4545.0
Ahmedabad,12.0,3,,32500000,13627.0
Ahmedabad,,3,1295.0,13000000,7027.0
Ahmedabad,14.0,3,817.0,7000000,4651.0
Ahmedabad,,3,188.0,16500000,9167.0
Ahmedabad,10.0,3,1225.0,12000000,5926.0
Ahmedabad,,3,833.0,8500000,7143.0
Ahmedabad,,2,787.0,6490000,5769.0
Ahmedabad,,3,1008.0,8000000,5556.0
