city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Amravati,5.0,,,4950000.0,4253.0
Amravati,,,,4200000.0,3652.0
Amravati,5.0,,,4500000.0,5625.0
Amravati,1.0,,,2650000.0,3496.0
Amravati,,,,6300000.0,4164.0
Amravati,1.0,,,2500000.0,2500.0
Amravati,3.0,,,2500000.0,2778.0
Amravati,3.0,,,1800000.0,2093.0
Amravati,2.0,,,2300000.0,3239.0
Amravati,,,,2000000.0,1667.0
Amravati,3.0,,,2400000.0,2667.0
Amravati,,,,5000000.0,5556.0
Amravati,5.0,,,2300000.0,3067.0
Amravati,5.0,,,5000000.0,5000.0
Amravati,,,,5000000.0,3333.0
Amravati,4.0,,,3500000.0,2593.0
Amravati,6.0,,,6000000.0,5842.0
Amravati,4.0,,,3500000.0,4118.0
Amravati,,,,7500000.0,2586.0
Amravati,3.0,,,2500000.0,3125.0
Amravati,4.0,,,2500000.0,2632.0
Amravati,,,,7500000.0,5357.0
Amravati,,,,13000000.0,7879.0
Amravati,,,,9000000.0,3913.0
Amravati,2.0,,,3500000.0,4118.0
Amravati,1.0,,,3000000.0,4000.0
Amravati,6.0,,,6500000.0,6190.0
Amravati,,,,6500000.0,6500.0
Amravati,4.0,,,3800000.0,3800.0
Amravati,5.0,,,3000000.0,3614.0
Amravati,2.0,,,4700000.0,5875.0
Amravati,7.0,,,4600000.0,4600.0
Amravati,3.0,,,1900000.0,2375.0
Amravati,8.0,,,5000000.0,4348.0
Amravati,,,,6700000.0,4323.0
Amravati,3.0,,,2700000.0,2863.0
Amravati,,,,3950000.0,3038.0
Amravati,,,,4900000.0,4900.0
Amravati,,,,5500000.0,4400.0
Amravati,2.0,,,7500000.0,6818.0
Amravati,3.0,,,38500000.0,9167.0
Amravati,,,,8500000.0,4474.0
Amravati,6.0,,,6500000.0,5752.0
Amravati,,,,7800000.0,4457.0
Amravati,3.0,,,3500000.0,3182.0
Amravati,,,,8000000.0,4103.0
Amravati,6.0,,,5000000.0,4651.0
Amravati,12.0,,,3550000.0,116.0
Amravati,4.0,,,3100000.0,3370.0
Amravati,3.0,,,7500000.0,
Amravati,6.0,,,8000000.0,5948.0
Amravati,3.0,,,3600000.0,3600.0
Amravati,,,,15000000.0,7692.0
Amravati,1.0,,,6500000.0,4815.0
Amravati,1.0,,,5500000.0,2037.0
Amravati,3.0,,,3000000.0,2344.0
Amravati,2.0,,,2600000.0,3467.0
Amravati,7.0,,,4500000.0,4018.0
Amravati,6.0,,,4200000.0,6968.0
Amravati,,,,4200000.0,4200.0
Amravati,4.0,,,7000000.0,5957.0
Amravati,1.0,,,7000000.0,3889.0
Amravati,4.0,,,3000000.0,3750.0
Amravati,3.0,,,4500000.0,5114.0
Amravati,,,,3200000.0,2133.0
Amravati,4.0,,,580000.0,116.0
Amravati,7.0,,,6150000.0,5748.0
Amravati,,,,3700000.0,2467.0
Amravati,3.0,,,3000000.0,4225.0
Amravati,3.0,,,3000000.0,3529.0
Amravati,,,,5500000.0,3667.0
Amravati,4.0,,,2800000.0,2612.0
Amravati,6.0,,,4100000.0,
Amravati,,,,3500000.0,
Amravati,,,,100000.0,100.0
Amravati,6.0,,,3200000.0,3368.0
Amravati,4.0,,,3000000.0,4286.0
Amravati,,,,6000000.0,3529.0
Amravati,2.0,,,4600000.0,3286.0
Amravati,2.0,,,2800000.0,3733.0
Amravati,4.0,,,4200000.0,3646.0
Amravati,6.0,,,9000000.0,6000.0
Amravati,,,,7000000.0,7778.0
Amravati,2.0,,,3200000.0,4267.0
Amravati,,,,8100000.0,4500.0
Amravati,5.0,,,2600000.0,3586.0
Amravati,5.0,,,6000000.0,5455.0
Amravati,5.0,,,3450000.0,3000.0
Amravati,2.0,,,6500000.0,
Amravati,,,,14000000.0,6667.0
Amravati,7.0,,,6000000.0,5217.0
Amravati,7.0,,,3900000.0,3900.0
Amravati,,,,7200000.0,8000.0
Amravati,2.0,,,3200000.0,3368.0
Amravati,4.0,,,3400000.0,4250.0
Amravati,,,,4000000.0,3704.0
Amravati,,,,4499999.0,3097.0
Amravati,5.0,,,3800000.0,4471.0
Amravati,7.0,,,3000000.0,3158.0
Amravati,2.0,,,4200000.0,4941.0
Amravati,4.0,,,4500000.0,5000.0
Amravati,4.0,,,6500000.0,7027.0
Amravati,,,,,
Amravati,,,,,
Amravati,,,,,
Amravati,,,,,
Amravati,,,,,
Amravati,1.0,,,6200000.0,4351.0
Amravati,,,,9000000.0,4500.0
Amravati,2.0,,,8000000.0,4103.0
Amravati,2.0,,,4500000.0,3214.0
Amravati,,,,4200000.0,4421.0
