city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Asansol,5.0,,,2200000.0,1517.0
Asansol,,,,2500000.0,2425.0
Asansol,3.0,,,4000000.0,3493.0
Asansol,7.0,,,3000000.0,3708.0
Asansol,10.0,,,5700000.0,5717.0
Asansol,13.0,,,12500000.0,4167.0
Asansol,,,,5500000.0,2973.0
Asansol,4.0,,,2900000.0,2944.0
Asansol,4.0,,,4000000.0,3155.0
Asansol,4.0,,,2500000.0,3145.0
Asansol,,,,2450000.0,2450.0
Asansol,,,,2450000.0,2130.0
Asansol,,,,2100000.0,2692.0
Asansol,,,,3851000.0,3438.0
Asansol,4.0,,,2500000.0,2632.0
Asansol,5.0,,,3699990.0,3212.0
Asansol,6.0,,,3000000.0,3158.0
Asansol,7.0,,,3500000.0,3859.0
Asansol,3.0,,,2900000.0,
Asansol,5.0,,,4500000.0,3371.0
Asansol,4.0,,,3500000.0,2966.0
Asansol,4.0,,,3400000.0,3542.0
Asansol,4.0,,,2300000.0,2875.0
Asansol,4.0,,,2000000.0,2222.0
Asansol,13.0,,,6000000.0,4110.0
Asansol,3.0,,,2400000.0,
Asansol,4.0,,,5000000.0,3823.0
Asansol,1.0,,,2200000.0,2316.0
Asansol,5.0,,,2500000.0,2439.0
Asansol,4.0,,,2450000.0,3062.0
Asansol,6.0,,,4700000.0,4489.0
Asansol,13.0,,,4500000.0,3030.0
Asansol,4.0,,,2800000.0,2917.0
Asansol,,,,450000.0,346.0
Asansol,4.0,,,2050000.0,2250.0
Asansol,3.0,,,3300000.0,3104.0
Asansol,,,,4300000.0,3571.0
Asansol,,,,4500000.0,3462.0
Asansol,4.0,,,5000000.0,3623.0
Asansol,1.0,,,7000000.0,1698.0
Asansol,4.0,,,4388800.0,2600.0
Asansol,,,,3700000.0,2891.0
Asansol,1.0,,,3100000.0,3333.0
Asansol,12.0,,,8500000.0,6115.0
Asansol,,,,6000000.0,2308.0
Asansol,5.0,,,3600000.0,2707.0
Asansol,7.0,,,3500000.0,4375.0
Asansol,2.0,,,2500000.0,1916.0
Asansol,7.0,,,2700000.0,3649.0
Asansol,5.0,,,3600000.0,3805.0
Asansol,2.0,,,5600000.0,3733.0
Asansol,4.0,,,6100000.0,3987.0
Asansol,5.0,,,4000000.0,4211.0
Asansol,3.0,,,3500000.0,3458.0
Asansol,,,,3000000.0,2727.0
Asansol,16.0,,,6500000.0,4215.0
Asansol,4.0,,,4500000.0,2875.0
Asansol,5.0,,,2900000.0,2636.0
Asansol,,,,3000000.0,2203.0
Asansol,4.0,,,3500000.0,3247.0
Asansol,4.0,,,4036000.0,4000.0
Asansol,3.0,,,1600000.0,2462.0
Asansol,3.0,,,9000000.0,4865.0
Asansol,4.0,,,3200000.0,3368.0
Asansol,4.0,,,2500000.0,3360.0
Asansol,4.0,,,5113800.0,3768.0
Asansol,4.0,,,2800000.0,2947.0
Asansol,3.0,,,2500000.0,2867.0
Asansol,,,,3800000.0,
Asansol,,,,5000000.0,3125.0
Asansol,4.0,,,4000000.0,2963.0
Asansol,4.0,,,2500000.0,2000.0
Asansol,,,,8500000.0,5312.0
Asansol,4.0,,,2400000.0,2550.0
Asansol,4.0,,,4200000.0,3857.0
Asansol,4.0,,,3500000.0,3057.0
Asansol,7.0,,,2300000.0,2556.0
Asansol,5.0,,,5000000.0,5000.0
Asansol,6.0,,,5000000.0,3891.0
Asansol,1.0,,,3600000.0,4082.0
Asansol,1.0,,,2400000.0,2474.0
