city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Aurangabad,,2.0,1200.0,9200000.0,7077.0
Aurangabad,4.0,2.0,,3900000.0,5270.0
Aurangabad,9.0,3.0,1500.0,13000000.0,8125.0
Aurangabad,9.0,3.0,1050.0,13500000.0,8571.0
Aurangabad,4.0,2.0,750.0,3000000.0,3158.0
Aurangabad,8.0,1.0,,7200000.0,5760.0
Aurangabad,5.0,2.0,650.0,3800000.0,4222.0
Aurangabad,5.0,1.0,570.0,4000000.0,5215.0
Aurangabad,,5.0,2700.0,49900000.0,18481.0
Aurangabad,7.0,3.0,1050.0,11000000.0,8800.0
Aurangabad,2.0,2.0,,2500000.0,2778.0
Aurangabad,4.0,2.0,,5500000.0,5500.0
Aurangabad,5.0,2.0,1000.0,5500000.0,
Aurangabad,7.0,3.0,1230.0,14000000.0,8130.0
Aurangabad,4.0,2.0,,4500000.0,4500.0
Aurangabad,4.0,1.0,775.0,2800000.0,3111.0
Aurangabad,,2.0,1200.0,6000000.0,3871.0
Aurangabad,,2.0,,5700000.0,5700.0
Aurangabad,5.0,2.0,,6500000.0,6311.0
Aurangabad,4.0,1.0,650.0,2521000.0,
Aurangabad,4.0,2.0,,4000000.0,5865.0
Aurangabad,5.0,2.0,,6500000.0,7620.0
Aurangabad,2.0,2.0,900.0,3500000.0,
Aurangabad,,2.0,600.0,5100000.0,6000.0
Aurangabad,,2.0,875.0,6500000.0,
Aurangabad,3.0,2.0,650.0,2700000.0,2842.0
Aurangabad,7.0,2.0,1150.0,5000000.0,4348.0
Aurangabad,3.0,2.0,1200.0,6000000.0,4615.0
Aurangabad,4.0,2.0,534.0,1900000.0,
Aurangabad,3.0,2.0,,8500000.0,7391.0
Aurangabad,,2.0,980.0,11000000.0,8594.0
Aurangabad,3.0,2.0,,6100000.0,5214.0
Aurangabad,5.0,2.0,,5500000.0,5000.0
Aurangabad,,2.0,620.0,5200000.0,5622.0
Aurangabad,2.0,2.0,,5000000.0,3846.0
Aurangabad,,3.0,,8500000.0,3696.0
Aurangabad,7.0,1.0,900.0,5500000.0,6111.0
Aurangabad,4.0,2.0,580.0,3600000.0,3789.0
Aurangabad,4.0,2.0,850.0,5000000.0,5000.0
Aurangabad,,2.0,,2500000.0,2083.0
Aurangabad,3.0,3.0,1043.0,5100000.0,
Aurangabad,5.0,3.0,1050.0,4500000.0,4286.0
Aurangabad,4.0,2.0,,4500000.0,4167.0
Aurangabad,3.0,2.0,700.0,3700000.0,4933.0
Aurangabad,4.0,2.0,,5500000.0,4400.0
Aurangabad,4.0,2.0,,5500000.0,4583.0
Aurangabad,1.0,2.0,,9000000.0,6000.0
Aurangabad,4.0,2.0,1100.0,5400000.0,4154.0
Aurangabad,5.0,2.0,,3600000.0,4211.0
Aurangabad,4.0,2.0,,4000000.0,3636.0
Aurangabad,7.0,2.0,,3500000.0,4930.0
Aurangabad,,,,3300000.0,
Aurangabad,3.0,2.0,760.0,4650000.0,4227.0
Aurangabad,5.0,2.0,,3000000.0,3429.0
Aurangabad,3.0,1.0,600.0,2200000.0,3492.0
Aurangabad,6.0,2.0,,2600000.0,2416.0
Aurangabad,4.0,2.0,,4300000.0,4526.0
Aurangabad,4.0,2.0,600.0,3550000.0,5071.0
Aurangabad,4.0,2.0,645.0,3100000.0,3392.0
Aurangabad,,4.0,610.0,6800000.0,4964.0
Aurangabad,6.0,3.0,713.0,3300000.0,
Aurangabad,4.0,2.0,,3999000.0,
Aurangabad,6.0,2.0,692.0,4070000.0,3769.0
Aurangabad,2.0,1.0,,3300000.0,6000.0
Aurangabad,4.0,2.0,600.0,2300000.0,2421.0
Aurangabad,3.0,1.0,760.0,2500000.0,3289.0
