city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Bangalore,15.0,3,1415.0,34828365,16237.0
Bangalore,18.0,3,1077.0,12619800,8200.0
Bangalore,20.0,3,1222.0,19050000,10911.0
Bangalore,,3,,88000000,27500.0
Bangalore,,1,4200.0,30500000,6100.0
Bangalore,21.0,3,1995.0,35000000,12281.0
Bangalore,32.0,3,1506.0,39000000,20062.0
Bangalore,30.0,4,1500.0,55000000,27905.0
Bangalore,23.0,2,626.0,13000000,12287.0
Bangalore,18.0,4,1900.0,37500000,16930.0
Bangalore,32.0,2,,25500000,18613.0
Bangalore,12.0,3,1315.0,35000000,20649.0
Bangalore,19.0,2,924.0,15000000,12175.0
Bangalore,5.0,2,1000.0,16500000,12222.0
Bangalore,8.0,3,2210.0,50000000,19920.0
Bangalore,14.0,2,796.0,12219790,10099.0
Bangalore,14.0,3,1200.0,14214000,8547.0
Bangalore,14.0,2,1055.0,15904875,10261.0
Bangalore,14.0,3,1082.0,15678114,9299.0
Bangalore,,2,,15410000,11500.0
Bangalore,,3,,18543750,10750.0
Bangalore,5.0,3,1400.0,20405550,12450.0
Bangalore,,3,,12696000,8000.0
Bangalore,,2,,10353930,6595.0
Bangalore,12.0,3,1074.0,19348095,10156.0
Bangalore,,2,1265.0,25250000,15971.0
Bangalore,,3,,14502810,8102.0
Bangalore,14.0,3,,10494000,6859.0
Bangalore,,3,,17073450,11015.0
Bangalore,,3,,9289439,6565.0
Bangalore,2.0,2,980.0,9945000,8500.0
Bangalore,30.0,2,961.0,14747600,9200.0
Bangalore,,2,,14600000,11052.0
Bangalore,,3,,17000000,8740.0
Bangalore,,2,,12706705,11447.0
Bangalore,4.0,2,1510.0,17207960,11396.0
Bangalore,15.0,2,970.0,14803000,11300.0
Bangalore,,2,,11451058,11172.0
Bangalore,,3,,24190200,7550.0
Bangalore,2.0,3,1200.0,18260000,11000.0
Bangalore,,3,3450.0,30000000,7874.0
Bangalore,4.0,2,,9363016,6580.0
Bangalore,,3,,22748250,12999.0
Bangalore,,3,,22100000,13418.0
Bangalore,,3,,16466625,8925.0
Bangalore,,3,,24929250,10750.0
Bangalore,,3,,8971200,6300.0
Bangalore,,3,,20800000,13359.0
Bangalore,30.0,3,2099.0,32600000,13674.0
Bangalore,,3,,22500000,10802.0
Bangalore,,3,,13699400,7150.0
Bangalore,,3,,13684250,8716.0
Bangalore,4.0,2,878.0,8580000,6837.0
Bangalore,,3,,15958000,9912.0
Bangalore,,3,,14280000,8644.0
Bangalore,,3,,16900000,14721.0
Bangalore,,3,,18360000,8810.0
Bangalore,8.0,3,1116.0,13400000,8401.0
Bangalore,,2,,10500000,9211.0
Bangalore,,3,,16462040,8399.0
Bangalore,15.0,4,1900.0,32500000,12246.0
Bangalore,,3,,18738740,11288.0
Bangalore,,3,,7000000,4657.0
Bangalore,,3,,35700000,15522.0
Bangalore,,2,,10998442,8722.0
Bangalore,5.0,2,854.0,11300000,8780.0
Bangalore,,3,,17894900,11226.0
Bangalore,,2,,17400000,10841.0
Bangalore,,3,,36600000,17673.0
Bangalore,,3,,11323490,7499.0
Bangalore,,2,840.0,3800000,3800.0
Bangalore,4.0,2,998.0,12100000,9475.0
Bangalore,1.0,1,,7350000,7737.0
Bangalore,35.0,2,920.0,11500000,9746.0
Bangalore,,2,150.0,9000000,7500.0
Bangalore,12.0,2,,13200000,10321.0
Bangalore,4.0,3,1381.0,9500000,6879.0
Bangalore,3.0,2,,7500000,6757.0
Bangalore,4.0,2,,13000000,8414.0
Bangalore,4.0,2,,5000000,5774.0
Bangalore,8.0,2,,5800000,7622.0
Bangalore,3.0,2,,8000000,7273.0
Bangalore,4.0,2,737.0,12500000,11416.0
Bangalore,,3,2300.0,19500000,24375.0
Bangalore,5.0,3,1230.0,9000000,6294.0
Bangalore,,3,,17500000,8113.0
Bangalore,,3,,30200000,14381.0
Bangalore,,3,,23000000,12042.0
Bangalore,,3,,20700000,12778.0
Bangalore,,3,,19400000,12655.0
Bangalore,,2,1800.0,7000000,3889.0
Bangalore,12.0,2,900.0,14000000,11457.0
Bangalore,3.0,2,1200.0,17988000,12000.0
Bangalore,2.0,3,1000.0,11000000,8148.0
Bangalore,11.0,3,1352.0,15130000,8500.0
Bangalore,,2,1800.0,7000000,3590.0
Bangalore,,2,1200.0,22000000,18333.0
Bangalore,,2,250.0,6000000,6316.0
Bangalore,4.0,2,1120.0,11000000,8481.0
Bangalore,32.0,3,1350.0,22500000,13393.0
Bangalore,22.0,2,,11000000,10956.0
Bangalore,21.0,3,1227.0,19000000,11607.0
Bangalore,4.0,2,,20400000,16190.0
Bangalore,3.0,2,1155.0,13500000,10425.0
Bangalore,3.0,2,660.0,4000000,5634.0
Bangalore,5.0,3,2420.0,18500000,
Bangalore,,3,1440.0,14000000,7778.0
Bangalore,,1,1200.0,20000000,13333.0
Bangalore,,3,1800.0,12500000,6250.0
Bangalore,30.0,2,740.0,14000000,13233.0
Bangalore,5.0,3,,18500000,8043.0
Bangalore,4.0,3,1800.0,34000000,14738.0
Bangalore,,3,,11000000,6675.0
Bangalore,14.0,2,1091.0,25500000,16098.0
Bangalore,2.0,4,950.0,11500000,5750.0
Bangalore,6.0,3,1100.0,8000000,5948.0
Bangalore,,2,425.0,17000000,40000.0
Bangalore,9.0,2,1428.0,17000000,11905.0
Bangalore,21.0,2,656.0,9600000,10235.0
Bangalore,9.0,2,,15000000,11811.0
Bangalore,14.0,2,,13500000,10800.0
Bangalore,3.0,2,1052.0,9700000,9221.0
Bangalore,4.0,2,1145.0,13500000,11790.0
Bangalore,18.0,3,,28000000,16817.0
Bangalore,4.0,2,828.0,8500000,7359.0
Bangalore,25.0,3,1215.0,29500000,17013.0
Bangalore,16.0,3,,22900000,13631.0
Bangalore,3.0,4,2322.0,26000000,9123.0
Bangalore,33.0,2,522.0,8900000,10621.0
Bangalore,14.0,2,1200.0,14500000,10781.0
Bangalore,12.0,2,900.0,12500000,11826.0
Bangalore,19.0,3,1300.0,31000000,17024.0
Bangalore,,3,,22000000,11579.0
Bangalore,16.0,3,1200.0,12550000,7601.0
Bangalore,,3,2100.0,50500000,20612.0
Bangalore,5.0,2,900.0,4650000,4429.0
Bangalore,4.0,3,1650.0,24900000,12029.0
Bangalore,13.0,2,75.0,9083000,6855.0
Bangalore,27.0,3,1551.0,25495500,11500.0
Bangalore,4.0,2,791.0,13500000,11947.0
Bangalore,6.0,2,,42500000,17708.0
Bangalore,33.0,4,2870.0,92000000,22439.0
Bangalore,19.0,3,1750.0,28500000,14782.0
Bangalore,26.0,2,808.0,17000000,13503.0
Bangalore,30.0,1,741.0,12492000,10939.0
Bangalore,4.0,3,,7500000,4178.0
Bangalore,9.0,2,,12900000,8431.0
Bangalore,14.0,3,1025.0,14349000,9378.0
Bangalore,27.0,2,,20500000,14366.0
Bangalore,30.0,3,1122.0,18800000,11541.0
Bangalore,13.0,3,1226.0,27000000,14754.0
Bangalore,13.0,2,1150.0,14000000,11715.0
Bangalore,5.0,3,1680.0,25000000,12880.0
Bangalore,,3,1194.0,33100000,15107.0
Bangalore,20.0,3,1489.0,31000000,16757.0
Bangalore,,3,,32100000,16171.0
Bangalore,18.0,3,,35060625,18699.0
Bangalore,3.0,2,1350.0,23500000,14596.0
Bangalore,,3,,36000000,12000.0
Bangalore,30.0,3,1230.0,19200000,10762.0
Bangalore,4.0,3,1155.0,9800000,5939.0
Bangalore,30.0,3,1180.0,21200000,11307.0
Bangalore,23.0,2,780.0,11600000,10175.0
Bangalore,16.0,3,1450.0,21000000,11583.0
Bangalore,4.0,2,775.0,8000000,6711.0
Bangalore,5.0,3,1325.0,9700000,6361.0
Bangalore,12.0,2,,19000000,17241.0
Bangalore,14.0,2,940.0,10716125,8275.0
Bangalore,,3,1980.0,12100000,6099.0
Bangalore,14.0,2,980.0,19000000,14638.0
Bangalore,8.0,3,2150.0,17216000,8000.0
Bangalore,14.0,3,,35500000,18346.0
Bangalore,4.0,2,,9200000,7667.0
Bangalore,37.0,3,,43000000,21256.0
Bangalore,,3,,22727000,11364.0
Bangalore,,3,1246.0,15248000,7954.0
Bangalore,21.0,2,,12100000,9942.0
Bangalore,14.0,3,,18537000,10327.0
Bangalore,14.0,2,,12000000,9600.0
Bangalore,15.0,3,,32000000,16121.0
Bangalore,4.0,2,980.0,4500000,4478.0
Bangalore,3.0,2,440.0,7600000,10556.0
Bangalore,5.0,3,,32500000,13265.0
Bangalore,13.0,3,1400.0,15500000,8611.0
Bangalore,11.0,3,1350.0,26300000,15516.0
Bangalore,13.0,3,,13800000,9356.0
Bangalore,36.0,3,,35900000,15575.0
Bangalore,29.0,3,,23000000,12778.0
Bangalore,4.0,3,1310.0,12000000,7317.0
Bangalore,4.0,2,1100.0,7400000,5968.0
Bangalore,,3,1400.0,26500000,13766.0
Bangalore,4.0,2,,11000000,8023.0
Bangalore,4.0,2,780.0,8840000,8500.0
Bangalore,4.0,3,1610.0,11678400,7200.0
Bangalore,13.0,3,1300.0,27500000,15320.0
Bangalore,18.0,2,950.0,25000000,17277.0
Bangalore,4.0,2,,6600000,6477.0
Bangalore,16.0,3,,24000000,13393.0
Bangalore,28.0,4,1265.0,22500000,12064.0
Bangalore,4.0,2,950.0,9900000,7907.0
Bangalore,21.0,2,852.0,13500000,11029.0
Bangalore,18.0,2,709.0,12000000,12685.0
Bangalore,15.0,3,1220.0,32600000,18575.0
Bangalore,11.0,2,1100.0,13900000,10029.0
Bangalore,4.0,2,1150.0,16512860,11180.0
Bangalore,5.0,3,2069.0,15900000,7231.0
Bangalore,11.0,2,998.0,11800000,9850.0
Bangalore,20.0,3,1994.0,82000000,26452.0
Bangalore,33.0,2,522.0,15500000,18430.0
Bangalore,19.0,3,1400.0,31000000,16046.0
Bangalore,6.0,2,1250.0,16000000,12800.0
Bangalore,31.0,3,1927.0,48000000,17436.0
Bangalore,12.0,3,1340.0,25000000,14749.0
