city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Bhubaneswar,,,,9680000,5500.0
Bhubaneswar,6.0,,,6100000,7160.0
Bhubaneswar,4.0,,,9000000,5166.0
Bhubaneswar,3.0,,,9000000,4286.0
Bhubaneswar,3.0,,,5100000,10200.0
Bhubaneswar,4.0,,,9000000,6000.0
Bhubaneswar,3.0,,,14000000,7179.0
Bhubaneswar,4.0,,,7800000,6527.0
Bhubaneswar,4.0,,,6500000,5490.0
Bhubaneswar,,,,13000000,6500.0
Bhubaneswar,9.0,,,11700000,5997.0
Bhubaneswar,6.0,,,4500000,4712.0
Bhubaneswar,4.0,,,6300000,
Bhubaneswar,11.0,,,24000000,10667.0
Bhubaneswar,4.0,,,9500000,
Bhubaneswar,3.0,,,6000000,4762.0
Bhubaneswar,6.0,,,11501000,7000.0
Bhubaneswar,14.0,,,12000000,8734.0
Bhubaneswar,4.0,,,9500000,
Bhubaneswar,8.0,,,12500000,7289.0
Bhubaneswar,4.0,,,8900000,5165.0
Bhubaneswar,14.0,,,16000000,9668.0
Bhubaneswar,14.0,,,12000000,7430.0
Bhubaneswar,2.0,,,11500000,7179.0
Bhubaneswar,7.0,,,12900000,6988.0
Bhubaneswar,11.0,,,14000000,11638.0
Bhubaneswar,4.0,,,14900000,10061.0
Bhubaneswar,4.0,,,6900000,4825.0
Bhubaneswar,8.0,,,12500000,7267.0
Bhubaneswar,5.0,,,8100000,6454.0
Bhubaneswar,4.0,,,6750000,6696.0
Bhubaneswar,6.0,,,7500000,6849.0
Bhubaneswar,5.0,,,6500000,5462.0
Bhubaneswar,5.0,,,7000000,6542.0
Bhubaneswar,4.0,,,9000000,6000.0
Bhubaneswar,,,,12000000,4000.0
Bhubaneswar,15.0,,,12800000,8322.0
Bhubaneswar,,,,46000000,27059.0
Bhubaneswar,7.0,,,6000000,4542.0
Bhubaneswar,21.0,,,14900000,6804.0
Bhubaneswar,4.0,,,11000000,6268.0
Bhubaneswar,11.0,,,5000000,5556.0
Bhubaneswar,10.0,,,7700000,5988.0
Bhubaneswar,4.0,,,14000000,9278.0
Bhubaneswar,5.0,,,5000000,6098.0
Bhubaneswar,,,,5100000,4250.0
Bhubaneswar,4.0,,,11000000,8000.0
Bhubaneswar,5.0,,,7200000,5530.0
Bhubaneswar,8.0,,,16000000,
Bhubaneswar,,,,700000,
Bhubaneswar,1.0,,,5500000,5500.0
Bhubaneswar,5.0,,,15000000,8333.0
Bhubaneswar,6.0,,,4200000,3871.0
Bhubaneswar,3.0,,,7500000,5172.0
Bhubaneswar,,,,12000000,7385.0
Bhubaneswar,,,,6000000,4858.0
Bhubaneswar,2.0,,,7500000,7500.0
Bhubaneswar,,,,2500000,1582.0
Bhubaneswar,,,,7390000,4501.0
Bhubaneswar,,,,5650000,4498.0
Bhubaneswar,,,,6630000,2286.0
Bhubaneswar,,,,7720000,4501.0
Bhubaneswar,,,,4800000,2286.0
Bhubaneswar,,,,3200000,2286.0
Bhubaneswar,,,,5850000,4500.0
