city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
,,,1400.0,12495000,7000.0
,3.0,,796.0,8420000,8817.0
,4.0,,,4530000,4377.0
,4.0,,1017.0,4600000,4259.0
,5.0,,,19890000,13000.0
,2.0,,700.0,4500000,6338.0
,2.0,,950.0,9500000,8482.0
,1.0,,770.0,7900000,8144.0
,14.0,,490.0,5200000,8754.0
,3.0,,2015.0,15000000,6818.0
,4.0,,1275.0,9400000,7373.0
,,,,95000000,42222.0
,17.0,,,9000000,6106.0
,2.0,,806.0,5700000,
,4.0,,,6400000,6394.0
,,,,15000000,7895.0
,9.0,,,9000000,9259.0
,3.0,,654.0,5400000,6323.0
,3.0,,,20842000,17000.0
,2.0,,900.0,2900000,3222.0
,4.0,,1016.0,9400000,9252.0
,4.0,,,4000000,4082.0
,4.0,,1333.0,10400000,7202.0
,19.0,,556.0,5600000,6100.0
,1.0,,,11500000,9520.0
,2.0,,700.0,6400000,8000.0
,7.0,,1800.0,15200000,7819.0
,2.0,,950.0,8000000,6457.0
,28.0,,,7000000,5785.0
,2.0,,,11000000,10129.0
,11.0,,,10500000,7859.0
,27.0,,987.0,5000000,3479.0
,5.0,,900.0,7900000,6583.0
,3.0,,750.0,7500000,8503.0
,7.0,,,4000000,4310.0
,4.0,,900.0,6400000,6330.0
,4.0,,,12800000,12800.0
,1.0,,1177.0,5000000,3971.0
,3.0,,1006.0,8700000,7232.0
,,,2000.0,35000000,17500.0
,,,4800.0,17200000,3583.0
,2.0,,706.0,5300000,
,5.0,,533.0,5684116,6957.0
,3.0,,817.0,8200000,8942.0
,1.0,,1080.0,9500000,8796.0
,2.0,,500.0,5500000,6471.0
,3.0,,920.0,9000000,8523.0
,19.0,,927.0,10500000,10224.0
,3.0,,1012.0,3800000,4000.0
,11.0,,,1800000,3163.0
,2.0,,665.0,4200000,4855.0
,,,1800.0,7800000,4216.0
,2.0,,730.0,8000000,8602.0
,3.0,,660.0,8200000,9393.0
,4.0,,800.0,6000000,6459.0
,2.0,,,5500000,5658.0
,3.0,,706.0,9300000,9968.0
,4.0,,620.0,3500000,
,2.0,,778.0,5200000,5317.0
,4.0,,1650.0,45000000,21697.0
,5.0,,1099.0,9800000,7544.0
,2.0,,,4000000,9662.0
,3.0,,,11500000,14935.0
,26.0,,700.0,7200000,5950.0
,3.0,,900.0,7700000,6875.0
,4.0,,,9500000,9048.0
,3.0,,,16000000,13223.0
,1.0,,,4500000,4335.0
,,,600.0,3500000,3500.0
,16.0,,793.0,8800000,7928.0
,2.0,,1750.0,26000000,13000.0
,4.0,,1450.0,11200000,6584.0
,2.0,,1078.0,7200000,5634.0
,5.0,,1100.0,7800000,6260.0
,4.0,,722.0,6800000,7054.0
,2.0,,1500.0,8900000,5933.0
,3.0,,619.0,16230500,11519.0
,5.0,,,15000000,8961.0
,4.0,,1400.0,18000000,11407.0
,13.0,,,5500000,9306.0
,2.0,,600.0,7000000,10463.0
,19.0,,,5900000,6644.0
,4.0,,477.0,3700000,5465.0
,2.0,,,9000000,8411.0
,1.0,,,105000000,87500.0
,5.0,,1703.0,52500000,27588.0
,3.0,,1124.0,11500000,8076.0
,2.0,,700.0,4500000,5844.0
,,,1043.0,15000000,12068.0
,1.0,,750.0,6545000,7192.0
,,,1800.0,15500000,7750.0
,1.0,,825.0,3940000,
,3.0,,,12600000,9000.0
,4.0,,,4000000,4494.0
,3.0,,680.0,3600000,4500.0
,4.0,,593.0,8000000,8299.0
,2.0,,873.0,5900000,5268.0
,3.0,,792.0,3300000,
,11.0,,950.0,5800000,5467.0
,10.0,,1350.0,17550000,13000.0
,2.0,,,4000000,4706.0
,17.0,,1172.0,12000000,8746.0
,4.0,,1000.0,14000000,12069.0
,2.0,,,6500000,6835.0
,4.0,,1300.0,9500000,6738.0
,2.0,,758.0,12500000,13048.0
,7.0,,,12000000,8902.0
,14.0,,,13000000,9701.0
,,,,25000000,11905.0
,2.0,,770.0,3600000,4105.0
,3.0,,1203.0,9700000,4042.0
,18.0,,1000.0,16000000,10230.0
,,,2000.0,18000000,
,5.0,,,39820000,22000.0
,2.0,,830.0,4900000,4970.0
,2.0,,1100.0,10000000,8696.0
,4.0,,880.0,7000000,7322.0
,18.0,,2600.0,32500000,8784.0
,,,1890.0,12000000,68966.0
,2.0,,,4500000,5313.0
,6.0,,1400.0,13000000,8667.0
,3.0,,453.0,6200000,6776.0
,3.0,,952.0,18460000,14200.0
,2.0,,468.0,8500000,9081.0
,4.0,,1250.0,6000000,4110.0
,2.0,,800.0,6800000,6239.0
,9.0,,1800.0,39000000,19697.0
,2.0,,865.0,12000000,10435.0
,14.0,,1244.0,32500000,22507.0
,14.0,,890.0,6800000,5338.0
,7.0,,545.0,2900000,4610.0
,14.0,,,6400000,6504.0
,2.0,,450.0,5000000,5952.0
,4.0,,915.0,6500000,7104.0
,,,1300.0,8700000,6502.0
,2.0,,1000.0,6500000,5603.0
,2.0,,870.0,5335000,5500.0
,19.0,,,4200000,4468.0
,14.0,,892.0,11200000,8290.0
,4.0,,998.0,8500000,6933.0
,14.0,,,14000000,8794.0
,,,,16500000,9857.0
,,,,5700000,4145.0
,2.0,,,5000000,4744.0
,2.0,,1200.0,11500000,8388.0
,5.0,,,47107746,26766.0
,3.0,,840.0,6300000,5339.0
