city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
,8.0,,1055.0,6200000,5232.0
,,,1890.0,14500000,7672.0
,4.0,,665.0,5700000,6433.0
,2.0,,2400.0,22500000,9000.0
,,,,12000000,6667.0
,2.0,,805.0,4700000,4087.0
,5.0,,883.0,7500000,5756.0
,5.0,,873.0,10000000,7899.0
,5.0,,790.0,9500000,8716.0
,,,,28000000,13814.0
,,,,7500000,4237.0
,4.0,,,5750000,6579.0
,5.0,,,6900000,5623.0
,1.0,,,32500000,14922.0
,10.0,,,10800000,7397.0
,,,1500.0,9500000,5588.0
,,,1400.0,5900000,4521.0
,,,,7000000,4070.0
,,,,4200000,3214.0
,9.0,,901.0,9500000,6795.0
,4.0,,470.0,2100000,2442.0
,,,,13000000,5652.0
,2.0,,900.0,5300000,4077.0
,,,,7500000,5556.0
,,,,14000000,8187.0
,,,2500.0,34800000,9988.0
,4.0,,,7250000,6134.0
,2.0,,1500.0,9000000,6000.0
,10.0,,,20000000,11820.0
,,,,5000000,5000.0
,,,218.0,4050000,4765.0
,,,1787.0,17500000,8479.0
,4.0,,1962.0,15500000,7900.0
,,,1000.0,3500000,3500.0
,4.0,,,8826500,6950.0
,,,,5700000,5317.0
,3.0,,900.0,6500000,6244.0
,4.0,,,12900000,7983.0
,8.0,,1240.0,6800000,5466.0
,,,,9000000,4455.0
,1.0,,900.0,4800000,5333.0
,3.0,,,14000000,9021.0
,3.0,,1600.0,17900000,6755.0
,4.0,,700.0,5550000,5206.0
,4.0,,,6000000,5405.0
,,,,12000000,5333.0
,,,1514.0,25000000,9259.0
,,,1500.0,9000000,4849.0
,,,,19000000,8261.0
,,,,25000000,11905.0
,4.0,,,7500000,5172.0
,1.0,,550.0,3600000,4500.0
,,,1200.0,7500000,6250.0
,,,1700.0,24000000,8496.0
,1.0,,,7500000,9868.0
,,,1590.0,7950000,4543.0
,4.0,,977.0,7900000,8086.0
,4.0,,500.0,2500000,
,,,,6950000,5346.0
,4.0,,800.0,6800000,6182.0
,1.0,,,6000000,4412.0
,,,1500.0,8300000,3458.0
,,,1600.0,8900000,3787.0
,4.0,,,5000000,5192.0
,,,1300.0,8500000,4725.0
,5.0,,824.0,8999000,8129.0
,,,2100.0,20000000,8696.0
,4.0,,,6000000,6536.0
,4.0,,1540.0,15000000,8706.0
,,,1485.0,12500000,6250.0
,5.0,,,5000000,5952.0
,5.0,,,6500000,7497.0
,4.0,,680.0,5600000,5578.0
,,,1800.0,9500000,
,,,,1920000,2954.0
,1.0,,2.0,6500000,
,,,,8000000,8889.0
,,,872.0,3700000,3700.0
,,,,11000000,4583.0
,4.0,,,9700000,7537.0
,3.0,,,9000000,6316.0
,9.0,,1700.0,17000000,8500.0
,1.0,,680.0,3599999,3333.0
,,,1048.0,5600000,4242.0
,4.0,,,6500000,5138.0
,,,,5960000,2950.0
,,,1350.0,8500000,4048.0
,,,,2950000,2950.0
,,,3.0,8500000,3953.0
,,,,15000000,8112.0
,,,,4430000,
,,,,5900000,2950.0
,,,2200.0,9800000,4261.0
,4.0,,,7000000,5747.0
,,,960.0,4320000,
,4.0,,1200.0,9000000,6000.0
,2.0,,,7000000,5833.0
,,,,5400000,4362.0
,4.0,,900.0,6500000,5417.0
,,,675.0,2210000,2947.0
,5.0,,,8000000,7339.0
,2.0,,2300.0,4700000,2043.0
,4.0,,,15000000,8839.0
,2.0,,1450.0,12000000,5714.0
,,,,4050000,4500.0
,,,,7230000,2951.0
,,,,2210000,2947.0
,,,,8860000,2953.0
,,,,3390000,2948.0
,,,,4430000,2953.0
,,,,3690000,2952.0
,,,,6740000,
,,,,7010000,4494.0
,5.0,,,4800000,3429.0
,,,,3460000,2952.0
,,,,7410000,2951.0
,,,,4430000,2953.0
,,,,10330000,2951.0
,,,,2950000,
,,,,6740000,
,,,,11690000,4496.0
,,,500.0,2660000,2956.0
,,,980.0,2950000,2950.0
,,,700.0,8940000,2950.0
,,,,5510000,4498.0
,,,,9720000,4494.0
,4.0,,,8500000,6911.0
,3.0,,,1650000,4365.0
,4.0,,720.0,4500000,4787.0
,4.0,,1614.0,8100000,
,,,920.0,4140000,
,,,,5020000,2953.0
,,,,5760000,2954.0
,,,,5900000,2950.0
,,,,4130000,2950.0
,4.0,,1158.0,11000000,
,,,,10000000,7698.0
,,,,19000000,13103.0
,,,1019.0,18000000,7317.0
,4.0,,1373.0,10000000,
,3.0,,860.0,4000000,4348.0
,,,,2130000,2958.0
,,,,2360000,2950.0
,,,,4720000,2950.0
,,,,3690000,2952.0
,,,,3250000,2955.0
,4.0,,960.0,5600000,5833.0
,,,,2950000,2950.0
,,,,4130000,2950.0
,4.0,,,6000000,4979.0
,,,1100.0,9000000,7500.0
,,,660.0,4940000,4491.0
,,,250.0,3100000,2952.0
,,,,5000000,3571.0
,,,,7500000,10714.0
,,,1650.0,8000000,5926.0
,2.0,,1755.0,10000000,4073.0
,4.0,,750.0,5500000,5940.0
,4.0,,,6000000,5319.0
,,,,9500000,5278.0
,,,850.0,3250000,2955.0
,1.0,,950.0,4700000,3926.0
,,,,8000000,3636.0
,4.0,,1200.0,7200000,
,,,560.0,4000000,6483.0
,,,,19000000,8261.0
,,,,31500000,15043.0
,,,1200.0,5300000,4417.0
,,,,7560000,2953.0
,4.0,,,9500000,5260.0
,,,,7000000,4513.0
,4.0,,,12500000,4348.0
,,,,8800000,4400.0
,4.0,,,5400000,4296.0
,,,,7400000,4353.0
,,,,9000000,7500.0
,,,,6200000,5167.0
,,,,5760000,2954.0
,,,,9500000,5278.0
,4.0,,,7000000,5128.0
,,,,5500000,5429.0
,3.0,,1050.0,4000000,
,,,,11000000,3597.0
,2.0,,,8000000,5926.0
,,,,12500000,5208.0
,,,,16000000,6400.0
,2.0,,2550.0,13000000,
,4.0,,,4200000,4746.0
,,,,3840000,2954.0
,4.0,,,17000000,9832.0
,,,650.0,3500000,
,,,,4900000,3267.0
,4.0,,,4630000,4495.0
,3.0,,,4500000,5521.0
,,,500.0,5800000,5273.0
,4.0,,1578.0,14000000,8235.0
,,,,10800000,5400.0
,,,2400.0,13000000,5417.0
,,,1650.0,12750000,
,,,,3250000,2955.0
,,,600.0,1770000,
,,,700.0,4500000,3750.0
,4.0,,,6500000,5122.0
,1.0,,1350.0,10000000,7407.0
,4.0,,1090.0,6500000,5963.0
,,,1050.0,6900000,3136.0
,5.0,,450.0,5500000,8527.0
,,,,6500000,3806.0
,,,,4900000,3267.0
,,,,4280000,2952.0
,3.0,,816.0,5800000,6332.0
,5.0,,,7000000,7786.0
,4.0,,1215.0,5800000,4296.0
,4.0,,,8500000,5667.0
,3.0,,1099.0,6500000,4646.0
,4.0,,750.0,5600000,6512.0
,4.0,,,5500000,5203.0
,,,,3450000,3833.0
,,,2.0,4500000,4737.0
,5.0,,,7500000,5769.0
,2.0,,,8500000,4533.0
,,,1600.0,7000000,4118.0
,6.0,,350.0,10200000,10737.0
,2.0,,725.0,4500000,5000.0
,,,825.0,3800000,4606.0
,,,,39000000,6605.0
,4.0,,,2800000,1739.0
,,,,17500000,11937.0
,2.0,,,5000000,5000.0
,4.0,,1608.0,13500000,8167.0
,7.0,,,6500000,4643.0
,,,,6500000,4483.0
,1.0,,2400.0,11000000,
,3.0,,700.0,6200000,7193.0
,,,1800.0,12500000,5208.0
,,,,9000000,6923.0
,4.0,,,12500000,10000.0
,,,950.0,2800000,2642.0
,,,1000.0,5500000,5500.0
,4.0,,2329.0,13500000,
,,,,6000000,6243.0
,4.0,,,3800000,4222.0
,4.0,,,9500000,6643.0
,1.0,,,4200000,3500.0
,,,,10060170,
,4.0,,,5000000,4348.0
,,,3000.0,50000000,13617.0
,,,,7000000,6481.0
,,,,8000000,5212.0
,,,,4800000,4364.0
,2.0,,1300.0,7700000,4529.0
,,,,5500000,4583.0
,12.0,,575.0,6000000,8955.0
,4.0,,,9800000,6125.0
,1.0,,,9500000,5094.0
,,,,12500000,12742.0
,4.0,,1090.0,7500000,6881.0
,2.0,,,8200000,6376.0
,4.0,,2050.0,17600000,9167.0
,,,1350.0,5000000,2857.0
,4.0,,1000.0,8900000,6075.0
,4.0,,1900.0,14000000,5895.0
,,,1250.0,6500000,4333.0
,,,,9500000,4750.0
,5.0,,468.0,5000000,6840.0
,,,,6500000,3611.0
,,,,5800000,5273.0
,8.0,,,8000000,9615.0
,,,600.0,8000000,4706.0
,,,200.0,17000000,14167.0
,,,850.0,7200000,6857.0
,4.0,,,4050000,4500.0
,1.0,,1000.0,10000000,3670.0
,1.0,,3320.0,50000000,15060.0
,4.0,,,3700000,4684.0
,,,1750.0,17500000,7000.0
,,,,2850000,2591.0
,1.0,,,25000000,16667.0
,1.0,,,7300000,6083.0
,9.0,,2050.0,42500000,15455.0
,2.0,,,13500000,6136.0
,,,1350.0,6339000,4071.0
,,,650.0,6800000,
,,,,5400000,4154.0
,4.0,,934.0,4000000,4283.0
