city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Gurgaon,4.0,4.0,1500.0,36500000,20278.0
Gurgaon,14.0,4.0,1050.0,18500000,11212.0
Greater Noida,,3.0,1108.0,29140000,15500.0
New Delhi,4.0,3.0,1100.0,47500000,32986.0
Gurgaon,48.0,4.0,1650.0,38500000,18873.0
Gurgaon,4.0,3.0,1690.0,26000000,14444.0
Gurgaon,,3.0,2105.0,28466000,10500.0
Gurgaon,4.0,2.0,1000.0,15000000,10000.0
Greater Noida,24.0,3.0,936.0,16500000,11111.0
Greater Noida,4.0,2.0,,15498000,10800.0
Noida,,3.0,183.0,52000000,26398.0
Gurgaon,4.0,4.0,2000.0,26000000,12381.0
Gurgaon,20.0,3.0,1900.0,32500000,15116.0
Faridabad,4.0,3.0,225.0,17000000,7556.0
Gurgaon,,3.0,,27000000,16564.0
Noida,,3.0,,80000000,32000.0
Gurgaon,24.0,3.0,,51400000,21938.0
Noida,,3.0,180.0,55000000,28386.0
Greater Noida,4.0,2.0,1000.0,5400000,4696.0
Greater Noida,20.0,3.0,1160.0,17500000,10086.0
Noida,30.0,4.0,1630.0,65000000,21588.0
Gurgaon,4.0,3.0,,35000000,19718.0
Gurgaon,4.0,3.0,263.0,25500000,10773.0
Gurgaon,14.0,2.0,850.0,15000000,11691.0
Noida,9.0,3.0,1333.0,22500000,13274.0
Gurgaon,,3.0,1400.0,25500000,12964.0
Noida,28.0,2.0,,25100000,20000.0
Greater Noida,,3.0,1057.0,19425000,10500.0
Gurgaon,,3.0,1910.0,23500000,
New Delhi,4.0,4.0,1400.0,67500000,37500.0
Noida,9.0,4.0,,27900000,15587.0
Noida,24.0,3.0,1100.0,23000000,14839.0
New Delhi,3.0,3.0,1200.0,36000000,26667.0
Gurgaon,47.0,3.0,1429.0,37500000,18382.0
New Delhi,6.0,2.0,900.0,6500000,6500.0
New Delhi,3.0,2.0,1100.0,15900000,12720.0
New Delhi,4.0,3.0,1620.0,35000000,17500.0
New Delhi,4.0,4.0,240.0,31000000,13778.0
Gurgaon,3.0,3.0,1550.0,39500000,18372.0
Gurgaon,27.0,2.0,872.0,33000000,22000.0
Gurgaon,15.0,4.0,1000.0,22499000,12908.0
Noida,,,,13500000,9060.0
Greater Noida,,3.0,1850.0,7500000,3846.0
Gurgaon,30.0,3.0,,42500000,21325.0
Noida,16.0,3.0,,17500000,11327.0
New Delhi,3.0,2.0,1400.0,26000000,17333.0
Noida,18.0,2.0,1185.0,9600000,7471.0
Gurgaon,4.0,3.0,700.0,10500000,9713.0
Gurgaon,14.0,4.0,,90000000,33962.0
New Delhi,7.0,2.0,1400.0,24000000,15000.0
Greater Noida,16.0,2.0,784.0,8300000,8783.0
Gurgaon,4.0,3.0,,22000000,13333.0
New Delhi,3.0,3.0,128.0,23000000,19658.0
New Delhi,4.0,3.0,900.0,39000000,34667.0
Noida,3.0,2.0,1400.0,35000000,20588.0
Greater Noida,20.0,2.0,990.0,7500000,6881.0
Gurgaon,45.0,4.0,2550.0,47800000,17770.0
Gurgaon,14.0,2.0,500.0,6800000,7556.0
New Delhi,4.0,3.0,,24500000,15312.0
Gurgaon,15.0,2.0,,14500000,11647.0
Ghaziabad,17.0,2.0,1200.0,9200000,7302.0
New Delhi,4.0,2.0,650.0,6500000,8125.0
Noida,26.0,3.0,,19000000,13167.0
New Delhi,4.0,2.0,,4500000,4592.0
New Delhi,3.0,2.0,950.0,6700000,6700.0
Ghaziabad,14.0,2.0,710.0,7250000,7754.0
New Delhi,4.0,2.0,,6500000,4815.0
Noida,15.0,2.0,1870.0,16500000,8250.0
Gurgaon,20.0,2.0,1000.0,12000000,10909.0
New Delhi,4.0,2.0,1400.0,10500000,7192.0
Ghaziabad,26.0,2.0,798.0,11500000,9957.0
Gurgaon,4.0,2.0,1000.0,7200000,5333.0
New Delhi,4.0,2.0,675.0,4300000,6143.0
New Delhi,4.0,1.0,52.0,2500000,5051.0
Gurgaon,24.0,2.0,1130.0,18000000,10227.0
Gurgaon,2.0,3.0,1400.0,20000000,8547.0
Ghaziabad,20.0,2.0,900.0,7300000,7122.0
Noida,5.0,1.0,720.0,2685000,3356.0
Ghaziabad,31.0,2.0,1200.0,11800000,9042.0
Greater Noida,,3.0,1650.0,10000000,5714.0
Gurgaon,4.0,2.0,1030.0,15500000,13717.0
New Delhi,4.0,2.0,95.0,4500000,5000.0
New Delhi,3.0,2.0,1050.0,11100000,9652.0
Gurgaon,16.0,3.0,1200.0,26500000,13947.0
New Delhi,,2.0,400.0,6000000,13333.0
Gurgaon,4.0,3.0,1900.0,26000000,11818.0
Noida,28.0,3.0,,39000000,21346.0
Greater Noida,,3.0,900.0,12000000,13333.0
New Delhi,3.0,2.0,1100.0,16000000,13333.0
Ghaziabad,13.0,2.0,800.0,6200000,6294.0
Ghaziabad,15.0,4.0,1108.0,17500000,9589.0
Ghaziabad,3.0,3.0,575.0,7000000,6796.0
New Delhi,3.0,2.0,72.0,9500000,14074.0
Ghaziabad,3.0,2.0,600.0,5700000,7600.0
Gurgaon,18.0,4.0,,17500000,9490.0
Greater Noida,25.0,2.0,,9400000,7490.0
New Delhi,3.0,2.0,1200.0,14500000,11154.0
Noida,27.0,2.0,1520.0,30000000,18519.0
New Delhi,4.0,1.0,450.0,3300000,6600.0
Gurgaon,4.0,3.0,,20000000,13072.0
Gurgaon,4.0,3.0,1450.0,32500000,19951.0
Gurgaon,3.0,2.0,750.0,6500000,7222.0
