city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Erode,,4.0,,16000000.0,7346.0
Erode,4.0,3.0,1411.0,9600000.0,5357.0
Erode,,4.0,1600.0,13500000.0,5844.0
Erode,,1.0,,2000000.0,3333.0
Erode,,1.0,,1800000.0,3273.0
Erode,,1.0,,2500000.0,4167.0
Erode,4.0,2.0,800.0,3000000.0,
Erode,,2.0,,45000000.0,2778.0
Erode,2.0,2.0,,1600000.0,889.0
Erode,,2.0,,4320000.0,4000.0
Erode,,2.0,200.0,3000000.0,3000.0
Erode,4.0,2.0,,8050000.0,5248.0
Erode,,3.0,,4000000.0,2963.0
Erode,,1.0,783.0,4700000.0,4663.0
Erode,,2.0,,5000000.0,3333.0
Erode,1.0,3.0,1308.0,5600000.0,4000.0
Erode,1.0,2.0,961.0,4000000.0,3333.0
Erode,,3.0,1100.0,4700000.0,3133.0
Erode,4.0,2.0,,5000000.0,4010.0
Erode,,2.0,,2499999.0,3125.0
Erode,,3.0,,4000000.0,2963.0
Erode,1.0,2.0,,16500000.0,3438.0
Erode,,2.0,1000.0,2800000.0,2800.0
Erode,1.0,2.0,3280.0,23000000.0,20909.0
Erode,,3.0,,8000000.0,4706.0
Erode,,3.0,1400.0,8000000.0,5506.0
Erode,4.0,2.0,1000.0,5000000.0,3571.0
Erode,,3.0,1260.0,8000000.0,6349.0
Erode,2.0,4.0,,9800000.0,6622.0
Erode,,3.0,200.0,3700000.0,3083.0
Erode,4.0,2.0,,4000000.0,3419.0
Erode,,2.0,,8500000.0,8947.0
Erode,1.0,3.0,2100.0,11000000.0,4583.0
Erode,,3.0,,9000000.0,6194.0
Erode,1.0,3.0,,5000000.0,3448.0
Erode,,2.0,1100.0,3500000.0,2917.0
Erode,4.0,2.0,1200.0,6200000.0,6526.0
Erode,,2.0,621.0,3500000.0,5636.0
Erode,,3.0,995.0,9850000.0,6878.0
Erode,,2.0,300.0,2500000.0,2083.0
Erode,,3.0,2565.0,14000000.0,5000.0
Erode,4.0,2.0,,4800000.0,4000.0
Erode,,3.0,1685.0,8000000.0,4748.0
Erode,2.0,3.0,,2998800.0,2499.0
Erode,,3.0,1440.0,6300000.0,
Erode,,3.0,1000.0,2700000.0,2250.0
Erode,,3.0,1200.0,2800000.0,2333.0
Erode,1.0,2.0,3.0,2600000.0,
Erode,4.0,3.0,1715.0,13000000.0,6161.0
Erode,,3.0,1200.0,6000000.0,4286.0
Erode,,4.0,1600.0,13500000.0,5857.0
Erode,,2.0,1250.0,9500000.0,5655.0
Erode,5.0,2.0,,7500000.0,7553.0
Erode,1.0,2.0,900.0,9000000.0,6000.0
Erode,4.0,2.0,,6200000.0,6739.0
Erode,,3.0,500.0,3100000.0,2583.0
Erode,,2.0,1800.0,8000000.0,4310.0
Erode,,2.0,,24000000.0,20000.0
Erode,4.0,2.0,1250.0,6000000.0,4082.0
Erode,4.0,2.0,,4800000.0,4786.0
Erode,1.0,3.0,250.0,5000000.0,4000.0
Erode,1.0,2.0,,11160000.0,6200.0
Erode,1.0,2.0,,25000000.0,5208.0
Erode,2.0,5.0,6360.0,32500000.0,4344.0
Erode,,2.0,1300.0,9900000.0,7333.0
Erode,,2.0,800.0,2100000.0,2100.0
Erode,1.0,3.0,2000.0,9300000.0,7750.0
Erode,5.0,10.0,3200.0,35000000.0,12500.0
Erode,,,,48000000.0,28235.0
Erode,1.0,2.0,,7500000.0,5000.0
Erode,3.0,2.0,706.0,6500000.0,4603.0
Erode,3.0,,,35000000.0,4167.0
Erode,1.0,2.0,,5000000.0,3846.0
Erode,4.0,2.0,,3800000.0,4750.0
Erode,,2.0,950.0,4850000.0,3392.0
Erode,4.0,2.0,900.0,4000000.0,
Erode,,,,500000.0,91.0
Erode,4.0,1.0,,2000000.0,2899.0
Erode,,3.0,,16000000.0,8000.0
Erode,4.0,3.0,1840.0,17000000.0,7929.0
Erode,,3.0,2700.0,7900000.0,2821.0
Erode,,1.0,1200.0,20000000.0,16667.0
Erode,,3.0,400.0,9000000.0,5625.0
Erode,4.0,3.0,1688.0,11334384.0,5402.0
Erode,,4.0,,,
Erode,,,,,
Erode,,,,,
Erode,,,,,
Erode,,,,,
Erode,1.0,2.0,1080.0,4800000.0,4000.0
Erode,1.0,2.0,1080.0,4800000.0,4000.0
Erode,,3.0,909.0,9250000.0,7061.0
Erode,,3.0,1440.0,6300000.0,
Erode,4.0,2.0,1294.0,8718786.0,5402.0
Erode,,3.0,905.0,9200000.0,7061.0
Erode,,2.0,789.0,8960000.0,6512.0
Erode,,2.0,783.0,7830000.0,6444.0
Erode,,2.0,775.0,7800000.0,6500.0
Erode,,2.0,780.0,7850000.0,6403.0
Erode,,2.0,779.0,7900000.0,6366.0
