city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Hubli,2.0,4.0,2200.0,18500000.0,6981.0
Hubli,7.0,1.0,,2500000.0,2500.0
Hubli,4.0,2.0,799.0,3250000.0,3615.0
Hubli,3.0,2.0,950.0,6000000.0,4800.0
Hubli,8.0,2.0,620.0,3487000.0,4499.0
Hubli,2.0,1.0,,2500000.0,2717.0
Hubli,4.0,2.0,1495.0,8000000.0,5351.0
Hubli,,2.0,,11000000.0,6875.0
Hubli,,2.0,,4800000.0,4000.0
Hubli,4.0,2.0,900.0,4800000.0,4800.0
Hubli,3.0,1.0,,3000000.0,3750.0
Hubli,,,,3600000.0,2400.0
Hubli,,2.0,,4500000.0,
Hubli,,2.0,,11000000.0,938.0
Hubli,,1.0,40.0,6000000.0,200000.0
Hubli,,2.0,,3400000.0,3238.0
Hubli,,3.0,,100000.0,
Hubli,,2.0,,3000000.0,3315.0
Hubli,4.0,2.0,,5650000.0,5000.0
Hubli,1.0,2.0,1300.0,9000000.0,3750.0
Hubli,1.0,2.0,980.0,9000000.0,7745.0
Hubli,,1.0,,12000000.0,14118.0
Hubli,1.0,2.0,550.0,4699999.0,7833.0
Hubli,5.0,2.0,1500.0,7000000.0,4375.0
Hubli,3.0,2.0,1100.0,4900000.0,5078.0
Hubli,,1.0,,12000000.0,10000.0
Hubli,4.0,1.0,840.0,4000000.0,4651.0
Hubli,3.0,2.0,980.0,4000000.0,3636.0
Hubli,,3.0,,6000000.0,3713.0
Hubli,4.0,2.0,,2200000.0,3056.0
Hubli,4.0,2.0,,6700000.0,5678.0
Hubli,,3.0,,8800000.0,8800.0
Hubli,4.0,2.0,,4500000.0,4286.0
Hubli,,2.0,,12000000.0,10000.0
Hubli,4.0,2.0,1500.0,8500000.0,5152.0
Hubli,,2.0,,15500000.0,7965.0
Hubli,4.0,3.0,1500.0,7500000.0,3571.0
Hubli,3.0,2.0,980.0,7000000.0,5705.0
Hubli,1.0,1.0,1175.0,7800000.0,
Hubli,,2.0,,3600000.0,3396.0
Hubli,3.0,3.0,1700.0,6750000.0,
Hubli,3.0,2.0,680.0,2400000.0,2759.0
Hubli,,2.0,,40500000.0,33750.0
Hubli,4.0,2.0,,4000000.0,5594.0
Hubli,3.0,2.0,1100.0,8000000.0,6667.0
Hubli,,1.0,,5000000.0,8333.0
Hubli,3.0,2.0,,5500000.0,3991.0
Hubli,,3.0,,23500000.0,6351.0
Hubli,,2.0,200.0,100000.0,
Hubli,4.0,2.0,,4200000.0,3818.0
Hubli,3.0,2.0,1035.0,6000000.0,5797.0
Hubli,4.0,2.0,1409.0,12500000.0,8872.0
Hubli,1.0,2.0,620.0,9500000.0,13571.0
Hubli,,2.0,,5000000.0,3333.0
Hubli,4.0,2.0,757.0,5900000.0,5144.0
Hubli,3.0,1.0,970.0,5000000.0,5000.0
Hubli,3.0,1.0,1000.0,3500000.0,3500.0
Hubli,3.0,2.0,1100.0,5500000.0,3929.0
Hubli,3.0,2.0,,4500000.0,3913.0
Hubli,3.0,1.0,700.0,2500000.0,3571.0
Hubli,5.0,2.0,,5700000.0,6264.0
Hubli,,,,6150000.0,5125.0
Hubli,,1.0,550.0,5000000.0,8333.0
Hubli,1.0,4.0,1900.0,12500000.0,5435.0
Hubli,,2.0,,300000.0,300.0
Hubli,,4.0,1800.0,12000000.0,10000.0
Hubli,4.0,2.0,742.0,2600000.0,3159.0
Hubli,,2.0,581.0,7000000.0,6250.0
Hubli,,1.0,,32175000.0,7500.0
Hubli,5.0,3.0,1500.0,12000000.0,6486.0
Hubli,4.0,3.0,1789.0,12650000.0,5673.0
Hubli,,2.0,,5100000.0,4250.0
Hubli,3.0,2.0,660.0,4600000.0,5974.0
Hubli,2.0,1.0,,10000000.0,5714.0
Hubli,5.0,3.0,,7000000.0,6667.0
Hubli,1.0,2.0,850.0,9500000.0,9500.0
Hubli,,3.0,,14000000.0,7778.0
Hubli,,1.0,850.0,7300000.0,6083.0
Hubli,4.0,2.0,800.0,4500000.0,5000.0
Hubli,4.0,2.0,121.0,8000000.0,6142.0
Hubli,11.0,3.0,,6200000.0,4429.0
Hubli,4.0,2.0,1000.0,4450000.0,
Hubli,,2.0,600.0,3900000.0,
Hubli,3.0,2.0,,3500000.0,2917.0
Hubli,4.0,1.0,,3000000.0,3571.0
Hubli,4.0,2.0,,4060000.0,3500.0
Hubli,3.0,2.0,,4900000.0,4804.0
Hubli,3.0,1.0,640.0,3100000.0,4189.0
Hubli,6.0,2.0,,5000000.0,3546.0
Hubli,4.0,2.0,,8000000.0,6944.0
Hubli,4.0,2.0,1150.0,6000000.0,5217.0
Hubli,3.0,2.0,,4700000.0,4163.0
Hubli,,,,,
Hubli,,,,,
Hubli,,,,,
Hubli,,,,,
Hubli,3.0,2.0,950.0,600000.0,480.0
Hubli,4.0,2.0,1500.0,8500000.0,5152.0
Hubli,1.0,1.0,,7500000.0,6383.0
