city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Hyderabad,,3,,17651400,9490.0
Hyderabad,,2,,9077000,7699.0
Hyderabad,,3,,15058000,8188.0
Hyderabad,,2,1150.0,9700000,8083.0
Hyderabad,11.0,2,,10500000,8544.0
Hyderabad,,3,1820.0,19000000,9784.0
Hyderabad,5.0,2,950.0,6500000,5417.0
Hyderabad,5.0,3,1700.0,10900000,6412.0
Hyderabad,3.0,2,,4200000,4200.0
Hyderabad,5.0,2,1060.0,6500000,5603.0
Hyderabad,9.0,3,,4900000,3318.0
Hyderabad,4.0,2,1005.0,5990000,5960.0
Hyderabad,14.0,3,1360.0,3675000,2188.0
Hyderabad,,3,1600.0,18300000,10167.0
Hyderabad,5.0,2,850.0,4200000,4667.0
Hyderabad,15.0,2,1300.0,10500000,7473.0
Hyderabad,8.0,2,1121.0,8500000,6605.0
Hyderabad,10.0,3,1596.0,14900000,6963.0
Hyderabad,17.0,3,1665.0,9500000,5588.0
Hyderabad,30.0,3,,17600000,8961.0
Hyderabad,5.0,2,1260.0,9500000,6013.0
Hyderabad,9.0,2,855.0,5630000,5895.0
Hyderabad,2.0,4,,11200000,5091.0
Hyderabad,5.0,3,1480.0,9056000,5556.0
Hyderabad,5.0,3,1450.0,12000000,8000.0
Hyderabad,7.0,2,1050.0,9800000,7840.0
Hyderabad,31.0,3,,23160000,12000.0
Hyderabad,5.0,2,1413.0,9900000,6828.0
Hyderabad,,3,2000.0,20000000,9137.0
Hyderabad,5.0,3,1231.0,11500000,6725.0
Hyderabad,9.0,3,2000.0,18000000,8392.0
Hyderabad,,3,2850.0,16000000,5333.0
Hyderabad,,2,1200.0,7800000,6500.0
Hyderabad,,2,900.0,18000000,17751.0
Hyderabad,,3,,12500000,8356.0
Hyderabad,5.0,2,1150.0,6923000,5837.0
Hyderabad,12.0,2,,9000000,7531.0
Hyderabad,33.0,3,,14500000,8967.0
Hyderabad,8.0,3,1850.0,18500000,8186.0
Hyderabad,40.0,3,,6400000,3798.0
Hyderabad,5.0,2,1260.0,8100000,6429.0
Hyderabad,5.0,3,2000.0,10000000,4852.0
Hyderabad,9.0,2,1094.0,9000000,8182.0
Hyderabad,4.0,2,900.0,5200000,4333.0
Hyderabad,,3,2200.0,21000000,13972.0
Hyderabad,35.0,2,,20000000,13405.0
Hyderabad,,2,2400.0,25000000,17921.0
Hyderabad,4.0,2,760.0,7500000,9375.0
Hyderabad,40.0,2,,14400000,9290.0
Hyderabad,50.0,3,1600.0,17000000,8682.0
Hyderabad,,2,900.0,8000000,7692.0
Hyderabad,16.0,3,1800.0,21000000,10500.0
Hyderabad,,2,2900.0,55000000,18333.0
Hyderabad,5.0,3,1218.0,8600000,5882.0
Hyderabad,6.0,2,1100.0,7000000,5858.0
Hyderabad,5.0,3,1400.0,16000000,9440.0
Hyderabad,5.0,3,2000.0,14800000,7202.0
Hyderabad,5.0,3,1100.0,4600000,3680.0
Hyderabad,5.0,2,987.0,6000000,5455.0
Hyderabad,5.0,2,1200.0,8000000,6088.0
Hyderabad,5.0,2,,6000000,4396.0
Hyderabad,5.0,2,1390.0,8000000,5517.0
Hyderabad,5.0,3,,10500000,6195.0
Hyderabad,4.0,3,3700.0,67496250,17999.0
Hyderabad,,2,890.0,15500000,15500.0
Hyderabad,9.0,2,,10500000,8592.0
Hyderabad,5.0,3,1500.0,12500000,7896.0
Hyderabad,5.0,3,1620.0,15300000,7990.0
Hyderabad,6.0,2,,12000000,8850.0
Hyderabad,24.0,2,1600.0,17500000,10568.0
Hyderabad,5.0,3,1595.0,11500000,6571.0
Hyderabad,40.0,3,1800.0,24500000,11239.0
Hyderabad,5.0,2,1185.0,6400000,4621.0
Hyderabad,5.0,3,1780.0,19000000,10857.0
Hyderabad,14.0,2,,11900000,8530.0
Hyderabad,4.0,2,1074.0,5900000,4917.0
Hyderabad,5.0,3,1245.0,13500000,9541.0
Hyderabad,10.0,3,1445.0,14500000,9046.0
Hyderabad,5.0,3,,17500000,10606.0
Hyderabad,4.0,2,1100.0,10500000,7721.0
Hyderabad,4.0,3,1200.0,7850000,6038.0
Hyderabad,3.0,2,800.0,6500000,7647.0
Hyderabad,5.0,3,1500.0,10000000,5277.0
Hyderabad,6.0,4,2000.0,22000000,8478.0
Hyderabad,33.0,2,,9000000,8108.0
Hyderabad,,2,90.0,11000000,12222.0
Hyderabad,40.0,3,1600.0,19500000,10026.0
Hyderabad,33.0,2,780.0,9500000,8559.0
Hyderabad,5.0,2,1540.0,12000000,7059.0
Hyderabad,,2,,21000000,9722.0
Hyderabad,47.0,2,1046.0,13800000,10299.0
Hyderabad,12.0,2,1705.0,9034795,
Hyderabad,4.0,3,1800.0,13500000,6136.0
Hyderabad,5.0,2,1000.0,6700000,4891.0
Hyderabad,5.0,2,1300.0,8700000,6192.0
Hyderabad,5.0,2,1160.0,6300000,5000.0
Hyderabad,30.0,2,1300.0,8500000,5667.0
Hyderabad,19.0,3,1900.0,19000000,9664.0
Hyderabad,5.0,3,1800.0,14000000,
Hyderabad,3.0,3,1800.0,18000000,9269.0
Hyderabad,14.0,2,1050.0,12000000,8054.0
Hyderabad,5.0,3,1650.0,16200000,9529.0
Hyderabad,10.0,2,960.0,9500000,7540.0
Hyderabad,5.0,2,,5517500,5518.0
Hyderabad,3.0,2,1050.0,6000000,5217.0
Hyderabad,,3,,16500000,8730.0
Hyderabad,,4,2942.0,45000000,14754.0
Hyderabad,15.0,3,1227.0,18000000,10262.0
Hyderabad,5.0,3,,6650000,4539.0
Hyderabad,5.0,3,1800.0,17500000,7778.0
Hyderabad,35.0,3,1500.0,26800000,12618.0
Hyderabad,3.0,2,1312.0,7000000,5335.0
Hyderabad,14.0,3,1600.0,10800000,6353.0
Hyderabad,4.0,3,,14000000,7345.0
Hyderabad,4.0,3,850.0,7100000,7889.0
Hyderabad,15.0,3,1750.0,12500000,6944.0
Hyderabad,39.0,3,,25000000,10707.0
Hyderabad,34.0,4,2930.0,44000000,10824.0
Hyderabad,4.0,2,,4900000,5026.0
Hyderabad,5.0,2,900.0,6899999,5948.0
Hyderabad,42.0,3,,14500000,9452.0
Hyderabad,2.0,2,975.0,5700000,5758.0
Hyderabad,10.0,2,,8800000,8405.0
Hyderabad,12.0,3,1855.0,12400000,6685.0
Hyderabad,5.0,2,1150.0,8700000,7565.0
Hyderabad,5.0,3,1550.0,7000000,6364.0
Hyderabad,5.0,2,,8500000,7013.0
Hyderabad,5.0,3,1800.0,25000000,13383.0
Hyderabad,4.0,2,700.0,3200000,4324.0
Hyderabad,5.0,2,,5600000,4870.0
Hyderabad,5.0,2,900.0,5700000,6196.0
Hyderabad,10.0,2,950.0,4900000,4689.0
Hyderabad,7.0,2,1200.0,8888888,7111.0
Hyderabad,4.0,3,1385.0,15000000,9677.0
Hyderabad,22.0,3,,14600000,7787.0
Hyderabad,39.0,2,1200.0,8800000,6592.0
Hyderabad,5.0,2,1500.0,9000000,5882.0
Hyderabad,5.0,2,1230.0,6600000,5366.0
Hyderabad,4.0,2,800.0,6000000,7362.0
Hyderabad,4.0,3,1450.0,8000000,5128.0
Hyderabad,5.0,3,1320.0,11000000,6509.0
Hyderabad,5.0,2,1232.0,10200000,7074.0
Hyderabad,,5,3800.0,35000000,9211.0
Hyderabad,,2,1250.0,7000000,4828.0
Hyderabad,19.0,3,2350.0,35000000,14228.0
Hyderabad,,4,800.0,10500000,12027.0
Hyderabad,5.0,2,,8800000,7273.0
Hyderabad,5.0,2,1300.0,9500000,7170.0
Hyderabad,8.0,3,,6500000,4508.0
Hyderabad,5.0,2,1053.0,6200000,5377.0
Hyderabad,34.0,3,2244.0,31000000,13815.0
Hyderabad,2.0,3,2950.0,29900000,9967.0
Hyderabad,5.0,3,,12000000,6163.0
Hyderabad,5.0,2,1200.0,7200000,5714.0
Hyderabad,5.0,2,,12400000,9575.0
Hyderabad,5.0,2,1200.0,7400000,458.0
Hyderabad,40.0,3,2500.0,25000000,9766.0
Hyderabad,5.0,2,1050.0,6200000,5586.0
Hyderabad,17.0,2,1000.0,3660000,3327.0
Hyderabad,15.0,3,2450.0,24500000,9115.0
Hyderabad,5.0,4,1600.0,8100000,4927.0
Hyderabad,5.0,2,1120.0,5500000,4508.0
Hyderabad,5.0,2,1000.0,6500000,5417.0
Hyderabad,5.0,2,1050.0,5000000,4545.0
Hyderabad,14.0,2,,9500000,6965.0
Hyderabad,9.0,2,1081.0,13200000,10353.0
Hyderabad,10.0,3,2252.0,19150000,8504.0
Hyderabad,4.0,3,1350.0,9300000,5407.0
Hyderabad,,5,4600.0,32500000,7065.0
Hyderabad,2.0,2,963.0,14000000,7368.0
Hyderabad,5.0,3,1100.0,8500000,6182.0
Hyderabad,,3,2560.0,19200000,7500.0
Hyderabad,30.0,2,1400.0,15000000,10504.0
Hyderabad,6.0,2,1300.0,5700000,4266.0
Hyderabad,5.0,3,,12200000,7354.0
Hyderabad,20.0,3,1742.0,27550000,14500.0
Hyderabad,5.0,2,685.0,4900000,5385.0
Hyderabad,5.0,2,785.0,6500000,7143.0
Hyderabad,4.0,2,1050.0,8000000,6667.0
Hyderabad,13.0,2,,8645000,6500.0
Hyderabad,5.0,2,852.0,7300000,5840.0
Hyderabad,,3,,13000000,9259.0
Hyderabad,13.0,3,,9800000,5506.0
Hyderabad,36.0,3,,19500000,11143.0
Hyderabad,5.0,3,1838.0,9200000,4600.0
Hyderabad,5.0,3,1275.0,12000000,8276.0
Hyderabad,15.0,3,1820.0,22500000,12363.0
Hyderabad,33.0,2,685.0,9000000,8108.0
Hyderabad,6.0,2,,4800000,5333.0
Hyderabad,,2,1450.0,12000000,8108.0
Hyderabad,5.0,3,2100.0,23000000,10550.0
Hyderabad,5.0,2,,14000000,8889.0
Hyderabad,10.0,3,1700.0,12000000,6957.0
Hyderabad,5.0,2,1100.0,5200000,4333.0
Hyderabad,5.0,3,,41500000,13030.0
Hyderabad,5.0,2,1000.0,7000000,6087.0
Hyderabad,,2,1000.0,6500000,6417.0
Hyderabad,12.0,3,2185.0,16000000,6957.0
Hyderabad,5.0,2,1400.0,8700000,4899.0
Hyderabad,4.0,3,1700.0,16200000,7232.0
Hyderabad,16.0,2,,11500000,7953.0
Hyderabad,,3,150.0,6500000,5417.0
Hyderabad,8.0,2,1270.0,16230000,9988.0
Hyderabad,,2,,11500000,8191.0
Hyderabad,5.0,2,1000.0,11800000,9736.0
Hyderabad,5.0,2,1000.0,7500000,6545.0
Hyderabad,33.0,2,,10300000,7613.0
Hyderabad,3.0,2,1500.0,6000000,3927.0
Hyderabad,14.0,2,1065.0,9000000,8257.0
Hyderabad,4.0,2,760.0,3800000,3958.0
Hyderabad,5.0,3,1940.0,17500000,8750.0
Hyderabad,14.0,3,1851.0,17000000,7727.0
Hyderabad,14.0,2,861.0,6000000,
Hyderabad,4.0,2,1370.0,20000000,14706.0
Hyderabad,18.0,3,1860.0,9050000,
Hyderabad,5.0,2,1100.0,7800000,6627.0
Hyderabad,44.0,2,,22500000,13473.0
Hyderabad,,2,900.0,7000000,6306.0
Hyderabad,10.0,3,1895.0,19500000,10290.0
Hyderabad,5.0,2,850.0,7000000,7000.0
Hyderabad,22.0,3,2785.0,38433000,13800.0
Hyderabad,,2,163.0,9500000,7308.0
Hyderabad,4.0,2,1150.0,6150000,5125.0
Hyderabad,50.0,3,1600.0,18500000,10902.0
Hyderabad,4.0,2,1100.0,6800000,5913.0
Hyderabad,4.0,2,,4200000,4200.0
Hyderabad,7.0,2,1000.0,4500000,4377.0
Hyderabad,10.0,3,,16500000,9786.0
Hyderabad,39.0,3,1100.0,17500000,10697.0
Hyderabad,17.0,3,1500.0,12000000,7207.0
Hyderabad,7.0,3,,14000000,9365.0
Hyderabad,5.0,2,,6500000,7647.0
Hyderabad,9.0,3,,13300000,6488.0
Hyderabad,,3,1630.0,15500000,9118.0
Hyderabad,3.0,2,880.0,4100000,4184.0
Hyderabad,6.0,2,,9000000,6122.0
Hyderabad,,2,1231.0,16500000,11037.0
Hyderabad,5.0,2,1150.0,10200000,7260.0
Hyderabad,5.0,2,1200.0,9000000,
Hyderabad,5.0,3,1140.0,11000000,7237.0
Hyderabad,5.0,2,850.0,3200000,4156.0
Hyderabad,10.0,3,1800.0,13500000,7124.0
Hyderabad,,3,1940.0,24500000,11667.0
Hyderabad,15.0,2,1525.0,11000000,6832.0
Hyderabad,14.0,3,1654.0,18500000,10882.0
Hyderabad,20.0,3,2000.0,22500000,10417.0
Hyderabad,4.0,2,,2850000,4560.0
Hyderabad,5.0,2,1250.0,6900000,5235.0
Hyderabad,5.0,2,1245.0,12000000,9600.0
Hyderabad,5.0,2,1000.0,6000000,4511.0
Hyderabad,32.0,3,1258.0,23800000,13662.0
Hyderabad,5.0,2,800.0,6500000,5804.0
Hyderabad,14.0,3,2000.0,26000000,12621.0
Hyderabad,14.0,2,1250.0,11000000,8574.0
Hyderabad,5.0,2,1045.0,5800000,5292.0
Hyderabad,40.0,3,1650.0,19500000,10484.0
Hyderabad,5.0,2,697.0,4000000,5000.0
Hyderabad,,3,1300.0,11000000,7639.0
Hyderabad,10.0,2,,5000000,5848.0
Hyderabad,14.0,3,,14854000,6100.0
Hyderabad,16.0,3,1452.0,15400000,8780.0
Hyderabad,4.0,2,1050.0,4500000,4091.0
Hyderabad,5.0,3,1400.0,15000000,9677.0
Hyderabad,15.0,3,2500.0,24000000,9302.0
Hyderabad,5.0,2,1060.0,5300000,4569.0
Hyderabad,5.0,2,1440.0,7450000,4838.0
Hyderabad,5.0,2,750.0,4200000,4393.0
Hyderabad,9.0,3,,26000000,13165.0
Hyderabad,10.0,3,1700.0,25000000,13617.0
