city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Indore,,3.0,,9322500,5500.0
Indore,,3.0,,9900000,5824.0
Indore,3.0,3.0,2250.0,13500000,6000.0
Indore,5.0,2.0,885.0,5200000,6118.0
Indore,,1.0,,3251000,5418.0
Indore,4.0,2.0,650.0,1800000,2225.0
Indore,4.0,3.0,,10500000,7836.0
Indore,3.0,2.0,,5800000,5043.0
Indore,,3.0,,4650000,5167.0
Indore,6.0,2.0,,6200000,5167.0
Indore,5.0,3.0,1400.0,14000000,7368.0
Indore,6.0,2.0,,3350000,3988.0
Indore,,3.0,1300.0,14000000,6364.0
Indore,10.0,3.0,,27000000,9963.0
Indore,5.0,2.0,,2500000,2381.0
Indore,6.0,2.0,1011.0,4250000,3111.0
Indore,5.0,2.0,,3700001,4625.0
Indore,6.0,3.0,,8500000,4971.0
Indore,,2.0,1320.0,6500000,5909.0
Indore,3.0,2.0,,4400000,4681.0
Indore,9.0,2.0,900.0,5500000,5832.0
Indore,6.0,3.0,,8100000,4751.0
Indore,6.0,2.0,800.0,4250000,4138.0
Indore,,4.0,,8800000,8800.0
Indore,6.0,2.0,,6000000,5929.0
Indore,9.0,2.0,800.0,3700000,4625.0
Indore,10.0,2.0,800.0,7500000,6250.0
Indore,5.0,3.0,,12000000,8889.0
Indore,2.0,3.0,1450.0,10000000,6250.0
Indore,7.0,3.0,,17500000,9067.0
Indore,6.0,2.0,649.0,1925000,2151.0
Indore,,2.0,,6000000,4000.0
Indore,6.0,2.0,,5600000,4882.0
Indore,5.0,2.0,590.0,2500000,4167.0
Indore,4.0,2.0,870.0,4000000,4598.0
Indore,5.0,2.0,,5200000,4952.0
Indore,4.0,2.0,,2980000,3421.0
Indore,,4.0,600.0,4500000,7500.0
Indore,14.0,2.0,720.0,6300000,5575.0
Indore,12.0,3.0,1595.0,17355000,7500.0
Indore,,3.0,2153.0,25000000,11364.0
Indore,4.0,3.0,,12500000,7319.0
Indore,,3.0,1000.0,4500000,4500.0
Indore,3.0,3.0,900.0,12300000,5467.0
Indore,,3.0,750.0,2270000,
Indore,6.0,2.0,720.0,4500000,4569.0
Indore,,2.0,,1700000,2125.0
Indore,,3.0,,4540000,3027.0
Indore,,3.0,,5250000,3500.0
Indore,,3.0,,5600000,3500.0
Indore,,3.0,,7120000,3499.0
Indore,,2.0,,5800000,5263.0
Indore,,3.0,,12000000,16000.0
