city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Jabalpur,4.0,2,625.0,2450000,2130.0
Jabalpur,7.0,2,660.0,3200000,3441.0
Jabalpur,5.0,3,1350.0,7500000,5000.0
Jabalpur,3.0,3,1016.0,7500000,3383.0
Jabalpur,6.0,2,786.0,5000000,
Jabalpur,5.0,2,990.0,4500000,
Jabalpur,,2,1400.0,7200000,4235.0
Jabalpur,,2,1285.0,11000000,8333.0
Jabalpur,,3,,5500000,3986.0
Jabalpur,3.0,2,,2465000,2047.0
Jabalpur,,3,990.0,7800000,3900.0
Jabalpur,6.0,2,600.0,3500000,3043.0
Jabalpur,5.0,2,1000.0,5500000,5500.0
Jabalpur,2.0,2,1000.0,2500000,2500.0
Jabalpur,7.0,2,900.0,3500000,3182.0
Jabalpur,,3,1080.0,6900000,9583.0
Jabalpur,3.0,1,,2500000,3571.0
Jabalpur,,3,1700.0,7000000,5385.0
Jabalpur,4.0,2,1000.0,3800000,3582.0
Jabalpur,2.0,3,,4000000,3200.0
Jabalpur,,3,,4000000,
Jabalpur,,3,,8400000,6109.0
Jabalpur,,2,720.0,1100000,880.0
Jabalpur,,2,,3500000,2823.0
Jabalpur,,2,,3500000,4730.0
Jabalpur,,3,,5000000,6211.0
Jabalpur,,2,,4200000,4667.0
Jabalpur,,1,,10000000,4762.0
Jabalpur,,2,,800000,1333.0
Jabalpur,,3,755.0,6400000,6737.0
Jabalpur,,2,,1000000,2000.0
Jabalpur,,3,900.0,5500000,2821.0
Jabalpur,5.0,2,900.0,4500000,4091.0
Jabalpur,3.0,1,,3500000,7000.0
Jabalpur,,3,750.0,6500000,8667.0
Jabalpur,7.0,2,800.0,3300000,3548.0
Jabalpur,,3,750.0,5000000,6250.0
Jabalpur,4.0,2,,2100000,1826.0
Jabalpur,,2,,4500000,4500.0
Jabalpur,,1,900.0,3800000,1949.0
Jabalpur,,2,,2000000,2000.0
Jabalpur,,3,1000.0,5800000,5800.0
Jabalpur,4.0,2,700.0,2200000,1964.0
Jabalpur,,2,600.0,2300000,3833.0
Jabalpur,,2,,2500000,2500.0
Jabalpur,,3,3000.0,13000000,4194.0
Jabalpur,3.0,1,,2200000,1375.0
Jabalpur,1.0,2,1000.0,3600000,3364.0
Jabalpur,,2,1000.0,1550000,1550.0
Jabalpur,,3,920.0,5500000,3235.0
Jabalpur,7.0,2,1050.0,5000000,4167.0
Jabalpur,1.0,3,,17000000,7083.0
Jabalpur,,2,800.0,6500000,8125.0
Jabalpur,3.0,2,,3000000,3750.0
Jabalpur,,2,,3400000,3400.0
Jabalpur,,3,,14000000,14000.0
Jabalpur,3.0,1,,3500000,7000.0
Jabalpur,10.0,2,,2199000,2199.0
Jabalpur,1.0,2,1050.0,4500000,3600.0
Jabalpur,,3,745.0,6200000,8267.0
Jabalpur,1.0,2,,3500000,3500.0
Jabalpur,2.0,2,475.0,4200000,8400.0
Jabalpur,,3,,5200000,4000.0
Jabalpur,4.0,2,,2300000,2091.0
Jabalpur,8.0,3,,3400000,3400.0
Jabalpur,,2,,2300000,3067.0
Jabalpur,3.0,1,,4000000,5333.0
Jabalpur,8.0,2,900.0,3000000,3000.0
Jabalpur,2.0,3,,7500000,3409.0
Jabalpur,,2,,1850000,2056.0
Jabalpur,2.0,2,,800000,800.0
Jabalpur,,2,,2300000,5227.0
Jabalpur,,3,,3000000,4167.0
Jabalpur,3.0,2,,3000000,3750.0
Jabalpur,5.0,3,,6000000,4301.0
Jabalpur,4.0,2,,6800000,5667.0
Jabalpur,,3,,3500000,2917.0
Jabalpur,,2,650.0,2800000,3862.0
Jabalpur,,2,,4500000,6923.0
Jabalpur,,3,820.0,3500000,2652.0
Jabalpur,2.0,4,1600.0,13000000,5909.0
Jabalpur,10.0,2,1000.0,2500000,2500.0
Jabalpur,4.0,2,,4100000,4824.0
Jabalpur,,2,600.0,3500000,2917.0
Jabalpur,2.0,2,,2400000,2824.0
Jabalpur,,3,,4500000,3462.0
Jabalpur,1.0,2,900.0,2000000,2222.0
Jabalpur,1.0,2,,3000000,4000.0
Jabalpur,,3,1100.0,11500000,4792.0
Jabalpur,5.0,2,,4500000,5000.0
Jabalpur,2.0,3,800.0,7000000,3784.0
Jabalpur,3.0,2,750.0,30300000,40400.0
Jabalpur,3.0,2,508.0,2600000,3730.0
Jabalpur,,2,700.0,2000000,2000.0
Jabalpur,1.0,1,,4500000,7500.0
Jabalpur,1.0,2,1300.0,4000000,2667.0
Jabalpur,2.0,2,,4000000,5000.0
Jabalpur,5.0,2,1200.0,5800000,4462.0
Jabalpur,,2,,3500000,3500.0
Jabalpur,3.0,3,1300.0,2300000,
Jabalpur,,4,2332.0,12500000,5319.0
Jabalpur,,1,700.0,3500000,4375.0
Jabalpur,,2,1050.0,4500000,4286.0
Jabalpur,4.0,2,,3000000,4000.0
Jabalpur,,1,480.0,3500000,4375.0
Jabalpur,,2,900.0,5500000,2821.0
Jabalpur,,2,1200.0,15500000,5167.0
Jabalpur,1.0,2,,1800000,2000.0
Jabalpur,3.0,2,1050.0,7200000,6400.0
Jabalpur,2.0,3,2400.0,10500000,10500.0
Jabalpur,6.0,2,810.0,3400000,3238.0
Jabalpur,6.0,3,,15000000,10563.0
Jabalpur,4.0,2,570.0,2700000,3857.0
Jabalpur,1.0,2,,3900000,4333.0
Jabalpur,,2,1000.0,4600000,4600.0
Jabalpur,3.0,2,922.0,3500000,2917.0
Jabalpur,,3,1116.0,13500000,6750.0
Jabalpur,,2,700.0,3099000,3874.0
Jabalpur,,2,860.0,2900000,3372.0
Jabalpur,,2,750.0,3000000,4000.0
Jabalpur,1.0,1,700.0,2500000,3333.0
Jabalpur,7.0,2,,5500000,4553.0
Jabalpur,,3,1920.0,9000000,5455.0
Jabalpur,8.0,3,,12000000,5630.0
Jabalpur,2.0,2,800.0,850000,850.0
Jabalpur,2.0,2,,5200000,3333.0
Jabalpur,1.0,3,,8000000,5000.0
Jabalpur,,2,800.0,3500000,4375.0
Jabalpur,,2,900.0,5500000,2821.0
Jabalpur,,2,,4000000,4000.0
Jabalpur,2.0,3,,8600000,4778.0
Jabalpur,,1,1850.0,17000000,9189.0
Jabalpur,,3,,8000000,8000.0
Jabalpur,,3,1200.0,5500000,4583.0
Jabalpur,7.0,3,,5500000,3667.0
Jabalpur,3.0,3,,6500000,5417.0
Jabalpur,2.0,2,,9000000,8182.0
Jabalpur,4.0,2,,5000000,3931.0
Jabalpur,,4,,4500000,6000.0
Jabalpur,4.0,2,,4500000,5045.0
Jabalpur,,2,,2800000,3500.0
Jabalpur,,2,,2500000,2083.0
Jabalpur,10.0,2,850.0,3800000,3167.0
Jabalpur,,2,800.0,550000,688.0
Jabalpur,,4,2000.0,11500000,4600.0
Jabalpur,,3,1250.0,6500000,
Jabalpur,1.0,2,,7500000,5000.0
Jabalpur,1.0,2,1000.0,2950000,
Jabalpur,,2,900.0,5500000,2821.0
Jabalpur,,3,570.0,3500000,2823.0
Jabalpur,,3,1000.0,9500000,3800.0
Jabalpur,,3,1600.0,9000000,5625.0
Jabalpur,4.0,2,1100.0,5000000,4167.0
Jabalpur,,3,,9500000,5938.0
Jabalpur,2.0,3,720.0,4999000,3333.0
Jabalpur,,2,920.0,3200000,3200.0
Jabalpur,,3,,7500000,4545.0
Jabalpur,8.0,2,1000.0,7400000,5692.0
Jabalpur,1.0,2,850.0,2100000,2100.0
Jabalpur,5.0,2,,3000000,4286.0
Jabalpur,,3,800.0,7500000,6250.0
Jabalpur,2.0,2,,2200000,3284.0
Jabalpur,4.0,2,600.0,3300000,4714.0
Jabalpur,7.0,2,,3500000,4667.0
Jabalpur,,3,,7500000,5769.0
Jabalpur,2.0,4,,13000000,7429.0
Jabalpur,2.0,2,,7740000,4300.0
Jabalpur,,2,,7000000,10000.0
Jabalpur,,3,,3650000,2473.0
Jabalpur,,2,1000.0,7000000,3500.0
Jabalpur,,3,,7000000,5645.0
Jabalpur,3.0,2,,4200000,4286.0
Jabalpur,,2,1000.0,3000000,3000.0
Jabalpur,4.0,2,,2400000,2824.0
Jabalpur,2.0,3,948.0,4300000,3308.0
Jabalpur,,2,1000.0,11500000,11500.0
Jabalpur,1.0,2,,3700000,3700.0
Jabalpur,2.0,2,800.0,2500000,5682.0
Jabalpur,,3,2400.0,10000000,
Jabalpur,,2,200.0,800000,1000.0
