city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Jaipur,,,,6500000,6268.0
Jaipur,11.0,,,4800000,3299.0
Jaipur,2.0,,,1500000,2632.0
Jaipur,,,,6000000,6316.0
Jaipur,9.0,,,3700000,4405.0
Jaipur,3.0,,,3500000,3590.0
Jaipur,17.0,,,8600000,4802.0
Jaipur,9.0,,,7600000,4130.0
Jaipur,11.0,,,7500000,7075.0
Jaipur,3.0,,,4500000,4500.0
Jaipur,2.0,,,5000000,
Jaipur,1.0,,,20000000,11111.0
Jaipur,,,,4000000,4000.0
Jaipur,4.0,,,5800000,4296.0
Jaipur,4.0,,,4000000,3478.0
Jaipur,,,,6000000,4906.0
Jaipur,8.0,,,2650000,3630.0
Jaipur,,,,17500000,16478.0
Jaipur,19.0,,,4400000,4259.0
Jaipur,13.0,,,3000000,2606.0
Jaipur,4.0,,,6700000,5317.0
Jaipur,14.0,,,4400000,3101.0
Jaipur,10.0,,,6900000,5223.0
Jaipur,,,,1825000,2433.0
Jaipur,12.0,,,5500000,5419.0
Jaipur,5.0,,,4200000,2917.0
Jaipur,3.0,,,4800000,3200.0
Jaipur,2.0,,,4100000,3565.0
Jaipur,9.0,,,39900000,12296.0
Jaipur,,,,3840000,2515.0
Jaipur,6.0,,,4000000,2892.0
Jaipur,6.0,,,6850000,5261.0
Jaipur,4.0,,,9500000,5588.0
Jaipur,10.0,,,3800000,3602.0
Jaipur,3.0,,,14500000,9367.0
Jaipur,4.0,,,17000000,9714.0
Jaipur,18.0,,,8900000,8582.0
Jaipur,6.0,,,13770000,8100.0
Jaipur,6.0,,,6600000,4400.0
Jaipur,2.0,,,4500000,4091.0
Jaipur,11.0,,,5300000,5000.0
Jaipur,6.0,,,11000000,6769.0
Jaipur,2.0,,,5200000,3714.0
Jaipur,,,,20000000,16000.0
Jaipur,4.0,,,14500000,8631.0
Jaipur,,,,6000000,4310.0
Jaipur,7.0,,,6200000,3863.0
Jaipur,16.0,,,12500000,7673.0
Jaipur,14.0,,,14000000,8621.0
Jaipur,13.0,,,9800000,5444.0
Jaipur,42.0,,,6300000,5008.0
Jaipur,3.0,,,3500000,4375.0
Jaipur,11.0,,,2950000,4063.0
Jaipur,,,,34000000,14932.0
Jaipur,2.0,,,4150000,4611.0
Jaipur,4.0,,,5500000,4231.0
Jaipur,11.0,,,4000000,6211.0
Jaipur,16.0,,,10700000,9935.0
Jaipur,4.0,,,9500000,6552.0
Jaipur,4.0,,,2779000,2647.0
Jaipur,,,,4100000,6613.0
Jaipur,,,,8500000,
Jaipur,12.0,,,3300000,4533.0
Jaipur,,,,15000000,8210.0
Jaipur,5.0,,,17300000,7991.0
Jaipur,3.0,,,15500000,7692.0
Jaipur,4.0,,,4200000,3333.0
Jaipur,6.0,,,6800000,4857.0
Jaipur,14.0,,,13700000,6432.0
Jaipur,3.0,,,4900000,2970.0
Jaipur,,,,14500000,16111.0
Jaipur,,,,9900000,5500.0
Jaipur,11.0,,,7100000,4410.0
Jaipur,12.0,,,7476600,5100.0
Jaipur,5.0,,,3200000,3368.0
Jaipur,,,,15000000,8333.0
Jaipur,,,,57500000,17969.0
Jaipur,,,,3330000,3330.0
Jaipur,,,,3600000,3333.0
Jaipur,,,,5240000,3327.0
Jaipur,,,,1660000,1443.0
Jaipur,,,,2170000,1447.0
Jaipur,,,,12330000,7253.0
Jaipur,,,,1660000,1443.0
Jaipur,9.0,,,4500000,4455.0
Jaipur,12.0,,,5500000,6243.0
Jaipur,3.0,,,1150000,
Jaipur,4.0,,,3000000,2609.0
Jaipur,4.0,,,4200000,3818.0
Jaipur,3.0,,,3700000,3442.0
Jaipur,3.0,,,1300000,1083.0
Jaipur,,,,3100000,2583.0
Jaipur,,,,3700000,4625.0
Jaipur,,,,10500000,9545.0
Jaipur,,,,2140000,1446.0
Jaipur,,,,2310000,1444.0
Jaipur,,,,5810000,3330.0
Jaipur,,,,9580000,3330.0
Jaipur,,,,6230000,3332.0
Jaipur,,,,3330000,3330.0
Jaipur,,,,4830000,3331.0
Jaipur,,,,2330000,
Jaipur,,,,2020000,1443.0
Jaipur,,,,4990000,
Jaipur,,,,4340000,3326.0
Jaipur,18.0,,,4600000,5169.0
Jaipur,3.0,,,3000000,3000.0
Jaipur,3.0,,,7000000,6364.0
Jaipur,11.0,,,2400000,
Jaipur,10.0,,,850000,548.0
Jaipur,,,,4500000,3103.0
Jaipur,,,,3200000,3556.0
