city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Jamnagar,5.0,2.0,,4200000.0,4200.0
Jamnagar,4.0,3.0,1550.0,12500000.0,8065.0
Jamnagar,3.0,2.0,,2000000.0,3333.0
Jamnagar,5.0,3.0,960.0,4600000.0,3407.0
Jamnagar,5.0,2.0,,2100000.0,1826.0
Jamnagar,,3.0,700.0,5200000.0,6265.0
Jamnagar,4.0,3.0,1950.0,15000000.0,5000.0
Jamnagar,2.0,3.0,2200.0,8000000.0,5814.0
Jamnagar,,3.0,500.0,2390000.0,3187.0
Jamnagar,,,,18000000.0,9091.0
Jamnagar,,4.0,715.0,7700000.0,5133.0
Jamnagar,,4.0,,3000000.0,4082.0
Jamnagar,,3.0,,1900000.0,2533.0
Jamnagar,,3.0,,6400000.0,8000.0
Jamnagar,5.0,2.0,892.0,3150000.0,3000.0
Jamnagar,2.0,2.0,,6500000.0,9985.0
Jamnagar,11.0,3.0,1200.0,6800000.0,3579.0
Jamnagar,,2.0,600.0,2200000.0,5000.0
Jamnagar,,1.0,,5000000.0,7692.0
Jamnagar,,4.0,735.0,2500000.0,1786.0
Jamnagar,,3.0,,5150000.0,3962.0
Jamnagar,5.0,2.0,750.0,4500000.0,3358.0
Jamnagar,5.0,2.0,695.0,3000000.0,2913.0
Jamnagar,,,,3500000.0,3365.0
Jamnagar,7.0,3.0,1143.0,6700000.0,3479.0
Jamnagar,5.0,3.0,1260.0,4800000.0,2667.0
Jamnagar,4.0,2.0,637.0,2500000.0,
Jamnagar,,3.0,,8000000.0,9524.0
Jamnagar,6.0,2.0,,2400000.0,2208.0
Jamnagar,3.0,3.0,1400.0,6000000.0,4161.0
Jamnagar,,3.0,710.0,7000000.0,
Jamnagar,2.0,3.0,1200.0,3500000.0,3500.0
Jamnagar,3.0,2.0,850.0,2300000.0,
Jamnagar,11.0,3.0,1240.0,7500000.0,4167.0
Jamnagar,1.0,2.0,1450.0,16000000.0,11034.0
Jamnagar,5.0,2.0,850.0,2451000.0,2291.0
Jamnagar,2.0,3.0,,5500000.0,3438.0
Jamnagar,,3.0,1873.0,10000000.0,4167.0
Jamnagar,5.0,2.0,900.0,3100000.0,3100.0
Jamnagar,1.0,2.0,1900.0,7000000.0,3500.0
Jamnagar,2.0,3.0,700.0,3000000.0,2143.0
Jamnagar,5.0,3.0,,2550000.0,2607.0
Jamnagar,5.0,2.0,,2875000.0,3788.0
Jamnagar,5.0,2.0,,3600000.0,3103.0
Jamnagar,,3.0,3000.0,8000000.0,2105.0
Jamnagar,,1.0,,9900000.0,919710.0
Jamnagar,6.0,2.0,,3000000.0,3636.0
Jamnagar,3.0,2.0,,2600000.0,3133.0
Jamnagar,3.0,2.0,,2700000.0,3140.0
Jamnagar,,4.0,,5500000.0,6634.0
Jamnagar,10.0,2.0,1460.0,4500000.0,3082.0
Jamnagar,10.0,3.0,1300.0,7000000.0,3518.0
Jamnagar,11.0,3.0,900.0,5500000.0,2865.0
Jamnagar,5.0,2.0,,2900000.0,2337.0
Jamnagar,5.0,3.0,1300.0,8500000.0,5000.0
Jamnagar,,3.0,,2100000.0,1909.0
Jamnagar,4.0,2.0,,2700000.0,3000.0
Jamnagar,5.0,2.0,880.0,3100000.0,
Jamnagar,5.0,2.0,700.0,3900000.0,3900.0
Jamnagar,2.0,2.0,,7000000.0,9524.0
Jamnagar,5.0,2.0,1070.0,3500000.0,
Jamnagar,8.0,1.0,,1150000.0,1917.0
Jamnagar,5.0,3.0,1400.0,5500000.0,2750.0
Jamnagar,1.0,2.0,,1400000.0,1667.0
Jamnagar,5.0,2.0,690.0,2500000.0,2315.0
Jamnagar,2.0,1.0,800.0,12510000.0,15638.0
Jamnagar,1.0,2.0,,1800000.0,3273.0
Jamnagar,5.0,3.0,,4500000.0,2727.0
Jamnagar,,2.0,,4500000.0,2485.0
Jamnagar,3.0,2.0,,2700000.0,3857.0
Jamnagar,,2.0,850.0,2500000.0,2941.0
Jamnagar,5.0,3.0,1125.0,7200000.0,
Jamnagar,5.0,4.0,,15000000.0,5736.0
Jamnagar,1.0,1.0,,4500000.0,5769.0
Jamnagar,10.0,2.0,,3900000.0,4333.0
Jamnagar,5.0,2.0,,2400000.0,2400.0
Jamnagar,5.0,2.0,621.0,2350000.0,2487.0
Jamnagar,5.0,2.0,525.0,1855000.0,2208.0
Jamnagar,1.0,3.0,,2200000.0,2716.0
Jamnagar,5.0,2.0,,4600000.0,3680.0
Jamnagar,2.0,2.0,,3500000.0,3182.0
Jamnagar,6.0,2.0,,3300000.0,3667.0
Jamnagar,3.0,2.0,800.0,2900000.0,2900.0
Jamnagar,5.0,2.0,,3500000.0,3182.0
Jamnagar,2.0,4.0,,3300000.0,4714.0
Jamnagar,2.0,3.0,,1851000.0,3702.0
Jamnagar,4.0,2.0,,2200000.0,2444.0
Jamnagar,5.0,2.0,820.0,2750000.0,2750.0
Jamnagar,5.0,2.0,770.0,2500000.0,2415.0
Jamnagar,,4.0,,1500000.0,1034.0
Jamnagar,6.0,2.0,,2300000.0,3286.0
Jamnagar,2.0,3.0,,3000000.0,4286.0
Jamnagar,2.0,2.0,,3250000.0,5417.0
Jamnagar,1.0,4.0,1616.0,3400000.0,2104.0
Jamnagar,2.0,1.0,710.0,1600000.0,2254.0
Jamnagar,6.0,2.0,,2000000.0,2000.0
Jamnagar,13.0,2.0,,2200000.0,4088.0
Jamnagar,,2.0,1900.0,6000000.0,3158.0
Jamnagar,3.0,2.0,,2500000.0,2778.0
Jamnagar,,4.0,700.0,2500000.0,
Jamnagar,5.0,2.0,900.0,2700000.0,
Jamnagar,1.0,3.0,870.0,5000000.0,
Jamnagar,5.0,2.0,600.0,1800000.0,2000.0
Jamnagar,,4.0,740.0,3800000.0,3958.0
Jamnagar,5.0,3.0,1500.0,6500000.0,4194.0
Jamnagar,10.0,2.0,,5100000.0,5368.0
Jamnagar,,3.0,750.0,3000000.0,2857.0
Jamnagar,,4.0,,6600000.0,6600.0
Jamnagar,5.0,3.0,,7000000.0,3889.0
Jamnagar,,2.0,490.0,2700000.0,2455.0
Jamnagar,5.0,2.0,1000.0,3500000.0,2917.0
Jamnagar,,3.0,1400.0,5000000.0,
Jamnagar,5.0,2.0,1200.0,2600000.0,2167.0
Jamnagar,4.0,3.0,,4500000.0,4091.0
Jamnagar,2.0,2.0,903.0,3700000.0,6764.0
Jamnagar,5.0,2.0,,1800000.0,1500.0
Jamnagar,5.0,2.0,1000.0,3000000.0,3000.0
Jamnagar,5.0,2.0,,3400000.0,4250.0
Jamnagar,6.0,2.0,,2500000.0,2273.0
Jamnagar,1.0,1.0,,1800000.0,1800.0
Jamnagar,10.0,1.0,900.0,1300000.0,
Jamnagar,3.0,4.0,,3000000.0,2400.0
Jamnagar,5.0,3.0,800.0,5550000.0,3454.0
Jamnagar,4.0,3.0,2008.0,11500000.0,5349.0
Jamnagar,4.0,2.0,1070.0,4000000.0,
Jamnagar,1.0,2.0,,1000000.0,1852.0
Jamnagar,5.0,2.0,700.0,300000.0,279.0
Jamnagar,5.0,3.0,1350.0,5200000.0,3355.0
Jamnagar,,2.0,,1400000.0,2800.0
Jamnagar,,4.0,1096.0,8100000.0,7364.0
Jamnagar,5.0,2.0,,3200000.0,2909.0
Jamnagar,,2.0,,2500000.0,3828.0
Jamnagar,,2.0,650.0,2500000.0,2778.0
Jamnagar,,3.0,1000.0,3200000.0,2667.0
Jamnagar,,2.0,465.0,3000000.0,3158.0
Jamnagar,5.0,2.0,650.0,2300000.0,2465.0
Jamnagar,1.0,3.0,,3200000.0,2286.0
Jamnagar,5.0,1.0,420.0,1700000.0,2632.0
Jamnagar,5.0,2.0,,4200000.0,3109.0
Jamnagar,5.0,2.0,550.0,2500000.0,2778.0
Jamnagar,,3.0,,3200000.0,3556.0
Jamnagar,,4.0,1081.0,12500000.0,8772.0
Jamnagar,,3.0,,3000000.0,2857.0
Jamnagar,,4.0,505.0,1800000.0,1714.0
Jamnagar,,3.0,550.0,2300000.0,1917.0
Jamnagar,3.0,2.0,840.0,2400000.0,
Jamnagar,5.0,2.0,,2100000.0,2333.0
Jamnagar,,3.0,750.0,1500000.0,2000.0
Jamnagar,2.0,3.0,1450.0,5800000.0,
Jamnagar,2.0,1.0,500.0,1351000.0,
