city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Kannur,3.0,2.0,1200.0,3600000.0,2717.0
Kannur,,3.0,1150.0,6000000.0,3750.0
Kannur,16.0,3.0,1350.0,11070540.0,7470.0
Kannur,14.0,4.0,,8000000.0,4848.0
Kannur,3.0,2.0,960.0,4200000.0,3360.0
Kannur,13.0,2.0,,6000000.0,6000.0
Kannur,,3.0,,9000000.0,2296.0
Kannur,15.0,3.0,,7800000.0,5632.0
Kannur,2.0,2.0,,7000000.0,7778.0
Kannur,2.0,4.0,2300.0,7500000.0,3261.0
Kannur,,2.0,,12000000.0,7500.0
Kannur,,4.0,,5000000.0,2222.0
Kannur,,3.0,,6800000.0,3799.0
Kannur,,5.0,,20000000.0,5333.0
Kannur,1.0,2.0,1457.0,4500000.0,3089.0
Kannur,,,,12500000.0,6410.0
Kannur,,3.0,2300.0,7500000.0,3000.0
Kannur,2.0,3.0,1500.0,4850000.0,2939.0
Kannur,3.0,2.0,980.0,6000000.0,6000.0
Kannur,15.0,3.0,1559.0,7000000.0,4490.0
Kannur,,3.0,,11000000.0,7333.0
Kannur,8.0,3.0,1500.0,8500000.0,4885.0
Kannur,,2.0,7.0,5000000.0,3846.0
Kannur,,4.0,900.0,2500000.0,2083.0
Kannur,3.0,3.0,778.0,3700000.0,3936.0
Kannur,7.0,2.0,1350.0,6900000.0,
Kannur,14.0,3.0,1400.0,8000000.0,
Kannur,14.0,2.0,,4500000.0,3659.0
Kannur,,,,5000000.0,3333.0
Kannur,,2.0,1300.0,15000000.0,11111.0
Kannur,1.0,2.0,1000.0,5500000.0,4400.0
Kannur,,2.0,17.0,2500000.0,
Kannur,9.0,2.0,1140.0,5500000.0,4825.0
Kannur,18.0,4.0,1512.0,7500000.0,4960.0
Kannur,1.0,3.0,,7500000.0,2870.0
Kannur,2.0,3.0,,5500000.0,3235.0
Kannur,2.0,4.0,1850.0,9000000.0,3600.0
Kannur,,3.0,2000.0,6000000.0,
Kannur,,3.0,150.0,6200000.0,23846.0
Kannur,,4.0,1160.0,6500000.0,3611.0
Kannur,12.0,2.0,1000.0,6500000.0,5485.0
Kannur,1.0,2.0,1400.0,6000000.0,
Kannur,,2.0,,6000000.0,1968.0
Kannur,11.0,3.0,,6700000.0,4169.0
Kannur,1.0,2.0,500.0,2000000.0,1667.0
Kannur,,4.0,2300.0,11000000.0,4564.0
Kannur,2.0,2.0,1100.0,3400000.0,3238.0
Kannur,2.0,4.0,1900.0,5800000.0,
Kannur,3.0,2.0,1140.0,4900000.0,4261.0
Kannur,,3.0,666.0,5500000.0,2060.0
Kannur,,3.0,1350.0,7000000.0,5185.0
Kannur,,4.0,,7000000.0,2296.0
Kannur,2.0,4.0,2000.0,5200000.0,2600.0
Kannur,4.0,2.0,,5000000.0,3333.0
Kannur,,4.0,1650.0,4100000.0,2278.0
Kannur,2.0,2.0,1171.0,3800000.0,3722.0
Kannur,1.0,3.0,8.0,7000000.0,1785.0
Kannur,,2.0,,5500000.0,4231.0
Kannur,2.0,3.0,,,
Kannur,3.0,3.0,,,
Kannur,,,,,
Kannur,3.0,2.0,,5800000.0,4689.0
Kannur,17.0,2.0,1000.0,8085000.0,7000.0
Kannur,,3.0,9.0,9000000.0,2296.0
Kannur,15.0,3.0,,8500000.0,6071.0
Kannur,1.0,3.0,1200.0,5000000.0,1923.0
Kannur,16.0,3.0,1499.0,9717300.0,6100.0
Kannur,14.0,2.0,923.0,7400000.0,7234.0
Kannur,16.0,3.0,1700.0,14500000.0,8056.0
