city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Lucknow,14.0,2.0,,6800000,6182.0
Kanpur,10.0,2.0,,5200000,5778.0
Kanpur,13.0,3.0,1300.0,11000000,6433.0
Kanpur,5.0,2.0,1000.0,5500000,4783.0
Kanpur,2.0,2.0,1635.0,6300000,3853.0
Kanpur,4.0,2.0,900.0,12500000,10417.0
Kanpur,5.0,3.0,1350.0,11600000,6470.0
Kanpur,14.0,2.0,991.0,6300000,5122.0
Kanpur,4.0,2.0,,4000000,4706.0
Kanpur,4.0,2.0,970.0,7000000,6364.0
Kanpur,4.0,2.0,,4500000,4500.0
Kanpur,3.0,2.0,,4500000,2663.0
Kanpur,3.0,2.0,1000.0,5300000,4549.0
Kanpur,4.0,2.0,800.0,3200000,4267.0
Kanpur,,3.0,,30000000,10714.0
Kanpur,,3.0,,5470000,3039.0
Kanpur,,2.0,,5310000,3034.0
Kanpur,,2.0,,7000000,5833.0
Kanpur,,2.0,,4560000,3040.0
Kanpur,,2.0,,3520000,3438.0
Kanpur,,2.0,,2580000,3440.0
Kanpur,,1.0,84.0,3500000,41667.0
Kanpur,4.0,3.0,1500.0,11000000,6875.0
Kanpur,6.0,2.0,,6000000,6667.0
Kanpur,4.0,2.0,,4200000,3652.0
Kanpur,,2.0,900.0,2500000,
Kanpur,3.0,2.0,710.0,2650000,3533.0
Kanpur,4.0,2.0,,2500000,4167.0
Kanpur,,2.0,750.0,6000000,
Kanpur,,1.0,,1400000,9333.0
Kanpur,,2.0,800.0,2580000,3035.0
Kanpur,,3.0,115.0,12000000,11594.0
Kanpur,,2.0,,3000000,
Kanpur,,2.0,,3340000,3036.0
Kanpur,,2.0,,75000000,75000.0
Kanpur,,2.0,,3810000,3432.0
Kanpur,,1.0,,1970000,3031.0
Kanpur,4.0,1.0,,2800000,4000.0
Kanpur,,1.0,,5500000,3433.0
Kanpur,14.0,3.0,1740.0,11500000,6609.0
Kanpur,8.0,2.0,,6800000,5075.0
Kanpur,4.0,2.0,885.0,4500000,4592.0
Kanpur,,2.0,,6000000,3000.0
Kanpur,,2.0,16.0,3500000,87500.0
Kanpur,,3.0,,4900000,3372.0
Kanpur,,4.0,3200.0,30000000,7143.0
Kanpur,,2.0,,4510000,3434.0
Kanpur,,2.0,,2160000,3040.0
Kanpur,3.0,2.0,950.0,3700000,
Kanpur,,1.0,900.0,2730000,
Kanpur,5.0,2.0,800.0,4500000,5488.0
Kanpur,2.0,1.0,,3000000,4444.0
Kanpur,,2.0,178.0,15500000,9675.0
Kanpur,5.0,2.0,1500.0,7000000,4118.0
Kanpur,,3.0,,3770000,3040.0
Kanpur,,3.0,645.0,4650000,7209.0
Kanpur,,2.0,,5150000,3433.0
Kanpur,,2.0,,3010000,3040.0
Kanpur,,1.0,,3000000,6000.0
Kanpur,,1.0,30.0,2500000,10000.0
Kanpur,4.0,2.0,850.0,4800000,5053.0
Kanpur,9.0,3.0,1585.0,6800000,4290.0
Kanpur,4.0,2.0,1300.0,7200000,5143.0
Kanpur,8.0,2.0,,7000000,5185.0
Kanpur,,2.0,,5740000,5503.0
Kanpur,4.0,2.0,1200.0,5500000,4365.0
Kanpur,4.0,2.0,900.0,4200000,4000.0
Kanpur,2.0,2.0,895.0,3650000,3476.0
Kanpur,5.0,2.0,,2800000,2692.0
Kanpur,4.0,3.0,,5600000,3111.0
Kanpur,,1.0,,2200000,4889.0
Kanpur,,2.0,900.0,3040000,3040.0
Kanpur,4.0,2.0,1000.0,6500000,
Kanpur,11.0,3.0,,7000000,5645.0
Kanpur,4.0,2.0,1023.0,5850000,4553.0
Kanpur,,2.0,,1200000,1093.0
Kanpur,8.0,2.0,,6900000,6616.0
Kanpur,,3.0,,4800000,96000.0
Kanpur,,3.0,,4500000,4091.0
Kanpur,6.0,2.0,,8500000,5862.0
Kanpur,1.0,2.0,,5000000,617.0
Kanpur,4.0,2.0,,3000000,3750.0
Kanpur,4.0,2.0,800.0,6500000,6500.0
Kanpur,7.0,2.0,950.0,8000000,7619.0
Kanpur,4.0,2.0,900.0,5500000,5000.0
Kanpur,4.0,3.0,1000.0,7900000,6077.0
Kanpur,1.0,2.0,,20000000,12387.0
Kanpur,3.0,2.0,1100.0,5800000,4462.0
Kanpur,10.0,2.0,940.0,7500000,5828.0
Kanpur,4.0,2.0,1100.0,7000000,
Kanpur,3.0,2.0,,9500000,7037.0
Kanpur,3.0,3.0,,7000000,3889.0
Kanpur,9.0,1.0,,13500000,7459.0
Kanpur,8.0,1.0,,9000000,6923.0
Kanpur,,2.0,,5500000,
Kanpur,4.0,3.0,,6300000,5250.0
Kanpur,,2.0,,13500000,8438.0
Kanpur,4.0,3.0,,8250000,5500.0
Kanpur,,2.0,,2000000,666667.0
Kanpur,,2.0,1600.0,14000000,7778.0
Kanpur,,2.0,,10000000,7812.0
Kanpur,4.0,2.0,,3500000,3500.0
Kanpur,,1.0,,8200000,4280.0
Kanpur,4.0,1.0,1000.0,3500000,3889.0
Kanpur,1.0,2.0,,6000000,6667.0
Kanpur,,1.0,,3500000,4944.0
Kanpur,4.0,2.0,,5000000,3571.0
Kanpur,5.0,2.0,830.0,3999000,4443.0
Kanpur,,2.0,3200.0,25000000,7812.0
Kanpur,3.0,2.0,600.0,1700000,2833.0
Kanpur,8.0,2.0,,7000000,4667.0
Kanpur,2.0,2.0,800.0,3200000,3765.0
Kanpur,,2.0,1000.0,4000000,
Kanpur,,3.0,30.0,2400000,7432.0
Kanpur,3.0,2.0,,4800000,5647.0
Kanpur,4.0,2.0,,3000000,2857.0
Kanpur,12.0,2.0,,5300000,3344.0
Kanpur,11.0,2.0,,4800000,4103.0
Kanpur,14.0,2.0,,3850000,3222.0
Kanpur,12.0,2.0,,5500000,4603.0
Kanpur,12.0,3.0,,5300000,3344.0
Kanpur,14.0,2.0,,5000000,4184.0
Kanpur,5.0,3.0,1770.0,9000000,4500.0
Kanpur,4.0,2.0,1300.0,7500000,5769.0
Kanpur,3.0,2.0,1380.0,10000000,7042.0
Kanpur,1.0,2.0,1250.0,10500000,8400.0
Kanpur,1.0,2.0,,10000000,8333.0
Kanpur,,2.0,,2500000,3226.0
Kanpur,4.0,3.0,1625.0,7000000,4118.0
Kanpur,,2.0,,2900000,3867.0
Kanpur,1.0,3.0,900.0,3000000,3000.0
Kanpur,3.0,2.0,1000.0,5200000,4952.0
Kanpur,2.0,2.0,,2100000,3000.0
Kanpur,4.0,2.0,800.0,1800000,2000.0
Kanpur,4.0,2.0,1350.0,10500000,6562.0
Kanpur,2.0,2.0,54.0,10000000,2002.0
Kanpur,4.0,2.0,1000.0,4800000,
Kanpur,,2.0,,27000000,12000.0
Kanpur,,2.0,84.0,2300000,3042.0
Kanpur,,2.0,,3900000,3040.0
Kanpur,,2.0,,4980000,3434.0
Kanpur,4.0,1.0,,1250000,3871.0
Kanpur,5.0,2.0,912.0,3700000,3700.0
Kanpur,1.0,1.0,,2100000,2333.0
Kanpur,5.0,2.0,,3500000,5000.0
Kanpur,4.0,3.0,,5000000,3906.0
Kanpur,7.0,2.0,,7100000,5071.0
Kanpur,3.0,2.0,,5500000,3846.0
Kanpur,3.0,2.0,,3000000,3000.0
Kanpur,,4.0,,10000000,5000.0
Kanpur,,1.0,,10000000,11111.0
Kanpur,4.0,2.0,,4800000,4364.0
Kanpur,,2.0,,2000000,2500.0
Kanpur,5.0,2.0,,2300000,3453.0
Kanpur,,1.0,,10000000,597.0
Kanpur,,2.0,,7500000,7500.0
Kanpur,,1.0,,5500000,6111.0
Kanpur,2.0,3.0,1500.0,7000000,4667.0
Kanpur,1.0,2.0,,7000000,7778.0
Kanpur,2.0,2.0,,3199999,0.0
