city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Kochi,2.0,2.0,900.0,3500000.0,3333.0
Kochi,18.0,3.0,1110.0,9000000.0,5678.0
Kochi,,3.0,1400.0,6200000.0,4429.0
Kochi,,2.0,,16000000.0,3673.0
Kochi,,3.0,,10000000.0,5000.0
Kochi,,3.0,1800.0,18000000.0,
Kochi,6.0,2.0,,6500000.0,6743.0
Kochi,3.0,3.0,1387.0,8000000.0,5472.0
Kochi,12.0,3.0,,7950000.0,5782.0
Kochi,,3.0,1500.0,4900000.0,3267.0
Kochi,3.0,2.0,850.0,4500000.0,4500.0
Kochi,6.0,2.0,1162.0,6200000.0,4133.0
Kochi,,3.0,,6499999.0,4062.0
Kochi,,3.0,,5400360.0,4286.0
Kochi,12.0,2.0,,4600000.0,4600.0
Kochi,4.0,2.0,630.0,4700000.0,
Kochi,,3.0,1300.0,4000000.0,3077.0
Kochi,14.0,2.0,1250.0,12000000.0,8276.0
Kochi,,3.0,,8200000.0,5467.0
Kochi,5.0,2.0,,4300000.0,5375.0
Kochi,16.0,3.0,1766.0,8500000.0,4595.0
Kochi,13.0,3.0,,7200000.0,4500.0
Kochi,,2.0,,2680000.0,3573.0
Kochi,8.0,3.0,,9500000.0,6090.0
Kochi,,3.0,,4320000.0,3570.0
Kochi,,1.0,900.0,7500000.0,8333.0
Kochi,13.0,3.0,,6000000.0,3548.0
Kochi,,,,11250000.0,
Kochi,10.0,3.0,,6000000.0,4444.0
Kochi,,3.0,,6250000.0,3571.0
Kochi,,2.0,,4640000.0,3569.0
Kochi,,2.0,,3500000.0,4118.0
Kochi,16.0,3.0,1325.0,8000000.0,3704.0
Kochi,,3.0,,6500000.0,3611.0
Kochi,3.0,3.0,1038.0,7000000.0,6422.0
Kochi,,2.0,928.0,3310000.0,3567.0
Kochi,,3.0,,5070000.0,3570.0
Kochi,,3.0,,4930000.0,2900.0
Kochi,,3.0,,4660000.0,3571.0
Kochi,11.0,3.0,1707.0,10000000.0,
Kochi,2.0,2.0,1210.0,5000000.0,4132.0
Kochi,4.0,3.0,1250.0,7500000.0,4615.0
Kochi,4.0,3.0,1250.0,5800000.0,4640.0
Kochi,2.0,3.0,,7000000.0,4118.0
Kochi,3.0,3.0,,5500000.0,3667.0
Kochi,,2.0,700.0,4900000.0,3267.0
Kochi,,3.0,1300.0,8500000.0,6071.0
Kochi,,3.0,,6900000.0,4600.0
Kochi,,2.0,900.0,3390000.0,3568.0
Kochi,3.0,2.0,,7000000.0,6364.0
Kochi,,3.0,,11600000.0,2900.0
Kochi,,3.0,,3930000.0,3573.0
Kochi,,2.0,,4290000.0,3575.0
Kochi,,2.0,,3750000.0,3571.0
Kochi,,3.0,,3190000.0,
Kochi,,3.0,,5060000.0,4048.0
Kochi,1.0,2.0,,12500000.0,6250.0
Kochi,15.0,3.0,1200.0,5500000.0,4583.0
Kochi,2.0,4.0,1400.0,11000000.0,7333.0
Kochi,4.0,2.0,,7000000.0,6034.0
Kochi,16.0,3.0,1680.0,12100000.0,6852.0
Kochi,,3.0,1560.0,6000000.0,3333.0
Kochi,,3.0,,9700000.0,5795.0
Kochi,4.0,2.0,845.0,4500000.0,
Kochi,19.0,3.0,,5800000.0,3791.0
Kochi,,2.0,50.0,3000000.0,3333.0
Kochi,18.0,3.0,,11500000.0,6845.0
Kochi,18.0,3.0,,11500000.0,6845.0
Kochi,18.0,3.0,,11200000.0,6667.0
Kochi,15.0,3.0,,11000000.0,7166.0
Kochi,18.0,3.0,,10500000.0,6827.0
Kochi,16.0,2.0,,7300000.0,6547.0
Kochi,22.0,3.0,,16000000.0,7217.0
Kochi,14.0,3.0,,16000000.0,7217.0
Kochi,23.0,3.0,,16500000.0,7541.0
Kochi,3.0,2.0,,3000000.0,4000.0
Kochi,3.0,2.0,,4200000.0,4000.0
Kochi,20.0,3.0,,18500000.0,8409.0
Kochi,22.0,4.0,,16200000.0,7013.0
Kochi,20.0,3.0,,14900000.0,7275.0
Kochi,22.0,4.0,,17500000.0,8349.0
Kochi,16.0,3.0,,11800000.0,7702.0
Kochi,18.0,3.0,,11700000.0,7471.0
Kochi,16.0,3.0,,11500000.0,7507.0
Kochi,1.0,2.0,,8500000.0,5763.0
Kochi,18.0,2.0,,8000000.0,7149.0
Kochi,13.0,3.0,,5920000.0,3890.0
Kochi,13.0,3.0,,9000000.0,5913.0
Kochi,,3.0,,5800000.0,3867.0
Kochi,4.0,3.0,,5500000.0,4104.0
Kochi,16.0,3.0,,8000000.0,5161.0
Kochi,4.0,2.0,,3000000.0,3750.0
Kochi,4.0,2.0,1280.0,7000000.0,6481.0
Kochi,7.0,3.0,,5000000.0,4545.0
Kochi,,2.0,,4200000.0,4339.0
Kochi,3.0,2.0,,3000000.0,4615.0
Kochi,5.0,3.0,1200.0,8000000.0,5900.0
Kochi,7.0,3.0,1300.0,5500000.0,
Kochi,,2.0,,3000000.0,3727.0
Kochi,2.0,3.0,,8000000.0,5161.0
Kochi,18.0,2.0,,3600000.0,5538.0
Kochi,,3.0,2500.0,30000000.0,10000.0
Kochi,5.0,2.0,1350.0,6000000.0,
Kochi,2.0,2.0,675.0,2850000.0,4222.0
Kochi,,3.0,435.0,4000000.0,2667.0
Kochi,,1.0,,4000000.0,3333.0
Kochi,10.0,2.0,1250.0,11000000.0,
Kochi,15.0,3.0,1947.0,12000000.0,6000.0
Kochi,15.0,2.0,,6500000.0,6592.0
Kochi,9.0,2.0,,2400000.0,4286.0
