city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Kolhapur,10.0,2.0,860.0,8800000.0,7586.0
Kolhapur,5.0,3.0,,8500000.0,5667.0
Kolhapur,11.0,2.0,753.0,6800000.0,5939.0
Kolhapur,6.0,4.0,,8736000.0,4000.0
Kolhapur,,2.0,1050.0,4000000.0,3810.0
Kolhapur,7.0,3.0,1350.0,8900000.0,5235.0
Kolhapur,,2.0,,6000000.0,6000.0
Kolhapur,,1.0,,4200000.0,4330.0
Kolhapur,,2.0,,6200000.0,5789.0
Kolhapur,,2.0,565.0,3000000.0,
Kolhapur,,2.0,,8000000.0,4000.0
Kolhapur,,2.0,,5000000.0,4545.0
Kolhapur,,2.0,,2800000.0,3500.0
Kolhapur,,3.0,,6125000.0,3500.0
Kolhapur,,1.0,,2700000.0,4909.0
Kolhapur,,2.0,,3600000.0,4756.0
Kolhapur,,1.0,650.0,2600000.0,4000.0
Kolhapur,,2.0,,5500000.0,4297.0
Kolhapur,,2.0,,6000000.0,6316.0
Kolhapur,,3.0,,11000000.0,6769.0
Kolhapur,,2.0,925.0,420000.0,
Kolhapur,,2.0,,5500000.0,5140.0
Kolhapur,,2.0,925.0,4200000.0,
Kolhapur,,2.0,650.0,2500000.0,2381.0
Kolhapur,,1.0,850.0,3000000.0,3448.0
Kolhapur,,2.0,430.0,2200000.0,2750.0
Kolhapur,,2.0,,2400000.0,2857.0
Kolhapur,,2.0,,3200000.0,4267.0
Kolhapur,,2.0,858.0,2300000.0,2556.0
Kolhapur,,2.0,,3200000.0,3951.0
Kolhapur,,3.0,900.0,5000000.0,3846.0
Kolhapur,2.0,2.0,,6500000.0,4815.0
Kolhapur,,2.0,630.0,3200000.0,3368.0
Kolhapur,,3.0,,5000000.0,4545.0
Kolhapur,3.0,2.0,,3100000.0,3100.0
Kolhapur,,1.0,,1600000.0,3265.0
Kolhapur,6.0,3.0,,11000000.0,4783.0
Kolhapur,,3.0,,7200000.0,2400.0
Kolhapur,7.0,3.0,,8500000.0,6071.0
Kolhapur,6.0,3.0,1350.0,7800000.0,
Kolhapur,,2.0,,3500000.0,5556.0
Kolhapur,,2.0,2300.0,18000000.0,6923.0
Kolhapur,6.0,2.0,830.0,5000000.0,4695.0
Kolhapur,,1.0,,1600000.0,3265.0
Kolhapur,3.0,2.0,,5200000.0,6118.0
Kolhapur,3.0,1.0,,2800000.0,3394.0
Kolhapur,4.0,2.0,,3000000.0,3243.0
Kolhapur,5.0,2.0,,5000000.0,4348.0
Kolhapur,6.0,2.0,,13000000.0,6500.0
Kolhapur,,2.0,,1800000.0,4000.0
Kolhapur,,2.0,,1500000.0,1875.0
Kolhapur,,2.0,,7500000.0,5769.0
Kolhapur,,,,6483180.0,
Kolhapur,5.0,3.0,,7000000.0,4667.0
Kolhapur,9.0,2.0,850.0,7200000.0,6545.0
Kolhapur,3.0,2.0,,4800000.0,8414.0
Kolhapur,,2.0,800.0,2500000.0,
Kolhapur,3.0,2.0,778.0,3300000.0,3683.0
Kolhapur,2.0,3.0,650.0,3200000.0,3200.0
Kolhapur,6.0,2.0,925.0,5200000.0,
Kolhapur,,2.0,,3700000.0,4013.0
Kolhapur,7.0,2.0,825.0,5015000.0,4502.0
Kolhapur,,,,7500000.0,6250.0
Kolhapur,7.0,2.0,,4779000.0,5155.0
Kolhapur,,3.0,1250.0,4700000.0,2611.0
Kolhapur,3.0,2.0,,3200000.0,3556.0
Kolhapur,8.0,2.0,,8300000.0,6640.0
Kolhapur,,2.0,1000.0,3600000.0,3000.0
Kolhapur,6.0,2.0,,5000000.0,4854.0
Kolhapur,,2.0,,4500000.0,6000.0
Kolhapur,9.0,2.0,922.0,4250000.0,3864.0
Kolhapur,3.0,1.0,800.0,4500000.0,4500.0
Kolhapur,3.0,2.0,,4500000.0,4447.0
Kolhapur,5.0,3.0,1200.0,6500000.0,4869.0
Kolhapur,7.0,2.0,,4500000.0,4594.0
Kolhapur,,2.0,1700.0,9000000.0,5294.0
Kolhapur,10.0,2.0,1250.0,7000000.0,6364.0
Kolhapur,,3.0,1600.0,9060000.0,4768.0
Kolhapur,7.0,2.0,750.0,3700000.0,3895.0
Kolhapur,5.0,2.0,860.0,3100000.0,3483.0
Kolhapur,4.0,2.0,950.0,7200000.0,6545.0
Kolhapur,8.0,2.0,715.0,4600000.0,4466.0
Kolhapur,9.0,2.0,,3100000.0,3899.0
Kolhapur,1.0,2.0,,7000000.0,9333.0
Kolhapur,6.0,2.0,700.0,4500000.0,4578.0
Kolhapur,,3.0,,9500000.0,4750.0
Kolhapur,7.0,2.0,,4050000.0,4091.0
