city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
,,,,12195000,10651.0
,,,,12146000,7722.0
,25.0,,,30000000,12579.0
,4.0,,,6500000,5508.0
,35.0,,1150.0,23000000,13642.0
,18.0,,918.0,9500000,7917.0
,16.0,,,10000000,6930.0
,17.0,,,17000000,9977.0
,35.0,,,22000000,16296.0
,,,,7370000,4780.0
,2.0,,,2400000,2623.0
,,,1020.0,5500000,4583.0
,4.0,,600.0,3550000,4356.0
,4.0,,,3200000,5585.0
,13.0,,,8200000,5985.0
,4.0,,797.0,6000000,6403.0
,3.0,,,3000000,3326.0
,5.0,,708.0,4000000,4520.0
,13.0,,1005.0,5800000,4723.0
,29.0,,564.0,9500000,11072.0
,35.0,,1489.0,33000000,14732.0
,5.0,,,6800000,5056.0
,15.0,,646.0,6000000,6104.0
,24.0,,2336.0,50000000,17117.0
,5.0,,,2700000,3462.0
,3.0,,700.0,6500000,7222.0
,14.0,,544.0,3000000,4412.0
,3.0,,600.0,5100000,6220.0
,5.0,,707.0,3600000,4072.0
,4.0,,966.0,13000000,10961.0
,7.0,,,7500000,8950.0
,4.0,,,4360000,3964.0
,4.0,,450.0,2000000,3636.0
,3.0,,640.0,2550000,3188.0
,4.0,,,4500000,5051.0
,3.0,,1318.0,4500000,2903.0
,3.0,,710.0,2900000,3473.0
,5.0,,650.0,3700000,4353.0
,3.0,,625.0,4000000,5333.0
,3.0,,655.0,3500000,4611.0
,4.0,,650.0,4000000,4494.0
,10.0,,,7700000,6235.0
,4.0,,960.0,8200000,6833.0
,4.0,,600.0,3200000,3670.0
,3.0,,760.0,6050000,6368.0
,4.0,,,6600000,6286.0
,4.0,,834.0,7600000,6381.0
,15.0,,1150.0,14000000,8658.0
,7.0,,650.0,4500000,5114.0
,4.0,,900.0,6800000,6538.0
,3.0,,546.0,3005000,4673.0
,4.0,,675.0,3400000,4000.0
,4.0,,1056.0,6000000,4615.0
,5.0,,600.0,2500000,3526.0
,3.0,,760.0,6000000,6316.0
,3.0,,,2500000,3333.0
,3.0,,600.0,2200000,3014.0
,8.0,,1000.0,4500000,3750.0
,5.0,,785.0,4200000,3801.0
,5.0,,950.0,8500000,7060.0
,4.0,,776.0,3400000,3505.0
,3.0,,750.0,3700000,4353.0
,3.0,,688.0,4100000,4471.0
,11.0,,1539.0,17800000,9252.0
,4.0,,638.0,4500000,6000.0
,4.0,,850.0,4500000,5000.0
,12.0,,650.0,7000000,7743.0
,2.0,,1000.0,2400000,2000.0
,4.0,,,2275000,2676.0
,4.0,,,3600000,6000.0
,3.0,,558.0,2800000,3608.0
,3.0,,,3900000,5200.0
,14.0,,690.0,6500000,7214.0
,5.0,,,3400000,3340.0
,5.0,,999.0,7500000,6250.0
,4.0,,624.0,3500000,4487.0
,4.0,,1020.0,5200000,3875.0
,11.0,,1164.0,10000000,6873.0
,3.0,,1008.0,4400000,3492.0
,3.0,,807.0,4000000,3810.0
,4.0,,,12000000,7407.0
,11.0,,900.0,4900000,4463.0
,6.0,,1284.0,10000000,5110.0
,46.0,,,30000000,17647.0
,4.0,,1455.0,6500000,4467.0
,4.0,,550.0,3000000,3571.0
,3.0,,750.0,3500000,4667.0
,3.0,,1000.0,5500000,5000.0
,6.0,,1000.0,7000000,5691.0
,21.0,,1504.0,31000000,13753.0
,5.0,,,2400000,3000.0
,14.0,,792.0,7500000,5531.0
,4.0,,,5700000,7197.0
,3.0,,500.0,3000000,5000.0
,4.0,,,3150000,3680.0
,16.0,,500.0,6350000,9650.0
,4.0,,600.0,3500000,5000.0
,4.0,,1232.0,8400000,5793.0
,6.0,,1056.0,7500000,5682.0
,3.0,,600.0,3200000,4000.0
,6.0,,,4500000,5056.0
,12.0,,724.0,7000000,7743.0
,,,963.0,5200000,4594.0
,5.0,,1150.0,7000000,5109.0
,5.0,,,3150000,2994.0
,5.0,,580.0,2580000,3225.0
,5.0,,800.0,13500000,12118.0
,14.0,,680.0,6000000,6593.0
,5.0,,800.0,2250000,2812.0
,3.0,,675.0,5000000,6667.0
,5.0,,1150.0,11000000,8800.0
,4.0,,897.0,7000000,6796.0
,5.0,,1450.0,5500000,3333.0
,12.0,,902.0,7000000,5109.0
,3.0,,700.0,3200000,3556.0
,3.0,,1150.0,6500000,4727.0
,2.0,,1250.0,7500000,5357.0
,4.0,,,4000000,3857.0
,4.0,,820.0,3200000,3232.0
,6.0,,,3800000,4606.0
,5.0,,,3700000,2517.0
,3.0,,680.0,5200000,5991.0
,3.0,,716.0,3500000,3906.0
,4.0,,900.0,4000000,3636.0
,11.0,,1208.0,9500000,6291.0
,5.0,,1006.0,8500000,6757.0
,5.0,,750.0,4800000,4800.0
,4.0,,1400.0,16500000,9821.0
,3.0,,950.0,5300000,4015.0
,4.0,,700.0,4000000,4545.0
,4.0,,690.0,2100000,
,5.0,,980.0,7900000,6320.0
,5.0,,,2200000,3411.0
,12.0,,1090.0,7500000,
,4.0,,,2300000,2854.0
,,,,3500000,4263.0
,4.0,,923.0,7150000,6201.0
,5.0,,850.0,3500000,3684.0
,5.0,,708.0,4000000,4520.0
,5.0,,1005.0,14500000,11694.0
,2.0,,800.0,2380000,2975.0
,4.0,,750.0,6800000,7242.0
,3.0,,572.0,2400000,4196.0
,12.0,,828.0,5300000,5121.0
,4.0,,750.0,4200000,4541.0
,3.0,,900.0,4700000,4273.0
,4.0,,720.0,2500000,2660.0
,12.0,,785.0,12000000,13423.0
,4.0,,,25000000,14560.0
,4.0,,560.0,2325000,3229.0
,4.0,,884.0,3500000,3365.0
,18.0,,570.0,4000000,4938.0
,4.0,,850.0,4900000,4455.0
,4.0,,990.0,4950000,3536.0
,14.0,,1468.0,13500000,7357.0
,12.0,,638.0,5500000,6892.0
