city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Kottayam,,2.0,,12600000.0,10500.0
Kottayam,,3.0,,6000000.0,4615.0
Kottayam,,4.0,9000.0,7000000.0,7000.0
Kottayam,2.0,3.0,1000.0,6500000.0,6500.0
Kottayam,20.0,2.0,,6100000.0,5033.0
Kottayam,14.0,2.0,,4700000.0,3629.0
Kottayam,,1.0,1100.0,2700000.0,
Kottayam,15.0,2.0,,5500000.0,3929.0
Kottayam,19.0,2.0,619.0,5900000.0,6257.0
Kottayam,,,,1200000.0,1765.0
Kottayam,,2.0,,5000000.0,4545.0
Kottayam,1.0,2.0,,5700000.0,4385.0
Kottayam,1.0,1.0,1200.0,5000000.0,4167.0
Kottayam,,2.0,1200.0,4300000.0,
Kottayam,6.0,2.0,344.0,2000000.0,
Kottayam,1.0,3.0,1750.0,11000000.0,
Kottayam,1.0,2.0,100.0,7000000.0,
Kottayam,19.0,3.0,,9200000.0,5627.0
Kottayam,,3.0,,7500000.0,2344.0
Kottayam,3.0,2.0,850.0,3000000.0,2727.0
Kottayam,3.0,3.0,,8500000.0,4250.0
Kottayam,9.0,4.0,1350.0,4800000.0,3265.0
Kottayam,18.0,2.0,,6900000.0,5100.0
Kottayam,3.0,2.0,,3700000.0,3700.0
Kottayam,18.0,3.0,,8200000.0,4982.0
Kottayam,,2.0,,7500000.0,5850.0
Kottayam,,3.0,,7100000.0,3087.0
Kottayam,1.0,3.0,,4000000.0,2667.0
Kottayam,15.0,3.0,,9000000.0,5867.0
Kottayam,15.0,2.0,,7600000.0,5851.0
Kottayam,,3.0,4000.0,8000000.0,
Kottayam,,4.0,,20000000.0,8000.0
Kottayam,,2.0,1300.0,4500000.0,1500.0
Kottayam,12.0,3.0,,8200000.0,5655.0
Kottayam,,3.0,,7500000.0,3750.0
Kottayam,1.0,3.0,,80000000.0,16000.0
Kottayam,1.0,2.0,,4000000.0,4000.0
Kottayam,3.0,2.0,1218.0,4100000.0,3700.0
Kottayam,,2.0,,5900000.0,4214.0
Kottayam,17.0,3.0,1661.0,8000000.0,4816.0
Kottayam,10.0,3.0,1365.0,9780000.0,5589.0
Kottayam,1.0,2.0,,7500000.0,4412.0
Kottayam,1.0,2.0,,41000000.0,314.0
Kottayam,,2.0,,4000000.0,5000.0
Kottayam,9.0,3.0,1763.0,12700000.0,7204.0
Kottayam,13.0,3.0,,6500000.0,3591.0
Kottayam,2.0,3.0,,5400000.0,3600.0
Kottayam,1.0,2.0,,4500000.0,3000.0
Kottayam,,3.0,,6500000.0,3824.0
Kottayam,9.0,3.0,,10000000.0,6017.0
Kottayam,18.0,3.0,,7200000.0,4571.0
Kottayam,1.0,2.0,,17500000.0,8750.0
Kottayam,1.0,2.0,,3000000.0,2857.0
Kottayam,1.0,3.0,,6500000.0,1658.0
Kottayam,,2.0,,4300000.0,3909.0
Kottayam,,3.0,,8500000.0,4250.0
Kottayam,15.0,3.0,1700.0,7000000.0,
Kottayam,1.0,2.0,1300.0,6500000.0,5000.0
Kottayam,1.0,1.0,36.0,12500000.0,797.0
Kottayam,1.0,2.0,18730.0,9500000.0,4362.0
Kottayam,,3.0,,15000000.0,6000.0
Kottayam,1.0,2.0,,17600000.0,8800.0
Kottayam,1.0,2.0,800.0,2500000.0,
Kottayam,,2.0,1500.0,250000.0,
Kottayam,2.0,3.0,1500.0,6500000.0,4062.0
Kottayam,2.0,4.0,,20000000.0,21053.0
Kottayam,11.0,2.0,,5200000.0,5652.0
Kottayam,,2.0,,1900000.0,436.0
Kottayam,,4.0,,6000000.0,4286.0
Kottayam,,1.0,850.0,2500000.0,2000.0
Kottayam,2.0,3.0,1625.0,6500000.0,3291.0
Kottayam,,2.0,,600000.0,300.0
Kottayam,1.0,3.0,,6000000.0,4000.0
Kottayam,1.0,2.0,,6500000.0,3611.0
Kottayam,,2.0,,6000000.0,4000.0
Kottayam,,3.0,1100.0,8500000.0,7083.0
Kottayam,1.0,2.0,,3600000.0,3600.0
Kottayam,11.0,2.0,778.0,5500000.0,7069.0
Kottayam,1.0,1.0,,10250000.0,574.0
Kottayam,5.0,2.0,700.0,4500000.0,5068.0
Kottayam,1.0,2.0,900.0,3400000.0,3778.0
Kottayam,2.0,3.0,,6900000.0,3450.0
Kottayam,12.0,2.0,1000.0,6300000.0,5198.0
Kottayam,,3.0,12.0,4300000.0,3308.0
Kottayam,,1.0,,3000000.0,275.0
Kottayam,,2.0,1100.0,6000000.0,5455.0
Kottayam,,2.0,,5000000.0,3333.0
Kottayam,1.0,2.0,1450.0,5600000.0,3500.0
Kottayam,6.0,3.0,,5000000.0,3333.0
Kottayam,,2.0,,2100000.0,482.0
Kottayam,5.0,3.0,,6000000.0,4170.0
Kottayam,13.0,2.0,,5250000.0,4981.0
Kottayam,,,,5700000.0,4071.0
Kottayam,,3.0,2000.0,7000000.0,1556.0
Kottayam,11.0,2.0,,5200000.0,3746.0
Kottayam,14.0,3.0,,10000000.0,5333.0
Kottayam,,3.0,,8400000.0,4941.0
Kottayam,1.0,2.0,1400.0,4800000.0,3429.0
Kottayam,18.0,3.0,,9500000.0,5278.0
Kottayam,19.0,3.0,,8900000.0,5443.0
Kottayam,,2.0,,4300000.0,3583.0
Kottayam,,2.0,,,
Kottayam,,3.0,,6000000.0,4615.0
Kottayam,13.0,2.0,,5600000.0,5313.0
Kottayam,19.0,4.0,,13700000.0,7165.0
