city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Kozhikode,7.0,2.0,,9700000.0,7925.0
Kozhikode,3.0,2.0,1100.0,4000000.0,3636.0
Kozhikode,16.0,3.0,1630.0,7500000.0,4601.0
Kozhikode,15.0,3.0,1100.0,12000000.0,8633.0
Kozhikode,,3.0,,4800000.0,3556.0
Kozhikode,18.0,3.0,1350.0,10500000.0,7500.0
Kozhikode,,3.0,,22500000.0,7759.0
Kozhikode,20.0,4.0,1500.0,12000000.0,7742.0
Kozhikode,,3.0,,8300000.0,5188.0
Kozhikode,4.0,2.0,,4000000.0,5122.0
Kozhikode,23.0,3.0,1117.0,11000000.0,6108.0
Kozhikode,20.0,3.0,1670.0,16000000.0,9412.0
Kozhikode,,2.0,577.0,6500000.0,9053.0
Kozhikode,,3.0,1650.0,11000000.0,6286.0
Kozhikode,,3.0,1000.0,4400000.0,4000.0
Kozhikode,,2.0,800.0,4700000.0,4700.0
Kozhikode,12.0,3.0,,10000000.0,6689.0
Kozhikode,2.0,3.0,1600.0,6500000.0,2955.0
Kozhikode,,3.0,420.0,4500000.0,2571.0
Kozhikode,,3.0,,9973200.0,6373.0
Kozhikode,,3.0,,8000000.0,4444.0
Kozhikode,,3.0,2500.0,21000000.0,6887.0
Kozhikode,1.0,4.0,,20000000.0,3061.0
Kozhikode,,1.0,,4600000.0,4182.0
Kozhikode,,2.0,,4900000.0,3828.0
Kozhikode,,3.0,200.0,1800000.0,1800.0
Kozhikode,,2.0,,4980000.0,3831.0
Kozhikode,,3.0,,7500000.0,4167.0
Kozhikode,1.0,3.0,,4500000.0,5625.0
Kozhikode,,2.0,,165000.0,103.0
Kozhikode,,2.0,,4000000.0,5714.0
Kozhikode,,3.0,,5500000.0,3395.0
Kozhikode,2.0,3.0,1014.0,8200000.0,5655.0
Kozhikode,,2.0,,5000000.0,7143.0
Kozhikode,,2.0,,360000.0,165.0
Kozhikode,,3.0,1200.0,5500000.0,3056.0
Kozhikode,,2.0,,3500000.0,4375.0
Kozhikode,,4.0,,14000000.0,6958.0
Kozhikode,11.0,3.0,,11000000.0,5000.0
Kozhikode,,3.0,,10500000.0,1750.0
Kozhikode,,3.0,,11000000.0,6286.0
Kozhikode,9.0,2.0,,4500000.0,4455.0
Kozhikode,,2.0,,9200000.0,4319.0
Kozhikode,,2.0,,9500000.0,5026.0
Kozhikode,23.0,3.0,,12500000.0,5952.0
Kozhikode,,2.0,,4500000.0,3214.0
Kozhikode,,2.0,,20000000.0,4174.0
Kozhikode,3.0,2.0,1179.0,4000000.0,
