city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Lucknow,,2.0,,8500000,7083.0
Lucknow,,2.0,700.0,4500000,3913.0
Lucknow,14.0,3.0,2015.0,13000000,6452.0
Lucknow,14.0,2.0,996.0,7500000,6019.0
Lucknow,,4.0,1500.0,7500000,7500.0
Lucknow,,2.0,,3500000,3500.0
Lucknow,,2.0,,7000000,5833.0
Lucknow,19.0,3.0,,9200000,5183.0
Lucknow,2.0,3.0,1400.0,5200000,3467.0
Lucknow,,3.0,1100.0,4200000,2800.0
Lucknow,,4.0,,16500000,9445.0
Lucknow,14.0,3.0,,10500000,6731.0
Lucknow,,3.0,,6900000,4600.0
Lucknow,6.0,2.0,,12500000,7576.0
Lucknow,19.0,4.0,1095.0,10000000,5634.0
Lucknow,,3.0,,7500000,4545.0
Lucknow,3.0,2.0,1250.0,8500000,6800.0
Lucknow,15.0,2.0,1000.0,8200000,6269.0
Lucknow,14.0,4.0,1414.0,18300000,8009.0
Lucknow,9.0,3.0,,22000000,11224.0
Lucknow,6.0,2.0,,6500000,6185.0
Lucknow,4.0,2.0,750.0,3300000,
Lucknow,4.0,3.0,,8500000,4691.0
Lucknow,,2.0,1211.0,8000000,6606.0
Lucknow,26.0,3.0,990.0,16000000,9329.0
Lucknow,,3.0,750.0,3500000,2917.0
Lucknow,,2.0,1210.0,7600000,5630.0
Lucknow,,3.0,100.0,35000000,25205.0
Lucknow,,3.0,,8500000,4048.0
Lucknow,,3.0,,11000000,5000.0
Lucknow,14.0,3.0,,8400000,4795.0
Lucknow,12.0,3.0,,26600000,14000.0
Lucknow,14.0,2.0,,8200000,5942.0
Lucknow,1.0,1.0,800.0,4200000,4421.0
Lucknow,10.0,3.0,,8500000,6115.0
Lucknow,2.0,3.0,2100.0,7200000,3429.0
Lucknow,,3.0,1152.0,6000000,4389.0
Lucknow,1.0,2.0,840.0,4500000,
Lucknow,14.0,3.0,,15000000,8427.0
Lucknow,1.0,2.0,1300.0,8000000,5333.0
Lucknow,11.0,3.0,1510.0,14500000,8164.0
Lucknow,8.0,2.0,1070.0,9000000,6767.0
Lucknow,13.0,3.0,850.0,6500000,5417.0
Lucknow,,3.0,,5850000,4333.0
Lucknow,3.0,2.0,950.0,4200000,4000.0
Lucknow,14.0,3.0,,15000000,8333.0
Lucknow,3.0,2.0,1260.0,7400000,5441.0
Lucknow,,3.0,1100.0,3800000,3167.0
Lucknow,12.0,2.0,850.0,9000000,7258.0
Lucknow,5.0,2.0,1400.0,8000000,4848.0
Lucknow,,3.0,1025.0,4850000,3731.0
Lucknow,7.0,2.0,,6500000,4693.0
Lucknow,1.0,2.0,,3400000,4250.0
Lucknow,18.0,2.0,780.0,7500000,6000.0
Lucknow,14.0,2.0,,6500000,4333.0
Lucknow,5.0,2.0,816.0,3800000,3878.0
Lucknow,,3.0,,9500000,7600.0
Lucknow,,2.0,1000.0,5000000,3448.0
Lucknow,17.0,3.0,,10000000,6116.0
Lucknow,,2.0,,10000000,10000.0
Lucknow,,2.0,700.0,3500000,4375.0
Lucknow,9.0,2.0,,5100000,4574.0
Lucknow,3.0,2.0,786.0,2194000,1834.0
Lucknow,7.0,2.0,1050.0,6000000,5455.0
Lucknow,,2.0,1000.0,5200000,4160.0
Lucknow,12.0,2.0,700.0,3500000,5469.0
Lucknow,,2.0,2000.0,4250000,2361.0
Lucknow,4.0,2.0,650.0,2000000,2985.0
Lucknow,,2.0,1528.0,10000000,6452.0
Lucknow,,2.0,,3800000,2815.0
Lucknow,11.0,2.0,90.0,5500000,4330.0
Lucknow,1.0,2.0,,3650000,3476.0
Lucknow,13.0,3.0,,35000000,15909.0
Lucknow,1.0,2.0,1000.0,5300000,5300.0
Lucknow,6.0,2.0,,5800000,5859.0
Lucknow,4.0,3.0,,15400000,9390.0
Lucknow,1.0,2.0,1900.0,20500000,10789.0
Lucknow,4.0,3.0,,12206999,7016.0
Lucknow,7.0,3.0,1480.0,4500000,2848.0
Lucknow,3.0,2.0,825.0,2600000,2522.0
Lucknow,,3.0,1300.0,5000000,3333.0
Lucknow,16.0,3.0,126.0,8500000,5372.0
Lucknow,,3.0,,6800000,3238.0
Lucknow,4.0,2.0,,5000000,5000.0
Lucknow,,3.0,1092.0,13500000,10112.0
Lucknow,2.0,3.0,,35000000,15217.0
Lucknow,1.0,2.0,1935.0,19000000,9500.0
Lucknow,,4.0,1221.0,13800000,6970.0
Lucknow,12.0,3.0,1049.0,8500000,5148.0
Lucknow,28.0,4.0,1547.0,24325000,9179.0
Lucknow,,2.0,3100.0,70000000,22581.0
Lucknow,22.0,4.0,1615.0,33317552,12002.0
Lucknow,35.0,4.0,1494.0,27583100,10100.0
Lucknow,28.0,4.0,1521.0,23077500,9050.0
Lucknow,8.0,3.0,1300.0,10257600,5500.0
Lucknow,,3.0,,26400000,8010.0
Lucknow,2.0,2.0,643.0,6500000,6274.0
Lucknow,1.0,2.0,3100.0,36000000,11152.0
Lucknow,35.0,3.0,1494.0,29000000,
Lucknow,,2.0,,4000000,3333.0
Lucknow,21.0,4.0,,30800000,14000.0
Lucknow,33.0,4.0,1379.0,21200000,9217.0
Lucknow,,3.0,,18000000,9000.0
Lucknow,14.0,3.0,1387.0,17000000,8656.0
Lucknow,12.0,3.0,1147.0,9955000,5500.0
Lucknow,26.0,3.0,1094.0,13900000,8105.0
Lucknow,18.0,5.0,,20472500,9500.0
Lucknow,1.0,2.0,700.0,3750000,3261.0
Lucknow,14.0,4.0,,9500000,5572.0
Lucknow,9.0,2.0,,3700000,4625.0
Lucknow,3.0,2.0,850.0,4200000,
Lucknow,,2.0,,3920000,4126.0
Lucknow,,2.0,,2010000,2233.0
Lucknow,14.0,2.0,,4500000,4054.0
Lucknow,,3.0,1000.0,4500000,3750.0
Lucknow,2.0,3.0,,6500000,5652.0
Lucknow,14.0,2.0,,12000000,8421.0
Lucknow,2.0,3.0,1600.0,5500000,
Lucknow,,2.0,,5270000,3513.0
Lucknow,,1.0,600.0,2010000,2233.0
Lucknow,,1.0,,2800000,2240.0
Lucknow,,3.0,,2690000,2242.0
Lucknow,,3.0,,6180000,4120.0
Lucknow,,1.0,900.0,2240000,2240.0
Lucknow,,2.0,1000.0,3500000,3500.0
Lucknow,9.0,2.0,,8000000,6407.0
Lucknow,,2.0,1000.0,5100000,4080.0
Lucknow,8.0,2.0,850.0,5700000,6000.0
Lucknow,,3.0,1700.0,7500000,
Lucknow,12.0,2.0,,4515000,3500.0
Lucknow,,2.0,,2890000,4129.0
Lucknow,,2.0,700.0,2890000,
Lucknow,,3.0,1650.0,8700000,5273.0
Lucknow,,2.0,650.0,3250000,3824.0
Lucknow,,3.0,,6000000,4124.0
Lucknow,,3.0,2500.0,40000000,14286.0
Lucknow,,1.0,850.0,3900000,4432.0
Lucknow,2.0,3.0,,6800000,4250.0
Lucknow,,3.0,,2800000,2240.0
Lucknow,4.0,3.0,1266.0,12500000,8224.0
Lucknow,3.0,3.0,1650.0,7000000,3889.0
Lucknow,,,,8000000,6462.0
Lucknow,,1.0,750.0,2700000,
Lucknow,,2.0,,2690000,2242.0
Lucknow,5.0,,1400.0,9500000,
Lucknow,2.0,2.0,960.0,8000000,8333.0
Lucknow,1.0,2.0,1050.0,5600000,4148.0
Lucknow,,2.0,400.0,1500000,2308.0
Lucknow,6.0,2.0,,4000000,4000.0
Lucknow,,3.0,833.0,5000000,3125.0
Lucknow,12.0,2.0,,7200000,5121.0
Lucknow,,3.0,,7420000,3513.0
Lucknow,8.0,2.0,,9300000,6414.0
Lucknow,1.0,2.0,,13500000,7500.0
Lucknow,14.0,2.0,,7000000,5456.0
Lucknow,,3.0,,2300000,3538.0
Lucknow,12.0,3.0,,30000000,14019.0
Lucknow,22.0,3.0,,8000000,4444.0
Lucknow,,2.0,400.0,1010000,2244.0
Lucknow,,2.0,400.0,1010000,2244.0
Lucknow,,3.0,,5180000,2238.0
Lucknow,,2.0,700.0,3510000,3510.0
Lucknow,11.0,3.0,,7300000,5959.0
Lucknow,,2.0,,4800000,4800.0
Lucknow,8.0,2.0,850.0,5300000,5300.0
Lucknow,12.0,2.0,543.0,5600000,5989.0
Lucknow,4.0,2.0,1200.0,6500000,5200.0
Lucknow,,2.0,,7000000,6250.0
Lucknow,,3.0,750.0,4000000,3200.0
Lucknow,14.0,3.0,1600.0,8300000,5321.0
Lucknow,,2.0,800.0,4800000,3419.0
Lucknow,,3.0,1120.0,5800000,4296.0
Lucknow,1.0,1.0,,3200000,2560.0
Lucknow,5.0,3.0,1600.0,16000000,9412.0
Lucknow,,3.0,864.0,10000000,6452.0
Lucknow,,3.0,,7920000,4125.0
Lucknow,18.0,2.0,,3800000,3040.0
Lucknow,,2.0,900.0,5500000,5500.0
Lucknow,8.0,2.0,1049.0,8700000,6449.0
Lucknow,,2.0,875.0,3500000,3784.0
Lucknow,,2.0,,1300000,2241.0
Lucknow,17.0,2.0,1035.0,9499000,7224.0
Lucknow,,2.0,1050.0,6500000,5000.0
Lucknow,1.0,3.0,1000.0,3800000,2533.0
Lucknow,4.0,2.0,800.0,3000000,3158.0
Lucknow,4.0,3.0,,8800000,4335.0
Lucknow,9.0,2.0,796.0,7000000,6189.0
Lucknow,14.0,3.0,,9800000,6125.0
Lucknow,14.0,2.0,,7500000,5334.0
Lucknow,12.0,3.0,1366.0,12000000,7199.0
Lucknow,,3.0,,10000000,5882.0
Lucknow,,2.0,840.0,4800000,4615.0
Lucknow,14.0,2.0,,10000000,6720.0
Lucknow,,2.0,800.0,5200000,3250.0
Lucknow,1.0,2.0,,13500000,7377.0
Lucknow,,2.0,950.0,8000000,6667.0
Lucknow,3.0,3.0,,4000000,5594.0
Lucknow,4.0,3.0,962.0,9400000,5635.0
Lucknow,1.0,1.0,460.0,3800000,8261.0
Lucknow,,1.0,980.0,2190000,2235.0
Lucknow,15.0,3.0,,13500000,7219.0
Lucknow,2.0,3.0,850.0,3500000,2333.0
Lucknow,4.0,2.0,,3600000,3258.0
Lucknow,,2.0,1050.0,5500000,4583.0
Lucknow,,2.0,800.0,2240000,2240.0
Lucknow,9.0,2.0,,7500000,6579.0
Lucknow,,3.0,,4800000,4800.0
Lucknow,13.0,3.0,1300.0,13500000,6700.0
Lucknow,5.0,2.0,1250.0,5700000,4222.0
Lucknow,9.0,3.0,,12000000,7742.0
Lucknow,26.0,3.0,,16000000,9329.0
Lucknow,1.0,2.0,600.0,2700000,3375.0
Lucknow,,3.0,1281.0,21000000,10000.0
Lucknow,1.0,2.0,,18000000,10588.0
Lucknow,10.0,2.0,896.0,6500000,6944.0
Lucknow,1.0,2.0,,6000000,5106.0
Lucknow,,3.0,,6600000,4125.0
Lucknow,,2.0,,5770000,4121.0
Lucknow,4.0,2.0,1109.0,7000000,5000.0
Lucknow,10.0,3.0,1100.0,7000000,4375.0
Lucknow,,3.0,1000.0,5990000,4097.0
Lucknow,,2.0,700.0,3800000,3800.0
Lucknow,,2.0,545.0,2200000,
Lucknow,11.0,2.0,,8300000,5552.0
