city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Ludhiana,4.0,3.0,,11000000.0,7190.0
Ludhiana,4.0,2.0,,9900000.0,5824.0
Ludhiana,,4.0,,15000000.0,8333.0
Ludhiana,2.0,3.0,,2700000.0,1688.0
Ludhiana,,4.0,1400.0,4600000.0,3286.0
Ludhiana,,2.0,,2600000.0,1389.0
Ludhiana,3.0,2.0,,4200000.0,4667.0
Ludhiana,,1.0,,1150000.0,2323.0
Ludhiana,3.0,3.0,1650.0,5500000.0,2778.0
Ludhiana,,2.0,,8000000.0,6154.0
Ludhiana,,2.0,,15000000.0,17361.0
Ludhiana,,2.0,,10000000.0,5051.0
Ludhiana,,3.0,,5700000.0,5234.0
Ludhiana,,1.0,980.0,1380000.0,1408.0
Ludhiana,,2.0,,10000000.0,7407.0
Ludhiana,,1.0,950.0,2200000.0,1833.0
Ludhiana,,3.0,,10000000.0,4000.0
Ludhiana,,1.0,,1400000.0,1296.0
Ludhiana,23.0,3.0,,14000000.0,6087.0
Ludhiana,,2.0,500.0,2800000.0,5556.0
Ludhiana,,4.0,,16500000.0,9167.0
Ludhiana,,3.0,91.0,3000000.0,3663.0
Ludhiana,,2.0,,4200000.0,3818.0
Ludhiana,,2.0,,2900000.0,4957.0
Ludhiana,,3.0,,4700000.0,2423.0
Ludhiana,,3.0,,4700000.0,2423.0
Ludhiana,,3.0,,4700000.0,2423.0
Ludhiana,,2.0,,2400000.0,17910.0
Ludhiana,,2.0,,19000000.0,63.0
Ludhiana,,2.0,,19000000.0,63.0
Ludhiana,,3.0,,13000000.0,11607.0
Ludhiana,,1.0,,2500000.0,2778.0
Ludhiana,,4.0,,12200000.0,4841.0
Ludhiana,,4.0,,8500000.0,2833.0
Ludhiana,,4.0,,20000000.0,4000.0
Ludhiana,,1.0,,1150000.0,2556.0
Ludhiana,,2.0,,12000000.0,6667.0
Ludhiana,,1.0,,2500000.0,2778.0
Ludhiana,,3.0,,5500000.0,2750.0
Ludhiana,,3.0,,5600000.0,2800.0
Ludhiana,,2.0,,1250000.0,193.0
Ludhiana,,2.0,,1500000.0,1667.0
Ludhiana,,2.0,,1500000.0,3333.0
Ludhiana,,2.0,,2100000.0,2333.0
Ludhiana,,1.0,50.0,1500000.0,2778.0
Ludhiana,,2.0,,8500000.0,3864.0
Ludhiana,,3.0,,4200000.0,3111.0
Ludhiana,,2.0,,2700000.0,2143.0
Ludhiana,,3.0,,7000000.0,5385.0
Ludhiana,,2.0,,4000000.0,3636.0
Ludhiana,,2.0,,3000000.0,
Ludhiana,,3.0,,3500000.0,1916.0
Ludhiana,2.0,3.0,,20000000.0,8889.0
Ludhiana,1.0,2.0,,2400000.0,1091.0
Ludhiana,,1.0,,4500000.0,4000.0
Ludhiana,,1.0,,2500000.0,3425.0
Ludhiana,,2.0,,3500000.0,3500000.0
Ludhiana,,2.0,,5000000.0,5000.0
Ludhiana,,1.0,,8000000.0,2963.0
Ludhiana,,1.0,,2500000.0,2778.0
Ludhiana,,1.0,700.0,1975000.0,2633.0
Ludhiana,,3.0,,30000000.0,10000.0
Ludhiana,4.0,2.0,,2000000.0,3419.0
Ludhiana,1.0,2.0,,9000000.0,5814.0
Ludhiana,12.0,3.0,860.0,5570000.0,4528.0
Ludhiana,4.0,3.0,1530.0,10700000.0,5544.0
Ludhiana,,2.0,,3400000.0,3373.0
Ludhiana,,3.0,1400.0,4200000.0,2100.0
Ludhiana,,1.0,652.0,3000000.0,
Ludhiana,2.0,3.0,891.0,4500000.0,5051.0
Ludhiana,2.0,2.0,75.0,4600000.0,61333.0
Ludhiana,2.0,2.0,,13000000.0,7222.0
Ludhiana,,2.0,,3700000.0,2855.0
Ludhiana,,5.0,,1900000.0,3282.0
Ludhiana,3.0,2.0,,3400000.0,2698.0
Ludhiana,2.0,3.0,,3200000.0,3200.0
Ludhiana,2.0,2.0,135.0,3600000.0,2963.0
Ludhiana,2.0,3.0,,3200000.0,3556.0
Ludhiana,,3.0,,3250000.0,2500.0
Ludhiana,,3.0,,2800000.0,5185.0
Ludhiana,,4.0,,10000000.0,3333.0
Ludhiana,,2.0,,10000000.0,7407.0
Ludhiana,,2.0,,1100000.0,2316.0
Ludhiana,,2.0,,1900000.0,2815.0
Ludhiana,,1.0,,2850000.0,38000.0
Ludhiana,,3.0,,5000000.0,4000.0
Ludhiana,,1.0,,1600000.0,2540.0
Ludhiana,,2.0,,2000000.0,2222.0
Ludhiana,2.0,2.0,,9700000.0,8622.0
Ludhiana,4.0,2.0,,4200000.0,3818.0
Ludhiana,,1.0,,13500000.0,8065.0
Ludhiana,,5.0,,18000000.0,8072.0
Ludhiana,1.0,2.0,,4000000.0,2469.0
Ludhiana,1.0,2.0,,2850000.0,2533.0
Ludhiana,2.0,3.0,,3200000.0,3200.0
Ludhiana,,1.0,16.0,2400000.0,68571.0
