city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Mangalore,,4.0,4250.0,40000000,
Mangalore,,5.0,,28000000,10769.0
Mangalore,,2.0,,6700000,4467.0
Mangalore,5.0,3.0,,10000000,4167.0
Mangalore,,2.0,1900.0,8000000,4000.0
Mangalore,2.0,4.0,,7000000,3763.0
Mangalore,,,,6300000,4214.0
Mangalore,,4.0,,13500000,5625.0
Mangalore,5.0,2.0,1080.0,6800000,4806.0
Mangalore,,2.0,1200.0,14000000,9333.0
Mangalore,4.0,3.0,1342.0,12000000,
Mangalore,5.0,3.0,1200.0,9600000,
Mangalore,4.0,3.0,,8200000,5413.0
Mangalore,,4.0,1500.0,8000000,
Mangalore,,4.0,2200.0,9500000,3958.0
Mangalore,3.0,2.0,730.0,3600000,4800.0
Mangalore,14.0,3.0,,8000000,5096.0
Mangalore,2.0,3.0,,9000000,4739.0
Mangalore,5.0,3.0,,12500000,6864.0
Mangalore,4.0,2.0,775.0,3400000,
Mangalore,,4.0,,8900000,4450.0
Mangalore,15.0,2.0,,6800000,5787.0
Mangalore,12.0,3.0,2450.0,23000000,6380.0
Mangalore,4.0,2.0,,3400000,4387.0
Mangalore,,2.0,,4000000,3774.0
Mangalore,4.0,2.0,1200.0,11400000,8837.0
Mangalore,,4.0,2496.0,17000000,5790.0
Mangalore,4.0,2.0,,6900000,2797.0
Mangalore,3.0,2.0,,8500000,6320.0
Mangalore,5.0,3.0,,8300000,5704.0
Mangalore,,2.0,,2400000,3158.0
Mangalore,,3.0,1900.0,7500000,3571.0
Mangalore,4.0,1.0,,2100000,3231.0
Mangalore,28.0,2.0,,8500000,7054.0
Mangalore,,3.0,,12500000,6173.0
Mangalore,,1.0,,3500000,5000.0
Mangalore,,2.0,,5000000,4167.0
Mangalore,,1.0,220.0,4800000,20000.0
Mangalore,3.0,1.0,720.0,2500000,
Mangalore,,2.0,,7000000,3226.0
Mangalore,,2.0,,7000000,3226.0
Mangalore,,4.0,,16500000,5456.0
Mangalore,,3.0,,7500000,4771.0
Mangalore,,1.0,,2500000,3125.0
Mangalore,4.0,2.0,,4000000,3636.0
Mangalore,6.0,2.0,715.0,2800000,3733.0
Mangalore,7.0,2.0,,6500000,5229.0
Mangalore,,2.0,220.0,4600000,1921.0
Mangalore,8.0,3.0,,7600000,5067.0
Mangalore,20.0,2.0,1005.0,8100000,8060.0
Mangalore,,,,6600000,2164.0
Mangalore,15.0,2.0,,4000000,3419.0
Mangalore,,3.0,,11000000,4547.0
Mangalore,2.0,1.0,,2500000,2941.0
Mangalore,13.0,2.0,940.0,4200000,3500.0
Mangalore,,1.0,,2850000,1636.0
Mangalore,1.0,2.0,,2800000,3111.0
Mangalore,,3.0,,9000000,3358.0
Mangalore,1.0,3.0,1560.0,6500000,4167.0
Mangalore,,2.0,900.0,4200000,
Mangalore,,2.0,900.0,4200000,
Mangalore,,2.0,,6000000,
Mangalore,,3.0,,7000000,4899.0
Mangalore,,4.0,,9000000,4286.0
Mangalore,2.0,2.0,980.0,5600000,4667.0
Mangalore,,4.0,,7500000,3130.0
Mangalore,,2.0,,6800000,6800.0
Mangalore,4.0,2.0,1056.0,3500000,3314.0
Mangalore,4.0,2.0,,4200000,3500.0
Mangalore,,3.0,,17500000,7000.0
Mangalore,7.0,3.0,,9000000,3913.0
Mangalore,4.0,2.0,920.0,5000000,
Mangalore,10.0,2.0,1095.0,6500000,
Mangalore,2.0,2.0,1950.0,14000000,
Mangalore,,3.0,,12500000,5814.0
Mangalore,4.0,2.0,1100.0,4000000,3162.0
Mangalore,,2.0,700.0,5500000,
Mangalore,2.0,3.0,,6900000,4296.0
Mangalore,4.0,2.0,,2400000,3158.0
Mangalore,,3.0,,5000000,2500.0
Mangalore,10.0,2.0,,5000000,5000.0
Mangalore,4.0,2.0,760.0,5500000,4595.0
Mangalore,,4.0,,15000000,5217.0
Mangalore,,2.0,,7200000,4979.0
Mangalore,4.0,2.0,,4200000,3231.0
Mangalore,15.0,2.0,,4000000,3419.0
Mangalore,5.0,3.0,1165.0,7300000,5141.0
Mangalore,32.0,3.0,,17000000,10546.0
Mangalore,5.0,2.0,800.0,4900000,5169.0
Mangalore,4.0,2.0,1285.0,9700000,7549.0
Mangalore,1.0,2.0,1000.0,4400000,3667.0
Mangalore,,1.0,,7500000,2500.0
Mangalore,5.0,2.0,951.0,4800000,4305.0
Mangalore,9.0,2.0,1260.0,6500000,
Mangalore,32.0,3.0,,20500000,8367.0
Mangalore,32.0,3.0,,15000000,6667.0
Mangalore,20.0,3.0,,14000000,6264.0
Mangalore,32.0,2.0,,7400000,5543.0
Mangalore,30.0,4.0,,20000000,6897.0
Mangalore,6.0,2.0,710.0,3300000,
Mangalore,4.0,1.0,628.0,3000000,4777.0
Mangalore,,7.0,5000.0,45000000,8182.0
Mangalore,,8.0,3500.0,65000000,16250.0
Mangalore,5.0,2.0,,5500000,5000.0
Mangalore,1.0,2.0,1200.0,6000000,2752.0
Mangalore,4.0,2.0,985.0,5600000,5685.0
Mangalore,1.0,2.0,1138.0,4900000,2250.0
Mangalore,1.0,2.0,900.0,3000000,3000.0
Mangalore,4.0,2.0,1000.0,3300000,3000.0
Mangalore,4.0,2.0,,5000000,5714.0
Mangalore,6.0,2.0,,5000000,4545.0
Mangalore,,,,4500000,4369.0
Mangalore,3.0,2.0,,3800000,4471.0
Mangalore,22.0,2.0,,8700000,8286.0
Mangalore,,3.0,,4600000,3067.0
Mangalore,,2.0,,10000000,3333.0
Mangalore,,5.0,,17000000,5152.0
Mangalore,,4.0,5.0,18000000,9474.0
Mangalore,,2.0,600.0,2700000,3484.0
Mangalore,4.0,2.0,808.0,4500000,4036.0
Mangalore,8.0,2.0,,6200000,5741.0
Mangalore,,1.0,,1500000,2308.0
Mangalore,,2.0,650.0,2800000,3613.0
Mangalore,,2.0,700.0,3100000,4106.0
Mangalore,5.0,2.0,700.0,2600000,3714.0
Mangalore,4.0,1.0,,1800000,2400.0
Mangalore,,2.0,,4000000,2963.0
Mangalore,,2.0,,9000000,7200.0
Mangalore,8.0,4.0,,18000000,5000.0
Mangalore,4.0,3.0,,8800000,5176.0
