city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Mumbai,,3,1340.0,45600000,
Mumbai,,3,1035.0,29654000,
Mumbai,7.0,2,952.0,55000000,27500.0
Mumbai,6.0,3,922.0,41490000,45000.0
Mumbai,7.0,2,778.0,30808800,39600.0
Mumbai,,4,1313.0,47300000,
Mumbai,,4,1450.0,13500000,6650.0
Mumbai,,2,510.0,8399000,
Mumbai,22.0,2,664.0,19000000,23750.0
Mumbai,,2,690.0,16346000,
Mumbai,,4,1313.0,47300000,
Mumbai,,3,1196.0,54740000,
Mumbai,,3,979.0,18570000,
Mumbai,,3,1411.0,39251000,
Mumbai,,3,732.0,20957000,
Mumbai,,2,630.0,17744000,
Mumbai,,1,380.0,9316000,
Mumbai,,2,660.0,22212000,
Mumbai,,3,1768.0,168003000,
Mumbai,,1,406.0,10700000,
Mumbai,17.0,2,700.0,29000000,22308.0
Mumbai,35.0,4,2000.0,135000000,48214.0
Mumbai,28.0,4,2350.0,123000000,43929.0
Mumbai,,3,1100.0,41103000,
Mumbai,10.0,4,1777.0,120000000,48232.0
Mumbai,61.0,3,1074.0,52500000,34539.0
Mumbai,7.0,1,450.0,20000000,30864.0
Mumbai,16.0,2,648.0,19000000,28832.0
Mumbai,58.0,5,3750.0,200000000,50000.0
Mumbai,22.0,4,1900.0,118800000,55000.0
Mumbai,,2,944.0,64000000,58182.0
Mumbai,30.0,3,1121.0,68500000,52692.0
Mumbai,,2,944.0,29000000,20480.0
Mumbai,11.0,3,1080.0,37900000,21173.0
Mumbai,14.0,2,604.0,21300000,26625.0
Mumbai,31.0,3,1285.0,38300000,23212.0
Mumbai,49.0,4,2089.0,75000000,35902.0
Mumbai,26.0,2,830.0,41800000,36348.0
Mumbai,30.0,5,,200000000,44444.0
Mumbai,36.0,2,906.0,32500000,26949.0
Mumbai,6.0,4,4000.0,180000000,32727.0
Mumbai,7.0,3,850.0,50000000,52632.0
Mumbai,78.0,2,897.0,48100136,34431.0
Mumbai,,3,1332.0,82500000,55000.0
Mumbai,4.0,2,,14865233,13514.0
Mumbai,10.0,5,1600.0,92500000,50685.0
Mumbai,15.0,2,807.0,34000000,21250.0
Mumbai,16.0,2,650.0,16000000,16000.0
Mumbai,22.0,1,280.0,9500000,33929.0
Mumbai,14.0,2,,4500000,4945.0
Mumbai,8.0,1,,12500000,27716.0
Mumbai,16.0,3,1600.0,48500000,26944.0
Mumbai,7.0,2,685.0,18000000,17143.0
Mumbai,23.0,6,1867.0,106000000,51381.0
Mumbai,20.0,2,,17100000,19884.0
Mumbai,32.0,2,507.0,11000000,18092.0
Mumbai,15.0,1,550.0,11500000,17164.0
Mumbai,20.0,4,,48000000,26667.0
Mumbai,38.0,2,529.0,21000000,36082.0
Mumbai,24.0,2,775.0,21245000,19314.0
Mumbai,20.0,1,430.0,17000000,30909.0
Mumbai,21.0,2,,14000000,15054.0
Mumbai,31.0,2,,20500000,27333.0
Mumbai,10.0,5,2546.0,250000000,98193.0
Mumbai,15.0,2,760.0,15000000,14620.0
Mumbai,50.0,2,628.0,20000000,31847.0
Mumbai,4.0,2,685.0,5800000,7582.0
Mumbai,56.0,3,1073.0,48500000,32333.0
Mumbai,23.0,1,200.0,4500000,12857.0
Mumbai,13.0,1,491.0,16500000,23571.0
Mumbai,7.0,3,1400.0,90000000,
Mumbai,8.0,2,,23500000,22816.0
Mumbai,57.0,2,904.0,32000000,
Mumbai,32.0,4,,71000000,50714.0
Mumbai,7.0,3,1361.0,110000000,56555.0
Mumbai,,4,1425.0,34000000,16190.0
Mumbai,6.0,1,350.0,10000000,23529.0
Mumbai,14.0,3,1055.0,31000000,18235.0
Mumbai,18.0,1,450.0,8700000,15818.0
Mumbai,9.0,3,,45000000,29703.0
Mumbai,19.0,2,805.0,25000000,29412.0
Mumbai,3.0,1,,14500000,37179.0
Mumbai,66.0,4,1384.0,113500000,82009.0
Mumbai,36.0,2,738.0,29000000,
Mumbai,,2,960.0,5200000,3099.0
Mumbai,9.0,2,532.0,13300000,23540.0
Mumbai,24.0,2,,11000000,17600.0
Mumbai,15.0,3,1200.0,49800000,31679.0
Mumbai,32.0,3,1100.0,49500000,34737.0
Mumbai,7.0,4,950.0,43000000,33077.0
Mumbai,7.0,2,650.0,18000000,19355.0
Mumbai,22.0,2,,17500000,15217.0
Mumbai,20.0,3,1320.0,72500000,
Mumbai,12.0,2,630.0,15500000,19136.0
Mumbai,10.0,2,,16800000,24526.0
Mumbai,40.0,2,480.0,10500000,28767.0
Mumbai,15.0,2,652.0,19000000,17273.0
Mumbai,15.0,2,444.0,13100000,21833.0
Mumbai,7.0,2,920.0,16500000,17935.0
Mumbai,18.0,4,1420.0,48000000,25131.0
Mumbai,11.0,2,600.0,12000000,16000.0
Mumbai,13.0,3,1050.0,29000000,23200.0
Mumbai,30.0,2,487.0,13000000,
Mumbai,18.0,3,925.0,35000000,26515.0
Mumbai,22.0,2,426.0,12500000,24038.0
Mumbai,7.0,1,400.0,19500000,45775.0
Mumbai,11.0,2,762.0,22500000,22727.0
Mumbai,13.0,2,850.0,14500000,13426.0
Mumbai,7.0,1,634.0,13000000,18571.0
Mumbai,5.0,2,,28000000,38356.0
Mumbai,,5,4500.0,240000000,36923.0
Mumbai,37.0,3,900.0,33000000,30726.0
Mumbai,21.0,2,750.0,18500000,33036.0
Mumbai,15.0,2,450.0,12200000,18074.0
Mumbai,10.0,2,500.0,14000000,21875.0
Mumbai,18.0,3,1100.0,45000000,30000.0
Mumbai,6.0,3,922.0,37800000,
Mumbai,13.0,3,72.0,16500000,11354.0
Mumbai,22.0,2,720.0,9200000,11125.0
Mumbai,,5,1500.0,15000000,7500.0
Mumbai,14.0,2,700.0,17000000,14167.0
Mumbai,73.0,3,1226.0,60000000,
Mumbai,23.0,2,435.0,14000000,23333.0
Mumbai,31.0,3,1200.0,120000000,93168.0
Mumbai,23.0,3,932.0,28800000,21318.0
Mumbai,21.0,3,950.0,33500000,28879.0
Mumbai,22.0,2,470.0,23500000,
Mumbai,10.0,2,760.0,42500000,
Mumbai,7.0,1,300.0,7200000,17561.0
Mumbai,20.0,2,738.0,25200000,28000.0
Mumbai,6.0,2,500.0,24000000,44444.0
Mumbai,22.0,3,1223.0,69900000,38093.0
Mumbai,23.0,3,700.0,18200000,21163.0
Mumbai,5.0,1,473.0,12200000,17836.0
Mumbai,25.0,2,800.0,36000000,36000.0
Mumbai,7.0,2,663.0,17000000,19722.0
Mumbai,7.0,4,1315.0,42500000,21250.0
Mumbai,7.0,2,765.0,11000000,10000.0
Mumbai,7.0,3,1408.0,60000000,31579.0
Mumbai,4.0,1,480.0,3200000,5489.0
Mumbai,28.0,3,995.0,24500000,14412.0
Mumbai,7.0,1,425.0,6100000,9729.0
Mumbai,36.0,2,738.0,29000000,26364.0
Mumbai,21.0,2,330.0,13500000,27000.0
Mumbai,38.0,2,645.0,25800000,36857.0
Mumbai,3.0,1,361.0,4000000,
Mumbai,7.0,2,650.0,14500000,18710.0
Mumbai,22.0,3,950.0,18500000,18500.0
Mumbai,22.0,6,1866.0,105000000,36207.0
Mumbai,32.0,2,428.0,10500000,19091.0
Mumbai,39.0,2,620.0,16500000,22000.0
Mumbai,45.0,2,883.0,55500000,48261.0
Mumbai,7.0,2,730.0,27500000,32353.0
Mumbai,16.0,3,1004.0,31500000,21000.0
Mumbai,18.0,2,685.0,16500000,16500.0
Mumbai,16.0,3,1150.0,38000000,23750.0
Mumbai,19.0,3,866.0,36500000,31739.0
Mumbai,7.0,2,740.0,17800000,16952.0
Mumbai,22.0,2,460.0,24000000,40000.0
Mumbai,7.0,1,595.0,12000000,19200.0
Mumbai,16.0,3,1403.0,31000000,17222.0
Mumbai,7.0,3,1100.0,36000000,30000.0
Mumbai,78.0,3,1092.0,70000000,48276.0
Mumbai,17.0,2,,37500000,31513.0
Mumbai,22.0,2,435.0,4500000,8806.0
Mumbai,16.0,3,1146.0,38500000,20263.0
Mumbai,4.0,1,410.0,9300000,14762.0
Mumbai,14.0,2,804.0,56200000,
Mumbai,7.0,3,927.0,42500000,32692.0
Mumbai,7.0,2,600.0,18000000,
Mumbai,13.0,4,1401.0,90000000,45000.0
Mumbai,7.0,2,,3850000,5500.0
Mumbai,20.0,2,700.0,27000000,25714.0
Mumbai,22.0,2,426.0,13000000,27660.0
Mumbai,23.0,2,427.0,11900000,
Mumbai,4.0,1,418.0,8400000,
Mumbai,7.0,2,460.0,15500000,20130.0
Mumbai,16.0,2,630.0,15500000,13668.0
Mumbai,7.0,2,450.0,12000000,21053.0
Mumbai,7.0,1,265.0,13500000,38571.0
Mumbai,36.0,2,802.0,37000000,46135.0
Mumbai,15.0,4,1789.0,99000000,33000.0
Mumbai,9.0,4,1700.0,125000000,52083.0
Mumbai,5.0,3,800.0,30000000,37500.0
Mumbai,15.0,3,,250000000,263158.0
Mumbai,4.0,1,425.0,2000000,3636.0
Mumbai,7.0,1,300.0,8000000,
Mumbai,30.0,3,1121.0,70000000,46667.0
Mumbai,15.0,2,760.0,19399140,17636.0
Mumbai,12.0,3,,21500000,17200.0
Mumbai,14.0,2,430.0,12000000,22222.0
Mumbai,,3,1200.0,30000000,20000.0
Mumbai,7.0,2,,17500000,22379.0
Mumbai,11.0,2,730.0,23000000,23958.0
Mumbai,7.0,1,430.0,7600000,12358.0
Mumbai,23.0,2,686.0,19000000,
Mumbai,6.0,3,806.0,27500000,30556.0
Mumbai,21.0,3,1100.0,60000000,40000.0
Mumbai,25.0,2,,23000000,24211.0
Mumbai,23.0,2,452.0,11500000,15333.0
Mumbai,70.0,3,1335.0,85000000,42500.0
Mumbai,23.0,2,637.0,17000000,
Mumbai,42.0,1,330.0,12300000,
Mumbai,14.0,2,613.0,19000000,23750.0
Mumbai,23.0,2,632.0,16900000,15253.0
Mumbai,,2,580.0,6000000,10000.0
Mumbai,21.0,1,400.0,5000000,10000.0
Mumbai,20.0,2,420.0,12000000,21053.0
Mumbai,12.0,3,1180.0,62500000,
Mumbai,12.0,2,770.0,31500000,35000.0
Mumbai,7.0,2,700.0,9500000,10920.0
Mumbai,8.0,2,,17500000,30017.0
Mumbai,4.0,2,650.0,21000000,26923.0
Mumbai,3.0,1,,20000000,46296.0
Mumbai,26.0,3,,65000000,56522.0
Mumbai,23.0,3,932.0,28800000,22086.0
Mumbai,10.0,2,637.0,17200000,22933.0
Mumbai,22.0,3,1250.0,50000000,27778.0
Mumbai,4.0,2,615.0,7500000,7812.0
Mumbai,,2,661.0,20000000,18182.0
Mumbai,7.0,3,815.0,32500000,32500.0
Mumbai,22.0,2,671.0,25500000,38003.0
Mumbai,20.0,2,485.0,14500000,26364.0
Mumbai,14.0,5,2129.0,150000000,70456.0
Mumbai,20.0,2,986.0,36000000,32727.0
Mumbai,7.0,2,1000.0,40000000,30769.0
Mumbai,54.0,2,865.0,31500000,25610.0
Mumbai,12.0,3,998.0,45000000,39130.0
Mumbai,7.0,2,700.0,23000000,19167.0
