city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Mysore,,4.0,2100.0,11000000.0,
Mysore,5.0,2.0,,8000000.0,6667.0
Mysore,,3.0,1200.0,14000000.0,9333.0
Mysore,3.0,2.0,1000.0,8000000.0,6667.0
Mysore,,2.0,1180.0,12500000.0,10417.0
Mysore,5.0,2.0,1200.0,10312000.0,8000.0
Mysore,,3.0,,21000000.0,14000.0
Mysore,10.0,3.0,1018.0,14000000.0,8685.0
Mysore,3.0,3.0,,8000000.0,6349.0
Mysore,5.0,2.0,,7200000.0,7912.0
Mysore,3.0,2.0,836.0,6400000.0,6148.0
Mysore,5.0,3.0,1350.0,5500000.0,4074.0
Mysore,,6.0,4400.0,25000000.0,
Mysore,,3.0,,7700000.0,10267.0
Mysore,,3.0,,9000000.0,7500.0
Mysore,4.0,2.0,1245.0,5400000.0,4337.0
Mysore,3.0,2.0,804.0,7239540.0,6779.0
Mysore,,4.0,,12000000.0,6000.0
Mysore,,1.0,,3980000.0,4975.0
Mysore,,1.0,600.0,10500000.0,
Mysore,,5.0,4500.0,55000000.0,7857.0
Mysore,,3.0,,10500000.0,7000.0
Mysore,10.0,2.0,,10500000.0,8294.0
Mysore,7.0,4.0,,32000000.0,12121.0
Mysore,4.0,1.0,,2500000.0,3477.0
Mysore,1.0,6.0,,23000000.0,9914.0
Mysore,,3.0,1200.0,9000000.0,4390.0
Mysore,,3.0,1040.0,13800000.0,13269.0
Mysore,,1.0,,4400000.0,11282.0
Mysore,4.0,3.0,,9200000.0,5732.0
Mysore,3.0,3.0,1350.0,9300000.0,5636.0
Mysore,,1.0,900.0,8250000.0,6875.0
Mysore,,3.0,2400.0,11500000.0,4792.0
Mysore,8.0,3.0,,7800000.0,5571.0
Mysore,,2.0,,2750000.0,2750.0
Mysore,3.0,4.0,1200.0,13000000.0,5000.0
Mysore,,2.0,,3800000.0,3220.0
Mysore,,1.0,,4170000.0,4170.0
Mysore,,3.0,600.0,7510000.0,4172.0
Mysore,,2.0,,2750000.0,2750.0
Mysore,,2.0,,8340000.0,4170.0
Mysore,,2.0,,6800000.0,
Mysore,2.0,4.0,,9600000.0,4800.0
Mysore,,3.0,,5780000.0,2752.0
Mysore,,2.0,,3210000.0,2755.0
Mysore,,3.0,,12000000.0,6000.0
Mysore,,3.0,,5500000.0,2750.0
Mysore,,3.0,,10010000.0,4171.0
Mysore,,3.0,,7920000.0,4168.0
Mysore,,2.0,,5000000.0,4167.0
Mysore,,2.0,800.0,5000000.0,
Mysore,,1.0,,3499000.0,1458.0
Mysore,,4.0,,7510000.0,4172.0
Mysore,,2.0,,4800000.0,4174.0
Mysore,4.0,5.0,2530.0,17400000.0,5731.0
Mysore,,1.0,600.0,2500000.0,4167.0
Mysore,,3.0,,5000000.0,4167.0
Mysore,1.0,1.0,600.0,2700000.0,4500.0
Mysore,2.0,3.0,,63000000.0,14318.0
Mysore,,5.0,,11680000.0,4171.0
Mysore,4.0,3.0,1700.0,15500000.0,9118.0
Mysore,,4.0,1200.0,18500000.0,5000.0
Mysore,8.0,3.0,1650.0,6300000.0,3684.0
Mysore,,3.0,,32000000.0,118912.0
Mysore,,3.0,,9900000.0,5351.0
Mysore,3.0,2.0,750.0,4800000.0,5647.0
Mysore,4.0,2.0,,5000000.0,5000.0
Mysore,,1.0,,15000000.0,8082.0
Mysore,,,,4800000.0,8000.0
Mysore,3.0,2.0,1100.0,7500000.0,
Mysore,2.0,3.0,1200.0,7500000.0,6250.0
Mysore,,2.0,,17000000.0,14167.0
Mysore,,1.0,,7000000.0,11667.0
Mysore,,3.0,1100.0,14500000.0,11846.0
Mysore,,2.0,875.0,3650000.0,4171.0
Mysore,,4.0,1200.0,21500000.0,17917.0
Mysore,3.0,5.0,,35000000.0,29167.0
Mysore,2.0,4.0,2400.0,20500000.0,17083.0
Mysore,,4.0,,15000000.0,7143.0
Mysore,9.0,2.0,,9200000.0,9808.0
Mysore,,2.0,,14500000.0,12083.0
Mysore,4.0,2.0,,6400000.0,4748.0
Mysore,,2.0,,7800000.0,6414.0
Mysore,3.0,3.0,1001.0,7500000.0,5678.0
Mysore,,3.0,,25000000.0,10000.0
Mysore,,1.0,,10000000.0,4167.0
Mysore,,2.0,,13000000.0,6500.0
Mysore,,2.0,,6800000.0,5667.0
Mysore,,2.0,,8000000.0,4706.0
Mysore,,6.0,,12500000.0,4167.0
Mysore,,4.0,,8000000.0,9697.0
Mysore,,3.0,,22500000.0,9000.0
Mysore,1.0,2.0,,11500000.0,12366.0
Mysore,4.0,2.0,1150.0,5000000.0,
Mysore,,2.0,1100.0,7800000.0,6500.0
Mysore,2.0,2.0,,12000000.0,6000.0
Mysore,5.0,3.0,,11200000.0,5600.0
Mysore,,3.0,1350.0,7500000.0,5000.0
Mysore,1.0,3.0,,13000000.0,6667.0
Mysore,4.0,3.0,,15000000.0,8333.0
Mysore,4.0,2.0,,5257000.0,5031.0
Mysore,4.0,2.0,,5200000.0,4127.0
Mysore,,2.0,,28500000.0,21923.0
Mysore,4.0,3.0,,10000000.0,5319.0
Mysore,4.0,2.0,,8500000.0,6746.0
Mysore,2.0,1.0,600.0,3500000.0,5833.0
Mysore,4.0,2.0,799.0,7600000.0,6080.0
Mysore,8.0,3.0,1510.0,9000000.0,5263.0
Mysore,1.0,3.0,1800.0,16000000.0,7619.0
Mysore,,3.0,2000.0,24000000.0,10000.0
Mysore,2.0,2.0,1000.0,10000000.0,8333.0
Mysore,,3.0,1220.0,25000000.0,20492.0
Mysore,,3.0,1000.0,11300000.0,9417.0
Mysore,5.0,1.0,690.0,2400003.0,3478.0
Mysore,,2.0,25.0,6800000.0,206061.0
Mysore,,3.0,2600.0,13500000.0,
Mysore,,3.0,1000.0,11100000.0,9250.0
Mysore,,1.0,,3700000.0,8043.0
Mysore,,7.0,,14000000.0,5833.0
Mysore,,2.0,,12500000.0,10417.0
Mysore,,7.0,,14000000.0,5833.0
Mysore,8.0,2.0,,6900000.0,4859.0
Mysore,8.0,1.0,,4500000.0,5696.0
Mysore,2.0,2.0,,4500000.0,7500.0
Mysore,2.0,5.0,,40000000.0,10000.0
Mysore,,3.0,600.0,13000000.0,18056.0
Mysore,2.0,3.0,4500.0,70000000.0,17500.0
Mysore,2.0,4.0,45000.0,20000000.0,8333.0
Mysore,,2.0,20.0,8000000.0,266667.0
Mysore,3.0,3.0,,7800000.0,13000.0
Mysore,,1.0,1275.0,30670500.0,8050.0
Mysore,1.0,3.0,,10000000.0,4545.0
Mysore,,3.0,2000.0,12500000.0,4464.0
Mysore,1.0,2.0,800.0,3900000.0,3900.0
Mysore,,3.0,,5000000.0,4032.0
Mysore,2.0,1.0,750.0,2700000.0,2700.0
Mysore,2.0,2.0,750.0,4400000.0,5867.0
Mysore,,5.0,1500.0,28000000.0,4667.0
Mysore,,2.0,,40000000.0,6579.0
Mysore,,1.0,,8130000.0,4171.0
Mysore,,2.0,,2970000.0,2750.0
Mysore,,3.0,,11200000.0,4882.0
Mysore,,1.0,,5000000.0,4167.0
Mysore,,4.0,,14180000.0,4171.0
Mysore,,3.0,,7090000.0,4171.0
Mysore,,3.0,1600.0,10800000.0,6000.0
Mysore,,4.0,875.0,8700000.0,9943.0
Mysore,1.0,2.0,,3800000.0,6333.0
Mysore,2.0,4.0,,25000000.0,5435.0
Mysore,4.0,3.0,1650.0,20000000.0,10194.0
Mysore,9.0,2.0,,10500000.0,9545.0
Mysore,3.0,5.0,,12000000.0,10000.0
Mysore,,5.0,550.0,9000000.0,5294.0
Mysore,,2.0,,6107400.0,4517.0
Mysore,3.0,1.0,,13000000.0,282609.0
Mysore,,2.0,,4200000.0,5250.0
