city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Nashik,7.0,2.0,,3000000,3927.0
Nashik,12.0,3.0,990.0,5550000,3651.0
Nashik,5.0,2.0,,2800000,3373.0
Nashik,7.0,2.0,750.0,4600000,4646.0
Nashik,,3.0,900.0,3800000,3455.0
Nashik,13.0,2.0,,5500000,4314.0
Nashik,6.0,3.0,1036.0,7800000,5032.0
Nashik,4.0,2.0,850.0,3500000,3889.0
Nashik,9.0,2.0,1000.0,6500000,5000.0
Nashik,13.0,3.0,800.0,6600000,6000.0
Nashik,12.0,3.0,1000.0,5600000,4341.0
Nashik,8.0,2.0,,5000000,5025.0
Nashik,3.0,2.0,,7000000,7000.0
Nashik,4.0,3.0,,8100000,6067.0
Nashik,,3.0,1576.0,9000000,5000.0
Nashik,8.0,3.0,,6900000,4646.0
Nashik,6.0,2.0,,6500000,5417.0
Nashik,5.0,3.0,,7500000,5190.0
Nashik,3.0,2.0,866.0,2600000,3002.0
Nashik,12.0,2.0,,5300000,4173.0
Nashik,4.0,2.0,850.0,3500000,4118.0
Nashik,4.0,2.0,826.0,4000000,
Nashik,7.0,2.0,1200.0,4000000,3460.0
Nashik,6.0,3.0,1415.0,21500000,10103.0
Nashik,12.0,2.0,850.0,8500000,7083.0
Nashik,3.0,2.0,,3499999,3763.0
Nashik,,2.0,1100.0,7000000,6364.0
Nashik,13.0,3.0,,8600000,6291.0
Nashik,4.0,2.0,860.0,5700000,4638.0
Nashik,4.0,3.0,,11100000,7929.0
Nashik,8.0,3.0,1541.0,14500000,6732.0
Nashik,7.0,3.0,1200.0,12500000,7184.0
Nashik,5.0,2.0,703.0,5000000,4608.0
Nashik,6.0,2.0,,4800000,4507.0
Nashik,7.0,2.0,800.0,7000000,6440.0
Nashik,8.0,2.0,1000.0,6000000,6250.0
Nashik,24.0,3.0,1150.0,13800000,8118.0
Nashik,7.0,2.0,805.0,4500000,5590.0
Nashik,4.0,2.0,,3200000,3902.0
Nashik,22.0,2.0,733.0,8000000,7782.0
Nashik,6.0,2.0,850.0,6800000,6800.0
Nashik,12.0,2.0,881.0,4400000,3803.0
Nashik,,2.0,1440.0,6900000,
Nashik,7.0,2.0,,4500000,5515.0
Nashik,7.0,2.0,650.0,3800000,4000.0
Nashik,,2.0,,5000000,6640.0
Nashik,,1.0,,2500000,3434.0
Nashik,,3.0,,8050000,4600.0
Nashik,4.0,2.0,951.0,4500000,
Nashik,12.0,2.0,,5100000,5178.0
Nashik,,3.0,,6000000,5455.0
Nashik,,3.0,,20000000,7143.0
Nashik,,2.0,662.0,3500000,4599.0
Nashik,4.0,3.0,1040.0,8100000,5062.0
Nashik,,1.0,65.0,8000000,2703.0
Nashik,3.0,2.0,805.0,2950000,
Nashik,3.0,3.0,,4300000,2867.0
Nashik,,2.0,,4280000,4602.0
Nashik,,2.0,,4600000,4600.0
Nashik,,2.0,,8600000,7478.0
Nashik,,2.0,,5100000,4048.0
Nashik,7.0,2.0,728.0,6500000,5980.0
Nashik,14.0,3.0,,10500000,6805.0
Nashik,3.0,1.0,,2800000,3200.0
Nashik,14.0,2.0,500.0,3300000,4714.0
Nashik,3.0,1.0,,2700000,3375.0
Nashik,,3.0,,6000000,
Nashik,,1.0,,3220000,4600.0
Nashik,2.0,3.0,,13000000,3824.0
Nashik,,2.0,900.0,4140000,
Nashik,,3.0,1225.0,7000000,
Nashik,6.0,2.0,1050.0,4300000,4095.0
Nashik,6.0,4.0,1111.0,7000000,4473.0
Nashik,4.0,2.0,,3850000,3720.0
Nashik,4.0,2.0,,2625000,3500.0
Nashik,,3.0,1050.0,4500000,4091.0
Nashik,1.0,1.0,,2500000,2500.0
Nashik,,2.0,700.0,4000000,4444.0
Nashik,13.0,2.0,,3750000,4386.0
Nashik,4.0,2.0,1100.0,3900000,
Nashik,7.0,2.0,,5890000,4602.0
Nashik,,4.0,,13000000,8667.0
Nashik,1.0,2.0,1000.0,5000000,833.0
Nashik,3.0,2.0,820.0,4000000,
Nashik,,1.0,,6000000,5333.0
Nashik,6.0,2.0,850.0,2751000,3236.0
Nashik,,2.0,,4600000,3433.0
Nashik,3.0,1.0,635.0,3100000,3827.0
Nashik,8.0,2.0,486.0,2600000,
Nashik,,2.0,850.0,6200000,6263.0
Nashik,2.0,3.0,1550.0,5800000,3742.0
Nashik,15.0,2.0,,8950000,6858.0
Nashik,3.0,1.0,810.0,3800000,3609.0
Nashik,4.0,2.0,750.0,2500000,2966.0
Nashik,12.0,2.0,,3900000,4097.0
Nashik,7.0,2.0,946.0,4800000,4000.0
Nashik,7.0,2.0,1119.0,5950000,5509.0
Nashik,7.0,3.0,,13510000,7000.0
Nashik,4.0,2.0,1000.0,7000000,5185.0
Nashik,,2.0,850.0,1650000,1650.0
Nashik,6.0,2.0,704.0,3800000,4000.0
Nashik,,2.0,1049.0,3500000,2917.0
Nashik,7.0,2.0,,4100000,3939.0
Nashik,5.0,2.0,820.0,4200000,
Nashik,,3.0,,9500000,4318.0
Nashik,6.0,3.0,1440.0,10500000,5000.0
Nashik,7.0,2.0,,4000000,4000.0
Nashik,,2.0,1050.0,6000000,4615.0
Nashik,7.0,2.0,,3050000,4357.0
Nashik,8.0,2.0,,5600000,4531.0
Nashik,7.0,3.0,1259.0,7125000,3800.0
Nashik,6.0,2.0,800.0,3773400,3800.0
Nashik,12.0,2.0,,5000000,6410.0
Nashik,5.0,3.0,1288.0,11500000,6319.0
Nashik,4.0,2.0,,6000000,4615.0
Nashik,,2.0,,4800000,3429.0
Nashik,6.0,2.0,1242.0,6200000,4960.0
Nashik,4.0,1.0,,2400000,3200.0
Nashik,4.0,2.0,850.0,4200000,4941.0
Nashik,,2.0,1260.0,5000000,4545.0
Nashik,4.0,2.0,,3200000,3368.0
Nashik,7.0,2.0,900.0,7000000,6222.0
Nashik,6.0,2.0,750.0,4800000,5333.0
Nashik,7.0,2.0,,5500000,5500.0
Nashik,,2.0,655.0,4600000,3407.0
Nashik,2.0,1.0,,20000000,20000.0
Nashik,7.0,2.0,850.0,6100000,6778.0
Nashik,4.0,1.0,900.0,5800000,5043.0
Nashik,6.0,3.0,1400.0,9900000,4950.0
Nashik,5.0,2.0,,6100000,6040.0
Nashik,7.0,2.0,750.0,4550000,4417.0
Nashik,3.0,2.0,,2700000,3497.0
Nashik,6.0,2.0,700.0,4200000,4817.0
Nashik,,3.0,1650.0,12000000,
Nashik,6.0,2.0,650.0,4300000,4594.0
Nashik,,3.0,,8500000,5484.0
Nashik,9.0,2.0,,8000000,7111.0
Nashik,14.0,2.0,,4000000,4926.0
Nashik,4.0,1.0,600.0,5100000,4435.0
Nashik,5.0,3.0,,10000000,5602.0
Nashik,4.0,2.0,,3160000,4593.0
Nashik,,3.0,,3800000,3245.0
Nashik,7.0,2.0,880.0,4000000,
Nashik,8.0,3.0,,4500000,3750.0
Nashik,6.0,2.0,717.0,3800000,3800.0
Nashik,10.0,3.0,,8000000,5882.0
Nashik,5.0,2.0,,4200000,4615.0
Nashik,5.0,2.0,,5520000,4600.0
Nashik,5.0,2.0,,4200000,4615.0
Nashik,3.0,2.0,,5500000,2750.0
Nashik,4.0,2.0,820.0,8500000,10000.0
Nashik,4.0,2.0,,8000000,5479.0
Nashik,,2.0,,3700000,3700.0
Nashik,4.0,2.0,,3500000,4599.0
Nashik,,3.0,,6000000,3529.0
Nashik,7.0,2.0,,5870000,4600.0
Nashik,7.0,2.0,,2300000,4600.0
Nashik,3.0,1.0,,3220000,4600.0
Nashik,4.0,2.0,,5300000,4480.0
Nashik,2.0,3.0,2400.0,22000000,
Nashik,7.0,2.0,,3250000,4815.0
Nashik,13.0,2.0,1471.0,8500000,5774.0
Nashik,,3.0,,9900000,4950.0
Nashik,5.0,2.0,541.0,3000000,4049.0
Nashik,3.0,2.0,,4500000,3333.0
Nashik,,2.0,,3137968,3922.0
Nashik,,2.0,,3000000,2609.0
Nashik,,3.0,900.0,3800000,3167.0
Nashik,11.0,2.0,,6000000,4615.0
Nashik,14.0,2.0,,7200000,5765.0
Nashik,7.0,2.0,521.0,2900000,4125.0
Nashik,3.0,2.0,650.0,4300000,5000.0
Nashik,,2.0,,3000000,2609.0
Nashik,8.0,2.0,1350.0,8200000,5775.0
Nashik,5.0,2.0,,3250000,4062.0
Nashik,,2.0,,3800000,3519.0
Nashik,,2.0,800.0,3700000,4111.0
Nashik,,2.0,,5100000,3579.0
Nashik,,2.0,,4100000,3445.0
