city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Patna,3.0,,,7500000,6522.0
Patna,11.0,,,12000000,7926.0
Patna,5.0,,,6950000,6715.0
Patna,4.0,,,8200000,8200.0
Patna,4.0,,,12500000,7645.0
Patna,5.0,,,4000000,
Patna,4.0,,,8000000,5575.0
Patna,10.0,,,6960000,5800.0
Patna,2.0,,,5800000,4462.0
Patna,3.0,,,8000000,6294.0
Patna,5.0,,,9915000,6610.0
Patna,5.0,,,18600000,11273.0
Patna,4.0,,,6500000,6404.0
Patna,7.0,,,5872500,4050.0
Patna,8.0,,,3800000,3800.0
Patna,5.0,,,13500000,7736.0
Patna,7.0,,,9500000,7492.0
Patna,7.0,,,6137500,5988.0
Patna,5.0,,,7000000,4711.0
Patna,4.0,,,9000000,5678.0
Patna,10.0,,,22500000,11842.0
Patna,4.0,,,6800000,6686.0
Patna,6.0,,,9000000,6429.0
Patna,7.0,,,8500000,4337.0
Patna,12.0,,,12000000,8259.0
Patna,3.0,,,10000000,
Patna,5.0,,,6500000,6190.0
Patna,8.0,,,10000000,
Patna,4.0,,,17000000,
Patna,5.0,,,11500000,6497.0
Patna,,,,3660000,2794.0
Patna,,,,2570000,2793.0
Patna,,,,2790000,2790.0
Patna,,,,3000000,3125.0
Patna,,,,3130000,2792.0
Patna,4.0,,,6000000,5405.0
Patna,4.0,,,5500000,6344.0
Patna,,,,2790000,2790.0
Patna,,,,13000000,5200.0
Patna,,,,3490000,2790.0
Patna,,,,3770000,2793.0
Patna,,,,3490000,2792.0
Patna,,,,3590000,2794.0
Patna,,,,3680000,2790.0
Patna,,,,2930000,2790.0
Patna,,,,3360000,2788.0
Patna,4.0,,,5500000,5169.0
Patna,,,,2790000,2790.0
Patna,,,,4300000,4778.0
Patna,,,,3630000,2792.0
Patna,,,,2990000,2794.0
Patna,,,,4130000,2791.0
Patna,,,,3180000,2789.0
Patna,,,,2880000,2796.0
Patna,,,,5000000,4545.0
Patna,,,,5100000,2791.0
Patna,,,,2850000,2794.0
Patna,,,,3450000,2794.0
Patna,,,,6800000,4996.0
Patna,,,,3970000,2796.0
Patna,,,,4720000,2793.0
Patna,,,,5100000,2791.0
Patna,,,,2550000,2793.0
Patna,,,,4070000,2790.0
Patna,,,,2330000,2794.0
Patna,,,,2860000,2790.0
Patna,,,,2790000,2790.0
Patna,,,,4190000,2793.0
Patna,,,,2790000,
Patna,,,,3020000,2789.0
Patna,,,,4870000,2792.0
Patna,,,,5580000,2790.0
Patna,,,,2690000,2788.0
Patna,,,,4000000,5714.0
Patna,,,,3850000,2790.0
Patna,,,,3850000,2790.0
Patna,,,,2790000,2790.0
Patna,,,,4600000,4240.0
Patna,7.0,,,4600000,
Patna,,,,4320000,2793.0
Patna,,,,3620000,2795.0
Patna,,,,4130000,2791.0
Patna,,,,3140000,2789.0
Patna,,,,4400000,3946.0
Patna,,,,3190000,2788.0
Patna,,,,7000000,4795.0
Patna,,,,2200000,2795.0
Patna,,,,7000000,6667.0
Patna,,,,100000,91.0
Patna,,,,3850000,2790.0
Patna,,,,2950000,2794.0
Patna,4.0,,,4000000,4938.0
Patna,,,,2930000,2790.0
Patna,,,,3910000,2793.0
Patna,,,,2740000,
Patna,,,,3070000,2791.0
Patna,,,,3880000,2789.0
Patna,,,,2550000,2787.0
Patna,,,,5170000,2795.0
Patna,,,,3210000,2791.0
Patna,,,,2790000,
Patna,,,,3070000,2791.0
Patna,,,,2710000,2794.0
Patna,,,,13500000,7803.0
Patna,,,,2400000,
Patna,,,,7500000,12500.0
Patna,,,,2960000,2792.0
Patna,,,,2960000,2792.0
Patna,,,,9500000,5000.0
Patna,,,,3000000,2791.0
Patna,,,,3770000,2793.0
Patna,,,,6000000,4000.0
