city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
,,,1438.0,24511000,12887.0
,,,965.0,9909000,
,13.0,,1028.0,13602400000,9800000.0
,23.0,,843.0,12000000,10909.0
,,,1210.0,13777000,
,22.0,,709.0,6900000,6900.0
,17.0,,826.0,11500000,10000.0
,12.0,,1700.0,24200000,9680.0
,22.0,,613.0,6320000,7524.0
,11.0,,1200.0,15100000,9338.0
,4.0,,,7200000,7200.0
,10.0,,,12000000,8000.0
,22.0,,900.0,8100000,7168.0
,7.0,,800.0,7000000,7000.0
,25.0,,1330.0,18000000,10411.0
,22.0,,870.0,9400000,8034.0
,14.0,,1190.0,16500000,10763.0
,4.0,,,2100000,3684.0
,5.0,,704.0,3600000,5042.0
,22.0,,1100.0,16500000,14348.0
,,,1300.0,20000000,13333.0
,9.0,,726.0,10800000,9818.0
,11.0,,800.0,7200000,7200.0
,12.0,,,12000000,13260.0
,11.0,,1350.0,11000000,7020.0
,11.0,,886.0,10500000,8772.0
,11.0,,740.0,5400000,6413.0
,7.0,,715.0,8126423,8554.0
,22.0,,1015.0,14000000,10000.0
,13.0,,985.0,11000000,11000.0
,27.0,,945.0,12000000,12000.0
,12.0,,763.0,14000000,13462.0
,9.0,,852.0,6900000,7500.0
,,,2000.0,26500000,13250.0
,11.0,,801.0,7200000,6910.0
,,,,8500000,4250.0
,21.0,,831.0,11000000,11752.0
,14.0,,964.0,11200000,8296.0
,4.0,,998.0,9500000,9360.0
,3.0,,650.0,2300000,3286.0
,20.0,,1368.0,23999000,13186.0
,27.0,,853.0,11500000,9991.0
,6.0,,970.0,9800000,7650.0
,12.0,,621.0,6999000,8641.0
,13.0,,954.0,12500000,9579.0
,17.0,,910.0,8000000,8602.0
,7.0,,1383.0,16000000,10667.0
,34.0,,715.0,9200000,10824.0
,11.0,,750.0,6850000,7211.0
,12.0,,811.0,7000000,6542.0
,12.0,,603.0,7400000,9451.0
,11.0,,,9100000,13000.0
,11.0,,1210.0,13000000,8832.0
,12.0,,1075.0,7500000,6224.0
,22.0,,814.0,6990000,
,28.0,,1021.0,13351000,9343.0
,12.0,,1065.0,13000000,10277.0
,26.0,,,29500000,18589.0
,4.0,,900.0,5500000,5500.0
,,,,52500000,13034.0
,3.0,,850.0,9000000,7500.0
,10.0,,1250.0,15000000,11111.0
,20.0,,732.0,9500000,
,4.0,,600.0,8600000,10818.0
,,,1400.0,9000000,6294.0
,16.0,,1090.0,9000000,
,11.0,,652.0,8000000,8247.0
,4.0,,,6100000,7126.0
,11.0,,761.0,4800000,4571.0
,11.0,,517.0,5600000,8750.0
,11.0,,900.0,8200000,7455.0
,12.0,,1052.0,6200000,5391.0
,14.0,,821.0,8980000,8018.0
,22.0,,895.0,9809280,8384.0
,27.0,,1120.0,22500000,14313.0
,13.0,,715.0,6500000,7254.0
,10.0,,705.0,7200000,8136.0
,12.0,,790.0,7500000,9740.0
,14.0,,924.0,10500000,8420.0
,3.0,,950.0,11500000,9200.0
,13.0,,903.0,7800000,6500.0
,4.0,,920.0,7000000,5833.0
,11.0,,625.0,5800000,6824.0
,20.0,,1336.0,24000000,15454.0
,7.0,,900.0,11200000,9404.0
,6.0,,771.0,8000000,7143.0
,3.0,,1160.0,8800000,
,,,,10000000,5882.0
,13.0,,1172.0,17500000,10294.0
,,,1100.0,18000000,6000.0
,13.0,,1088.0,15500000,10000.0
,,,1503.0,35000000,19444.0
,4.0,,785.0,3800000,3707.0
,12.0,,685.0,3500000,5000.0
,22.0,,,8150000,10226.0
,11.0,,635.0,3500000,4167.0
,12.0,,664.0,8100000,10125.0
,7.0,,753.0,7999999,8163.0
,7.0,,700.0,5800000,5829.0
,4.0,,780.0,11000000,11411.0
,15.0,,1230.0,13200000,9429.0
,9.0,,849.0,8500000,6538.0
,9.0,,928.0,9190000,7294.0
,,,1500.0,6700000,4188.0
,1.0,,998.0,6200000,5882.0
,13.0,,600.0,5600000,8615.0
,11.0,,1050.0,17000000,13600.0
,13.0,,907.0,16000000,14072.0
,17.0,,1020.0,15000000,14706.0
,14.0,,624.0,8150000,9325.0
,24.0,,691.0,7500000,8824.0
,22.0,,815.0,11000000,9167.0
,8.0,,836.0,8700000,9062.0
,3.0,,638.0,2300000,2791.0
,11.0,,700.0,9450000,11595.0
,21.0,,894.0,11000000,11168.0
,12.0,,557.0,5690000,7203.0
,11.0,,439.0,3870000,5126.0
,10.0,,753.0,3000000,
,9.0,,1160.0,11500000,7099.0
,12.0,,636.0,4600000,5180.0
,7.0,,1180.0,20000000,12821.0
,5.0,,,12000000,11823.0
,12.0,,1080.0,12500000,8389.0
,10.0,,548.0,8500000,11184.0
,12.0,,804.0,8500000,8500.0
,6.0,,800.0,13500000,13500.0
,11.0,,780.0,7200000,6857.0
,6.0,,690.0,6000000,7308.0
,8.0,,,12000000,10526.0
,11.0,,750.0,8200000,10250.0
,12.0,,476.0,2250000,3151.0
,12.0,,780.0,6800000,6296.0
,10.0,,705.0,6500000,6878.0
,3.0,,900.0,8300000,9222.0
,11.0,,1079.0,7200000,6261.0
,3.0,,,2500000,2790.0
,10.0,,790.0,7300000,6986.0
,4.0,,680.0,5500000,6858.0
,11.0,,1000.0,10000000,7937.0
,5.0,,520.0,4000000,5128.0
,20.0,,,12000000,11858.0
,20.0,,1012.0,11900000,9154.0
,2.0,,1210.0,8800000,5594.0
,12.0,,1548.0,10000000,5000.0
,24.0,,1072.0,8800000,6286.0
,11.0,,1300.0,9000000,6220.0
,12.0,,,13200000,11913.0
,10.0,,1050.0,9500000,8636.0
,12.0,,780.0,6500000,5909.0
,,,951.0,8000000,6612.0
,12.0,,713.0,4000000,3929.0
,3.0,,650.0,5000000,8532.0
,24.0,,1300.0,28000000,17949.0
,11.0,,,7800000,8324.0
,4.0,,857.0,9200000,7952.0
,10.0,,735.0,4650000,4774.0
,7.0,,1044.0,11500000,
,2.0,,,13700000,6073.0
,18.0,,1241.0,21500000,13030.0
,4.0,,790.0,3500000,4242.0
,8.0,,1030.0,17500000,13462.0
,11.0,,680.0,6100000,8133.0
,14.0,,800.0,5940000,5500.0
,10.0,,864.0,11000000,10680.0
,7.0,,800.0,16000000,14545.0
,10.0,,793.0,9800000,10316.0
,3.0,,650.0,7300000,10181.0
,23.0,,1212.0,18000000,10613.0
,11.0,,702.0,6500000,7119.0
,8.0,,1138.0,12100000,8963.0
,5.0,,1200.0,7500000,5725.0
,14.0,,636.0,8800000,11656.0
,28.0,,790.0,9000000,8411.0
,6.0,,1059.0,16500000,11538.0
,19.0,,1030.0,12300000,8601.0
,,,,13950000,12226.0
,11.0,,633.0,5000000,5848.0
,13.0,,729.0,6800000,9328.0
,5.0,,920.0,9500000,7917.0
,22.0,,940.0,11000000,10476.0
,11.0,,850.0,6000000,6667.0
,5.0,,,6000000,8571.0
,7.0,,1080.0,12000000,8421.0
,3.0,,1250.0,15000000,10000.0
