city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Raipur,6.0,,,4700000.0,3487.0
Raipur,6.0,,,2700000.0,2571.0
Raipur,6.0,,,9100000.0,3972.0
Raipur,,,,10500000.0,5000.0
Raipur,,,,16900000.0,7860.0
Raipur,6.0,,,2600000.0,2728.0
Raipur,10.0,,,14000000.0,5222.0
Raipur,6.0,,,3700000.0,3541.0
Raipur,1.0,,,750000.0,833.0
Raipur,9.0,,,3310999.0,3262.0
Raipur,6.0,,,2800000.0,3111.0
Raipur,,,,5699000.0,3352.0
Raipur,6.0,,,3800000.0,3220.0
Raipur,6.0,,,1950000.0,1773.0
Raipur,6.0,,,4230000.0,3750.0
Raipur,5.0,,,4500000.0,2812.0
Raipur,6.0,,,3300000.0,2750.0
Raipur,4.0,,,2800000.0,3406.0
Raipur,,,,10500000.0,6000.0
Raipur,,,,7000000.0,5000.0
Raipur,4.0,,,2500000.0,
Raipur,,,,3000000.0,4615.0
Raipur,,,,2500000.0,2778.0
Raipur,2.0,,,8500000.0,5842.0
Raipur,,,,4000000.0,5000.0
Raipur,,,,5600000.0,
Raipur,,,,4200000.0,3535.0
Raipur,,,,3200000.0,4267.0
Raipur,3.0,,,4200000.0,
Raipur,,,,7500000.0,5263.0
Raipur,,,,6500000.0,4762.0
Raipur,,,,4500000.0,2903.0
Raipur,,,,7500000.0,3750.0
Raipur,,,,8200000.0,6833.0
Raipur,,,,6000000.0,3750.0
Raipur,,,,6500000.0,
Raipur,,,,7500000.0,9375.0
Raipur,,,,1500000.0,6250.0
Raipur,,,,3000000.0,3000.0
Raipur,,,,4500000.0,4167.0
Raipur,,,,2900000.0,2741.0
Raipur,3.0,,,2000000.0,
Raipur,8.0,,,4135000.0,3976.0
Raipur,,,,2800000.0,3733.0
Raipur,,,,3500000.0,4667.0
Raipur,,,,2100000.0,2503.0
Raipur,,,,2800000.0,3294.0
Raipur,,,,2800000.0,2947.0
Raipur,,,,2800000.0,2320.0
Raipur,4.0,,,1800000.0,2069.0
Raipur,,,,3600000.0,
Raipur,2.0,,,6000000.0,4000.0
Raipur,,,,7200000.0,2000.0
Raipur,1.0,,,2200000.0,2500.0
Raipur,,,,5100000.0,5100.0
Raipur,3.0,,,2500000.0,4545.0
Raipur,1.0,,,2400000.0,3000.0
Raipur,2.0,,,4000000.0,2484.0
Raipur,8.0,,,3600000.0,3818.0
Raipur,9.0,,,5995000.0,3321.0
Raipur,4.0,,,2250000.0,2250.0
Raipur,,,,2800000.0,2478.0
Raipur,,,,7400000.0,7957.0
Raipur,2.0,,,5700000.0,4560.0
Raipur,,,,4500000.0,4091.0
Raipur,8.0,,,3650000.0,4087.0
Raipur,6.0,,,2300000.0,3286.0
Raipur,9.0,,,8500000.0,4612.0
Raipur,,,,12500000.0,8333.0
Raipur,6.0,,,1600000.0,2213.0
Raipur,6.0,,,3000000.0,2857.0
Raipur,2.0,,,4000000.0,2581.0
Raipur,,,,5000000.0,2500.0
Raipur,1.0,,,2400000.0,2727.0
Raipur,5.0,,,2600000.0,
Raipur,4.0,,,2200000.0,3667.0
Raipur,7.0,,,2500000.0,2174.0
Raipur,,,,2600000.0,2000.0
Raipur,,,,2550000.0,2550.0
Raipur,,,,5500000.0,4365.0
Raipur,1.0,,,9800000.0,4455.0
Raipur,,,,2600000.0,2842.0
Raipur,6.0,,,5200000.0,5285.0
Raipur,,,,4200000.0,5600.0
Raipur,,,,1300000.0,1444.0
Raipur,6.0,,,3500000.0,2917.0
Raipur,6.0,,,2200000.0,1615.0
Raipur,,,,6000000.0,5000.0
Raipur,3.0,,,80000000.0,6667.0
