city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Rajkot,12.0,2.0,545.0,3500000,5418.0
Rajkot,4.0,2.0,655.0,3000000,4000.0
Rajkot,5.0,3.0,1078.0,6700000,
Rajkot,13.0,3.0,943.0,4000000,
Rajkot,,3.0,700.0,4851000,6691.0
Rajkot,4.0,2.0,550.0,3500000,
Rajkot,,3.0,,4850000,3454.0
Rajkot,,3.0,236.0,18888888,8893.0
Rajkot,12.0,2.0,511.0,2000000,3077.0
Rajkot,5.0,2.0,600.0,3500000,4348.0
Rajkot,13.0,3.0,961.0,2875000,2992.0
Rajkot,11.0,2.0,675.0,3550000,5259.0
Rajkot,7.0,3.0,902.0,4050000,
Rajkot,,3.0,1000.0,11000000,
Rajkot,13.0,2.0,600.0,3451000,4930.0
Rajkot,4.0,3.0,,9500000,8636.0
Rajkot,,2.0,,3300000,3667.0
Rajkot,,3.0,972.0,9000000,
Rajkot,,2.0,,3500000,5117.0
Rajkot,,2.0,,2500000,4545.0
Rajkot,,2.0,,2511000,5022.0
Rajkot,,3.0,700.0,2500000,3125.0
Rajkot,,2.0,,2800000,3733.0
Rajkot,,2.0,800.0,5100000,
Rajkot,,4.0,750.0,5990000,7987.0
Rajkot,,2.0,,2900000,2636.0
Rajkot,,2.0,,3600000,6000.0
Rajkot,,2.0,,2350000,4352.0
Rajkot,,4.0,,4600000,3067.0
Rajkot,,2.0,500.0,3200000,4571.0
Rajkot,,2.0,470.0,1500000,3191.0
Rajkot,,2.0,550.0,4500000,6923.0
Rajkot,,2.0,,3780000,5757.0
Rajkot,,2.0,900.0,4800000,5053.0
Rajkot,,3.0,250.0,5600000,
Rajkot,,,,3200000,3747.0
Rajkot,,3.0,84.0,8200000,10847.0
Rajkot,,2.0,,12000000,10178.0
Rajkot,,3.0,,10000000,8354.0
Rajkot,,2.0,650.0,3600000,5538.0
Rajkot,,2.0,87.0,4000000,6519.0
Rajkot,,4.0,125.0,11000000,88000.0
Rajkot,,2.0,550.0,3750000,6818.0
Rajkot,,2.0,,3800000,5067.0
Rajkot,,2.0,,2700000,4909.0
Rajkot,,2.0,,4600000,4406.0
Rajkot,,2.0,48.0,3500000,7778.0
Rajkot,,2.0,,3200000,6400.0
Rajkot,,1.0,40.0,1450000,
Rajkot,,3.0,,9500000,11310.0
Rajkot,,3.0,,6800000,5667.0
Rajkot,,3.0,,7000000,6087.0
Rajkot,,4.0,,8000000,5109.0
Rajkot,,3.0,,6200000,8611.0
Rajkot,,1.0,,1700000,4387.0
Rajkot,,3.0,965.0,9000000,8242.0
Rajkot,2.0,2.0,1000.0,2651000,2651.0
Rajkot,3.0,3.0,970.0,9000000,9184.0
Rajkot,4.0,2.0,688.0,3500000,5000.0
Rajkot,13.0,2.0,,4600000,6516.0
Rajkot,4.0,3.0,,7000000,4487.0
Rajkot,,1.0,,8500000,
Rajkot,12.0,3.0,,4000000,4520.0
Rajkot,14.0,2.0,550.0,2800000,3733.0
Rajkot,,2.0,,6500000,10943.0
Rajkot,,3.0,850.0,1750000,1750.0
Rajkot,,2.0,1.0,10000000,100000.0
Rajkot,4.0,2.0,,2500000,4132.0
Rajkot,,2.0,,4500000,3968.0
Rajkot,4.0,2.0,750.0,4100000,6308.0
