city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Sangli,8.0,3,1351.0,8755200,4800.0
Sangli,,2,1000.0,3500000,3214.0
Sangli,5.0,2,,3500000,3521.0
Sangli,,3,1500.0,12500000,8333.0
Sangli,,3,,6700000,4863.0
Sangli,,2,1000.0,4700000,4273.0
Sangli,2.0,2,980.0,4500000,4500.0
Sangli,4.0,1,,3650000,5126.0
Sangli,,2,,5000000,
Sangli,9.0,2,,4800000,4688.0
Sangli,2.0,2,,2500000,3125.0
Sangli,,1,1000.0,7500000,5000.0
Sangli,6.0,2,800.0,4800000,4688.0
Sangli,,2,,30000000,8451.0
Sangli,3.0,1,,2500005,2874.0
Sangli,4.0,1,,3400000,3872.0
Sangli,4.0,2,,3100000,3605.0
Sangli,3.0,2,,3500000,3911.0
Sangli,5.0,2,685.0,3027500,3500.0
Sangli,6.0,2,850.0,2800000,
Sangli,5.0,2,1300.0,4300000,3499.0
Sangli,2.0,3,,6500000,3095.0
Sangli,2.0,2,,8500000,3801.0
Sangli,,2,,12500000,4167.0
Sangli,5.0,2,,4500000,4500.0
Sangli,3.0,2,1040.0,3500000,1750.0
Sangli,3.0,2,,6600000,6000.0
Sangli,2.0,3,,4950000,3960.0
Sangli,4.0,2,,2900000,3452.0
Sangli,1.0,1,1200.0,2500000,2083.0
Sangli,4.0,3,,11100000,5917.0
Sangli,,2,1200.0,5000000,3448.0
Sangli,,5,,28000000,9333.0
Sangli,3.0,1,48.0,3500000,4335.0
Sangli,4.0,2,790.0,3900000,4021.0
Sangli,,3,2300.0,11000000,9167.0
Sangli,7.0,2,,2800000,2585.0
Sangli,,2,900.0,4000000,4000.0
Sangli,,2,,3500000,2917.0
Sangli,2.0,2,770.0,2100000,2211.0
Sangli,,1,750.0,400000,471.0
Sangli,,1,,8500000,4965.0
Sangli,,2,850.0,2700000,3034.0
Sangli,5.0,1,,4500000,4167.0
