city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Surat,3.0,3.0,,9500000,3800.0
Surat,7.0,2.0,900.0,4900000,3500.0
Surat,7.0,2.0,,2800000,2654.0
Surat,10.0,3.0,1400.0,13500000,5929.0
Surat,10.0,2.0,,3700000,3289.0
Surat,5.0,2.0,800.0,4350000,3884.0
Surat,,2.0,,17500000,17207.0
Surat,10.0,2.0,1000.0,5000000,4000.0
Surat,10.0,2.0,778.0,4200000,3365.0
Surat,13.0,3.0,,8300000,5304.0
Surat,13.0,2.0,780.0,5000000,
Surat,14.0,2.0,750.0,4500000,3853.0
Surat,,2.0,2000.0,23000000,9200.0
Surat,8.0,1.0,,2700000,3140.0
Surat,12.0,3.0,,6500000,4626.0
Surat,10.0,3.0,881.0,6000000,5376.0
Surat,7.0,2.0,1000.0,5200000,4000.0
Surat,,3.0,,12500000,8075.0
Surat,14.0,2.0,,4400000,3514.0
Surat,9.0,3.0,,5500000,3056.0
Surat,12.0,3.0,2050.0,22605002,6600.0
Surat,12.0,3.0,,5500000,3235.0
Surat,5.0,2.0,,3500000,3289.0
Surat,10.0,2.0,761.0,4800000,4103.0
Surat,8.0,2.0,1050.0,3600000,
Surat,12.0,2.0,,3800000,4060.0
Surat,10.0,2.0,,3851000,3154.0
Surat,,2.0,,2710000,2751.0
Surat,4.0,2.0,1080.0,2900000,2273.0
Surat,,3.0,,9000000,13846.0
Surat,4.0,3.0,,4000000,3200.0
Surat,,2.0,,4151000,2883.0
Surat,,2.0,820.0,4421000,
Surat,,1.0,800.0,3030000,2755.0
Surat,,2.0,,18500000,11111.0
Surat,12.0,2.0,,6111000,4756.0
Surat,11.0,3.0,1275.0,8500000,4592.0
Surat,,2.0,600.0,1650000,
Surat,,2.0,480.0,6000000,12000.0
Surat,7.0,2.0,1190.0,3600000,3000.0
Surat,,2.0,730.0,2810000,2750.0
Surat,,4.0,,5970000,2751.0
Surat,,3.0,,4260000,2748.0
Surat,,2.0,,3580000,2754.0
Surat,4.0,1.0,680.0,2300000,2671.0
Surat,,2.0,1080.0,4100000,7593.0
Surat,,2.0,700.0,2250000,3214.0
