city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Trivandrum,,3.0,1275.0,5500000,4314.0
Trivandrum,,,,550000,210.0
Trivandrum,,5.0,,17500000,5224.0
Trivandrum,,,,2000000,1148.0
Trivandrum,,4.0,3300.0,22500000,7258.0
Trivandrum,,3.0,1780.0,7500000,4213.0
Trivandrum,11.0,3.0,1420.0,10700000,
Trivandrum,,3.0,,5500000,2727.0
Trivandrum,,3.0,1282.0,3500000,2368.0
Trivandrum,,,,1800000,590.0
Trivandrum,9.0,2.0,793.0,9200000,7770.0
Trivandrum,,4.0,2100.0,7500000,3571.0
Trivandrum,15.0,3.0,1643.0,8000000,4000.0
Trivandrum,,3.0,,5900000,4214.0
Trivandrum,10.0,5.0,2344.0,18000000,6923.0
Trivandrum,14.0,3.0,,11500000,7667.0
Trivandrum,,3.0,2000.0,9600000,
Trivandrum,2.0,4.0,,9500000,4750.0
Trivandrum,,4.0,,7500000,4054.0
Trivandrum,,3.0,,12000000,1837.0
Trivandrum,,,,2999999,1148.0
Trivandrum,,4.0,,11500000,6021.0
Trivandrum,4.0,3.0,,8000000,6135.0
Trivandrum,11.0,2.0,,3900000,4699.0
Trivandrum,,4.0,,12500000,4859.0
Trivandrum,,,,26100000,3994.0
Trivandrum,,,,22500000,3444.0
Trivandrum,,3.0,,19500000,6964.0
Trivandrum,18.0,3.0,1041.0,13500000,8517.0
Trivandrum,,,,20000000,4587.0
Trivandrum,,3.0,2170.0,14000000,5490.0
Trivandrum,9.0,3.0,,11250000,7450.0
Trivandrum,2.0,3.0,,20000000,9091.0
Trivandrum,,4.0,,8500000,4146.0
Trivandrum,12.0,2.0,750.0,4300000,5150.0
Trivandrum,15.0,5.0,3000.0,38000000,9744.0
Trivandrum,17.0,3.0,1800.0,19900000,8604.0
Trivandrum,,5.0,,25000000,10000.0
Trivandrum,17.0,2.0,,6700000,5565.0
Trivandrum,14.0,3.0,,8900000,5921.0
Trivandrum,,3.0,1800.0,7000000,3182.0
Trivandrum,,5.0,,12500000,4100.0
Trivandrum,,1.0,,4700000,4947.0
Trivandrum,,,,375000,9.0
Trivandrum,19.0,5.0,,14000000,6401.0
Trivandrum,,1.0,,9800000,12250.0
Trivandrum,,5.0,,18000000,6792.0
Trivandrum,,,,125000,8.0
Trivandrum,10.0,2.0,,4500000,3600.0
Trivandrum,,,,600000,1.0
Trivandrum,14.0,2.0,,7980000,6504.0
Trivandrum,,,,2775000,1723.0
Trivandrum,,2.0,,4117000,4203.0
Trivandrum,,3.0,,14800000,7115.0
Trivandrum,,4.0,4.0,20000000,4591.0
Trivandrum,,,,24500000,8030.0
Trivandrum,,1.0,200.0,4800000,711.0
Trivandrum,,4.0,,9000000,1800.0
Trivandrum,,3.0,,6100000,4357.0
Trivandrum,,4.0,,14000000,8485.0
Trivandrum,,2.0,,6500000,5909.0
Trivandrum,,7.0,,80000000,10000.0
Trivandrum,,3.0,,20500000,13667.0
Trivandrum,,2.0,,4400000,4632.0
Trivandrum,,,,4500000,2066.0
Trivandrum,,,,10000000,1208.0
Trivandrum,,2.0,900.0,4500000,
Trivandrum,,,,8000000,3674.0
Trivandrum,,5.0,,25000000,8199.0
Trivandrum,,3.0,,25500000,8500.0
