city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Trichy,,,,3600000,3000.0
Trichy,2.0,2.0,800.0,7800000,8884.0
Trichy,1.0,3.0,1000.0,6400000,2510.0
Trichy,,,,9156000,2100.0
Trichy,,3.0,,38500000,10476.0
Trichy,,,,1330800,1109.0
Trichy,,,,2160000,1800.0
Trichy,,2.0,855.0,4800000,4000.0
Trichy,,,,570000,475.0
Trichy,1.0,2.0,,4500000,2338.0
Trichy,,,,1558800,1299.0
Trichy,2.0,1.0,,1300000,2760.0
Trichy,,,,450000,750.0
Trichy,,,,4200000,3500.0
Trichy,1.0,2.0,950.0,5900000,4917.0
Trichy,,,,3000000,1250.0
Trichy,,,,1018800,849.0
Trichy,,,,2000000,1667.0
Trichy,,,,340000,31.0
Trichy,,,,2200000,1833.0
Trichy,,,,1612000,2000.0
Trichy,,,,1440000,2400.0
Trichy,3.0,3.0,1210.0,13500000,10143.0
Trichy,,,,11400000,3800.0
Trichy,,,,8816000,3800.0
Trichy,,,,1960000,980.0
Trichy,,,,1600000,667.0
Trichy,,,,2880000,1200.0
Trichy,3.0,3.0,1350.0,8000000,5926.0
Trichy,,,,4000000,1667.0
Trichy,,,,2900000,2417.0
Trichy,,,,1320000,1100.0
Trichy,3.0,2.0,,5500000,4911.0
Trichy,,3.0,1100.0,5000000,4545.0
Trichy,,,,1800000,167.0
Trichy,,,,2399000,1999.0
Trichy,,,,2300000,958.0
Trichy,1.0,4.0,4200.0,18000000,7001.0
Trichy,,,,1378800,1149.0
Trichy,,,,95000000,9500.0
Trichy,,2.0,,9398000,7500.0
Trichy,,,,4080000,3400.0
Trichy,,4.0,1000.0,6000000,4000.0
Trichy,,,,900000,750.0
Trichy,,,,1378800,1149.0
Trichy,5.0,1.0,255.0,2000000,5764.0
Trichy,,,,2400000,2000.0
Trichy,,,,4438800,3699.0
Trichy,,,,1050000,875.0
Trichy,,4.0,,9500000,4872.0
Trichy,,,,1080000,900.0
Trichy,2.0,2.0,,40000000,18315.0
Trichy,2.0,2.0,,12800000,10667.0
Trichy,,,,1500000,1111.0
Trichy,,,,45000000,3000.0
Trichy,,,,1125000,750.0
Trichy,,,,3000000,2500.0
Trichy,3.0,3.0,,5500000,6264.0
Trichy,,2.0,912.0,4700000,3133.0
Trichy,,,,1140000,950.0
Trichy,,,,2400000,2000.0
Trichy,,,,3060000,2550.0
Trichy,,2.0,,5500000,4968.0
Trichy,,,,1332000,1110.0
Trichy,,,,4200000,3500.0
Trichy,,,,840000,78.0
Trichy,4.0,2.0,720.0,5200000,5290.0
Trichy,,,,3600000,2000.0
Trichy,,2.0,950.0,6200000,5391.0
Trichy,,,,1380000,1150.0
Trichy,,,,1950000,1300.0
Trichy,,,,718800,599.0
Trichy,,5.0,5788.0,74500000,12912.0
Trichy,,,,3000000,278.0
Trichy,,,,9600000,4800.0
Trichy,,,,2520000,2100.0
Trichy,3.0,2.0,858.0,6500000,7576.0
Trichy,,,,8600000,2205.0
Trichy,1.0,2.0,850.0,5800000,
Trichy,2.0,1.0,488.0,2000000,
Trichy,,,,3000000,2500.0
Trichy,,,,12800000,5517.0
Trichy,,4.0,3600.0,15000000,3750.0
Trichy,,,,7200000,3000.0
Trichy,,10.0,3400.0,17500000,5147.0
Trichy,3.0,2.0,355.0,1800000,3303.0
Trichy,,,,1050000,875.0
Trichy,,,,1020000,850.0
Trichy,,3.0,1000.0,7500000,4167.0
Trichy,,,,1978800,1200.0
Trichy,,,,930000,1550.0
Trichy,,,,700000,583.0
Trichy,,,,3000000,278.0
Trichy,,,,5000000,2083.0
Trichy,,,,1500000,1250.0
Trichy,,,,2100000,1750.0
Trichy,,,,2070000,1702.0
Trichy,,,,1600000,1219.0
Trichy,,,,1800000,167.0
Trichy,1.0,2.0,,5500000,4545.0
Trichy,,,,1908000,1590.0
Trichy,,,,10600000,3202.0
Trichy,,,,1330000,1108.0
Trichy,3.0,2.0,1000.0,800000,727.0
Trichy,,,,3000000,2500.0
Trichy,,,,3120000,2600.0
Trichy,,,,3000000,2000.0
Trichy,,,,2190000,1825.0
Trichy,,,,780000,1300.0
Trichy,,,,3000000,2500.0
Trichy,,3.0,3750.0,65000000,14444.0
Trichy,,,,500000,833.0
Trichy,2.0,6.0,,15000000,3750.0
Trichy,,,,2880000,2400.0
Trichy,,3.0,,11700000,16714.0
Trichy,,,,1330000,1108.0
Trichy,,,,1018800,849.0
Trichy,,,,1330800,1109.0
Trichy,,,,80000000,29630.0
Trichy,,,,660000,550.0
Trichy,,,,2000000,1667.0
Trichy,,,,3960000,1650.0
Trichy,,,,420000,78.0
Trichy,,,,1650000,1375.0
Trichy,,,,600000,500.0
Trichy,5.0,2.0,,4400000,5486.0
Trichy,,,,4413250,2541.0
Trichy,,,,5130000,2850.0
Trichy,,,,3100000,230.0
Trichy,,,,2500000,1096.0
Trichy,,,,3500000,2917.0
Trichy,,,,840000,700.0
Trichy,,,,4200000,3500.0
Trichy,,,,2500000,333.0
Trichy,,,,3500000,324.0
Trichy,,,,960000,133.0
Trichy,,,,780000,650.0
Trichy,,,,840000,700.0
Trichy,,,,1500000,1200.0
Trichy,,,,3000000,2500.0
Trichy,,,,348000,290.0
Trichy,,,,600000,500.0
Trichy,,,,2000000,1667.0
Trichy,,,,3607500,1850.0
Trichy,,,,11000000,1667.0
Trichy,,,,1320000,3667.0
Trichy,,,,9800000,4514.0
Trichy,,3.0,2500.0,10000000,
Trichy,,,,900000,1500.0
Trichy,,,,1605000,669.0
Trichy,,,,2200000,917.0
Trichy,,3.0,1006.0,6000000,4107.0
Trichy,,,,1000000,185.0
Trichy,,3.0,,12000000,7143.0
Trichy,,,,825000,61.0
Trichy,,,,12500000,3628.0
Trichy,13.0,3.0,,8500000,5986.0
Trichy,,,,1170000,975.0
Trichy,,,,1374000,1145.0
Trichy,,,,3961000,3301.0
Trichy,,,,3500000,3500.0
Trichy,,,,6300000,1800.0
Trichy,,,,282000,648.0
Trichy,,,,838800,699.0
Trichy,1.0,2.0,,6600000,6875.0
Trichy,,,,16000000,6728.0
Trichy,2.0,1.0,555.0,3300000,5946.0
Trichy,,,,1050000,1750.0
Trichy,,,,2087800,2200.0
Trichy,,,,1932000,1050.0
Trichy,,2.0,800.0,7000000,4828.0
Trichy,,,,4514463,2599.0
Trichy,,,,699632,599.0
Trichy,,,,2275000,1300.0
Trichy,,,,4600000,3833.0
Trichy,,,,21600000,3553.0
Trichy,,,,2880000,1199.0
Trichy,,,,10000000,1053.0
Trichy,,,,2500000,1042.0
Trichy,,,,9936000,5750.0
Trichy,,,,450000,42.0
Trichy,,,,7500000,1190.0
Trichy,1.0,4.0,1800.0,8500000,3696.0
Trichy,,,,3599000,2999.0
Trichy,,,,654000,545.0
Trichy,,,,2250000,1500.0
Trichy,,2.0,,8000000,5316.0
Trichy,,,,3950000,1496.0
Trichy,,,,5052500,2500.0
Trichy,,,,1197600,499.0
Trichy,,,,1960000,980.0
Trichy,,,,1700000,708.0
Trichy,,2.0,,11000000,
Trichy,,,,4200000,1400.0
Trichy,2.0,4.0,,8600000,4526.0
Trichy,,,,2900000,1000.0
Trichy,,4.0,,9964500,7300.0
Trichy,,,,8200000,4100.0
Trichy,5.0,2.0,634.0,6000000,6734.0
Trichy,,3.0,1800.0,18000000,9000.0
Trichy,,,,800000,1333.0
Trichy,4.0,1.0,519.0,3800000,5507.0
Trichy,,,,2800000,1867.0
Trichy,,,,3000008,2500.0
Trichy,,,,2400000,2000.0
Trichy,,,,3100000,1896.0
Trichy,,,,5280000,3300.0
Trichy,,,,9900000,2475.0
Trichy,,,,3500000,2917.0
Trichy,4.0,2.0,800.0,6300000,6969.0
Trichy,1.0,2.0,1240.0,5500000,4231.0
Trichy,,,,1050000,875.0
Trichy,,,,1198800,999.0
Trichy,,,,9000000,7500.0
Trichy,,,,2040000,1700.0
Trichy,,,,3118800,2599.0
Trichy,,,,10000000,3300.0
Trichy,,,,23000000,4792.0
Trichy,,,,2218800,1849.0
Trichy,,,,2880000,1200.0
Trichy,,,,1278000,1200.0
Trichy,,,,600000,500.0
Trichy,,,,596000,899.0
Trichy,,,,4800000,2000.0
Trichy,,3.0,,9000000,3600.0
Trichy,,,,3000000,2500.0
Trichy,,,,900000,600.0
Trichy,,,,3500000,324.0
Trichy,,,,1018800,849.0
Trichy,,,,1400000,1167.0
Trichy,,,,1200000,1000.0
Trichy,,,,5984000,2200.0
Trichy,,,,2500000,2083.0
Trichy,,,,1911225,1275.0
Trichy,,,,2698500,1799.0
Trichy,,,,2000000,3263.0
Trichy,,,,1750000,1458.0
Trichy,,,,1522350,1275.0
Trichy,,,,1900000,1.0
Trichy,,,,1400000,2333.0
Trichy,,,,1920000,800.0
Trichy,,,,1198900,999.0
Trichy,,,,1800000,1500.0
Trichy,,,,1150000,2300.0
Trichy,,,,9500000,528.0
Trichy,2.0,2.0,770.0,2600000,3377.0
Trichy,3.0,,,40000000,6061.0
Trichy,,,,2475000,1650.0
Trichy,,,,750000,625.0
Trichy,,,,650000,542.0
Trichy,,,,1330000,1108.0
Trichy,,,,2900000,269.0
Trichy,,,,1440000,1200.0
Trichy,,8.0,600.0,26500000,7571.0
Trichy,,,,43200000,4500.0
Trichy,,,,4200000,2625.0
Trichy,3.0,3.0,1650.0,22500000,11842.0
Trichy,,1.0,750.0,9000000,12000.0
Trichy,,,,500000,417.0
Trichy,,,,1500000,1250.0
Trichy,,,,3000000,2500.0
Trichy,,3.0,1693.0,15300000,6150.0
Trichy,,,,478800,399.0
Trichy,,,,950000,950.0
Trichy,,,,778800,649.0
Trichy,,,,650000,298.0
Trichy,,,,525000,875.0
Trichy,3.0,2.0,900.0,7500000,6522.0
Trichy,,,,1000000,833.0
Trichy,,5.0,5000.0,70000000,8974.0
Trichy,,,,3500000,
Trichy,3.0,2.0,,6800000,6115.0
Trichy,,,,2800000,2333.0
Trichy,,,,2880000,1200.0
Trichy,,,,2880000,2400.0
Trichy,,,,1320000,1100.0
Trichy,,3.0,,7500000,3906.0
Trichy,,,,7332290,4752.0
Trichy,,,,231300000,5641.0
Trichy,,,,700000,1167.0
Trichy,,,,1020000,850.0
