city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
,5.0,,,3000000,2182.0
,7.0,,1018.0,5250000,3127.0
,2.0,,,7900000,6116.0
,14.0,,1260.0,8200000,3710.0
,7.0,,,6500000,6500.0
,,,1200.0,7000000,
,9.0,,1500.0,10500000,4516.0
,7.0,,600.0,3499000,5383.0
,9.0,,,7500000,4412.0
,,,1500.0,6751000,7942.0
,13.0,,898.0,2700000,
,8.0,,,3100000,3875.0
,5.0,,,13500000,4180.0
,8.0,,,3900000,4333.0
,7.0,,,5100000,3400.0
,1.0,,,5800000,2549.0
,5.0,,950.0,4500000,4286.0
,6.0,,,9200000,3544.0
,5.0,,620.0,2800000,2800.0
,9.0,,,6500000,3812.0
,4.0,,,3500000,3182.0
,4.0,,770.0,2100000,1909.0
,4.0,,750.0,4500000,4091.0
,4.0,,1200.0,8500000,4048.0
,,,,13000000,8667.0
,5.0,,774.0,3800000,2923.0
,4.0,,760.0,2700000,2571.0
,7.0,,900.0,3700000,
,5.0,,770.0,3300000,4231.0
,12.0,,,4400000,2839.0
,1.0,,1148.0,3000000,2613.0
,,,1620.0,12500000,
,10.0,,850.0,3800000,3167.0
,4.0,,735.0,3551000,3411.0
,,,3100.0,20000000,6410.0
,9.0,,,2700000,3140.0
,9.0,,,4200000,4468.0
,4.0,,,6500000,3446.0
,,,1100.0,7000000,5385.0
,7.0,,983.0,4800000,4424.0
,5.0,,650.0,4000000,
,11.0,,1186.0,7851000,3739.0
,5.0,,,3350000,4467.0
,5.0,,650.0,2700000,2647.0
,,,373.0,9000000,4082.0
,4.0,,700.0,3100000,3875.0
,12.0,,,8700000,4971.0
,4.0,,925.0,2700000,
,9.0,,1000.0,2900000,2071.0
,3.0,,,5560000,4728.0
,5.0,,980.0,4600000,3594.0
,5.0,,750.0,3500000,
,7.0,,950.0,4600000,3680.0
,9.0,,1200.0,7800000,4225.0
,,,2010.0,6500000,3095.0
,2.0,,600.0,2500000,
,5.0,,,2800000,2667.0
,9.0,,826.0,3300000,2750.0
,4.0,,1070.0,5060000,
,5.0,,780.0,3650000,4056.0
,5.0,,814.0,5400000,3724.0
,4.0,,675.0,2400000,2133.0
,8.0,,679.0,3750000,3788.0
,4.0,,,8200000,6833.0
,8.0,,,7500000,4076.0
,5.0,,1100.0,5200000,3077.0
,9.0,,610.0,2500000,2941.0
,4.0,,850.0,3200000,3048.0
,10.0,,1350.0,9900000,4806.0
,4.0,,1500.0,11000000,5000.0
,5.0,,,3900000,2816.0
,8.0,,1007.0,7500000,4950.0
,7.0,,760.0,5200000,5474.0
,5.0,,1350.0,4900000,3062.0
,,,124.0,8500000,7179.0
,9.0,,1350.0,6100000,3017.0
,,,,9000000,5294.0
,,,,7000000,7778.0
,5.0,,750.0,3000000,2400.0
,3.0,,,2000000,2548.0
,2.0,,,5551000,6939.0
,4.0,,1500.0,3600000,1895.0
,4.0,,,5000000,12821.0
,5.0,,800.0,4500000,4500.0
,5.0,,,3000000,2069.0
,9.0,,,4200000,2962.0
,4.0,,,3200000,2133.0
,,,770.0,4599999,4600.0
,,,,3020000,1911.0
,,,,1900000,2568.0
,5.0,,,2300000,2706.0
,,,575.0,1100000,1913.0
,,,,1910000,1910.0
,5.0,,,3600000,2975.0
,9.0,,,10000000,4348.0
,5.0,,800.0,3950000,3038.0
,4.0,,,4000000,3125.0
,4.0,,1400.0,8500000,4250.0
,,,,2480000,1908.0
,,,,2580000,1911.0
,,,896.0,2580000,1911.0
,,,,1910000,1910.0
,,,800.0,3130000,2566.0
,,,770.0,2200000,1913.0
,,,,3080000,2567.0
,,,,9180000,3910.0
,,,,2800000,2571.0
,,,650.0,1240000,
