city_name,floors,bathrooms,carpet_area,price,price_per_sq_ft
Visakhapatnam,5.0,2.0,1105.0,4650000,4208.0
Visakhapatnam,4.0,2.0,,4000000,3137.0
Visakhapatnam,7.0,2.0,1320.0,6000000,3788.0
Visakhapatnam,5.0,2.0,1065.0,4500000,4225.0
Visakhapatnam,6.0,2.0,1500.0,12000000,
Visakhapatnam,16.0,3.0,,11000000,5226.0
Visakhapatnam,5.0,2.0,52.0,8700000,7250.0
Visakhapatnam,5.0,2.0,940.0,4600000,
Visakhapatnam,5.0,2.0,,10000000,8230.0
Visakhapatnam,8.0,3.0,1300.0,16000000,9040.0
Visakhapatnam,5.0,2.0,,7200000,6545.0
Visakhapatnam,5.0,3.0,2000.0,20000000,9524.0
Visakhapatnam,5.0,2.0,1400.0,7200000,
Visakhapatnam,5.0,2.0,,3500000,3333.0
Visakhapatnam,15.0,3.0,,8700000,5377.0
Visakhapatnam,4.0,2.0,1950.0,29000000,6905.0
Visakhapatnam,5.0,3.0,1250.0,5700000,3800.0
Visakhapatnam,5.0,3.0,1350.0,11500000,7516.0
Visakhapatnam,5.0,3.0,,4950000,3204.0
Visakhapatnam,5.0,2.0,900.0,3500000,
Visakhapatnam,4.0,2.0,1600.0,9800000,
Visakhapatnam,5.0,3.0,1550.0,13500000,7941.0
Visakhapatnam,5.0,2.0,775.0,4232000,3699.0
Visakhapatnam,4.0,2.0,1120.0,7200000,6000.0
Visakhapatnam,15.0,3.0,1600.0,19000000,10556.0
Visakhapatnam,5.0,2.0,800.0,7100000,7889.0
Visakhapatnam,4.0,2.0,1100.0,3000000,2727.0
Visakhapatnam,5.0,2.0,998.0,4500000,4286.0
Visakhapatnam,3.0,2.0,,7309239,
Visakhapatnam,4.0,2.0,1350.0,12000000,
Visakhapatnam,5.0,2.0,1050.0,4700000,5529.0
Visakhapatnam,3.0,3.0,,7000000,4242.0
Visakhapatnam,5.0,3.0,,13500000,8438.0
Visakhapatnam,5.0,2.0,1520.0,12500000,7812.0
Visakhapatnam,4.0,2.0,,5000000,4545.0
Visakhapatnam,5.0,2.0,,4500000,4054.0
Visakhapatnam,5.0,2.0,1080.0,3500000,2966.0
Visakhapatnam,5.0,2.0,1280.0,7999000,6060.0
Visakhapatnam,3.0,3.0,1100.0,3200000,2667.0
Visakhapatnam,5.0,3.0,1689.0,9000000,7438.0
Visakhapatnam,5.0,3.0,1800.0,20000000,9149.0
Visakhapatnam,5.0,2.0,1250.0,13000000,8387.0
Visakhapatnam,5.0,2.0,,6400000,6337.0
Visakhapatnam,3.0,2.0,,3500000,4167.0
Visakhapatnam,6.0,2.0,,4400000,2848.0
Visakhapatnam,5.0,3.0,1975.0,21000000,10000.0
Visakhapatnam,5.0,2.0,900.0,5625000,5000.0
Visakhapatnam,5.0,2.0,1150.0,6800000,5913.0
Visakhapatnam,20.0,3.0,1447.0,21500000,9795.0
Visakhapatnam,5.0,2.0,1030.0,4100000,
Visakhapatnam,4.0,2.0,1000.0,3700000,
Visakhapatnam,3.0,3.0,1650.0,9850000,5141.0
Visakhapatnam,5.0,2.0,,6500000,6500.0
Visakhapatnam,5.0,3.0,,6100000,3910.0
Visakhapatnam,5.0,2.0,,8500000,6296.0
Visakhapatnam,11.0,3.0,,19000000,10704.0
Visakhapatnam,5.0,2.0,,9000000,6040.0
Visakhapatnam,5.0,2.0,999.0,4560000,4000.0
Visakhapatnam,5.0,3.0,1550.0,12000000,7742.0
Visakhapatnam,5.0,3.0,,17700000,7224.0
Visakhapatnam,10.0,3.0,,10000000,6250.0
Visakhapatnam,4.0,2.0,,2950000,2950.0
Visakhapatnam,5.0,3.0,1090.0,8200000,6357.0
Visakhapatnam,5.0,3.0,1128.0,10200000,6220.0
Visakhapatnam,,3.0,1955.0,10500000,3889.0
Visakhapatnam,5.0,2.0,850.0,3800000,3180.0
Visakhapatnam,5.0,2.0,800.0,4700000,4700.0
Visakhapatnam,5.0,2.0,900.0,4200000,3544.0
Visakhapatnam,5.0,2.0,,5500000,4167.0
Visakhapatnam,5.0,2.0,630.0,4400000,6349.0
Visakhapatnam,5.0,2.0,715.0,4970000,5232.0
Visakhapatnam,9.0,3.0,,12500000,6313.0
Visakhapatnam,5.0,3.0,,18000000,7826.0
Visakhapatnam,5.0,2.0,,8000000,6957.0
Visakhapatnam,5.0,2.0,990.0,8100000,6923.0
Visakhapatnam,5.0,2.0,,3500000,3627.0
Visakhapatnam,5.0,3.0,1525.0,6500000,4906.0
Visakhapatnam,5.0,2.0,1041.0,9200000,7510.0
Visakhapatnam,5.0,2.0,700.0,4100000,4556.0
Visakhapatnam,5.0,2.0,765.0,4230000,3698.0
Visakhapatnam,5.0,2.0,1300.0,6400000,3938.0
Visakhapatnam,3.0,2.0,1085.0,3500000,4118.0
Visakhapatnam,5.0,3.0,,6500000,3998.0
Visakhapatnam,5.0,3.0,1116.0,4000000,3584.0
Visakhapatnam,16.0,2.0,,7500000,5859.0
Visakhapatnam,5.0,2.0,,5020000,3415.0
Visakhapatnam,5.0,3.0,,8550000,4500.0
Visakhapatnam,4.0,2.0,,4700000,3561.0
Visakhapatnam,10.0,2.0,1050.0,4000000,3810.0
Visakhapatnam,5.0,2.0,800.0,4500000,4286.0
Visakhapatnam,3.0,2.0,915.0,3000000,3279.0
Visakhapatnam,,2.0,107.0,6300000,
Visakhapatnam,4.0,2.0,,4000000,4000.0
Visakhapatnam,4.0,3.0,,11500000,8297.0
Visakhapatnam,10.0,3.0,,19976000,8500.0
Visakhapatnam,8.0,3.0,2210.0,18000000,7660.0
Visakhapatnam,14.0,3.0,2550.0,27500000,9483.0
Visakhapatnam,5.0,2.0,1000.0,3200000,3048.0
Visakhapatnam,5.0,3.0,1200.0,15000000,8772.0
Visakhapatnam,6.0,2.0,,3900000,3750.0
Visakhapatnam,,2.0,885.0,2380000,2689.0
Visakhapatnam,,2.0,900.0,3230000,2692.0
Visakhapatnam,6.0,2.0,,3950000,4293.0
Visakhapatnam,,2.0,,6500000,8125.0
Visakhapatnam,5.0,2.0,970.0,4200000,3925.0
Visakhapatnam,5.0,2.0,,3500000,3500.0
Visakhapatnam,3.0,2.0,,10000000,6667.0
Visakhapatnam,5.0,2.0,,6300000,5833.0
Visakhapatnam,5.0,2.0,,2800000,2778.0
Visakhapatnam,,2.0,1600.0,20500000,9412.0
Visakhapatnam,16.0,,,19000000,10765.0
Visakhapatnam,5.0,2.0,,6900000,4246.0
Visakhapatnam,13.0,2.0,,4900000,4667.0
Visakhapatnam,5.0,2.0,,7100000,5145.0
Visakhapatnam,5.0,3.0,1455.0,7000000,
Visakhapatnam,20.0,3.0,1835.0,17000000,9264.0
Visakhapatnam,5.0,4.0,2400.0,25400000,9071.0
Visakhapatnam,,2.0,,4040000,2693.0
Visakhapatnam,,2.0,,2290000,2694.0
Visakhapatnam,,2.0,,5340000,2902.0
Visakhapatnam,,2.0,,2290000,2694.0
Visakhapatnam,,3.0,,4980000,2692.0
Visakhapatnam,,2.0,,3910000,2697.0
Visakhapatnam,,3.0,,3610000,2694.0
Visakhapatnam,,3.0,,3610000,2694.0
Visakhapatnam,,3.0,,5830000,2693.0
Visakhapatnam,5.0,3.0,,9600000,6000.0
Visakhapatnam,3.0,2.0,,9000000,7407.0
Visakhapatnam,5.0,2.0,,3500000,3333.0
Visakhapatnam,,3.0,,5620000,2695.0
Visakhapatnam,,3.0,,3910000,2697.0
Visakhapatnam,,2.0,,3370000,2696.0
Visakhapatnam,,3.0,,4040000,2693.0
Visakhapatnam,4.0,2.0,1000.0,4000000,3333.0
Visakhapatnam,3.0,2.0,900.0,6500000,6500.0
Visakhapatnam,5.0,3.0,,8650000,5258.0
Visakhapatnam,,2.0,,3370000,
Visakhapatnam,5.0,2.0,,7200000,6792.0
Visakhapatnam,5.0,2.0,970.0,3500000,3365.0
Visakhapatnam,,3.0,,4930000,2694.0
Visakhapatnam,1.0,3.0,,6500000,6335.0
Visakhapatnam,5.0,2.0,1300.0,8100000,5786.0
Visakhapatnam,,2.0,,3020000,2696.0
Visakhapatnam,,2.0,750.0,2020000,2693.0
Visakhapatnam,5.0,3.0,1470.0,12300000,6692.0
Visakhapatnam,5.0,2.0,795.0,4100000,3868.0
Visakhapatnam,,2.0,,3910000,2697.0
Visakhapatnam,,2.0,,5200000,6118.0
Visakhapatnam,,2.0,78.0,2700000,965.0
Visakhapatnam,17.0,2.0,,6700000,5115.0
Visakhapatnam,,3.0,,10000000,5556.0
Visakhapatnam,5.0,2.0,,4000000,2884.0
Visakhapatnam,6.0,2.0,,6200000,4120.0
Visakhapatnam,5.0,2.0,1025.0,5200000,4706.0
Visakhapatnam,10.0,3.0,1800.0,15600000,6500.0
Visakhapatnam,5.0,2.0,,6650000,4890.0
Visakhapatnam,3.0,2.0,900.0,3300000,
Visakhapatnam,5.0,2.0,,6000000,3333.0
Visakhapatnam,5.0,3.0,2600.0,40000000,12121.0
Visakhapatnam,20.0,2.0,,18600000,8849.0
Visakhapatnam,5.0,2.0,1100.0,4600000,3380.0
Visakhapatnam,5.0,2.0,1050.0,3000000,2727.0
Visakhapatnam,1.0,1.0,98.0,4000000,4535.0
Visakhapatnam,3.0,2.0,,8500000,7805.0
Visakhapatnam,5.0,2.0,900.0,8900000,9082.0
Visakhapatnam,7.0,2.0,1434.0,5500000,
Visakhapatnam,1.0,2.0,,6800000,9103.0
Visakhapatnam,5.0,2.0,,12000000,9091.0
Visakhapatnam,,3.0,,5200000,3852.0
Visakhapatnam,5.0,2.0,,4200000,3590.0
Visakhapatnam,6.0,2.0,2000.0,10000000,6667.0
Visakhapatnam,1.0,2.0,1000.0,700000,636.0
Visakhapatnam,1.0,3.0,,22000000,14815.0
Visakhapatnam,14.0,2.0,,6200000,5636.0
Visakhapatnam,,1.0,,2500000,2525.0
Visakhapatnam,5.0,3.0,,10700000,6011.0
Visakhapatnam,,2.0,,5500000,6875.0
Visakhapatnam,5.0,2.0,,11500000,8214.0
Visakhapatnam,,3.0,300.0,9000000,5000.0
Visakhapatnam,,2.0,,3640000,2696.0
Visakhapatnam,15.0,3.0,,18500000,9512.0
Visakhapatnam,12.0,3.0,1500.0,9600000,5915.0
Visakhapatnam,5.0,3.0,1100.0,5000000,3268.0
Visakhapatnam,,2.0,365.0,1900000,
Visakhapatnam,3.0,2.0,1000.0,2400000,2400.0
Visakhapatnam,5.0,3.0,,14000000,9722.0
Visakhapatnam,14.0,2.0,,15000000,9375.0
Visakhapatnam,16.0,3.0,1640.0,9570000,5835.0
Visakhapatnam,5.0,2.0,,4000000,4444.0
Visakhapatnam,15.0,3.0,,14000000,9241.0
Visakhapatnam,5.0,2.0,900.0,4300000,4300.0
Visakhapatnam,9.0,3.0,,14500000,7143.0
Visakhapatnam,5.0,2.0,1155.0,4900000,3267.0
Visakhapatnam,4.0,2.0,,3500000,4118.0
Visakhapatnam,17.0,2.0,,10500000,6122.0
Visakhapatnam,5.0,2.0,1000.0,7200000,6545.0
Visakhapatnam,5.0,3.0,1525.0,11500000,7077.0
Visakhapatnam,5.0,3.0,1260.0,5000000,3676.0
Visakhapatnam,3.0,3.0,1500.0,6500000,3593.0
Visakhapatnam,5.0,2.0,742.0,6500000,5830.0
Visakhapatnam,4.0,3.0,1700.0,6500000,3824.0
Visakhapatnam,5.0,2.0,985.0,4400000,4400.0
Visakhapatnam,2.0,2.0,,7500000,3409.0
Visakhapatnam,5.0,3.0,,8000000,4482.0
Visakhapatnam,5.0,2.0,700.0,6000000,6316.0
Visakhapatnam,5.0,2.0,1050.0,4500000,
Visakhapatnam,,2.0,,3800000,3958.0
Visakhapatnam,6.0,3.0,,7600000,5315.0
Visakhapatnam,6.0,2.0,,3900000,3269.0
Visakhapatnam,5.0,2.0,1171.0,3980000,3399.0
Visakhapatnam,5.0,2.0,1089.0,4400000,4000.0
Visakhapatnam,5.0,2.0,900.0,2900000,3135.0
Visakhapatnam,5.0,3.0,1113.0,7999999,5714.0
Visakhapatnam,5.0,2.0,1000.0,3999999,3704.0
Visakhapatnam,5.0,2.0,950.0,3600000,3600.0
Visakhapatnam,15.0,2.0,1500.0,13650000,9010.0
Visakhapatnam,5.0,2.0,1250.0,8000000,4969.0
Visakhapatnam,5.0,2.0,,6900000,6000.0
Visakhapatnam,8.0,2.0,,8000000,6070.0
Visakhapatnam,5.0,2.0,960.0,3500000,
Visakhapatnam,5.0,2.0,,3900000,3319.0
Visakhapatnam,,3.0,,9000000,4500.0
Visakhapatnam,5.0,4.0,2789.0,17500000,
Visakhapatnam,5.0,2.0,1250.0,5000000,3650.0
Visakhapatnam,15.0,2.0,1000.0,7600000,6219.0
Visakhapatnam,5.0,2.0,,3600000,3243.0
Visakhapatnam,11.0,2.0,,9900000,8049.0
Visakhapatnam,,3.0,120.0,5800000,
Visakhapatnam,,3.0,2000.0,19500000,8125.0
Visakhapatnam,,3.0,1700.0,11000000,
Visakhapatnam,6.0,3.0,,6000000,3774.0
Visakhapatnam,5.0,4.0,,15000000,7895.0
Visakhapatnam,5.0,3.0,1500.0,9100000,4879.0
Visakhapatnam,5.0,3.0,,12000000,8000.0
Visakhapatnam,,1.0,,4000000,5277.0
Visakhapatnam,18.0,3.0,,5690000,3801.0
Visakhapatnam,5.0,2.0,,5200000,3939.0
Visakhapatnam,10.0,2.0,,4900000,4516.0
Visakhapatnam,10.0,2.0,,4900000,4537.0
Visakhapatnam,10.0,2.0,,4882500,4500.0
Visakhapatnam,10.0,2.0,,4774000,4400.0
Visakhapatnam,10.0,2.0,,4960000,4509.0
Visakhapatnam,,3.0,1400.0,22000000,12222.0
Visakhapatnam,5.0,2.0,,6625000,4801.0
Visakhapatnam,5.0,2.0,1345.0,13500000,9310.0
Visakhapatnam,11.0,2.0,,3300000,2973.0
Visakhapatnam,5.0,2.0,945.0,3300000,
Visakhapatnam,4.0,2.0,,6500000,5909.0
Visakhapatnam,12.0,2.0,,9900000,8049.0
