price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
4253,4950000,"20.9620256,77.7738795",2,Amravati,5,"Amravati, Maharashtra",
3652,4200000,"20.8970555,77.7423469",2,Amravati,,"Amravati, Maharashtra",
5625,4500000,"20.920287,77.757223",2,Amravati,5,"Amravati, Maharashtra",
3496,2650000,"20.8946993,77.7289099",2,Amravati,1,"Amravati, Maharashtra",12850
4164,6300000,"21.000076,77.755636",3,Amravati,,"Amravati, Maharashtra",12850
2500,2500000,"20.8970555,77.7423469",3,Amravati,1,"Amravati, Maharashtra",
2778,2500000,"20.931211,77.780812",2,Amravati,3,"Amravati, Maharashtra",
2093,1800000,"20.8933843,77.7523608",2,Amravati,3,"Amravati, Maharashtra",
3239,2300000,"20.8933843,77.7523608",2,Amravati,2,"Amravati, Maharashtra",
1667,2000000,"20.8933843,77.7523608",2,Amravati,,"Amravati, Maharashtra",
2667,2400000,"20.8970555,77.7423469",2,Amravati,3,"Amravati, Maharashtra",
5556,5000000,"20.853991,77.727592",2,Amravati,,"Amravati, Maharashtra",
3067,2300000,"20.8933843,77.7523608",2,Amravati,5,"Amravati, Maharashtra",
5000,5000000,"20.960923,77.738987",2,Amravati,5,"Amravati, Maharashtra",
3333,5000000,"20.960923,77.738987",3,Amravati,,"Amravati, Maharashtra",12850
2593,3500000,"20.920287,77.757223",2,Amravati,4,"Amravati, Maharashtra",
5842,6000000,,2,Amravati,6,"Amravati, Maharashtra",
4118,3500000,"20.943862,77.752216",2,Amravati,4,"Amravati, Maharashtra",
2586,7500000,"18.8876515,79.9801152",3,Amravati,,"Amravati, Maharashtra",
3125,2500000,"20.9644035130905,77.7510889246643",2,Amravati,3,"Amravati, Maharashtra",
2632,2500000,"20.9644035130905,77.7510889246643",2,Amravati,4,"Amravati, Maharashtra",
5357,7500000,"20.8970555,77.7423469",3,Amravati,,"Amravati, Maharashtra",
7879,13000000,"20.9041495,77.7754569",2,Amravati,,"Amravati, Maharashtra",12850
3913,9000000,"20.8970555,77.7423469",2,Amravati,,"Amravati, Maharashtra",
4118,3500000,,2,Amravati,2,"Amravati, Maharashtra",
4000,3000000,"20.8970555,77.7423469",2,Amravati,1,"Amravati, Maharashtra",
6190,6500000,"20.931211,77.780812",3,Amravati,6,"Amravati, Maharashtra",
6500,6500000,"20.928394,77.741461",2,Amravati,,"Amravati, Maharashtra",
3800,3800000,,2,Amravati,4,"Amravati, Maharashtra",
3614,3000000,"20.8970555,77.7423469",2,Amravati,5,"Amravati, Maharashtra",
5875,4700000,"20.931211,77.780812",2,Amravati,2,"Amravati, Maharashtra",
4600,4600000,,2,Amravati,7,"Amravati, Maharashtra",
2375,1900000,"20.8970555,77.7423469",2,Amravati,3,"Amravati, Maharashtra",
4348,5000000,"20.966266,77.782941",2,Amravati,8,"Amravati, Maharashtra",
4323,6700000,"20.961381,77.756287",3,Amravati,,"Amravati, Maharashtra",12850
2863,2700000,"20.8970555,77.7423469",2,Amravati,3,"Amravati, Maharashtra",
3038,3950000,,2,Amravati,,"Amravati, Maharashtra",
4900,4900000,"21.474235,78.270635",3,Amravati,,"Amravati, Maharashtra",
4400,5500000,"20.943386,77.801979",2,Amravati,,"Amravati, Maharashtra",
6818,7500000,,3,Amravati,2,"Amravati, Maharashtra",
9167,38500000,"20.919167,77.756482",3,Amravati,3,"Amravati, Maharashtra",
4474,8500000,,3,Amravati,,"Amravati, Maharashtra",12850
5752,6500000,"20.8970555,77.7423469",3,Amravati,6,"Amravati, Maharashtra",
4457,7800000,"20.9620256,77.7738795",3,Amravati,,"Amravati, Maharashtra",
3182,3500000,"20.9145162,77.7510676",2,Amravati,3,"Amravati, Maharashtra",
4103,8000000,"20.9041495,77.7754569",3,Amravati,,"Amravati, Maharashtra",12850
4651,5000000,,3,Amravati,6,"Amravati, Maharashtra",
116,3550000,"20.9041495,77.7754569",2,Amravati,12,"Amravati, Maharashtra",
3370,3100000,"20.8970555,77.7423469",2,Amravati,4,"Amravati, Maharashtra",
,7500000,,3,Amravati,3,"Amravati, Maharashtra",
5948,8000000,"20.951756,77.764181",3,Amravati,6,"Amravati, Maharashtra",
3600,3600000,,2,Amravati,3,"Amravati, Maharashtra",
7692,15000000,,2,Amravati,,"Amravati, Maharashtra",
4815,6500000,,3,Amravati,1,"Amravati, Maharashtra",
2037,5500000,,3,Amravati,1,"Amravati, Maharashtra",
2344,3000000,"20.966266,77.782941",2,Amravati,3,"Amravati, Maharashtra",
3467,2600000,,2,Amravati,2,"Amravati, Maharashtra",
4018,4500000,"20.931211,77.780812",3,Amravati,7,"Amravati, Maharashtra",
6968,4200000,"20.917894,77.743042",2,Amravati,6,"Amravati, Maharashtra",
4200,4200000,"20.919167,77.756482",2,Amravati,,"Amravati, Maharashtra",
5957,7000000,"20.9119563,77.746313",3,Amravati,4,"Amravati, Maharashtra",
3889,7000000,"20.9651974903579,77.76905406357",3,Amravati,1,"Amravati, Maharashtra",12850
3750,3000000,"18.8876515,79.9801152",2,Amravati,4,"Amravati, Maharashtra",
5114,4500000,"20.919167,77.756482",2,Amravati,3,"Amravati, Maharashtra",
2133,3200000,,2,Amravati,,"Amravati, Maharashtra",
116,580000,"20.853991,77.727592",2,Amravati,4,"Amravati, Maharashtra",
5748,6150000,"20.951756,77.764181",2,Amravati,7,"Amravati, Maharashtra",
2467,3700000,"20.919167,77.756482",2,Amravati,,"Amravati, Maharashtra",
4225,3000000,"20.8933843,77.7523608",2,Amravati,3,"Amravati, Maharashtra",
3529,3000000,"20.911036,77.760558",2,Amravati,3,"Amravati, Maharashtra",
3667,5500000,"20.943386,77.801979",2,Amravati,,"Amravati, Maharashtra",12850
2612,2800000,,2,Amravati,4,"Amravati, Maharashtra",
,4100000,,2,Amravati,6,"Amravati, Maharashtra",
,3500000,,2,Amravati,,"Amravati, Maharashtra",
100,100000,"20.9119563,77.746313",2,Amravati,,"Amravati, Maharashtra",
3368,3200000,"20.9119563,77.746313",2,Amravati,6,"Amravati, Maharashtra",
4286,3000000,"20.8970555,77.7423469",2,Amravati,4,"Amravati, Maharashtra",
3529,6000000,,2,Amravati,,"Amravati, Maharashtra",
3286,4600000,"20.919167,77.756482",3,Amravati,2,"Amravati, Maharashtra",
3733,2800000,,2,Amravati,2,"Amravati, Maharashtra",
3646,4200000,"20.920287,77.757223",2,Amravati,4,"Amravati, Maharashtra",
6000,9000000,,3,Amravati,6,"Amravati, Maharashtra",
7778,7000000,,3,Amravati,,"Amravati, Maharashtra",
4267,3200000,"20.9620256,77.7738795",2,Amravati,2,"Amravati, Maharashtra",
4500,8100000,"20.8946993,77.7289099",3,Amravati,,"Amravati, Maharashtra",
3586,2600000,,2,Amravati,5,"Amravati, Maharashtra",
5455,6000000,"20.9041495,77.7754569",2,Amravati,5,"Amravati, Maharashtra",
3000,3450000,"20.9620256,77.7738795",2,Amravati,5,"Amravati, Maharashtra",
,6500000,,2,Amravati,2,"Amravati, Maharashtra",
6667,14000000,"20.8933843,77.7523608",2,Amravati,,"Amravati, Maharashtra",
5217,6000000,,2,Amravati,7,"Amravati, Maharashtra",
3900,3900000,"20.9651974903579,77.76905406357",2,Amravati,7,"Amravati, Maharashtra",
8000,7200000,"20.8970555,77.7423469",3,Amravati,,"Amravati, Maharashtra",
3368,3200000,,2,Amravati,2,"Amravati, Maharashtra",
4250,3400000,,2,Amravati,4,"Amravati, Maharashtra",
3704,4000000,"20.915679,77.742461",3,Amravati,,"Amravati, Maharashtra",
3097,4499999,"20.9651974903579,77.76905406357",2,Amravati,,"Amravati, Maharashtra",
4471,3800000,,2,Amravati,5,"Amravati, Maharashtra",
3158,3000000,"20.853991,77.727592",2,Amravati,7,"Amravati, Maharashtra",
4941,4200000,,2,Amravati,2,"Amravati, Maharashtra",
5000,4500000,,2,Amravati,4,"Amravati, Maharashtra",
7027,6500000,,2,Amravati,4,"Amravati, Maharashtra",
,,"20.919167,77.756482",3,Amravati,,"Amravati, Maharashtra",
,,"20.8970555,77.7423469",2,Amravati,,"Amravati, Maharashtra",
,,"21.000076,77.755636",3,Amravati,,"Amravati, Maharashtra",
,,"20.9041495,77.7754569",2,Amravati,,"Amravati, Maharashtra",
,,,2,Amravati,,"Amravati, Maharashtra",
4351,6200000,"21.000076,77.755636",3,Amravati,1,"Amravati, Maharashtra",12850
4500,9000000,"20.919167,77.756482",2,Amravati,,"Amravati, Maharashtra",12850
4103,8000000,"20.9041495,77.7754569",3,Amravati,2,"Amravati, Maharashtra",
3214,4500000,"20.919167,77.756482",3,Amravati,2,"Amravati, Maharashtra",
4421,4200000,"20.853991,77.727592",2,Amravati,,"Amravati, Maharashtra",12850
