price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
1517,2200000,"23.6733465,86.9964024",3,Asansol,5,"Asansol, West Bengal",
2425,2500000,"23.7003999,86.9722411",3,Asansol,,"Asansol, West Bengal",
3493,4000000,"23.676794,86.967928",2,Asansol,3,"Asansol, West Bengal",
3708,3000000,"23.68721,86.973343",2,Asansol,7,"Asansol, West Bengal",
5717,5700000,"23.699706,86.950175",3,Asansol,10,"Asansol, West Bengal",
4167,12500000,"23.699706,86.950175",3,Asansol,13,"Asansol, West Bengal",
2973,5500000,"23.7475761,86.890145",3,Asansol,,"Asansol, West Bengal",12850
2944,2900000,"23.6849663,86.9473148",2,Asansol,4,"Asansol, West Bengal",
3155,4000000,,3,Asansol,4,"Asansol, West Bengal",
3145,2500000,"23.66809,86.97942",2,Asansol,4,"Asansol, West Bengal",
2450,2450000,"23.6906495,86.9455111",2,Asansol,,"Asansol, West Bengal",
2130,2450000,"23.6906495,86.9455111",2,Asansol,,"Asansol, West Bengal",
2692,2100000,"23.6906495,86.9455111",2,Asansol,,"Asansol, West Bengal",
3438,3851000,"23.6906495,86.9455111",3,Asansol,,"Asansol, West Bengal",
2632,2500000,"22.5200609,88.269466",2,Asansol,4,"Asansol, West Bengal",
3212,3699990,"22.5200609,88.269466",3,Asansol,5,"Asansol, West Bengal",
3158,3000000,"23.693339,86.945596",2,Asansol,6,"Asansol, West Bengal",
3859,3500000,"23.68721,86.973343",2,Asansol,7,"Asansol, West Bengal",
,2900000,"23.7475761,86.890145",2,Asansol,3,"Asansol, West Bengal",
3371,4500000,"23.676794,86.967928",3,Asansol,5,"Asansol, West Bengal",
2966,3500000,"23.66058,86.92793",3,Asansol,4,"Asansol, West Bengal",
3542,3400000,,2,Asansol,4,"Asansol, West Bengal",
2875,2300000,,2,Asansol,4,"Asansol, West Bengal",
2222,2000000,"23.676794,86.967928",2,Asansol,4,"Asansol, West Bengal",
4110,6000000,"23.699706,86.950175",3,Asansol,13,"Asansol, West Bengal",
,2400000,"23.676794,86.967928",2,Asansol,3,"Asansol, West Bengal",
3823,5000000,"23.6808433,86.9910343",3,Asansol,4,"Asansol, West Bengal",
2316,2200000,,2,Asansol,1,"Asansol, West Bengal",
2439,2500000,"23.66809,86.97942",2,Asansol,5,"Asansol, West Bengal",
3062,2450000,"23.68915,86.948443",2,Asansol,4,"Asansol, West Bengal",
4489,4700000,"23.6906495,86.9455111",2,Asansol,6,"Asansol, West Bengal",
3030,4500000,"23.695147,86.939365",3,Asansol,13,"Asansol, West Bengal",
