price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
5500,9680000,"20.393549,85.890899",3,Bhubaneswar,,"Bhubaneswar, Odisha/Orissa",
7160,6100000,"20.3585801,85.8230251",2,Bhubaneswar,6,"Bhubaneswar, Odisha/Orissa",
5166,9000000,"18.8892857,84.1754944",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
4286,9000000,"20.200002,85.451672",3,Bhubaneswar,3,"Bhubaneswar, Odisha/Orissa",
10200,5100000,"20.3329124,85.8063794",2,Bhubaneswar,3,"Bhubaneswar, Odisha/Orissa",
6000,9000000,"20.239714,85.7628196",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
7179,14000000,"20.2613815,85.798695",3,Bhubaneswar,3,"Bhubaneswar, Odisha/Orissa",
6527,7800000,"20.310805113025715,85.89175262609848",2,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
5490,6500000,"20.3023248,85.8959478",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
6500,13000000,"20.2291092,85.8166235",3,Bhubaneswar,,"Bhubaneswar, Odisha/Orissa",
5997,11700000,"20.2291092,85.8166235",3,Bhubaneswar,9,"Bhubaneswar, Odisha/Orissa",
4712,4500000,"20.169411,85.856781",2,Bhubaneswar,6,"Bhubaneswar, Odisha/Orissa",
,6300000,"20.294509,85.8166235",2,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
10667,24000000,"20.3585801,85.8230251",3,Bhubaneswar,11,"Bhubaneswar, Odisha/Orissa",
,9500000,"20.2294643,85.7692277",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
4762,6000000,"20.230978,85.785155",2,Bhubaneswar,3,"Bhubaneswar, Odisha/Orissa",
7000,11501000,"20.2613815,85.798695",3,Bhubaneswar,6,"Bhubaneswar, Odisha/Orissa",
8734,12000000,"20.4539055,85.8933908",3,Bhubaneswar,14,"Bhubaneswar, Odisha/Orissa",
,9500000,"20.2294643,85.7692277",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
7289,12500000,"20.3585801,85.8230251",3,Bhubaneswar,8,"Bhubaneswar, Odisha/Orissa",
5165,8900000,"20.2291092,85.8166235",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
9668,16000000,"20.3283145,85.8790055",3,Bhubaneswar,14,"Bhubaneswar, Odisha/Orissa",
7430,12000000,"18.8892857,84.1754944",3,Bhubaneswar,14,"Bhubaneswar, Odisha/Orissa",
7179,11500000,"20.2294643,85.7692277",3,Bhubaneswar,2,"Bhubaneswar, Odisha/Orissa",
6988,12900000,"20.2813916,85.7653829",3,Bhubaneswar,7,"Bhubaneswar, Odisha/Orissa",
11638,14000000,"20.2556204,85.8377457",2,Bhubaneswar,11,"Bhubaneswar, Odisha/Orissa",
10061,14900000,"20.3585801,85.8230251",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
4825,6900000,"20.29422,85.74439",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
7267,12500000,"20.2813916,85.7653829",3,Bhubaneswar,8,"Bhubaneswar, Odisha/Orissa",
6454,8100000,"20.2099857,85.697278",3,Bhubaneswar,5,"Bhubaneswar, Odisha/Orissa",
6696,6750000,,2,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
6849,7500000,"20.302249,85.759697",2,Bhubaneswar,6,"Bhubaneswar, Odisha/Orissa",
5462,6500000,"20.310805113025715,85.89175262609848",3,Bhubaneswar,5,"Bhubaneswar, Odisha/Orissa",
6542,7000000,"20.2871325,85.868094",2,Bhubaneswar,5,"Bhubaneswar, Odisha/Orissa",
6000,9000000,"18.8892857,84.1754944",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
4000,12000000,"20.3585801,85.8230251",3,Bhubaneswar,,"Bhubaneswar, Odisha/Orissa",
8322,12800000,"20.393549,85.890899",3,Bhubaneswar,15,"Bhubaneswar, Odisha/Orissa",
27059,46000000,"20.2907477,85.8460643",3,Bhubaneswar,,"Bhubaneswar, Odisha/Orissa",12850
4542,6000000,"18.8892857,84.1754944",3,Bhubaneswar,7,"Bhubaneswar, Odisha/Orissa",
6804,14900000,"20.278674,85.86108",3,Bhubaneswar,21,"Bhubaneswar, Odisha/Orissa",
6268,11000000,"20.2378445,85.8089406",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
5556,5000000,"20.3454719,85.7155037",2,Bhubaneswar,11,"Bhubaneswar, Odisha/Orissa",
5988,7700000,"20.3585801,85.8230251",3,Bhubaneswar,10,"Bhubaneswar, Odisha/Orissa",
9278,14000000,"20.3345517,85.8127822",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
6098,5000000,"20.2291092,85.8166235",2,Bhubaneswar,5,"Bhubaneswar, Odisha/Orissa",
4250,5100000,"20.3023248,85.8959478",3,Bhubaneswar,,"Bhubaneswar, Odisha/Orissa",12800
8000,11000000,"20.2871325,85.868094",3,Bhubaneswar,4,"Bhubaneswar, Odisha/Orissa",
5530,7200000,"20.3585801,85.8230251",2,Bhubaneswar,5,"Bhubaneswar, Odisha/Orissa",
,16000000,"20.239714,85.7628196",3,Bhubaneswar,8,"Bhubaneswar, Odisha/Orissa",
,700000,"20.3585801,85.8230251",3,Bhubaneswar,,"Bhubaneswar, Odisha/Orissa",
5500,5500000,"20.3454719,85.7155037",2,Bhubaneswar,1,"Bhubaneswar, Odisha/Orissa",
8333,15000000,"20.239714,85.7628196",3,Bhubaneswar,5,"Bhubaneswar, Odisha/Orissa",
