address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Chennai, Tamil Nadu",3,1400,,,"13.0383375524216,80.1548939621031",12495000,7000
"Chennai, Tamil Nadu",2,796,,3,"12.9801825,80.1837331",8420000,8817
"Chennai, Tamil Nadu",2,,,4,"12.8153451840046,80.0365118747686",4530000,4377
"Chennai, Tamil Nadu",2,1017,,4,"12.8415741112588,80.0657885550007",4600000,4259
"Chennai, Tamil Nadu",3,,,5,"13.0821968032739,80.1684128372375",19890000,13000
"Chennai, Tamil Nadu",2,700,,2,"12.887161,80.137872",4500000,6338
"Chennai, Tamil Nadu",2,950,,2,"13.0135845732509,80.1353232435799",9500000,8482
"Chennai, Tamil Nadu",2,770,,1,"13.1182296,80.2375836",7900000,8144
"Chennai, Tamil Nadu",2,490,,14,"12.918147,80.190008",5200000,8754
"Chennai, Tamil Nadu",3,2015,,3,"13.0878849800521,80.2818970749061",15000000,6818
"Chennai, Tamil Nadu",3,1275,,4,"13.0208596082964,80.1662008076068",9400000,7373
"Chennai, Tamil Nadu",3,,,,"13.0483665738604,80.2191808210949",95000000,42222
"Chennai, Tamil Nadu",3,,,17,"12.8078981093305,80.2233711681942",9000000,6106
"Chennai, Tamil Nadu",2,806,,2,"12.9160458633634,80.1569222050647",5700000,
"Chennai, Tamil Nadu",2,,,4,"13.1118299685649,80.1568173577039",6400000,6394
"Chennai, Tamil Nadu",3,,,,"12.78926647521,80.2216878562107",15000000,7895
"Chennai, Tamil Nadu",2,,,9,"13.0522976,80.211436",9000000,9259
"Chennai, Tamil Nadu",2,654,,3,"12.9385149814434,80.2185794136803",5400000,6323
"Chennai, Tamil Nadu",3,,,3,"13.0839192,80.2388421",20842000,17000
"Chennai, Tamil Nadu",2,900,,2,"12.8862256,80.0260649",2900000,3222
"Chennai, Tamil Nadu",2,1016,,4,"13.0140131612242,80.1675364595645",9400000,9252
"Chennai, Tamil Nadu",2,,,4,"12.8153451840046,80.0365118747686",4000000,4082
"Chennai, Tamil Nadu",3,1333,,4,"12.9272934700116,80.1937509272538",10400000,7202
"Chennai, Tamil Nadu",3,556,,19,"12.8078981093305,80.2233711681942",5600000,6100
"Chennai, Tamil Nadu",3,,,1,"12.9707455741727,80.1938994624816",11500000,9520
"Chennai, Tamil Nadu",2,700,,2,"13.0408411712709,80.2007333586726",6400000,8000
"Chennai, Tamil Nadu",3,1800,,7,"12.9385149814434,80.2185794136803",15200000,7819
"Chennai, Tamil Nadu",3,950,,2,"12.9707455741727,80.1938994624816",8000000,6457
"Chennai, Tamil Nadu",2,,,28,"12.803912686594,80.2114089616621",7000000,5785
"Chennai, Tamil Nadu",2,,,2,"12.9486801159341,80.2548126486473",11000000,10129
"Chennai, Tamil Nadu",3,,,11,"12.9687252677993,80.1522123304105",10500000,7859
"Chennai, Tamil Nadu",2,987,,27,"13.1345357560673,80.1515360938891",5000000,3479
"Chennai, Tamil Nadu",3,900,,5,"12.8968883,80.2248234",7900000,6583
"Chennai, Tamil Nadu",2,750,,3,"13.0534506,80.2663956",7500000,8503
"Chennai, Tamil Nadu",2,,,7,"12.949622,80.1463045",4000000,4310
