address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Coimbatore, Tamil Nadu",2,1055,,8,"11.024999,76.9038011",6200000,5232
"Coimbatore, Tamil Nadu",3,1890,,,"11.020732,76.900685",14500000,7672
"Coimbatore, Tamil Nadu",2,665,,4,"11.0422113209026,76.9242088969413",5700000,6433
"Coimbatore, Tamil Nadu",3,2400,,2,"11.0781549,76.8850673",22500000,9000
"Coimbatore, Tamil Nadu",3,,,,"10.6209165,76.9635859",12000000,6667
"Coimbatore, Tamil Nadu",2,805,,2,"11.024999,76.9038011",4700000,4087
"Coimbatore, Tamil Nadu",2,883,,5,"11.08614915,76.99782425",7500000,5756
"Coimbatore, Tamil Nadu",2,873,,5,"10.6209165,76.9635859",10000000,7899
"Coimbatore, Tamil Nadu",3,790,,5,"11.0302321,77.0389148",9500000,8716
"Coimbatore, Tamil Nadu",2,,,,"11.0302321,77.0389148",28000000,13814
"Coimbatore, Tamil Nadu",3,,,,"10.96478,76.93334",7500000,4237
"Coimbatore, Tamil Nadu",2,,,4,"11.072868,77.0175832",5750000,6579
"Coimbatore, Tamil Nadu",3,,,5,"10.992592,76.936891",6900000,5623
"Coimbatore, Tamil Nadu",3,,,1,"11.0180103,76.9657463",32500000,14922
"Coimbatore, Tamil Nadu",3,,,10,"11.02627,77.0198157",10800000,7397
"Coimbatore, Tamil Nadu",2,1500,,,"10.96478,76.93334",9500000,5588
"Coimbatore, Tamil Nadu",2,1400,,,"10.6572737,77.0106693",5900000,4521
"Coimbatore, Tamil Nadu",3,,,,"10.8746076,77.0075055",7000000,4070
"Coimbatore, Tamil Nadu",2,,,,"11.2992899,76.935242",4200000,3214
"Coimbatore, Tamil Nadu",2,901,,9,"11.0781549,76.8850673",9500000,6795
"Coimbatore, Tamil Nadu",2,470,,4,"11.00832,76.94901",2100000,2442
"Coimbatore, Tamil Nadu",3,,,,"11.08614915,76.99782425",13000000,5652
"Coimbatore, Tamil Nadu",2,900,,2,"10.96478,76.93334",5300000,4077
"Coimbatore, Tamil Nadu",3,,,,"11.08614915,76.99782425",7500000,5556
"Coimbatore, Tamil Nadu",3,,,,"10.9935456,76.9320765",14000000,8187
"Coimbatore, Tamil Nadu",3,2500,,,"10.9435131,76.938379",34800000,9988
"Coimbatore, Tamil Nadu",3,,,4,"11.06847092,77.03764258",7250000,6134
"Coimbatore, Tamil Nadu",3,1500,,2,"11.0227,77.125732",9000000,6000
"Coimbatore, Tamil Nadu",3,,,10,"11.02627,77.0198157",20000000,11820
"Coimbatore, Tamil Nadu",2,,,,"11.179308,76.97005",5000000,5000
"Coimbatore, Tamil Nadu",2,218,,,"11.014219,76.980447",4050000,4765
"Coimbatore, Tamil Nadu",3,1787,,,"11.048792,76.9495427",17500000,8479
"Coimbatore, Tamil Nadu",3,1962,,4,"11.012939,76.985965",15500000,7900
"Coimbatore, Tamil Nadu",2,1000,,,"10.8181101,77.0079589",3500000,3500
"Coimbatore, Tamil Nadu",2,,,4,"11.001869089588,77.0361383823519",8826500,6950
"Coimbatore, Tamil Nadu",3,,,,"11.173014,76.957095",5700000,5317
"Coimbatore, Tamil Nadu",2,900,,3,"11.0393339,76.9787076",6500000,6244
"Coimbatore, Tamil Nadu",3,,,4,"11.0393339,76.9787076",12900000,7983
"Coimbatore, Tamil Nadu",2,1240,,8,"11.08614915,76.99782425",6800000,5466
"Coimbatore, Tamil Nadu",3,,,,"10.96478,76.93334",9000000,4455
"Coimbatore, Tamil Nadu",2,900,,1,"11.002659,76.8911921",4800000,5333
