price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
6268,6500000,"26.8470235312322,75.6691182562127",2,Jaipur,,"Jaipur, Rajasthan",12850
3299,4800000,"26.8352503,75.8243427",3,Jaipur,11,"Jaipur, Rajasthan",
2632,1500000,"26.8682798,75.6964405",2,Jaipur,2,"Jaipur, Rajasthan",
6316,6000000,"26.9243332,75.6941208",3,Jaipur,,"Jaipur, Rajasthan",
4405,3700000,"26.9055379678002,75.7429135866542",2,Jaipur,9,"Jaipur, Rajasthan",
3590,3500000,"26.89496,75.7112",3,Jaipur,3,"Jaipur, Rajasthan",
4802,8600000,"26.805681,75.809019",3,Jaipur,17,"Jaipur, Rajasthan",
4130,7600000,"26.86151806,75.76476624",3,Jaipur,9,"Jaipur, Rajasthan",
7075,7500000,"26.8352503,75.8243427",2,Jaipur,11,"Jaipur, Rajasthan",
4500,4500000,"26.911164072066,75.6790446427625",3,Jaipur,3,"Jaipur, Rajasthan",
,5000000,"26.88336,75.77286",3,Jaipur,2,"Jaipur, Rajasthan",
11111,20000000,"26.9244633,75.7627222",3,Jaipur,1,"Jaipur, Rajasthan",
4000,4000000,"26.839983,75.795806",2,Jaipur,,"Jaipur, Rajasthan",
4296,5800000,"26.86641735,75.72097807",3,Jaipur,4,"Jaipur, Rajasthan",
3478,4000000,"26.83422,75.750047",3,Jaipur,4,"Jaipur, Rajasthan",
4906,6000000,"26.965878,75.722763",3,Jaipur,,"Jaipur, Rajasthan",
3630,2650000,"26.8682798,75.6964405",3,Jaipur,8,"Jaipur, Rajasthan",
16478,17500000,"26.8422152464787,75.8254343028884",3,Jaipur,,"Jaipur, Rajasthan",
4259,4400000,"26.800997,75.7509577",2,Jaipur,19,"Jaipur, Rajasthan",
2606,3000000,"26.89383667,75.74725485",2,Jaipur,13,"Jaipur, Rajasthan",
5317,6700000,"26.8571264,75.8127199",2,Jaipur,4,"Jaipur, Rajasthan",
3101,4400000,"26.89383667,75.74725485",3,Jaipur,14,"Jaipur, Rajasthan",
5223,6900000,"26.86151806,75.76476624",2,Jaipur,10,"Jaipur, Rajasthan",
2433,1825000,,2,Jaipur,,"Jaipur, Rajasthan",
5419,5500000,"26.8571264,75.8127199",2,Jaipur,12,"Jaipur, Rajasthan",
2917,4200000,"26.86151806,75.76476624",3,Jaipur,5,"Jaipur, Rajasthan",
3200,4800000,"26.93983,75.73331",3,Jaipur,3,"Jaipur, Rajasthan",
3565,4100000,"26.8352503,75.8243427",3,Jaipur,2,"Jaipur, Rajasthan",
12296,39900000,,3,Jaipur,9,"Jaipur, Rajasthan",
2515,3840000,"26.89383667,75.74725485",3,Jaipur,,"Jaipur, Rajasthan",
2892,4000000,,3,Jaipur,6,"Jaipur, Rajasthan",
5261,6850000,"26.867008685097826,75.7459348379632",3,Jaipur,6,"Jaipur, Rajasthan",
5588,9500000,"26.8361697,75.7909247",3,Jaipur,4,"Jaipur, Rajasthan",
3602,3800000,"26.8280887,75.6926803",2,Jaipur,10,"Jaipur, Rajasthan",
9367,14500000,"26.8352503,75.8243427",3,Jaipur,3,"Jaipur, Rajasthan",
9714,17000000,"26.92237743,75.79930155",3,Jaipur,4,"Jaipur, Rajasthan",
8582,8900000,"26.9159729,75.7400563",2,Jaipur,18,"Jaipur, Rajasthan",
8100,13770000,"26.931266,75.7909247",3,Jaipur,6,"Jaipur, Rajasthan",
4400,6600000,"26.9159729,75.7400563",3,Jaipur,6,"Jaipur, Rajasthan",
4091,4500000,"26.9085886,75.7411215",2,Jaipur,2,"Jaipur, Rajasthan",
5000,5300000,"26.86151806,75.76476624",3,Jaipur,11,"Jaipur, Rajasthan",
6769,11000000,"26.88659441,75.7465714",3,Jaipur,6,"Jaipur, Rajasthan",
3714,5200000,"26.990038,75.764569",3,Jaipur,2,"Jaipur, Rajasthan",
16000,20000000,"26.9142962096324,75.7337275652852",2,Jaipur,,"Jaipur, Rajasthan",
8631,14500000,"26.909987013136103,75.79952611414278",3,Jaipur,4,"Jaipur, Rajasthan",
4310,6000000,"26.959730073386115,75.67099472069755",3,Jaipur,,"Jaipur, Rajasthan",12850
3863,6200000,"26.8352503,75.8243427",3,Jaipur,7,"Jaipur, Rajasthan",
7673,12500000,"26.8352503,75.8243427",3,Jaipur,16,"Jaipur, Rajasthan",
8621,14000000,"26.86151806,75.76476624",3,Jaipur,14,"Jaipur, Rajasthan",
5444,9800000,"26.86151806,75.76476624",3,Jaipur,13,"Jaipur, Rajasthan",
5008,6300000,"26.8352503,75.8243427",3,Jaipur,42,"Jaipur, Rajasthan",
4375,3500000,"26.931266,75.7909247",2,Jaipur,3,"Jaipur, Rajasthan",
4063,2950000,"26.89383667,75.74725485",2,Jaipur,11,"Jaipur, Rajasthan",
14932,34000000,"26.8811906,75.7872919",3,Jaipur,,"Jaipur, Rajasthan",
4611,4150000,"26.89383667,75.74725485",2,Jaipur,2,"Jaipur, Rajasthan",
4231,5500000,"26.8358733,75.7880184",3,Jaipur,4,"Jaipur, Rajasthan",
6211,4000000,"26.89383667,75.74725485",3,Jaipur,11,"Jaipur, Rajasthan",
9935,10700000,"26.8352503,75.8243427",2,Jaipur,16,"Jaipur, Rajasthan",
6552,9500000,"26.931266,75.7909247",3,Jaipur,4,"Jaipur, Rajasthan",
2647,2779000,"26.959730073386115,75.67099472069755",2,Jaipur,4,"Jaipur, Rajasthan",
6613,4100000,"26.842829,75.899998",3,Jaipur,,"Jaipur, Rajasthan",
,8500000,"26.89383667,75.74725485",3,Jaipur,,"Jaipur, Rajasthan",
4533,3300000,"26.8352503,75.8243427",2,Jaipur,12,"Jaipur, Rajasthan",
8210,15000000,"26.8392751796733,75.7938066504221",3,Jaipur,,"Jaipur, Rajasthan",12850
7991,17300000,"26.8950764,75.8316064",3,Jaipur,5,"Jaipur, Rajasthan",
7692,15500000,"26.84743,75.786081",3,Jaipur,3,"Jaipur, Rajasthan",12851
3333,4200000,"26.9159729,75.7400563",3,Jaipur,4,"Jaipur, Rajasthan",
4857,6800000,"26.83422,75.750047",3,Jaipur,6,"Jaipur, Rajasthan",
6432,13700000,"26.8352503,75.8243427",3,Jaipur,14,"Jaipur, Rajasthan",
2970,4900000,"26.8682798,75.6964405",3,Jaipur,3,"Jaipur, Rajasthan",
16111,14500000,"26.8352503,75.8243427",3,Jaipur,,"Jaipur, Rajasthan",12850
5500,9900000,"26.9159729,75.7400563",3,Jaipur,,"Jaipur, Rajasthan",12851
4410,7100000,"26.8352503,75.8243427",3,Jaipur,11,"Jaipur, Rajasthan",
5100,7476600,"26.9159729,75.7400563",3,Jaipur,12,"Jaipur, Rajasthan",
3368,3200000,"26.9159729,75.7400563",2,Jaipur,5,"Jaipur, Rajasthan",
8333,15000000,"26.8352503,75.8243427",3,Jaipur,,"Jaipur, Rajasthan",12850
17969,57500000,"26.9159729,75.7400563",3,Jaipur,,"Jaipur, Rajasthan",12850
3330,3330000,"26.9124165,75.7872879",3,Jaipur,,"Jaipur, Rajasthan",
3333,3600000,"26.9124165,75.7872879",3,Jaipur,,"Jaipur, Rajasthan",
3327,5240000,"26.9040768,75.7416917",3,Jaipur,,"Jaipur, Rajasthan",
1443,1660000,"26.9040768,75.7416917",2,Jaipur,,"Jaipur, Rajasthan",
1447,2170000,"26.8386621,75.7988697",3,Jaipur,,"Jaipur, Rajasthan",
7253,12330000,"26.8386621,75.7988697",3,Jaipur,,"Jaipur, Rajasthan",
