id,posted_date,price,price_per_sq_ft,currency,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
71113069,2026-03-17T21:32:27.000Z,6800000,6182,₹,,,3,2,East,14,Lucknow,2,"Lucknow, Uttar Pradesh",1100,,12800,
57783033,2026-03-14T23:35:08.000Z,5200000,5778,₹,,,1,2,East,10,Kanpur,2,"Kanpur, Uttar Pradesh",900,,12800,
82524455,2026-03-19T23:31:22.000Z,11000000,6433,₹,1300,,4,3,East,13,Kanpur,3,"Kanpur, Uttar Pradesh",1710,,12800,
82812189,2026-03-23T23:49:22.000Z,5500000,4783,₹,1000,,2,2,North - East,5,Kanpur,2,"Kanpur, Uttar Pradesh",1150,,12800,
78395343,2026-02-11T05:43:24.000Z,6300000,3853,₹,1635,,2,2,,2,Kanpur,3,"Kanpur, Uttar Pradesh",1635,,12800,
82181065,2026-03-25T23:31:41.000Z,12500000,10417,₹,900,,3,2,East,4,Kanpur,3,"Kanpur, Uttar Pradesh",1200,,12800,
78640505,2026-01-28T22:30:34.000Z,11600000,6470,₹,1350,,3,3,East,5,Kanpur,3,"Kanpur, Uttar Pradesh",1793,,12800,
82934281,2026-03-08T23:42:30.000Z,6300000,5122,₹,991,,2,2,,14,Kanpur,2,"Kanpur, Uttar Pradesh",1230,,12800,
74336647,2026-03-21T23:32:07.000Z,4000000,4706,₹,,,,2,,4,Kanpur,2,"Kanpur, Uttar Pradesh",850,,12800,
80845339,2026-03-08T23:34:02.000Z,7000000,6364,₹,970,,1,2,,4,Kanpur,2,"Kanpur, Uttar Pradesh",1100,,12800,
53314737,2026-03-21T23:32:14.000Z,4500000,4500,₹,,,2,2,North,4,Kanpur,2,"Kanpur, Uttar Pradesh",1000,,12800,
83711089,2026-03-09T22:35:29.000Z,4500000,2663,₹,,,,2,North,3,Kanpur,3,"Kanpur, Uttar Pradesh",157,,12801,
82607441,2026-03-16T23:31:44.000Z,5300000,4549,₹,1000,,2,2,East,3,Kanpur,2,"Kanpur, Uttar Pradesh",1165,,12800,
57455877,2026-03-25T23:39:07.000Z,3200000,4267,₹,800,,1,2,North,4,Kanpur,2,"Kanpur, Uttar Pradesh",750,,12800,
81287307,2026-03-26T06:50:25.000Z,30000000,10714,₹,,,,3,,,Kanpur,3,"Kanpur, Uttar Pradesh",2800,,12800,
67755247,2026-03-24T06:44:07.000Z,5470000,3039,₹,,,,3,,,Kanpur,3,"Kanpur, Uttar Pradesh",1800,,12800,
67755243,2026-03-24T06:44:02.000Z,5310000,3034,₹,,,,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",1750,,12800,
67755241,2026-03-24T06:44:00.000Z,7000000,5833,₹,,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",1200,,12800,
67755221,2026-03-24T06:43:42.000Z,4560000,3040,₹,,,,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",1500,,12800,
67755219,2026-03-24T06:43:39.000Z,3520000,3438,₹,,,,2,,,Kanpur,3,"Kanpur, Uttar Pradesh",1024,,12800,
67755205,2026-03-24T06:43:32.000Z,2580000,3440,₹,,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",750,,12800,
67755199,2026-03-24T06:43:24.000Z,3500000,41667,₹,84,12850,,1,,,Kanpur,2,"Kanpur, Uttar Pradesh",,,,
