address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Kolkata, West Bengal",2,,,,"22.6235801,88.3788415",12195000,10651
"Kolkata, West Bengal",3,,,,"22.3115023,88.22459251",12146000,7722
"Kolkata, West Bengal",3,,,25,"22.5913323,88.4821379",30000000,12579
"Kolkata, West Bengal",3,,,4,"22.436286,88.3972076",6500000,5508
"Kolkata, West Bengal",3,1150,,35,"22.5019933303721,88.3577659820217",23000000,13642
"Kolkata, West Bengal",2,918,,18,"22.518036,88.4001305",9500000,7917
"Kolkata, West Bengal",3,,,16,"22.518036,88.4001305",10000000,6930
"Kolkata, West Bengal",3,,,17,"22.518036,88.4001305",17000000,9977
"Kolkata, West Bengal",3,,,35,"22.5019933303721,88.3577659820217",22000000,16296
"Kolkata, West Bengal",3,,,,"22.4407362666858,88.4247206883286",7370000,4780
"Kolkata, West Bengal",2,,,2,"22.4989321,88.314684",2400000,2623
"Kolkata, West Bengal",3,1020,,,"22.461197,88.3193521",5500000,4583
"Kolkata, West Bengal",2,600,,4,"22.483427,88.4187745",3550000,4356
"Kolkata, West Bengal",2,,,4,"22.53857773,88.38972446",3200000,5585
"Kolkata, West Bengal",3,,,13,"22.452025,88.3011729",8200000,5985
"Kolkata, West Bengal",3,797,,4,"22.5765307482355,88.3947247735966",6000000,6403
"Kolkata, West Bengal",2,,,3,"22.4526355,88.3034825",3000000,3326
"Kolkata, West Bengal",2,708,,5,"22.6998071,88.3901027",4000000,4520
"Kolkata, West Bengal",3,1005,,13,"22.452025,88.3011729",5800000,4723
"Kolkata, West Bengal",2,564,,29,"22.518036,88.4001305",9500000,11072
"Kolkata, West Bengal",3,1489,,35,"22.5913323,88.4821379",33000000,14732
"Kolkata, West Bengal",3,,,5,"22.7602199563765,88.3770782292498",6800000,5056
"Kolkata, West Bengal",3,646,,15,"22.452025,88.3011729",6000000,6104
"Kolkata, West Bengal",3,2336,,24,"22.493345,88.4114215",50000000,17117
"Kolkata, West Bengal",2,,,5,"22.4660035479924,88.3760548041054",2700000,3462
"Kolkata, West Bengal",2,700,,3,"22.500199,88.352814",6500000,7222
"Kolkata, West Bengal",2,544,,14,"22.511135,88.24616",3000000,4412
"Kolkata, West Bengal",2,600,,3,"22.5009295,88.389762",5100000,6220
"Kolkata, West Bengal",2,707,,5,"22.4693178367555,88.3959646263232",3600000,4072
"Kolkata, West Bengal",3,966,,4,"22.5913323,88.4821379",13000000,10961
"Kolkata, West Bengal",2,,,7,"22.596712,88.462826",7500000,8950
"Kolkata, West Bengal",2,,,4,"22.7507502556144,88.338323961921",4360000,3964
"Kolkata, West Bengal",2,450,,4,"22.5609985874065,88.4166503592485",2000000,3636
"Kolkata, West Bengal",2,640,,3,"22.4857886111386,88.3793417544862",2550000,3188
"Kolkata, West Bengal",2,,,4,"22.6322091416971,88.4501774973632",4500000,5051
"Kolkata, West Bengal",3,1318,,3,"22.4792722939238,88.3358132411599",4500000,2903
"Kolkata, West Bengal",2,710,,3,"22.4792722939238,88.3358132411599",2900000,3473
"Kolkata, West Bengal",2,650,,5,"22.5906038016404,88.4385817880075",3700000,4353
"Kolkata, West Bengal",2,625,,3,"22.6078727044164,88.4054603241258",4000000,5333
"Kolkata, West Bengal",2,655,,3,"22.4452810259584,88.4146031108378",3500000,4611
