price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
,5000000,"9.005593,76.782993",3,Kollam,,"Kollam, Kerala",
712,3100000,"8.821486,76.67811",2,Kollam,,"Kollam, Kerala",
667,1200000,"8.859763,76.619812",2,Kollam,,"Kollam, Kerala",
1857,6500000,"8.867136,76.605091",3,Kollam,,"Kollam, Kerala",
3182,3500000,"8.903387,76.556734",2,Kollam,,"Kollam, Kerala",
6800,17000000,,3,Kollam,,"Kollam, Kerala",
,8600000,"8.9236745,76.6022778",3,Kollam,,"Kollam, Kerala",
3750,6000000,"8.9236745,76.6022778",3,Kollam,,"Kollam, Kerala",12850
4667,7000000,"8.8756769,76.6167212",3,Kollam,,"Kollam, Kerala",12596
5503,7000000,"8.8912,76.5741",2,Kollam,5,"Kollam, Kerala",
5312,8500000,"11.4573257,75.6840803",3,Kollam,,"Kollam, Kerala",
2900,5800000,"9.095321,76.877735",3,Kollam,,"Kollam, Kerala",12850
,5000000,"8.929725,76.679069",3,Kollam,,"Kollam, Kerala",
5833,7000000,"8.867136,76.605091",3,Kollam,,"Kollam, Kerala",
5298,7999999,"8.9186274,76.5748309",2,Kollam,1,"Kollam, Kerala",
3553,5500000,,2,Kollam,3,"Kollam, Kerala",
6880,8600000,"8.9236745,76.6022778",3,Kollam,,"Kollam, Kerala",
5000,6000000,"8.9236745,76.6022778",3,Kollam,,"Kollam, Kerala",12850
15323,19000000,"8.8846707,76.5676071",2,Kollam,,"Kollam, Kerala",
,10500000,"9.005593,76.782993",3,Kollam,2,"Kollam, Kerala",
6111,5500000,"8.8971916,76.5831867",2,Kollam,,"Kollam, Kerala",
3529,3000000,"8.86877,76.67627",3,Kollam,,"Kollam, Kerala",
5000,11000000,"8.921562,76.545992",3,Kollam,2,"Kollam, Kerala",
7400,18500000,"8.8901173,76.6043401",3,Kollam,17,"Kollam, Kerala",
608,4500000,,2,Kollam,,"Kollam, Kerala",
3636,4000000,"8.87409,76.62387",2,Kollam,3,"Kollam, Kerala",
2000,2400000,"8.882226852,76.71679975",3,Kollam,,"Kollam, Kerala",
7500,9000000,,3,Kollam,1,"Kollam, Kerala",
3333,4000000,"9.01449576,76.92332953",2,Kollam,,"Kollam, Kerala",
,3600000,,3,Kollam,,"Kollam, Kerala",
,4200080,"8.912196,76.693379",2,Kollam,,"Kollam, Kerala",
2553,6000000,"9.01449576,76.92332953",3,Kollam,2,"Kollam, Kerala",12596
,16500000,"8.867136,76.605091",3,Kollam,,"Kollam, Kerala",12850
9091,10000000,"8.914783,76.632035",2,Kollam,,"Kollam, Kerala",
5218,11000000,"8.859763,76.619812",3,Kollam,2,"Kollam, Kerala",
