id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
83722563,2026-03-26T17:36:13.000Z,45600000,,₹,"19.1630920855215,72.8398088005091",Sales Team,1340,,1,3,,,Mumbai,3,"Mumbai, Maharashtra",,,,
83925909,2026-03-26T17:36:14.000Z,29654000,,₹,"19.1630920855215,72.8398088005091",Shubham Properties,1035,,1,3,,,Mumbai,3,"Mumbai, Maharashtra",,,,
83357241,2026-02-11T08:50:36.000Z,55000000,27500,₹,"19.098267753993,72.8335140160125",Sayla Estate Agency,952,,,2,East,7,Mumbai,3,"Mumbai, Maharashtra",2000,,12800,
80174965,2026-03-24T23:44:49.000Z,41490000,45000,₹,"19.10046297,72.84924449",Navigators Realty,922,,,3,East,6,Mumbai,3,"Mumbai, Maharashtra",922,,12800,1984
80174073,2026-03-24T23:44:49.000Z,30808800,39600,₹,"19.10046297,72.84924449",Navigators Realty,778,,,2,East,7,Mumbai,2,"Mumbai, Maharashtra",778,,12800,
83728051,2026-03-21T17:35:28.000Z,47300000,,₹,"19.012216203088,72.8604594318626",Spaces and Places,1313,,1,4,,,Mumbai,3,"Mumbai, Maharashtra",,,,
83727199,2026-03-25T17:36:48.000Z,13500000,6650,₹,"19.4638767047594,72.7822993572118",Developer Sales Team,1450,,4,4,,,Mumbai,3,"Mumbai, Maharashtra",2030,,12800,
83729123,2026-03-25T17:36:48.000Z,8399000,,₹,"19.2829267647424,72.8627883689306",Unorex Realty,510,,3,2,,,Mumbai,1,"Mumbai, Maharashtra",,,,
83548255,2026-03-23T23:45:22.000Z,19000000,23750,₹,"19.1940346300819,72.8257561606587",Kapila Homes,664,,1,2,East,22,Mumbai,2,"Mumbai, Maharashtra",800,,12800,
83357509,2026-03-24T17:36:40.000Z,16346000,,₹,"19.282975,72.873618",Locality Master,690,,3,2,,,Mumbai,2,"Mumbai, Maharashtra",,,,
83555343,2026-03-23T17:36:35.000Z,47300000,,₹,"19.012216203088,72.8604594318626",,1313,,1,4,,,Mumbai,3,"Mumbai, Maharashtra",,,,
83603059,2026-03-24T17:36:41.000Z,54740000,,₹,"19.0880941406031,72.938761427755",Space Search,1196,,3,3,,,Mumbai,3,"Mumbai, Maharashtra",,,,
83605583,2026-03-14T17:35:47.000Z,18570000,,₹,"19.2829267647424,72.8627883689306",Propvilla Realty Pvt. Ltd.,979,,3,3,,,Mumbai,3,"Mumbai, Maharashtra",,,,
83391581,2026-03-25T17:36:49.000Z,39251000,,₹,"19.1749536837097,72.943103519999",Infrawebs Solution Pvt. Ltd,1411,,3,3,,,Mumbai,3,"Mumbai, Maharashtra",,,,
83387515,2026-03-23T17:36:35.000Z,20957000,,₹,"19.2530390003417,72.8684258373265",Ace Realty,732,,,3,,,Mumbai,3,"Mumbai, Maharashtra",,,,
83441187,2026-03-24T17:36:40.000Z,17744000,,₹,"19.1749536837097,72.943103519999",Mahavir Toshniwal,630,,1,2,,,Mumbai,2,"Mumbai, Maharashtra",,,,
83689317,2026-03-26T17:36:13.000Z,9316000,,₹,"19.1848724519187,72.8629697025013",,380,,1,1,,,Mumbai,1,"Mumbai, Maharashtra",,,,
83647215,2026-03-26T17:36:13.000Z,22212000,,₹,"19.1940346300819,72.8257561606587",,660,,,2,,,Mumbai,2,"Mumbai, Maharashtra",,,,
83557595,2026-03-26T17:36:13.000Z,168003000,,₹,"19.055229,72.830829",,1768,,3,3,,,Mumbai,4,"Mumbai, Maharashtra",,,,
