price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
6522,7500000,"25.609333,85.084384",3,Patna,3,"Patna, Bihar",
7926,12000000,"25.6202301912571,85.060315801733",3,Patna,11,"Patna, Bihar",
6715,6950000,"25.6355556,85.0408333",2,Patna,5,"Patna, Bihar",
8200,8200000,"25.6071495,85.1083832",2,Patna,4,"Patna, Bihar",
7645,12500000,"25.6039915,85.1052187",3,Patna,4,"Patna, Bihar",
,4000000,"25.5878368,85.1158421",2,Patna,5,"Patna, Bihar",
5575,8000000,"25.616882,85.048736",3,Patna,4,"Patna, Bihar",
5800,6960000,"25.6355556,85.0408333",2,Patna,10,"Patna, Bihar",
4462,5800000,"25.6258867,85.0846664",3,Patna,2,"Patna, Bihar",
6294,8000000,"25.6355556,85.0408333",3,Patna,3,"Patna, Bihar",
6610,9915000,"25.5741272,85.0701001",3,Patna,5,"Patna, Bihar",
11273,18600000,"25.6039915,85.1052187",3,Patna,5,"Patna, Bihar",
6404,6500000,"25.604644,85.191873",2,Patna,4,"Patna, Bihar",
4050,5872500,"25.6355556,85.0408333",3,Patna,7,"Patna, Bihar",
3800,3800000,"25.5823755,85.1493967",2,Patna,8,"Patna, Bihar",
7736,13500000,"25.601373,85.139577",3,Patna,5,"Patna, Bihar",
7492,9500000,"25.6355556,85.0408333",3,Patna,7,"Patna, Bihar",
5988,6137500,"25.6202301912571,85.060315801733",3,Patna,7,"Patna, Bihar",
4711,7000000,"25.5760096873981,85.1267373031612",3,Patna,5,"Patna, Bihar",
5678,9000000,"25.61712666,85.06450349",3,Patna,4,"Patna, Bihar",
11842,22500000,"25.6150768,85.1155441",3,Patna,10,"Patna, Bihar",
6686,6800000,"25.5952699,85.1284876",2,Patna,4,"Patna, Bihar",
6429,9000000,"25.627211,85.107086",3,Patna,6,"Patna, Bihar",
4337,8500000,"25.6085561374604,85.0421725472221",3,Patna,7,"Patna, Bihar",
8259,12000000,"25.6355556,85.0408333",3,Patna,12,"Patna, Bihar",
,10000000,"25.6058208688713,85.0754978533909",3,Patna,3,"Patna, Bihar",
6190,6500000,"25.6039915,85.1052187",2,Patna,5,"Patna, Bihar",
,10000000,"25.6039915,85.1052187",2,Patna,8,"Patna, Bihar",
,17000000,"25.6111109,85.0925842",3,Patna,4,"Patna, Bihar",
6497,11500000,"25.6254469999999,85.0557665711646",3,Patna,5,"Patna, Bihar",
2794,3660000,"25.619201,85.100012",3,Patna,,"Patna, Bihar",
2793,2570000,"25.619201,85.100012",2,Patna,,"Patna, Bihar",
2790,2790000,"25.619201,85.100012",2,Patna,,"Patna, Bihar",
3125,3000000,"25.619201,85.100012",2,Patna,,"Patna, Bihar",
2792,3130000,"25.619201,85.100012",3,Patna,,"Patna, Bihar",
5405,6000000,"25.577649,85.192522",2,Patna,4,"Patna, Bihar",
6344,5500000,"25.6053291,85.1647866",2,Patna,4,"Patna, Bihar",
2790,2790000,"25.598764,85.030195",2,Patna,,"Patna, Bihar",
5200,13000000,"25.6068873,85.1532253",3,Patna,,"Patna, Bihar",
2790,3490000,"25.61046,85.141667",3,Patna,,"Patna, Bihar",
2793,3770000,"25.623687,85.1245567",3,Patna,,"Patna, Bihar",
2792,3490000,"25.623687,85.1245567",3,Patna,,"Patna, Bihar",
2794,3590000,"25.623687,85.1245567",2,Patna,,"Patna, Bihar",
2790,3680000,"25.623687,85.1245567",2,Patna,,"Patna, Bihar",
2790,2930000,"25.6389524,85.1103291",2,Patna,,"Patna, Bihar",
2788,3360000,"25.6389524,85.1103291",2,Patna,,"Patna, Bihar",
5169,5500000,"25.6058208688713,85.0754978533909",2,Patna,4,"Patna, Bihar",
2790,2790000,"25.609043,85.084387",2,Patna,,"Patna, Bihar",
4778,4300000,"25.609043,85.084387",2,Patna,,"Patna, Bihar",
2792,3630000,"25.609043,85.084387",3,Patna,,"Patna, Bihar",
2794,2990000,"25.609043,85.084387",2,Patna,,"Patna, Bihar",
